DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2011-12-01,172.0,-10.0,0.0,,
2011-12-02,178.0,78.0,0.0,,
2011-12-03,189.0,100.0,185.0,,
2011-12-04,122.0,61.0,549.0,,
2011-12-05,72.0,22.0,277.0,,
2011-12-06,22.0,0.0,0.0,,
2011-12-07,72.0,-21.0,0.0,,
2011-12-08,100.0,-27.0,0.0,,
2011-12-09,122.0,-21.0,0.0,,
2011-12-10,111.0,-27.0,0.0,,
2011-12-11,122.0,-27.0,0.0,,
2011-12-12,100.0,11.0,0.0,,
2011-12-13,161.0,72.0,0.0,,
2011-12-14,178.0,122.0,307.0,,
2011-12-15,161.0,72.0,264.0,,
2011-12-16,111.0,0.0,137.0,,
2011-12-17,161.0,-10.0,0.0,,
2011-12-18,150.0,0.0,0.0,,
2011-12-19,189.0,111.0,155.0,,
2011-12-20,172.0,72.0,15.0,,
2011-12-21,122.0,39.0,0.0,,
2011-12-22,139.0,28.0,0.0,,
2011-12-23,72.0,28.0,0.0,,
2011-12-24,89.0,11.0,0.0,,
2011-12-25,150.0,28.0,0.0,,
2011-12-26,78.0,61.0,163.0,,
2011-12-27,128.0,0.0,0.0,,
2011-12-28,150.0,-21.0,0.0,,
2011-12-29,178.0,0.0,0.0,,
2011-12-30,189.0,50.0,0.0,,
2011-12-31,200.0,0.0,0.0,,
2012-01-01,150.0,61.0,0.0,,
2012-01-02,78.0,11.0,0.0,,
2012-01-03,111.0,-60.0,0.0,,
2012-01-04,172.0,28.0,0.0,,
2012-01-05,200.0,11.0,0.0,,
2012-01-06,200.0,50.0,0.0,,
2012-01-07,161.0,78.0,0.0,,
2012-01-08,122.0,78.0,0.0,,
2012-01-09,122.0,72.0,0.0,,
2012-01-10,100.0,72.0,203.0,,
2012-01-11,172.0,61.0,0.0,,
2012-01-12,72.0,-10.0,0.0,,
2012-01-13,100.0,-27.0,0.0,,
2012-01-14,178.0,0.0,0.0,,
2012-01-15,172.0,-27.0,0.0,,
2012-01-16,211.0,150.0,0.0,,
2012-01-17,211.0,11.0,0.0,,
2012-01-18,100.0,-49.0,0.0,,
2012-01-19,172.0,-21.0,0.0,,
