DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1995-02-13,56,44,,,
1995-02-14,56,33,,,
1995-02-15,117,0,,,
1995-02-16,150,-17,,,
1995-02-17,144,-17,,,
1995-02-18,172,-22,,,
1995-02-19,172,67,,,
1995-02-20,200,-6,,,
1995-02-21,183,39,,,
1995-02-22,133,0,,,
1995-02-23,172,6,,,
1995-02-24,117,6,,,
1995-02-25,150,-6,,,
1995-02-26,144,-6,,,
1995-02-27,117,6,,,
1995-02-28,94,28,,,
1995-03-01,89,44,,,
1995-03-02,111,11,,,
1995-03-24,83,-39,,,
1995-03-25,78,-50,,,
1995-03-26,128,-72,,,
1995-03-27,156,-61,,,
1995-03-28,122,-50,,,
1995-03-29,122,-44,,,
1995-03-30,133,-44,,,
1995-03-31,189,-6,,,
1995-04-01,189,-28,,,
1995-04-02,150,-6,,,
1995-04-03,222,56,,,
1995-04-04,228,28,,,
1995-04-05,222,28,,,
1995-04-06,217,28,,,
1995-04-07,206,44,,,
1995-04-08,194,39,,,
1995-04-09,117,17,,,
1995-04-10,72,0,,,
1995-04-11,194,22,,,
1995-04-12,233,-6,,,
1995-04-13,206,39,,,
1995-04-14,178,39,,,
1995-04-15,89,-39,,,
1995-04-16,111,-50,,,
1995-04-17,33,-28,,,
1995-04-18,28,0,,,
1995-04-19,44,-6,,,
1995-04-20,56,11,,,
1995-04-21,89,-17,,,
1995-04-22,172,-28,,,
1995-04-23,189,22,,,
1995-04-24,228,17,,,
1995-04-25,233,6,,,
1995-04-26,239,50,,,
1995-04-27,233,78,,,
1995-04-28,222,78,,,
1995-04-29,228,72,,,
1995-04-30,233,122,,,
1995-05-01,206,72,,,
1995-05-03,233,39,,,
1995-05-04,211,28,,,
1995-05-05,106,28,,,
1995-05-06,83,-6,,,
1995-05-07,78,-6,,,
1995-05-08,156,-6,,,
1995-05-09,222,6,,,
1995-05-10,222,17,,,
1995-05-11,222,39,,,
1995-05-12,200,83,,,
1995-05-13,183,50,,,
1995-05-14,194,67,,,
1995-05-15,206,61,,,
1995-05-16,156,33,,,
1995-05-17,161,28,,,
1995-05-18,233,39,,,
1995-05-19,233,94,,,
1995-05-20,233,83,,,
1995-05-21,261,56,,,
1995-05-22,222,72,,,
1995-05-23,200,28,,,
1995-05-24,183,44,,,
1995-05-25,211,44,,,
1995-05-26,189,28,,,
1995-05-27,228,39,,,
1995-05-28,233,44,,,
1995-05-29,256,44,,,
1995-05-30,261,50,,,
1995-05-31,300,72,,,
1995-06-01,294,83,,,
1995-06-02,233,50,,,
1995-06-03,250,83,,,
1995-06-04,283,78,,,
1995-06-05,283,117,,,
1995-06-06,256,94,,,
1995-06-07,194,89,,,
1995-06-08,183,22,,,
1995-06-09,261,6,,,
1995-06-10,300,44,,,
1995-06-11,333,83,,,
1995-06-12,344,100,,,
1995-06-13,333,117,,,
1995-06-14,317,111,,,
1995-06-15,272,89,,,
1995-06-16,150,50,,,
1995-06-17,200,33,,,
1995-06-18,272,22,,,
1995-06-19,289,50,,,
1995-06-20,294,72,,,
