DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-10-11,250,94,,,
2001-10-12,217,94,,,
2001-10-13,261,117,,,
2001-10-14,272,133,,,
2001-10-15,278,133,,,
2001-10-16,289,150,,,
2001-10-17,289,133,,,
2001-10-18,283,117,,,
2001-10-19,294,144,,,
2001-10-20,278,128,,,
2001-10-21,278,122,,,
2001-10-22,256,111,,,
2001-10-23,250,89,,,
2001-10-24,244,94,,,
2001-10-25,278,117,,,
2001-10-26,272,161,,,
2001-10-27,283,133,,,
2001-10-28,267,122,,,
2001-10-29,283,128,,,
2001-10-30,283,139,,,
2001-10-31,256,94,,,
2001-11-01,217,83,,,
2001-11-02,233,89,,,
2001-11-03,250,106,,,
2001-11-04,239,128,,,
2001-11-05,194,83,,,
2001-11-06,206,83,,,
2001-11-07,206,89,,,
2001-11-08,228,89,,,
2001-11-09,200,83,,,
2001-11-10,228,94,,,
2001-11-11,239,89,,,
2001-11-12,244,94,,,
2001-11-13,172,33,,,
2001-11-14,133,22,,,
2001-11-15,178,50,,,
2001-11-16,194,61,,,
2001-11-17,217,67,,,
2001-11-18,194,78,,,
2001-11-19,194,89,,,
2001-11-20,217,67,,,
2001-11-21,206,56,,,
2001-11-22,178,61,,,
2001-11-23,122,22,,,
2001-11-24,172,22,,,
2001-11-25,128,11,,,
2001-11-26,89,-17,,,
2001-11-27,78,-61,,,
2001-11-28,83,-67,,,
2001-11-29,94,-11,,,
2001-11-30,128,0,,,
2001-12-01,161,6,,,
2001-12-02,217,56,,,
2001-12-03,178,28,,,
2001-12-04,33,-56,,,
2001-12-05,144,-22,,,
2001-12-06,194,56,,,
2001-12-07,172,56,,,
2001-12-08,78,11,,,
2001-12-09,144,28,,,
2001-12-10,78,-22,,,
2001-12-11,-17,-50,,,
2001-12-12,-11,-67,,,
2001-12-13,89,-67,,,
2001-12-14,133,-11,,,
2001-12-15,-6,-72,,,
2001-12-16,78,-72,,,
2001-12-17,189,61,,,
2001-12-18,167,83,,,
2001-12-19,200,94,,,
2001-12-20,194,56,,,
2001-12-21,100,-22,,,
2001-12-22,117,-28,,,
2001-12-23,133,-11,,,
2001-12-24,94,-28,,,
2001-12-25,133,22,,,
2001-12-26,172,39,,,
2001-12-27,139,33,,,
2001-12-28,161,50,,,
2001-12-29,156,44,,,
2001-12-30,144,39,,,
2001-12-31,128,17,,,
2002-01-01,128,-6,,,
2002-01-02,156,50,,,
2002-01-03,150,22,,,
2002-01-04,100,-6,,,
2002-01-05,156,-6,,,
2002-01-06,167,83,,,
2002-01-07,206,89,,,
2002-01-08,228,89,,,
2002-01-09,178,56,,,
2002-01-10,150,22,,,
2002-01-11,122,17,,,
2002-01-12,178,61,,,
2002-01-13,172,61,,,
2002-01-14,189,50,,,
2002-01-15,106,44,,,
2002-01-16,67,22,,,
2002-01-17,150,6,,,
2002-01-18,139,6,,,
2002-01-19,139,22,,,
2002-01-20,117,-6,,,
2002-01-21,178,33,,,
2002-01-22,144,11,,,
2002-01-23,78,-61,,,
2002-01-24,83,-50,,,
2002-01-25,128,-6,,,
2002-01-26,167,33,,,
2002-01-27,161,39,,,
2002-01-28,61,11,,,
2002-01-29,78,-28,,,
2002-01-30,-33,-100,,,
2002-01-31,56,-106,,,
2002-02-01,133,17,,,
2002-02-02,44,6,,,
2002-02-03,89,6,,,
