DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1988-04-05,222,200,,,
1988-04-06,239,161,,,
1988-04-28,189,89,,,
1988-04-29,222,72,,,
1988-04-30,267,139,,,
1988-05-01,172,61,,,
1988-05-02,178,39,,,
1988-05-03,267,111,,,
1988-05-04,289,139,,,
1988-05-05,272,150,,,
1988-05-06,167,78,,,
1988-05-07,183,83,,,
1988-05-08,200,72,,,
1988-05-09,272,122,,,
1988-05-10,306,156,,,
1988-05-11,328,200,,,
1988-05-12,306,183,,,
1988-05-13,339,222,,,
1988-05-14,322,222,,,
1988-05-15,333,211,,,
1988-05-16,344,211,,,
1988-05-17,294,189,,,
1988-05-18,261,172,,,
1988-05-19,256,161,,,
1988-05-20,261,200,,,
1988-05-21,300,161,,,
1988-05-22,317,189,,,
1988-05-23,322,211,,,
1988-05-24,317,211,,,
1988-05-25,333,206,,,
1988-05-26,344,211,,,
1988-05-27,333,217,,,
1988-05-28,306,194,,,
1988-05-29,283,144,,,
1988-05-30,178,106,,,
1988-05-31,228,100,,,
1988-06-01,294,144,,,
1988-06-02,356,194,,,
1988-06-03,350,233,,,
1988-06-04,333,233,,,
1988-06-05,344,217,,,
1988-06-06,328,200,,,
1988-06-07,311,189,,,
1988-06-08,317,189,,,
1988-06-09,356,206,,,
1988-06-10,367,244,,,
1988-06-11,350,222,,,
1988-06-12,328,194,,,
1988-06-13,322,194,,,
1988-06-14,350,217,,,
1988-06-15,344,244,,,
1988-06-16,350,244,,,
1988-06-17,350,261,,,
1988-06-18,322,200,,,
1988-06-19,350,194,,,
1988-06-20,367,250,,,
1988-06-21,367,250,,,
1988-06-22,389,256,,,
1988-06-23,383,289,,,
1988-06-24,356,250,,,
1988-06-25,300,222,,,
1988-06-26,344,211,,,
1988-06-27,333,233,,,
1988-06-28,311,194,,,
1988-06-29,306,200,,,
1988-06-30,344,206,,,
1988-07-01,350,239,,,
1988-07-02,350,233,,,
1988-07-03,361,244,,,
1988-07-04,344,244,,,
1988-07-05,350,256,,,
1988-07-06,356,222,,,
1988-07-07,356,206,,,
1988-07-08,361,211,,,
1988-07-09,322,217,,,
1988-07-10,322,200,,,
1988-07-11,317,189,,,
1988-07-12,344,222,,,
1988-07-13,356,244,,,
1988-07-14,372,256,,,
1988-07-15,383,239,,,
1988-07-16,344,256,,,
1988-07-17,356,239,,,
1988-07-18,333,194,,,
1988-07-19,322,200,,,
1988-07-20,300,228,,,
1988-07-21,322,222,,,
1988-07-22,356,239,,,
1988-07-23,383,233,,,
1988-07-24,378,244,,,
1988-07-25,367,222,,,
1988-07-26,367,228,,,
1988-07-27,328,228,,,
1988-07-28,339,211,,,
1988-07-29,333,194,,,
1988-07-30,322,172,,,
1988-07-31,300,200,,,
1988-08-01,283,194,,,
1988-08-02,267,189,,,
1988-08-03,306,189,,,
1988-08-04,289,194,,,
1988-08-05,278,183,,,
1988-08-06,300,211,,,
1988-08-07,322,206,,,
1988-08-08,322,217,,,
1988-08-09,339,206,,,
1988-08-10,317,228,,,
1988-08-11,322,222,,,
1988-08-12,339,194,,,
1988-08-13,361,228,,,
1988-08-14,356,194,,,
1988-08-15,317,183,,,
1988-08-16,311,183,,,
1988-08-17,317,211,,,
1988-08-18,294,200,,,
1988-08-19,339,222,,,
1988-08-20,317,189,,,
1988-08-21,278,189,,,
1988-08-22,317,200,,,
1988-08-23,322,183,,,
1988-08-24,322,200,,,
1988-08-25,344,228,,,
1988-08-26,333,189,,,
1988-08-27,272,172,,,
1988-08-28,278,178,,,
1988-08-29,267,189,,,
1988-08-30,289,183,,,
1988-08-31,300,217,,,
1988-09-01,311,189,,,
1988-09-02,300,183,,,
1988-09-03,289,206,,,
1988-09-04,278,206,,,
1988-09-05,272,189,,,
1988-09-06,289,183,,,
1988-09-07,317,194,,,
1988-09-08,333,217,,,
1988-09-09,356,228,,,
1988-09-10,344,228,,,
1988-09-11,300,167,,,
1988-09-12,278,172,,,
1988-09-13,294,189,,,
1988-09-14,294,189,,,
1988-09-15,311,172,,,
1988-09-16,328,189,,,
1988-09-17,333,222,,,
1988-09-18,311,211,,,
1988-09-19,311,189,,,
1988-09-20,272,189,,,
1988-09-21,272,167,,,
1988-09-22,256,150,,,
1988-09-23,272,139,,,
1988-09-24,306,172,,,
1988-09-25,306,189,,,
1988-09-26,317,211,,,
1988-09-27,300,211,,,
1988-09-28,294,194,,,
1988-09-29,294,172,,,
1988-09-30,278,156,,,
1988-10-01,322,194,,,
1988-10-02,306,206,,,
1988-10-03,272,244,,,
1988-10-04,306,211,,,
1988-10-05,294,211,,,
1988-10-06,289,194,,,
1988-10-07,300,183,,,
1988-10-08,300,189,,,
1988-10-09,283,172,,,
1988-10-10,200,144,,,
1988-10-11,211,128,,,
1988-10-12,256,139,,,
1988-10-13,278,172,,,
1988-10-14,250,111,,,
1988-10-15,211,106,,,
1988-10-16,267,144,,,
1988-10-17,294,172,,,
1988-10-18,306,189,,,
1988-10-19,233,167,,,
1988-10-20,211,139,,,
1988-10-21,256,139,,,
1988-10-23,217,178,,,
1988-10-24,267,156,,,
1988-10-25,261,167,,,
1988-10-26,267,161,,,
1988-10-27,261,161,,,
1988-10-28,211,172,,,
1988-10-29,267,150,,,
1988-10-30,261,167,,,
1988-10-31,261,156,,,
1988-11-01,261,172,,,
1988-11-02,222,150,,,
1988-11-03,228,133,,,
1988-11-04,250,133,,,
1988-11-05,261,144,,,
1988-11-06,250,144,,,
1988-11-07,267,156,,,
1988-11-10,183,150,,,
1988-11-11,183,111,,,
1988-11-12,217,94,,,
1988-11-13,233,117,,,
1988-11-14,244,44,,,
1988-11-15,100,39,,,
1988-11-16,156,33,,,
1988-11-17,183,44,,,
1988-11-18,94,22,,,
1988-11-19,111,11,,,
1988-11-20,144,22,,,
1988-11-21,156,44,,,
1988-11-22,172,56,,,
1988-11-23,200,56,,,
1988-11-24,178,100,,,
1988-11-25,56,0,,,
1988-11-26,89,6,,,
1988-11-27,106,11,,,
1988-11-28,133,28,,,
1988-11-29,156,44,,,
1988-11-30,150,44,,,
1988-12-01,150,83,,,
1988-12-02,172,106,,,
1988-12-03,178,67,,,
1988-12-04,172,100,,,
1988-12-05,144,94,,,
1988-12-06,161,67,,,
1988-12-07,128,72,,,
1988-12-08,61,6,,,
1988-12-09,67,6,,,
1988-12-10,56,17,,,
1988-12-11,128,22,,,
1988-12-12,139,44,,,
1988-12-13,150,83,,,
1988-12-14,161,72,,,
1988-12-15,183,83,,,
1988-12-16,106,33,,,
1988-12-17,161,67,,,
1988-12-18,167,61,,,
1988-12-19,78,28,,,
1988-12-20,133,11,,,
1988-12-21,111,22,,,
1988-12-22,111,22,,,
1988-12-23,72,33,,,
1988-12-24,94,67,,,
1988-12-25,161,11,,,
1988-12-26,39,-22,,,
1988-12-27,44,-44,,,
1988-12-28,72,-39,,,
1988-12-29,67,-33,,,
1988-12-30,56,-50,,,
1988-12-31,83,-6,,,
1989-01-01,150,17,,,
1989-01-02,128,67,,,
1989-01-03,156,56,,,
1989-01-04,144,50,,,
1989-01-05,117,50,,,
1989-01-06,94,0,,,
1989-01-07,44,-22,,,
1989-01-08,61,-28,,,
1989-01-09,94,-28,,,
1989-01-10,122,11,,,
1989-01-11,117,17,,,
