DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1992-01-01,117,44,,,
1992-01-02,106,50,,,
1992-01-03,78,33,,,
1992-01-04,67,33,,,
1992-01-05,122,67,,,
1992-01-06,72,11,,,
1992-01-07,100,11,,,
1992-01-08,106,11,,,
1992-01-09,106,28,,,
1992-01-10,144,56,,,
1992-01-11,117,33,,,
1992-01-12,106,50,,,
1992-01-13,100,-11,,,
1992-01-14,139,6,,,
1992-01-15,144,22,,,
1992-01-16,111,39,,,
1992-01-17,122,39,,,
1992-01-18,139,56,,,
1992-01-19,150,89,,,
1992-01-20,150,67,,,
1992-01-21,150,11,,,
1992-01-22,161,22,,,
1992-01-23,167,33,,,
1992-01-24,172,39,,,
1992-01-25,172,72,,,
1992-01-26,183,72,,,
1992-01-27,189,72,,,
1992-01-28,161,78,,,
1992-01-29,189,100,,,
1992-01-30,200,89,,,
1992-01-31,211,94,,,
1992-02-01,211,111,,,
1992-02-02,194,100,,,
1992-02-03,183,61,,,
1992-02-04,194,100,,,
1992-02-05,194,83,,,
1992-02-06,178,117,,,
1992-02-07,144,83,,,
1992-02-08,167,89,,,
1992-02-09,172,94,,,
1992-02-10,150,83,,,
1992-02-11,133,89,,,
1992-02-12,161,83,,,
1992-02-13,111,67,,,
1992-02-14,150,72,,,
1992-02-15,144,50,,,
1992-02-16,128,50,,,
1992-02-17,150,50,,,
1992-02-18,161,50,,,
1992-02-19,183,61,,,
1992-02-20,200,83,,,
1992-02-21,217,83,,,
1992-02-22,228,111,,,
1992-02-23,178,100,,,
1992-02-24,217,56,,,
1992-02-25,206,78,,,
1992-02-26,217,94,,,
1992-02-27,233,94,,,
1992-02-28,250,94,,,
1992-02-29,239,111,,,
1992-03-01,222,150,,,
1992-03-02,189,89,,,
1992-03-03,106,89,,,
1992-03-04,156,89,,,
1992-03-05,183,72,,,
1992-03-06,178,78,,,
1992-03-07,156,83,,,
1992-03-08,89,56,,,
1992-03-09,178,39,,,
1992-03-10,211,56,,,
1992-03-11,228,83,,,
1992-03-12,244,94,,,
1992-03-13,239,94,,,
1992-03-14,244,111,,,
1992-03-15,233,139,,,
1992-03-16,222,122,,,
1992-03-17,194,78,,,
1992-03-18,194,72,,,
1992-03-19,222,100,,,
1992-03-20,250,144,,,
1992-03-21,178,94,,,
1992-03-22,167,100,,,
1992-03-23,161,89,,,
1992-03-24,194,83,,,
1992-03-25,206,117,,,
1992-03-26,239,100,,,
1992-03-27,133,106,,,
1992-03-28,133,100,,,
1992-03-29,228,94,,,
1992-03-30,183,106,,,
1992-03-31,178,100,,,
1992-04-01,222,111,,,
1992-04-02,272,89,,,
1992-04-03,256,111,,,
1992-04-04,256,122,,,
1992-04-05,256,128,,,
1992-04-06,244,133,,,
1992-04-07,261,133,,,
1992-04-08,272,128,,,
1992-04-09,272,133,,,
1992-04-10,283,128,,,
1992-04-11,294,144,,,
1992-04-12,294,194,,,
1992-04-13,300,183,,,
1992-04-14,283,133,,,
1992-04-15,256,117,,,
1992-04-16,278,139,,,
1992-04-17,272,144,,,
1992-04-18,239,139,,,
1992-04-19,233,106,,,
1992-04-20,267,94,,,
1992-04-21,272,128,,,
1992-04-22,256,122,,,
1992-04-23,300,128,,,
1992-04-24,322,161,,,
1992-04-25,344,194,,,
1992-04-26,350,183,,,
1992-04-27,350,178,,,
1992-04-28,361,172,,,
1992-04-29,267,106,,,
1992-04-30,267,94,,,
1992-05-01,250,39,,,
1992-05-02,250,6,,,
1992-05-03,267,28,,,
1992-05-04,250,67,,,
1992-05-05,183,72,,,
1992-05-06,194,56,,,
1992-05-07,194,28,,,
1992-05-08,200,33,,,
1992-05-09,217,22,,,
1992-05-10,222,11,,,
1992-05-11,244,56,,,
1992-05-12,250,61,,,
1992-05-13,256,28,,,
1992-05-14,261,33,,,
1992-05-15,261,50,,,
1992-05-16,267,39,,,
1992-05-17,278,28,,,
1992-05-18,283,72,,,
1992-05-19,200,67,,,
1992-05-20,194,61,,,
1992-05-21,133,61,,,
1992-05-22,194,44,,,
1992-05-23,189,17,,,
1992-05-24,150,44,,,
1992-05-25,200,39,,,
1992-05-26,239,83,,,
1992-05-27,217,67,,,
1992-05-28,161,67,,,
1992-05-29,189,56,,,
1992-05-30,183,50,,,
1992-05-31,239,67,,,
1992-06-01,261,83,,,
1992-06-02,289,83,,,
1992-06-03,256,89,,,
1992-06-04,300,89,,,
1992-06-05,294,128,,,
1992-06-06,261,67,,,
1992-06-07,261,44,,,
1992-06-08,228,83,,,
1992-06-09,272,67,,,
1992-06-10,283,89,,,
1992-06-11,250,61,,,
1992-06-12,267,44,,,
1992-06-13,244,22,,,
1992-06-14,217,39,,,
1992-06-15,228,-11,,,
1992-06-16,222,28,,,
1992-06-17,278,11,,,
1992-06-18,289,28,,,
1992-06-19,306,44,,,
1992-06-20,306,50,,,
1992-06-21,322,56,,,
1992-06-22,300,89,,,
1992-06-23,306,100,,,
1992-06-24,283,89,,,
1992-06-25,283,83,,,
1992-06-26,294,67,,,
1992-06-27,317,83,,,
1992-06-28,322,111,,,
1992-06-29,294,133,,,
1992-06-30,261,106,,,
1992-07-01,233,61,,,
1992-07-02,278,33,,,
1992-07-03,300,67,,,
1992-07-04,328,139,,,
1992-07-05,339,133,,,
1992-07-06,339,117,,,
1992-07-07,239,139,,,
1992-07-08,178,128,,,
1992-07-09,256,83,,,
1992-07-10,283,106,,,
1992-07-11,272,122,,,
1992-07-12,250,100,,,
1992-07-13,261,100,,,
1992-07-14,283,78,,,
1992-07-15,283,78,,,
1992-07-16,317,89,,,
1992-07-17,344,111,,,
1992-07-18,350,111,,,
1992-07-19,339,100,,,
1992-07-20,339,128,,,
1992-07-21,322,133,,,
1992-07-22,311,156,,,
1992-07-23,311,133,,,
1992-07-24,306,111,,,
1992-07-25,228,100,,,
1992-07-26,278,94,,,
1992-07-27,306,94,,,
1992-07-28,311,106,,,
1992-07-29,328,122,,,
1992-07-30,322,156,,,
1992-07-31,294,128,,,
1992-08-01,339,106,,,
1992-08-02,311,128,,,
1992-08-03,317,139,,,
1992-08-04,317,122,,,
1992-08-05,233,139,,,
1992-08-06,239,117,,,
1992-08-07,267,111,,,
1992-08-08,283,122,,,
1992-08-09,289,100,,,
1992-08-10,333,139,,,
1992-08-11,306,133,,,
1992-08-12,322,111,,,
1992-08-13,339,128,,,
1992-08-14,311,139,,,
1992-08-15,317,133,,,
1992-08-16,333,139,,,
1992-08-17,328,139,,,
1992-08-18,333,139,,,
1992-08-19,350,128,,,
1992-08-20,344,139,,,
1992-08-21,294,117,,,
1992-08-22,239,111,,,
1992-08-23,194,111,,,
1992-08-24,250,56,,,
1992-08-25,256,94,,,
1992-08-26,261,67,,,
1992-08-27,289,39,,,
1992-08-28,294,61,,,
1992-08-29,283,89,,,
1992-08-30,244,94,,,
1992-08-31,250,56,,,
1992-09-01,244,44,,,
