DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-01-15,161,78,,,
2002-01-16,172,61,,,
2002-01-17,161,28,,,
2002-01-18,144,-17,,,
2002-01-19,122,-28,,,
2002-01-20,144,-44,,,
2002-01-21,156,11,,,
2002-01-22,183,-33,,,
2002-01-23,111,6,,,
2002-01-24,128,-6,,,
2002-01-25,156,-44,,,
2002-01-26,183,-22,,,
2002-01-27,211,11,,,
2002-01-28,161,67,,,
2002-01-29,133,50,,,
2002-01-30,67,17,,,
2002-01-31,89,-22,,,
2002-02-01,133,-56,,,
2002-02-02,128,61,,,
2002-02-03,150,22,,,
2002-02-04,150,33,,,
2002-02-05,156,6,,,
2002-02-06,161,17,,,
2002-02-07,189,-39,,,
2002-02-08,211,-22,,,
2002-02-09,156,44,,,
2002-02-10,50,39,,,
2002-02-11,172,22,,,
2002-02-12,200,-33,,,
2002-02-13,189,-17,,,
2002-02-14,217,33,,,
2002-02-15,217,28,,,
2002-02-16,233,56,,,
2002-02-17,228,39,,,
2002-02-18,144,39,,,
2002-02-19,172,0,,,
2002-02-20,228,6,,,
2002-02-21,250,44,,,
2002-02-22,239,22,,,
2002-02-23,261,17,,,
2002-02-24,256,56,,,
2002-02-25,267,44,,,
2002-02-26,244,22,,,
2002-02-27,172,33,,,
2002-02-28,244,39,,,
2002-03-01,183,39,,,
2002-03-02,128,-6,,,
2002-03-03,144,-44,,,
2002-03-04,189,-39,,,
2002-03-05,222,-33,,,
2002-03-06,239,0,,,
2002-03-07,228,28,,,
2002-03-08,172,72,,,
2002-03-09,233,17,,,
2002-03-10,267,56,,,
2002-03-11,256,67,,,
2002-03-12,272,72,,,
2002-03-13,272,61,,,
2002-03-14,178,44,,,
2002-03-15,167,-17,,,
2002-03-16,44,-28,,,
2002-03-17,172,44,,,
2002-03-18,167,22,,,
2002-03-19,222,28,,,
2002-03-20,261,44,,,
2002-03-21,278,50,,,
2002-03-22,272,122,,,
2002-03-23,256,61,,,
2002-03-24,183,72,,,
2002-03-25,217,39,,,
2002-03-26,267,39,,,
2002-03-27,278,61,,,
2002-03-28,294,67,,,
2002-03-29,206,89,,,
2002-03-30,278,50,,,
2002-03-31,311,89,,,
2002-04-01,317,111,,,
2002-04-02,311,94,,,
2002-04-03,311,106,,,
2002-04-04,317,106,,,
2002-04-05,300,111,,,
2002-04-06,228,106,,,
2002-04-07,217,100,,,
2002-04-08,278,89,,,
2002-04-09,300,100,,,
2002-04-10,311,122,,,
2002-04-11,322,117,,,
2002-04-12,328,128,,,
2002-04-13,339,172,,,
2002-04-14,350,167,,,
2002-04-15,300,189,,,
2002-04-16,244,144,,,
2002-04-17,272,117,,,
2002-04-18,278,111,,,
2002-04-19,278,83,,,
2002-04-20,222,100,,,
2002-04-21,294,50,,,
2002-04-22,328,83,,,
2002-04-23,333,111,,,
2002-04-24,339,133,,,
2002-04-25,311,217,,,
2002-04-26,272,144,,,
2002-04-27,244,117,,,
2002-04-28,300,94,,,
2002-04-29,294,156,,,
2002-04-30,317,100,,,
2002-05-01,239,133,,,
2002-05-02,239,72,,,
2002-05-03,294,72,,,
2002-05-04,322,100,,,
2002-05-05,322,111,,,
2002-05-06,328,117,,,
2002-05-07,306,117,,,
2002-05-08,311,133,,,
2002-05-09,322,122,,,
2002-05-10,333,122,,,
2002-05-11,311,117,,,
2002-05-12,344,122,,,
2002-05-13,328,150,,,
2002-05-14,367,200,,,
2002-05-15,350,167,,,
2002-05-16,344,144,,,
2002-05-17,361,139,,,
2002-05-18,372,150,,,
2002-05-19,344,156,,,
2002-05-20,344,144,,,
2002-05-21,256,128,,,
2002-05-22,300,72,,,
2002-05-23,300,117,,,
2002-05-24,328,122,,,
2002-05-25,344,128,,,
2002-05-26,322,156,,,
2002-05-27,328,167,,,
2002-05-28,361,150,,,
2002-05-29,400,167,,,
2002-05-30,417,194,,,
2002-05-31,428,200,,,
2002-06-01,406,222,,,
2002-06-02,372,178,,,
2002-06-03,339,183,,,
2002-06-04,344,150,,,
2002-06-05,389,172,,,
2002-06-06,400,194,,,
2002-06-07,400,206,,,
2002-06-08,389,206,,,
2002-06-09,383,206,,,
2002-06-10,367,194,,,
2002-06-11,372,172,,,
2002-06-12,400,194,,,
2002-06-13,406,189,,,
2002-06-14,417,200,,,
2002-06-15,394,217,,,
2002-06-16,400,217,,,
2002-06-17,406,211,,,
2002-06-18,417,183,,,
2002-06-19,417,183,,,
2002-06-20,417,200,,,
