DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1999-04-05,111,0,,,
1999-04-06,122,6,,,
1999-04-07,106,-39,,,
1999-04-08,111,-28,,,
1999-04-09,78,-33,,,
1999-04-10,144,-22,,,
1999-04-11,144,22,,,
1999-04-12,139,-6,,,
1999-04-13,94,-39,,,
1999-04-14,161,44,,,
1999-04-15,167,39,,,
1999-04-16,156,17,,,
1999-04-17,206,50,,,
1999-04-18,222,44,,,
1999-04-19,222,50,,,
1999-04-20,211,78,,,
1999-04-21,183,67,,,
1999-04-22,167,56,,,
1999-04-23,156,33,,,
1999-04-24,100,6,,,
1999-04-25,94,-17,,,
1999-04-26,183,17,,,
1999-04-27,206,56,,,
1999-04-28,150,33,,,
1999-04-29,72,-28,,,
1999-04-30,111,-44,,,
1999-05-01,100,-22,,,
1999-05-02,161,-6,,,
1999-05-03,106,33,,,
1999-05-04,139,11,,,
1999-05-05,183,6,,,
1999-05-06,217,56,,,
1999-05-07,228,61,,,
1999-05-08,211,72,,,
1999-05-09,189,78,,,
1999-05-10,200,50,,,
1999-05-11,206,44,,,
1999-05-12,144,72,,,
1999-05-28,178,139,,,
1999-05-29,239,100,,,
1999-05-30,217,94,,,
1999-05-31,222,94,,,
1999-06-01,239,89,,,
1999-06-02,189,72,,,
1999-06-03,194,67,,,
1999-06-04,133,33,,,
1999-06-05,178,0,,,
1999-06-06,228,56,,,
1999-06-07,250,83,,,
1999-06-08,222,83,,,
1999-06-09,228,72,,,
1999-06-10,233,100,,,
1999-06-11,233,78,,,
1999-06-12,250,94,,,
1999-06-13,272,117,,,
1999-06-14,233,111,,,
1999-06-15,256,133,,,
1999-06-16,233,133,,,
1999-06-17,217,133,,,
1999-06-18,233,111,,,
1999-06-19,256,122,,,
1999-06-20,272,133,,,
1999-06-21,272,144,,,
1999-06-22,261,133,,,
1999-06-23,250,139,,,
1999-06-24,261,133,,,
1999-06-25,289,144,,,
1999-06-26,306,150,,,
1999-06-27,283,156,,,
1999-06-28,172,150,,,
