DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1997-09-14,189.0,86.0,,,
1997-09-15,139.0,74.0,,,
1997-09-16,163.0,69.0,,,
1997-09-17,173.0,83.0,,,
1997-09-18,162.0,92.0,,,
1997-09-19,143.0,88.0,,,
1997-09-20,146.0,77.0,,,
1997-09-21,135.0,7.0,,,
1997-09-22,176.0,-14.0,,,
1997-09-23,145.0,-6.0,,,
1997-09-24,154.0,-4.0,,,
1997-09-25,110.0,71.0,,,
1997-09-26,145.0,42.0,,,
1997-09-27,176.0,13.0,,,
1997-09-28,172.0,-9.0,,,
1997-09-29,188.0,31.0,,,
1997-09-30,172.0,24.0,,0.0,
1997-10-01,181.0,25.0,25.0,0.0,
1997-10-02,155.0,83.0,0.0,0.0,
1997-10-03,170.0,7.0,0.0,0.0,
1997-10-04,195.0,-8.0,25.0,0.0,
1997-10-05,200.0,-7.0,0.0,0.0,
1997-10-06,155.0,0.0,0.0,0.0,
1997-10-07,59.0,-32.0,457.0,25.0,
1997-10-08,99.0,-64.0,51.0,0.0,
1997-10-09,135.0,17.0,25.0,0.0,
1997-10-10,114.0,28.0,0.0,0.0,
1997-10-11,28.0,-69.0,25.0,51.0,
1997-10-12,57.0,-91.0,25.0,25.0,
1997-10-13,130.0,-64.0,25.0,0.0,
1997-10-14,125.0,-53.0,25.0,0.0,
1997-10-15,130.0,-47.0,0.0,0.0,
1997-10-16,135.0,-36.0,0.0,0.0,
1997-10-17,149.0,-32.0,25.0,0.0,
1997-10-18,144.0,-25.0,0.0,0.0,
1997-10-19,115.0,-33.0,0.0,0.0,
1997-10-20,108.0,-31.0,0.0,0.0,
1997-10-21,90.0,-53.0,0.0,0.0,
1997-10-22,34.0,-22.0,0.0,0.0,
1997-10-23,56.0,-7.0,0.0,0.0,
1997-10-24,0.0,-94.0,0.0,0.0,
1997-10-25,-32.0,-96.0,0.0,25.0,
1997-10-26,58.0,-111.0,25.0,0.0,
1997-10-27,73.0,-67.0,25.0,0.0,
1997-10-28,87.0,-82.0,0.0,0.0,
1997-10-29,82.0,-62.0,0.0,0.0,
1997-10-30,,-3.0,25.0,0.0,
1997-10-31,128.0,32.0,0.0,0.0,
1997-11-01,116.0,-1.0,0.0,0.0,
1997-11-02,102.0,-44.0,0.0,0.0,
1997-11-03,114.0,-49.0,0.0,0.0,
1997-11-04,131.0,-22.0,0.0,0.0,
1997-11-05,112.0,-30.0,0.0,0.0,
1997-11-06,110.0,-35.0,0.0,0.0,
1997-11-07,95.0,-7.0,0.0,0.0,
1997-11-08,69.0,-34.0,0.0,0.0,
1997-11-09,41.0,-50.0,0.0,0.0,
1997-11-10,60.0,-54.0,0.0,0.0,
1997-11-11,2.0,-47.0,0.0,0.0,
1997-11-12,-5.0,-88.0,25.0,102.0,
1997-11-13,-7.0,-99.0,25.0,76.0,
1997-11-14,-26.0,-59.0,102.0,127.0,
1997-11-15,5.0,-122.0,0.0,127.0,
1997-11-16,10.0,-136.0,25.0,,
1997-11-17,22.0,-139.0,0.0,,
1997-11-18,24.0,-137.0,25.0,127.0,
1997-11-19,61.0,1.0,0.0,127.0,
1997-11-20,65.0,-73.0,0.0,127.0,
1997-11-21,51.0,-78.0,0.0,127.0,
1997-11-22,34.0,-121.0,0.0,127.0,
1997-11-23,76.0,-58.0,0.0,127.0,
1997-11-24,99.0,-59.0,25.0,102.0,
1997-11-25,96.0,8.0,25.0,102.0,
1997-11-26,56.0,-56.0,0.0,102.0,
1997-11-27,-42.0,-76.0,0.0,102.0,
1997-11-28,29.0,-93.0,51.0,127.0,
1997-11-29,55.0,-86.0,25.0,127.0,
1997-11-30,19.0,-46.0,25.0,127.0,
1997-12-01,-19.0,-79.0,0.0,152.0,
1997-12-02,-13.0,-89.0,0.0,178.0,
1997-12-03,-13.0,-139.0,0.0,,
1997-12-04,37.0,-144.0,25.0,152.0,
1997-12-05,49.0,-106.0,51.0,152.0,
1997-12-06,-1.0,-35.0,51.0,203.0,
1997-12-07,5.0,-57.0,102.0,279.0,
1997-12-08,-37.0,-117.0,229.0,483.0,
1997-12-09,-88.0,-193.0,0.0,,
1997-12-10,-100.0,-156.0,51.0,,
1997-12-11,-119.0,-163.0,0.0,,
1997-12-12,-33.0,-146.0,51.0,,
1997-12-13,16.0,-126.0,25.0,406.0,
1997-12-14,32.0,-115.0,0.0,406.0,
1997-12-15,29.0,-134.0,0.0,,
1997-12-16,33.0,-134.0,0.0,381.0,
