DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1995-01-01,-6,-22,,,
1995-01-02,0,-56,,,
1995-01-03,-44,-56,,,
1995-01-04,-28,-44,,,
1995-01-05,-17,-67,,,
1995-01-06,-28,-78,,,
1995-01-07,-11,-61,,,
1995-01-08,22,-11,,,
1995-01-09,44,17,,,
1995-01-10,50,22,,,
1995-01-11,56,33,,,
1995-01-12,72,56,,,
1995-01-13,94,61,,,
1995-01-14,94,33,,,
1995-01-15,78,17,,,
1995-01-16,50,17,,,
1995-01-17,39,6,,,
1995-01-18,22,11,,,
1995-01-19,83,22,,,
1995-01-20,83,17,,,
1995-01-21,50,28,,,
1995-01-22,56,39,,,
1995-01-23,67,56,,,
1995-01-24,67,50,,,
1995-01-25,67,39,,,
1995-01-26,61,22,,,
1995-01-27,61,44,,,
1995-01-28,83,61,,,
1995-01-29,89,78,,,
1995-01-30,100,78,,,
1995-01-31,111,89,,,
1995-02-01,139,100,,,
1995-02-02,200,94,,,
1995-02-03,189,122,,,
1995-02-04,172,106,,,
1995-02-05,161,100,,,
1995-02-06,144,89,,,
1995-02-07,122,44,,,
1995-02-08,133,56,,,
1995-02-09,156,83,,,
1995-02-10,161,72,,,
1995-02-11,100,56,,,
1995-02-12,83,39,,,
1995-02-13,83,17,,,
1995-02-14,89,11,,,
1995-02-15,106,22,,,
1995-02-16,83,50,,,
1995-02-17,106,56,,,
1995-02-18,178,72,,,
1995-02-19,206,122,,,
1995-02-20,200,133,,,
1995-02-21,206,128,,,
1995-02-22,217,139,,,
1995-02-23,183,100,,,
1995-02-24,161,94,,,
1995-02-25,150,83,,,
1995-02-26,133,78,,,
1995-02-27,122,56,,,
1995-02-28,56,17,,,
1995-03-01,39,17,,,
1995-03-02,17,-17,,,
1995-03-03,17,-39,,,
1995-03-04,17,-22,,,
1995-03-05,50,-28,,,
1995-03-06,72,-39,,,
1995-03-07,33,-11,,,
1995-03-08,39,0,,,
1995-03-09,89,11,,,
1995-03-10,83,22,,,
1995-03-11,89,56,,,
1995-03-12,94,50,,,
1995-03-13,83,50,,,
1995-03-14,111,56,,,
1995-03-15,144,44,,,
1995-03-16,172,72,,,
1995-03-17,161,100,,,
1995-03-18,100,67,,,
1995-03-19,100,61,,,
1995-03-20,106,33,,,
1995-03-21,72,11,,,
1995-03-22,50,-11,,,
1995-03-23,72,-11,,,
1995-03-24,83,11,,,
1995-03-25,100,6,,,
1995-03-26,128,22,,,
1995-03-27,161,67,,,
1995-03-28,172,83,,,
1995-03-29,178,78,,,
1995-03-30,189,94,,,
1995-03-31,144,72,,,
1995-04-01,167,61,,,
1995-04-02,194,67,,,
1995-04-03,206,128,,,
1995-04-04,200,111,,,
1995-04-05,139,100,,,
1995-04-06,139,89,,,
1995-04-07,128,67,,,
1995-04-08,94,44,,,
1995-04-09,161,44,,,
1995-04-10,189,72,,,
1995-04-11,178,122,,,
1995-04-12,139,72,,,
1995-04-13,128,44,,,
1995-04-14,133,39,,,
1995-04-15,72,33,,,
1995-04-16,167,39,,,
1995-04-17,111,56,,,
1995-04-18,144,44,,,
1995-04-19,172,72,,,
1995-04-20,133,56,,,
1995-04-21,183,56,,,
1995-04-22,217,117,,,
1995-04-23,222,150,,,
1995-04-24,222,133,,,
1995-04-25,211,128,,,
1995-04-26,167,94,,,
1995-04-27,128,61,,,
1995-04-28,128,78,,,
1995-04-29,139,72,,,
1995-04-30,128,72,,,
1995-05-01,156,72,,,
1995-05-02,89,67,,,
1995-05-03,161,50,,,
1995-05-04,183,67,,,
1995-05-05,150,67,,,
1995-05-06,194,72,,,
1995-05-07,183,94,,,
1995-05-08,144,89,,,
1995-05-09,100,61,,,
1995-05-10,156,61,,,
1995-05-11,161,50,,,
1995-05-12,89,33,,,
1995-05-13,172,39,,,
1995-05-14,111,89,,,
1995-05-15,111,72,,,
1995-05-16,183,89,,,
1995-05-17,178,111,,,
1995-05-18,206,100,,,
1995-05-19,233,133,,,
1995-05-20,239,150,,,
1995-05-21,211,122,,,
1995-05-22,233,117,,,
1995-05-23,267,144,,,
1995-05-24,233,133,,,
1995-05-25,250,144,,,
1995-05-26,228,122,,,
1995-05-27,244,111,,,
1995-05-28,272,156,,,
1995-05-29,294,178,,,
1995-05-30,278,189,,,
1995-05-31,278,183,,,
1995-06-01,294,172,,,
1995-06-02,217,111,,,
1995-06-03,272,133,,,
1995-06-04,244,94,,,
1995-06-05,189,67,,,
1995-06-06,189,50,,,
1995-06-07,183,83,,,
1995-06-08,250,122,,,
1995-06-09,222,128,,,
1995-06-10,228,133,,,
1995-06-11,233,106,,,
1995-06-12,250,122,,,
1995-06-13,261,128,,,
1995-06-14,128,106,,,
1995-06-15,161,111,,,
1995-06-16,156,100,,,
1995-06-17,144,122,,,
1995-06-18,167,67,,,
1995-06-19,172,61,,,
1995-06-20,239,89,,,
1995-06-21,267,133,,,
1995-06-22,311,178,,,
1995-06-23,344,194,,,
1995-06-24,367,222,,,
1995-06-25,372,239,,,
1995-06-26,350,250,,,
1995-06-27,328,233,,,
1995-06-28,339,217,,,
1995-06-29,333,211,,,
1995-06-30,283,194,,,
1995-07-01,311,189,,,
1995-07-02,294,189,,,
1995-07-03,317,183,,,
1995-07-04,339,178,,,
1995-07-05,322,211,,,
1995-07-06,289,178,,,
1995-07-07,267,172,,,
1995-07-08,294,183,,,
1995-07-09,261,139,,,
1995-07-10,250,122,,,
1995-07-11,239,133,,,
1995-07-12,200,117,,,
1995-07-13,294,122,,,
1995-07-14,344,189,,,
1995-07-15,344,217,,,
1995-07-16,378,239,,,
1995-07-17,294,200,,,
1995-07-18,317,172,,,
1995-07-19,300,200,,,
1995-07-20,317,200,,,
1995-07-21,278,183,,,
1995-07-22,283,172,,,
1995-07-23,278,172,,,
1995-07-24,278,172,,,
1995-07-25,283,167,,,
1995-07-26,311,172,,,
1995-07-27,339,206,,,
1995-07-28,339,211,,,
1995-07-29,278,167,,,
1995-07-30,311,178,,,
1995-07-31,350,233,,,
1995-08-01,361,233,,,
1995-08-02,394,233,,,
1995-08-03,378,239,,,
1995-08-04,261,244,,,
1995-08-05,344,217,,,
1995-08-06,306,194,,,
1995-08-07,294,167,,,
1995-08-08,306,144,,,
1995-08-09,311,189,,,
1995-08-10,256,144,,,
1995-08-11,289,139,,,
1995-08-12,322,178,,,
1995-08-13,328,189,,,
1995-08-14,344,206,,,
1995-08-15,317,183,,,
1995-08-16,272,117,,,
1995-08-17,256,106,,,
1995-08-18,311,133,,,
1995-08-19,328,194,,,
1995-08-20,322,211,,,
1995-08-21,317,222,,,
1995-08-22,344,228,,,
1995-08-23,361,178,,,
1995-08-24,294,161,,,
1995-08-25,289,172,,,
1995-08-26,294,161,,,
1995-08-27,272,167,,,
1995-08-28,283,150,,,
1995-08-29,283,150,,,
1995-08-30,311,172,,,
1995-08-31,311,200,,,
1995-09-01,317,194,,,
1995-09-02,300,183,,,
1995-09-03,267,167,,,
1995-09-04,278,150,,,
1995-09-05,322,161,,,
1995-09-06,350,189,,,
1995-09-07,322,189,,,
1995-09-08,333,200,,,
1995-09-09,311,200,,,
1995-09-10,306,183,,,
1995-09-11,333,211,,,
1995-09-12,333,206,,,
1995-09-13,356,217,,,
1995-09-14,328,217,,,
1995-09-15,311,206,,,
1995-09-16,278,189,,,
1995-09-17,322,183,,,
1995-09-18,383,222,,,
1995-09-19,356,244,,,
1995-09-20,350,244,,,
1995-09-21,322,228,,,
1995-09-22,294,194,,,
1995-09-23,283,167,,,
1995-09-24,267,172,,,
1995-09-25,267,139,,,
1995-09-26,294,128,,,
1995-09-27,239,144,,,
1995-09-28,228,117,,,
1995-09-29,244,111,,,
1995-09-30,278,133,,,
1995-10-01,300,144,,,
1995-10-02,339,189,,,
1995-10-03,272,133,,,
1995-10-04,261,106,,,
1995-10-05,261,156,,,
1995-10-06,244,150,,,
1995-10-07,261,139,,,
1995-10-08,267,150,,,
1995-10-09,267,144,,,
1995-10-10,272,178,,,
1995-10-11,200,94,,,
1995-10-12,244,83,,,
1995-10-13,311,150,,,
1995-10-14,306,189,,,
1995-10-15,272,139,,,
1995-10-16,228,122,,,
1995-10-17,311,156,,,
1995-10-18,283,161,,,
1995-10-19,294,183,,,
1995-10-20,278,161,,,
1995-10-21,228,94,,,
1995-10-22,194,89,,,
1995-10-23,211,111,,,
1995-10-24,206,111,,,
1995-10-25,200,117,,,
1995-10-26,267,144,,,
1995-10-27,283,144,,,
1995-10-28,283,178,,,
1995-10-29,283,167,,,
1995-10-30,228,150,,,
1995-10-31,178,111,,,
1995-11-01,206,100,,,
1995-11-02,306,106,,,
1995-11-03,294,222,,,
1995-11-04,283,217,,,
1995-11-05,300,250,,,
1995-11-06,311,250,,,
1995-11-07,333,272,,,
1995-11-08,311,278,,,
1995-11-09,328,222,,,
1995-11-10,506,222,,,
1995-11-11,550,394,,,
1995-11-12,494,467,,,
1995-11-13,500,200,,,
1995-11-14,256,161,,,
1995-11-15,194,139,,,
1995-11-21,100,100,,,
1995-12-06,144,144,,,
1995-12-07,167,83,,,
1995-12-08,144,100,,,
1995-12-09,133,78,,,
1995-12-10,83,44,,,
1995-12-11,100,78,,,
1995-12-12,122,61,,,
1995-12-13,72,39,,,
1995-12-14,67,39,,,
1995-12-15,111,39,,,
1995-12-16,111,22,,,
1995-12-17,111,33,,,
1995-12-18,83,22,,,
1995-12-19,122,39,,,
1995-12-20,139,33,,,
1995-12-21,111,11,,,
1995-12-22,28,11,,,
1995-12-23,106,11,,,
1995-12-24,111,17,,,
1995-12-25,144,44,,,
1995-12-26,144,67,,,
1995-12-27,83,28,,,
1995-12-28,50,33,,,
1995-12-29,56,33,,,
1995-12-30,89,56,,,
1995-12-31,167,89,,,
1996-01-01,200,78,,,
