DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-03-22,150,39,,,
2002-03-23,83,17,,,
2002-03-24,28,0,,,
2002-03-25,128,-6,,,
2002-03-26,167,44,,,
2002-03-27,172,44,,,
2002-03-28,156,50,,,
2002-03-29,211,78,,,
2002-03-30,244,100,,,
2002-03-31,250,122,,,
2002-04-01,244,117,,,
2002-04-02,233,111,,,
2002-04-03,217,94,,,
2002-04-04,200,67,,,
2002-04-05,150,50,,,
2002-04-06,61,33,,,
2002-04-07,172,50,,,
2002-04-08,194,61,,,
2002-04-09,194,78,,,
2002-04-10,150,56,,,
2002-04-11,194,67,,,
2002-04-12,200,78,,,
2002-04-13,261,100,,,
2002-04-14,250,117,,,
2002-04-15,128,-11,,,
2002-04-16,144,-6,,,
2002-04-17,50,0,,,
2002-04-18,44,-11,,,
2002-04-19,106,-11,,,
2002-04-20,156,17,,,
2002-04-21,183,50,,,
2002-04-22,239,72,,,
2002-04-23,250,106,,,
2002-04-24,178,78,,,
2002-04-25,172,44,,,
2002-04-26,72,17,,,
2002-04-27,72,0,,,
2002-04-28,172,6,,,
2002-04-29,139,39,,,
2002-04-30,83,6,,,
2002-05-01,72,11,,,
2002-05-02,161,22,,,
2002-05-03,183,56,,,
2002-05-04,217,67,,,
2002-05-05,211,83,,,
2002-05-06,211,94,,,
2002-05-07,172,67,,,
2002-05-08,200,44,,,
2002-05-09,206,72,,,
2002-05-10,139,44,,,
2002-05-11,211,17,,,
2002-05-12,256,100,,,
2002-05-13,261,122,,,
2002-05-14,217,78,,,
2002-05-15,233,100,,,
2002-05-16,228,100,,,
2002-05-17,261,111,,,
2002-05-18,250,106,,,
2002-05-19,194,56,,,
2002-05-20,106,11,,,
2002-05-21,100,6,,,
2002-05-22,156,11,,,
2002-05-23,200,39,,,
2002-05-24,244,83,,,
2002-05-25,250,122,,,
2002-05-26,244,106,,,
2002-05-27,217,89,,,
2002-05-28,233,78,,,
2002-05-29,300,117,,,
2002-05-30,328,150,,,
2002-05-31,289,172,,,
2002-06-01,256,128,,,
2002-06-02,222,100,,,
2002-06-03,239,89,,,
2002-06-04,283,128,,,
2002-06-05,328,161,,,
2002-06-06,317,189,,,
2002-06-07,289,172,,,
2002-06-08,244,117,,,
2002-06-09,200,50,,,
2002-06-10,256,83,,,
2002-06-11,278,128,,,
2002-06-12,272,156,,,
2002-06-13,294,139,,,
2002-06-14,272,128,,,
2002-06-15,283,128,,,
2002-06-16,272,133,,,
2002-06-17,283,139,,,
2002-06-18,250,122,,,
2002-06-19,278,128,,,
2002-06-20,294,144,,,
2002-06-21,250,117,,,
2002-06-22,278,106,,,
2002-06-23,278,111,,,
2002-06-24,306,133,,,
2002-06-25,322,156,,,
2002-06-26,322,178,,,
2002-06-27,256,139,,,
2002-06-28,283,133,,,
2002-06-29,278,139,,,
2002-06-30,322,161,,,
2002-07-01,322,189,,,
2002-07-02,306,189,,,
2002-07-03,272,167,,,
2002-07-04,294,156,,,
2002-07-05,300,156,,,
2002-07-06,300,161,,,
2002-07-07,289,167,,,
2002-07-08,322,128,,,
2002-07-09,389,189,,,
2002-07-10,372,228,,,
2002-07-11,344,233,,,
2002-07-12,372,228,,,
2002-07-13,361,211,,,
2002-07-14,356,200,,,
2002-07-15,339,200,,,
2002-07-16,339,178,,,
2002-07-17,317,161,,,
2002-07-18,306,167,,,
2002-07-19,311,161,,,
2002-07-20,300,178,,,
2002-07-21,306,167,,,
2002-07-22,322,139,,,
2002-07-23,322,161,,,
2002-07-24,333,189,,,
2002-07-25,328,178,,,
