DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-05-21,200,183,,,
2001-05-22,272,161,,,
2001-05-23,244,133,,,
2001-05-24,239,139,,,
2001-05-25,250,139,,,
2001-05-26,228,117,,,
2001-05-27,150,39,,,
2001-05-28,156,22,,,
2001-05-29,206,33,,,
2001-05-30,239,100,,,
2001-05-31,278,156,,,
2001-06-01,161,22,,,
2001-06-02,122,-6,,,
2001-06-03,133,-17,,,
2001-06-04,167,17,,,
2001-06-05,128,11,,,
2001-06-06,183,39,,,
2001-06-07,206,67,,,
2001-06-08,178,61,,,
2001-06-09,189,39,,,
2001-06-10,156,50,,,
2001-06-11,144,44,,,
2001-06-12,156,22,,,
2001-06-13,200,33,,,
2001-06-14,222,89,,,
2001-06-15,228,89,,,
2001-06-16,228,106,,,
2001-06-17,200,89,,,
2001-06-18,233,83,,,
2001-06-19,233,111,,,
2001-06-20,261,128,,,
2001-06-21,278,150,,,
2001-06-22,261,122,,,
2001-06-23,206,61,,,
2001-06-24,139,44,,,
2001-06-25,133,44,,,
2001-06-26,83,56,,,
2001-06-27,111,44,,,
2001-06-28,167,50,,,
2001-06-29,200,78,,,
2001-06-30,211,106,,,
2001-07-01,239,117,,,
2001-07-02,272,150,,,
2001-07-03,300,200,,,
2001-07-04,300,189,,,
2001-07-05,261,133,,,
2001-07-06,261,128,,,
2001-07-07,244,139,,,
2001-07-08,256,139,,,
2001-07-09,289,167,,,
2001-07-10,267,133,,,
2001-07-11,211,128,,,
2001-07-12,228,117,,,
2001-07-13,244,128,,,
2001-07-14,250,117,,,
2001-07-15,206,72,,,
2001-07-16,189,56,,,
2001-07-17,189,67,,,
2001-07-18,206,83,,,
2001-07-19,217,89,,,
2001-07-20,200,61,,,
2001-07-21,211,89,,,
2001-07-22,239,111,,,
2001-07-23,272,128,,,
2001-07-24,300,167,,,
2001-07-25,311,183,,,
2001-07-26,289,167,,,
2001-07-27,272,150,,,
2001-07-28,244,111,,,
2001-07-29,217,78,,,
2001-07-30,194,50,,,
2001-07-31,233,89,,,
2001-08-01,250,117,,,
2001-08-02,250,122,,,
2001-08-03,206,106,,,
2001-08-04,194,83,,,
2001-08-05,239,106,,,
2001-08-06,261,139,,,
2001-08-07,306,172,,,
2001-08-08,317,206,,,
2001-08-09,311,189,,,
2001-08-10,289,167,,,
2001-08-11,283,172,,,
2001-08-12,300,161,,,
2001-08-13,267,156,,,
2001-08-14,272,150,,,
2001-08-15,283,167,,,
2001-08-16,278,167,,,
2001-08-17,256,144,,,
2001-08-18,233,111,,,
2001-08-19,256,117,,,
2001-08-20,239,89,,,
2001-08-21,194,78,,,
2001-08-22,161,72,,,
2001-08-23,156,72,,,
2001-08-24,217,72,,,
2001-08-25,267,133,,,
2001-08-26,267,156,,,
2001-08-27,267,150,,,
2001-08-28,267,144,,,
2001-08-29,283,150,,,
2001-08-30,261,128,,,
2001-08-31,250,128,,,
2001-09-01,250,122,,,
2001-09-02,250,122,,,
2001-09-03,250,133,,,
2001-09-04,239,106,,,
2001-09-05,189,72,,,
2001-09-06,233,61,,,
2001-09-07,272,144,,,
2001-09-08,289,133,,,
2001-09-09,267,144,,,
2001-09-10,250,128,,,
2001-09-11,200,111,,,
2001-09-12,217,128,,,
2001-09-13,211,111,,,
2001-09-14,244,122,,,
2001-09-15,228,128,,,
2001-09-16,239,128,,,
2001-09-17,250,133,,,
2001-09-18,244,139,,,
2001-09-19,261,139,,,
2001-09-20,256,139,,,
2001-09-21,256,139,,,
2001-09-22,261,150,,,
2001-09-23,250,122,,,
2001-09-24,239,67,,,
2001-09-25,111,33,,,
2001-09-26,133,61,,,
2001-09-27,117,28,,,
2001-09-28,161,39,,,
2001-09-29,228,94,,,
2001-09-30,267,161,,,
2001-10-01,272,172,,,
2001-10-02,256,161,,,
2001-10-03,261,161,,,
2001-10-04,239,139,,,
2001-10-05,217,111,,,
2001-10-06,211,111,,,
2001-10-07,189,83,,,
2001-10-08,144,11,,,
2001-10-09,161,6,,,
2001-10-10,161,61,,,
2001-10-11,111,39,,,
2001-10-12,183,50,,,
2001-10-13,206,83,,,
2001-10-14,233,128,,,
2001-10-15,217,139,,,
2001-10-16,156,83,,,
2001-10-17,178,61,,,
2001-10-18,206,83,,,
2001-10-19,206,111,,,
2001-10-20,194,89,,,
2001-10-21,161,56,,,
2001-10-22,72,39,,,
2001-10-23,89,-6,,,
2001-10-24,122,28,,,
2001-10-25,194,67,,,
2001-10-26,189,94,,,
2001-10-27,100,33,,,
2001-10-28,100,28,,,
2001-10-29,72,33,,,
2001-10-30,50,22,,,
2001-10-31,44,6,,,
2001-11-01,100,0,,,
2001-11-02,133,28,,,
2001-11-03,194,89,,,
2001-11-04,172,78,,,
2001-11-05,128,44,,,
2001-11-06,72,0,,,
2001-11-07,144,6,,,
2001-11-08,172,83,,,
2001-11-09,150,72,,,
2001-11-10,111,50,,,
2001-11-11,89,33,,,
2001-11-12,56,6,,,
2001-11-13,39,0,,,
2001-11-14,61,28,,,
2001-11-15,50,28,,,
2001-11-16,50,-11,,,
2001-11-17,78,-28,,,
2001-11-18,94,17,,,
2001-11-19,72,0,,,
2001-11-20,33,0,,,
2001-11-21,39,0,,,
2001-11-22,6,-28,,,
2001-11-23,-11,-44,,,
2001-11-24,-17,-44,,,
2001-11-25,-6,-44,,,
