DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1990-09-17,272,133,,,
1990-09-18,250,106,,,
1990-09-19,306,94,,,
1990-09-20,322,128,,,
1990-09-21,328,144,,,
1990-09-22,294,133,,,
1990-09-23,267,117,,,
1990-09-24,233,117,,,
1990-09-25,194,89,,,
1990-09-26,189,89,,,
1990-09-27,250,83,,,
1990-09-28,300,133,,,
1990-09-29,317,139,,,
1990-09-30,344,150,,,
1990-10-01,300,133,,,
1990-10-02,256,94,,,
1990-10-03,261,83,,,
1990-10-04,267,117,,,
1990-10-05,172,72,,,
1990-10-06,222,33,,,
1990-10-07,200,39,,,
1990-10-08,239,44,,,
1990-10-09,267,83,,,
1990-10-10,261,89,,,
1990-10-11,244,61,,,
1990-10-12,256,89,,,
1990-10-13,239,72,,,
1990-10-14,267,72,,,
1990-10-15,233,89,,,
1990-10-16,217,67,,,
1990-10-17,244,50,,,
1990-10-18,111,44,,,
1990-10-19,172,11,,,
1990-10-20,172,11,,,
1990-10-21,200,61,,,
1990-10-22,200,56,,,
1990-10-23,233,50,,,
1990-10-24,261,94,,,
1990-10-25,244,94,,,
1990-10-26,228,72,,,
1990-10-27,228,78,,,
1990-10-28,133,50,,,
1990-10-29,161,28,,,
1990-10-30,106,78,,,
1990-10-31,100,17,,,
1990-11-01,117,-11,,,
1990-11-02,133,-28,,,
1990-11-03,178,33,,,
1990-11-04,167,56,,,
1990-11-05,144,28,,,
1990-11-06,133,-6,,,
1990-11-07,183,6,,,
1990-11-08,211,56,,,
1990-11-09,194,44,,,
1990-11-10,161,50,,,
1990-11-11,211,61,,,
1990-11-12,211,56,,,
1990-11-13,111,28,,,
1990-11-14,111,0,,,
1990-11-15,133,-17,,,
1990-11-16,4850,17,,,
1990-11-17,111,17,,,
1990-11-18,106,33,,,
1990-11-19,100,6,,,
1990-11-20,83,6,,,
1990-11-21,67,11,,,
1990-11-22,117,-11,,,
1990-11-23,150,6,,,
1990-11-24,183,33,,,
1990-11-25,67,-17,,,
1990-11-26,61,-22,,,
1990-11-27,106,-28,,,
1990-11-28,83,-22,,,
1990-11-29,83,6,,,
1990-11-30,83,-11,,,
1990-12-01,100,-39,,,
1990-12-02,72,-33,,,
1990-12-03,100,0,,,
1990-12-04,44,6,,,
1990-12-05,83,-17,,,
1990-12-06,128,0,,,
1990-12-07,139,17,,,
1990-12-08,156,22,,,
1990-12-09,78,44,,,
1990-12-10,61,6,,,
1990-12-11,72,-17,,,
1990-12-12,50,-28,,,
1990-12-13,50,-39,,,
1990-12-14,17,-56,,,
1990-12-15,17,-22,,,
1990-12-16,39,-28,,,
1990-12-17,67,-17,,,
1990-12-18,50,-22,,,
1990-12-19,0,-89,,,
1990-12-20,-6,-128,,,
1990-12-21,-39,-161,,,
1990-12-22,0,-139,,,
1990-12-23,28,-94,,,
1990-12-24,56,-72,,,
1990-12-25,83,-33,,,
1990-12-26,89,-22,,,
1990-12-27,78,-22,,,
1990-12-28,56,-50,,,
1990-12-29,28,-78,,,
1990-12-30,67,-61,,,
1990-12-31,100,-33,,,
1991-01-01,122,-11,,,
1991-01-02,83,11,,,
1991-01-03,117,0,,,
1991-01-04,106,-11,,,
1991-01-05,89,-22,,,
1991-01-06,39,-11,,,
1991-01-07,61,-11,,,
1991-01-08,56,-28,,,
1991-01-09,50,11,,,
1991-01-10,50,11,,,
1991-01-11,33,0,,,
1991-01-12,56,33,,,
1991-01-13,106,56,,,
1991-01-14,144,39,,,
1991-01-15,128,22,,,
1991-01-16,133,6,,,
1991-01-17,172,33,,,
1991-01-18,100,17,,,
1991-01-19,122,6,,,
1991-01-20,117,11,,,
1991-01-21,128,-6,,,
1991-01-22,139,11,,,
1991-01-23,150,17,,,
1991-01-24,139,-6,,,
1991-01-25,122,-17,,,
1991-01-26,133,-6,,,
1991-01-27,139,-11,,,
1991-01-28,117,-28,,,
1991-01-29,150,-17,,,
1991-01-30,94,-11,,,
1991-01-31,106,28,,,
1991-02-01,89,22,,,
1991-02-02,33,6,,,
1991-02-03,56,22,,,
1991-02-04,56,50,,,
1991-02-05,111,22,,,
1991-02-06,133,6,,,
1991-02-07,150,11,,,
1991-02-08,144,22,,,
1991-02-09,156,11,,,
1991-02-10,167,50,,,
1991-02-11,150,28,,,
1991-02-12,122,17,,,
1991-02-13,183,50,,,
1991-02-14,194,44,,,
1991-02-15,133,44,,,
1991-02-16,133,22,,,
1991-02-17,128,17,,,
1991-02-18,172,22,,,
1991-02-19,172,0,,,
1991-02-20,172,28,,,
1991-02-21,139,44,,,
1991-02-22,167,22,,,
1991-02-23,194,33,,,
1991-02-24,200,28,,,
1991-02-25,200,28,,,
1991-02-26,194,39,,,
1991-02-27,172,50,,,
1991-02-28,83,28,,,
1991-03-01,56,22,,,
1991-03-02,44,6,,,
1991-03-03,89,39,,,
1991-03-04,83,0,,,
1991-03-05,83,-33,,,
1991-03-06,83,-28,,,
1991-03-07,122,-39,,,
1991-03-08,150,-11,,,
1991-03-09,83,0,,,
1991-03-10,33,-28,,,
1991-03-11,28,-50,,,
1991-03-12,33,-17,,,
1991-03-13,94,-39,,,
1991-03-14,44,-28,,,
1991-03-15,111,-39,,,
1991-03-16,44,-6,,,
1991-03-17,44,0,,,
1991-03-18,61,-33,,,
1991-03-19,78,-44,,,
1991-03-20,50,0,,,
1991-03-21,89,-22,,,
1991-03-22,72,-33,,,
1991-03-24,39,-6,,,
1991-03-25,61,-11,,,
1991-03-26,94,-11,,,
1991-03-27,133,-22,,,
1991-03-28,172,0,,,
1991-03-29,189,17,,,
1991-03-30,206,33,,,
1991-03-31,144,33,,,
1991-04-01,144,39,,,
1991-04-02,161,17,,,
1991-04-03,139,17,,,
1991-04-04,183,33,,,
1991-04-05,83,39,,,
1991-04-06,72,-6,,,
1991-04-07,106,-17,,,
1991-04-08,161,-17,,,
1991-04-09,122,-6,,,
1991-04-10,78,-17,,,
1991-04-11,167,-28,,,
1991-04-12,206,11,,,
1991-04-13,194,33,,,
1991-04-14,150,11,,,
1991-04-15,100,6,,,
1991-04-16,2617,-6,,,
1991-04-17,144,0,,,
1991-04-18,144,17,,,
1991-04-19,156,22,,,
1991-04-20,100,39,,,
1991-04-21,150,39,,,
1991-04-22,167,39,,,
1991-04-23,133,50,,,
1991-04-24,100,0,,,
1991-04-25,94,0,,,
1991-04-26,144,-6,,,
1991-04-27,194,-6,,,
1991-04-28,217,28,,,
1991-04-29,172,33,,,
1991-04-30,183,17,,,
1991-05-01,122,0,,,
1991-05-02,161,33,,,
1991-05-03,183,39,,,
1991-05-04,222,50,,,
1991-05-05,200,67,,,
1991-05-06,161,44,,,
1991-05-07,183,61,,,
1991-05-08,78,0,,,
1991-05-09,133,-11,,,
1991-05-10,206,11,,,
1991-05-11,183,28,,,
1991-05-12,4850,50,,,
1991-05-13,100,50,,,
1991-05-14,200,22,,,
1991-05-15,239,44,,,
1991-05-16,156,28,,,
1991-05-17,100,22,,,
1991-05-18,111,11,,,
1991-05-19,189,6,,,
1991-05-20,211,56,,,
1991-05-21,3744,78,,,
1991-05-22,244,94,,,
1991-05-23,256,100,,,
1991-05-24,244,83,,,
1991-05-25,244,39,,,
1991-05-26,3744,-144,,,
1991-05-27,233,56,,,
1991-05-28,228,61,,,
1991-05-29,94,39,,,
1991-05-30,172,11,,,
1991-05-31,250,28,,,
1991-06-01,289,111,,,
1991-06-02,267,100,,,
1991-06-03,267,72,,,
1991-06-04,244,83,,,
1991-06-05,256,67,,,
1991-06-06,250,72,,,
1991-06-07,261,94,,,
1991-06-08,267,111,,,
1991-06-09,217,133,,,
1991-06-10,311,150,,,
1991-06-11,294,111,,,
1991-06-12,283,61,,,
1991-06-13,256,33,,,
1991-06-14,250,56,,,
1991-06-15,233,72,,,
1991-06-16,228,39,,,
1991-06-17,239,50,,,
1991-06-18,244,72,,,
1991-06-19,200,44,,,
1991-06-20,233,22,,,
1991-06-21,228,56,,,
1991-06-22,250,61,,,
1991-06-23,222,67,,,
1991-06-24,217,50,,,
1991-06-25,228,56,,,
1991-06-26,189,61,,,
1991-06-27,194,61,,,
1991-06-28,161,89,,,
1991-06-29,206,94,,,
1991-06-30,228,72,,,
1991-07-01,328,128,,,
1991-07-02,261,183,,,
1991-07-03,289,194,,,
1991-07-04,261,211,,,
1991-07-05,328,194,,,
1991-07-06,317,172,,,
1991-07-07,306,161,,,
1991-07-08,294,161,,,
1991-07-09,283,139,,,
1991-07-10,294,117,,,
1991-07-11,311,128,,,
1991-07-12,289,144,,,
1991-07-13,244,111,,,
1991-07-14,256,100,,,
1991-07-15,3744,117,,,
1991-07-16,167,117,,,
1991-07-17,222,94,,,
1991-07-18,206,122,,,
1991-07-19,228,144,,,
1991-07-20,294,150,,,
1991-07-21,217,144,,,
1991-07-22,322,150,,,
1991-07-23,239,133,,,
1991-07-24,289,128,,,
1991-07-25,300,106,,,
1991-07-26,222,139,,,
1991-07-27,250,167,,,
1991-07-28,339,178,,,
1991-07-29,339,172,,,
1991-07-30,333,178,,,
1991-07-31,278,150,,,
1991-08-01,272,111,,,
1991-08-02,283,128,,,
1991-08-03,261,144,,,
1991-08-04,272,139,,,
1991-08-05,261,128,,,
1991-08-06,233,117,,,
1991-08-07,250,133,,,
1991-08-08,261,133,,,
1991-08-09,278,117,,,
1991-08-10,283,106,,,
