DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1990-05-01,283,283,,,
1990-05-02,283,167,,,
1990-05-03,306,139,,,
1990-05-04,328,150,,,
1990-05-05,317,144,,,
1990-05-06,294,100,,,
1990-05-07,256,61,,,
1990-05-08,272,94,,,
1990-05-09,217,61,,,
1990-05-10,178,67,,,
1990-05-11,222,56,,,
1990-05-12,78,61,,,
1990-05-14,228,78,,,
1990-05-15,256,56,,,
1990-05-16,267,72,,,
1990-05-17,217,44,,,
1990-05-18,200,28,,,
1990-05-19,167,61,,,
1990-05-20,167,100,,,
1990-05-21,222,106,,,
1990-05-22,239,100,,,
1990-05-23,183,72,,,
1990-05-24,206,61,,,
1990-05-25,222,61,,,
1990-05-26,217,100,,,
1990-05-27,156,128,,,
1990-05-28,172,111,,,
1990-05-29,206,100,,,
1990-05-30,156,89,,,
1990-05-31,178,72,,,
1990-06-01,222,50,,,
1990-06-02,267,72,,,
1990-06-03,272,94,,,
1990-06-04,283,111,,,
1990-06-05,289,83,,,
1990-06-06,256,122,,,
1990-06-07,294,106,,,
1990-06-08,339,139,,,
1990-06-09,322,144,,,
1990-06-10,267,111,,,
1990-06-11,283,111,,,
1990-06-12,272,89,,,
1990-06-13,217,100,,,
1990-06-14,233,117,,,
1990-06-15,217,94,,,
1990-06-16,244,83,,,
1990-06-17,272,83,,,
1990-06-18,272,72,,,
1990-06-19,350,150,,,
1990-06-20,361,178,,,
1990-06-21,361,150,,,
1990-06-22,272,111,,,
1990-06-23,300,89,,,
1990-06-24,294,122,,,
1990-06-25,300,89,,,
1990-06-26,311,100,,,
1990-06-27,294,100,,,
1990-06-28,311,100,,,
1990-06-29,294,144,,,
1990-07-03,306,117,,,
1990-07-04,261,100,,,
1990-07-05,283,111,,,
1990-07-06,283,128,,,
1990-07-07,322,167,,,
1990-07-08,322,144,,,
1990-07-09,339,133,,,
1990-07-10,389,189,,,
1990-07-11,389,222,,,
1990-07-12,400,239,,,
1990-07-13,389,239,,,
1990-07-14,389,206,,,
1990-07-15,350,178,,,
1990-07-16,322,172,,,
1990-07-17,333,183,,,
1990-07-18,339,178,,,
