DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2000-11-15,194,39,,,
2000-11-16,206,28,,,
2000-11-17,194,83,,,
2000-11-18,194,67,,,
2000-11-19,233,56,,,
2000-11-20,250,67,,,
2000-11-21,233,61,,,
2000-11-22,228,39,,,
2000-11-23,256,67,,,
2000-11-24,267,44,,,
2000-11-25,250,72,,,
2000-11-26,261,72,,,
2000-11-27,278,67,,,
2000-11-28,272,61,,,
2000-11-29,256,67,,,
2000-11-30,256,56,,,
2000-12-01,250,111,,,
2000-12-02,250,128,,,
2000-12-03,267,89,,,
2000-12-04,278,106,,,
2000-12-05,278,139,,,
2000-12-06,250,117,,,
2000-12-07,272,117,,,
2000-12-08,256,67,,,
2000-12-09,233,72,,,
2000-12-10,228,89,,,
2000-12-11,250,61,,,
2000-12-12,206,44,,,
2000-12-13,206,22,,,
2000-12-14,217,44,,,
2000-12-15,222,50,,,
2000-12-16,239,72,,,
2000-12-17,250,122,,,
2000-12-18,200,111,,,
2000-12-19,211,44,,,
2000-12-20,222,17,,,
2000-12-21,256,44,,,
2000-12-22,233,22,,,
2000-12-23,261,22,,,
2000-12-24,244,33,,,
2000-12-25,194,83,,,
2000-12-26,206,100,,,
2000-12-27,233,56,,,
2000-12-28,233,50,,,
2000-12-29,272,72,,,
2000-12-30,272,67,,,
2000-12-31,261,44,,,
2001-01-01,244,83,,,
2001-01-02,233,83,,,
2001-01-03,244,133,,,
2001-01-04,261,94,,,
2001-01-05,239,83,,,
2001-01-06,261,78,,,
2001-01-07,267,56,,,
2001-01-08,206,61,,,
2001-01-09,189,56,,,
2001-01-10,194,44,,,
2001-01-11,156,89,,,
2001-01-12,167,50,,,
2001-01-13,189,39,,,
2001-01-14,194,44,,,
2001-01-15,172,33,,,
2001-01-16,156,50,,,
2001-01-17,144,50,,,
2001-01-18,167,33,,,
2001-01-19,189,28,,,
2001-01-20,222,94,,,
2001-01-21,222,67,,,
2001-01-22,239,67,,,
2001-01-23,250,44,,,
2001-01-24,222,56,,,
2001-01-25,211,67,,,
2001-01-26,183,28,,,
2001-01-27,161,50,,,
2001-01-28,178,56,,,
2001-01-29,183,28,,,
2001-01-30,178,67,,,
2001-01-31,172,72,,,
2001-02-01,200,100,,,
2001-02-02,233,94,,,
2001-02-03,267,78,,,
2001-02-04,300,128,,,
2001-02-05,311,122,,,
2001-02-06,283,100,,,
2001-02-07,172,83,,,
2001-02-08,161,61,,,
2001-02-09,178,22,,,
2001-02-10,200,17,,,
2001-02-11,200,39,,,
2001-02-12,211,39,,,
2001-02-13,178,61,,,
2001-02-14,167,56,,,
2001-02-15,194,22,,,
2001-02-16,206,50,,,
2001-02-17,222,89,,,
2001-02-18,261,61,,,
2001-02-19,244,50,,,
2001-02-20,261,94,,,
2001-02-21,278,83,,,
2001-02-22,272,100,,,
