DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-05-10,189,150,,,
2001-05-11,306,133,,,
2001-05-12,267,150,,,
2001-05-13,250,139,,,
2001-05-14,261,111,,,
2001-05-15,272,128,,,
2001-05-16,278,139,,,
2001-05-17,294,139,,,
2001-05-18,256,156,,,
2001-05-19,256,150,,,
2001-05-20,272,139,,,
2001-05-21,278,156,,,
2001-05-22,344,167,,,
2001-05-23,356,156,,,
2001-05-24,283,150,,,
2001-05-25,300,161,,,
2001-05-26,244,161,,,
2001-05-27,222,156,,,
2001-05-28,244,156,,,
2001-05-29,306,139,,,
2001-05-30,322,144,,,
2001-05-31,333,156,,,
2001-06-01,272,167,,,
2001-06-02,244,161,,,
2001-06-03,256,144,,,
2001-06-04,261,144,,,
2001-06-05,272,128,,,
2001-06-06,306,144,,,
2001-06-07,311,150,,,
2001-06-08,322,150,,,
2001-06-09,328,156,,,
2001-06-10,311,150,,,
2001-06-11,294,139,,,
2001-06-12,256,156,,,
2001-06-13,267,161,,,
2001-06-14,361,139,,,
2001-06-15,361,156,,,
2001-06-16,350,150,,,
2001-06-17,356,150,,,
2001-06-18,344,161,,,
2001-06-19,367,178,,,
2001-06-20,328,167,,,
2001-06-21,356,178,,,
2001-06-22,361,194,,,
2001-06-23,356,189,,,
2001-06-24,339,156,,,
2001-06-25,333,156,,,
2001-06-26,317,156,,,
2001-06-27,328,156,,,
2001-06-28,339,150,,,
2001-06-29,328,172,,,
2001-06-30,344,161,,,
2001-07-01,350,183,,,
2001-07-02,378,189,,,
2001-07-03,356,206,,,
2001-07-04,378,222,,,
2001-07-05,356,200,,,
2001-07-06,322,200,,,
2001-07-07,339,183,,,
2001-07-08,328,172,,,
2001-07-09,300,161,,,
2001-07-10,294,144,,,
2001-07-11,300,139,,,
2001-07-12,333,139,,,
2001-07-13,333,156,,,
2001-07-14,317,156,,,
2001-07-15,306,156,,,
2001-07-16,283,156,,,
2001-07-17,294,139,,,
2001-07-18,306,144,,,
2001-07-19,311,150,,,
2001-07-20,306,144,,,
2001-07-21,311,150,,,
2001-07-22,317,139,,,
2001-07-23,306,150,,,
2001-07-24,311,144,,,
2001-07-25,306,156,,,
2001-07-26,339,150,,,
2001-07-27,344,156,,,
2001-07-28,339,167,,,
2001-07-29,322,161,,,
2001-07-30,289,161,,,
2001-07-31,306,156,,,
2001-08-01,306,161,,,
2001-08-02,311,161,,,
2001-08-03,317,150,,,
2001-08-04,333,144,,,
2001-08-05,372,156,,,
2001-08-06,367,189,,,
2001-08-07,378,206,,,
2001-08-08,333,189,,,
2001-08-09,344,172,,,
2001-08-10,344,161,,,
2001-08-11,350,178,,,
2001-08-12,333,172,,,
2001-08-13,356,178,,,
2001-08-14,383,194,,,
2001-08-15,394,189,,,
2001-08-16,372,178,,,
2001-08-17,372,183,,,
2001-08-18,383,189,,,
2001-08-19,361,194,,,
2001-08-20,328,178,,,
2001-08-21,300,161,,,
2001-08-22,300,167,,,
2001-08-23,317,144,,,
2001-08-24,333,161,,,
2001-08-25,361,167,,,
2001-08-26,367,178,,,
2001-08-27,356,167,,,
2001-08-28,333,167,,,
2001-08-29,294,156,,,
2001-08-30,322,161,,,
2001-08-31,322,150,,,
2001-09-01,356,172,,,
2001-09-02,350,194,,,
2001-09-03,311,183,,,
2001-09-04,344,172,,,
2001-09-05,333,178,,,
2001-09-06,294,172,,,
2001-09-07,289,167,,,
2001-09-08,283,156,,,
2001-09-09,283,161,,,
2001-09-10,283,150,,,
2001-09-11,294,150,,,
2001-09-12,300,150,,,
2001-09-13,339,144,,,
2001-09-14,367,156,,,
2001-09-15,339,161,,,
2001-09-16,322,139,,,
2001-09-17,289,128,,,
2001-09-18,294,133,,,
2001-09-19,306,144,,,
2001-09-20,294,133,,,
2001-09-21,339,139,,,
2001-09-22,339,144,,,
2001-09-23,328,144,,,
2001-09-24,394,156,,,
2001-09-25,394,178,,,
2001-09-26,372,178,,,
2001-09-27,356,178,,,
2001-09-28,356,172,,,
2001-09-29,389,139,,,
2001-09-30,406,183,,,
2001-10-01,389,211,,,
2001-10-02,350,178,,,
2001-10-03,300,167,,,
2001-10-04,306,156,,,
2001-10-05,267,156,,,
2001-10-06,261,150,,,
2001-10-07,272,156,,,
2001-10-08,250,128,,,
2001-10-09,256,133,,,
2001-10-10,311,117,,,
2001-10-11,289,117,,,
2001-10-12,333,122,,,
2001-10-13,356,150,,,
2001-10-14,344,122,,,
2001-10-15,339,133,,,
2001-10-16,328,144,,,
2001-10-17,294,117,,,
2001-10-18,317,111,,,
2001-10-19,289,122,,,
2001-10-20,272,117,,,
2001-10-21,233,139,,,
2001-10-22,250,128,,,
2001-10-23,256,111,,,
2001-10-24,283,133,,,
2001-10-25,278,117,,,
2001-10-26,311,128,,,
2001-10-27,250,128,,,
2001-10-28,211,128,,,
2001-10-29,256,144,,,
2001-10-30,250,122,,,
2001-10-31,233,128,,,
2001-11-01,250,117,,,
2001-11-02,222,106,,,
2001-11-03,256,100,,,
2001-11-04,239,144,,,
2001-11-05,278,117,,,
2001-11-06,244,117,,,
2001-11-07,239,139,,,
2001-11-08,328,122,,,
2001-11-09,300,150,,,
2001-11-10,228,139,,,
2001-11-11,228,122,,,
2001-11-12,228,111,,,
2001-11-13,211,106,,,
2001-11-14,256,83,,,
2001-11-15,272,94,,,
2001-11-16,267,94,,,
2001-11-17,233,89,,,
2001-11-18,256,78,,,
2001-11-19,306,100,,,
2001-11-20,278,106,,,
2001-11-21,233,100,,,
2001-11-22,211,100,,,
2001-11-23,228,94,,,
2001-11-24,178,78,,,
2001-11-25,172,78,,,
2001-11-26,183,56,,,
2001-11-27,161,61,,,
2001-11-28,183,50,,,
2001-11-29,122,83,,,
2001-11-30,189,61,,,
2001-12-01,200,50,,,
2001-12-02,200,72,,,
2001-12-03,183,83,,,
2001-12-04,167,44,,,
2001-12-05,183,28,,,
2001-12-06,233,61,,,
2001-12-07,256,111,,,
2001-12-08,250,100,,,
2001-12-09,211,33,,,
2001-12-10,167,33,,,
2001-12-11,178,28,,,
2001-12-12,189,50,,,
2001-12-13,183,33,,,
2001-12-14,106,39,,,
2001-12-15,150,6,,,
2001-12-16,200,39,,,
2001-12-17,189,39,,,
2001-12-18,233,28,,,
2001-12-19,267,28,,,
2001-12-20,156,56,,,
2001-12-21,111,61,,,
2001-12-22,167,44,,,
2001-12-23,172,39,,,
2001-12-24,206,94,,,
2001-12-25,239,56,,,
2001-12-26,250,39,,,
2001-12-27,200,67,,,
2001-12-28,183,61,,,
2001-12-29,150,106,,,
2001-12-30,172,78,,,
2001-12-31,161,100,,,
2002-01-01,178,72,,,
2002-01-02,172,78,,,
2002-01-03,183,83,,,
