DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1985-05-23,144,78,,,
1985-05-24,122,67,,,
1985-05-25,122,61,,,
1985-05-26,117,94,,,
1985-05-27,100,50,,,
1985-05-28,100,33,,,
1985-05-29,117,33,,,
1985-05-30,167,44,,,
1985-05-31,94,33,,,
1985-06-01,89,50,,,
1985-06-03,156,117,,,
1985-06-04,167,111,,,
1985-06-05,183,100,,,
1985-06-06,139,94,,,
1985-06-07,144,117,,,
1985-06-10,178,150,,,
1985-06-11,233,172,,,
1985-06-12,228,172,,,
1985-06-13,217,139,,,
1985-06-14,194,111,,,
1985-06-15,194,100,,,
1985-06-16,333,144,,,
1985-06-17,300,250,,,
1985-06-18,311,200,,,
1985-06-19,233,200,,,
1985-06-20,244,189,,,
1985-06-21,283,222,,,
1985-06-22,200,128,,,
1985-06-23,178,117,,,
1985-06-24,156,106,,,
1985-06-25,222,128,,,
1985-06-26,228,150,,,
1985-06-27,211,139,,,
1985-06-28,200,156,,,
1985-06-29,139,61,,,
1985-06-30,233,133,,,
1985-07-01,239,144,,,
1985-07-02,256,150,,,
1985-07-03,272,156,,,
1985-07-05,233,161,,,
1985-07-06,261,150,,,
1985-07-07,250,150,,,
1985-07-08,278,167,,,
1985-07-09,289,183,,,
1985-07-10,211,133,,,
1985-07-11,211,117,,,
1985-07-12,211,128,,,
1985-07-13,222,172,,,
1985-07-15,222,161,,,
1985-07-16,200,150,,,
1985-07-17,272,172,,,
1985-07-18,283,200,,,
1985-07-19,289,200,,,
1985-07-20,250,206,,,
1985-07-21,211,183,,,
1985-07-22,272,167,,,
1985-07-23,222,183,,,
1985-07-24,350,206,,,
1985-07-25,306,228,,,
1985-07-26,344,233,,,
1985-07-27,328,206,,,
1985-07-28,3183,89,,,
1985-07-29,156,83,,,
1985-07-30,128,83,,,
1985-07-31,161,83,,,
1985-08-01,144,89,,,
1985-08-02,194,111,,,
1985-08-03,244,144,,,
1985-08-04,194,111,,,
1985-08-05,183,106,,,
1985-08-06,189,111,,,
1985-08-07,150,83,,,
1985-08-08,178,72,,,
1985-08-09,250,144,,,
1985-08-10,194,122,,,
1985-08-11,261,189,,,
1985-08-12,239,122,,,
1985-08-13,244,133,,,
1985-08-14,244,172,,,
1985-08-15,250,167,,,
1985-08-16,239,144,,,
1985-08-19,156,72,,,
1985-08-20,100,61,,,
1985-08-22,256,183,,,
1985-08-23,272,200,,,
1985-08-24,311,211,,,
1985-08-25,256,178,,,
1985-08-26,261,150,,,
1985-08-27,217,133,,,
1985-08-28,239,122,,,
1985-08-29,206,117,,,
1985-08-30,172,100,,,
1985-08-31,194,111,,,
1985-09-01,167,106,,,
1985-09-02,128,83,,,
1985-09-03,206,122,,,
1985-09-04,211,122,,,
1985-09-05,161,111,,,
1985-09-06,150,100,,,
1985-09-07,156,72,,,
1985-09-09,100,61,,,
1985-09-10,156,56,,,
1985-09-11,122,56,,,
1985-09-12,122,78,,,
1985-09-13,139,89,,,
1985-09-14,139,67,,,
1985-09-15,133,72,,,
1985-09-16,222,94,,,
1985-09-17,117,61,,,
1985-09-18,150,56,,,
1985-09-19,228,128,,,
1985-09-20,256,139,,,
1985-09-21,194,144,,,
1985-09-22,294,150,,,
1985-09-23,272,194,,,
1985-09-24,278,211,,,
1985-09-25,289,217,,,
1985-09-26,283,133,,,
1985-09-27,206,100,,,
1985-09-28,211,117,,,
1985-09-29,194,117,,,
1985-09-30,206,100,,,
1985-10-01,233,161,,,
1985-10-02,217,178,,,
1985-10-03,306,194,,,
1985-10-04,311,233,,,
1985-10-06,139,56,,,
1985-10-07,106,44,,,
1985-10-08,83,44,,,
1985-10-09,167,33,,,
1985-10-10,200,111,,,
1985-10-11,122,39,,,
1985-10-12,83,39,,,
1985-10-13,133,56,,,
