DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1990-05-02,139,83,,,
1990-05-03,167,83,,,
1990-05-04,278,28,,,
1990-05-05,283,-6,,,
1990-05-06,189,-17,,,
1990-05-07,244,33,,,
1990-05-08,139,61,,,
1990-05-09,150,106,,,
1990-05-10,178,44,,,
1990-05-11,161,50,,,
1990-05-12,83,83,,,
1990-05-14,167,-11,,,
1990-05-15,156,33,,,
1990-05-16,183,56,,,
1990-05-17,167,56,,,
1990-05-18,161,78,,,
1990-05-19,172,56,,,
1990-05-20,139,100,,,
1990-05-21,200,106,,,
1990-05-22,194,117,,,
1990-05-23,206,44,,,
1990-05-24,206,33,,,
1990-05-25,217,44,,,
1990-05-26,189,83,,,
1990-05-27,133,-39,,,
1990-05-28,167,72,,,
1990-05-29,178,72,,,
1990-05-30,139,61,,,
1990-05-31,189,50,,,
1990-06-01,217,44,,,
1990-06-02,244,61,,,
1990-06-03,244,72,,,
1990-06-04,217,22,,,
1990-06-05,217,50,,,
1990-06-06,228,44,,,
1990-06-07,222,39,,,
1990-06-08,317,56,,,
1990-06-09,233,100,,,
1990-06-10,261,33,,,
1990-06-11,183,50,,,
1990-06-12,217,39,,,
1990-06-13,189,89,,,
1990-06-14,156,100,,,
1990-06-15,144,111,,,
1990-06-16,189,61,,,
1990-06-17,189,67,,,
1990-06-18,167,61,,,
1990-06-19,250,44,,,
1990-06-20,333,106,,,
1990-06-21,189,106,,,
1990-06-22,189,117,,,
1990-06-23,217,100,,,
1990-06-24,228,78,,,
1990-06-25,250,0,,,
1990-06-26,272,-6,,,
1990-06-27,272,22,,,
1990-06-28,261,83,,,
1990-06-29,217,89,,,
1990-07-03,217,22,,,
1990-07-04,228,83,,,
1990-07-05,256,61,,,
1990-07-06,256,133,,,
1990-07-07,228,128,,,
1990-07-08,194,122,,,
1990-07-09,217,100,,,
1990-07-10,267,100,,,
1990-07-11,333,122,,,
1990-07-12,283,61,,,
1990-07-13,233,61,,,
1990-07-27,183,111,,,
1990-07-30,167,133,,,
1990-07-31,206,122,,,
1990-08-01,200,111,,,
1990-08-02,189,117,,,
1990-08-03,194,128,,,
1990-08-04,206,111,,,
1990-08-05,283,11,,,
1990-08-06,283,61,,,
1990-08-07,239,22,,,
1990-08-08,228,83,,,
1990-08-09,189,89,,,
1990-08-10,194,94,,,
1990-08-11,211,89,,,
1990-08-12,217,72,,,
1990-08-13,172,83,,,
1990-08-14,156,67,,,
1990-08-15,200,6,,,
1990-08-16,217,-6,,,
1990-08-17,239,-33,,,
1990-08-18,194,17,,,
1990-08-19,156,22,,,
1990-08-20,156,33,,,
1990-08-21,233,17,,,
1990-08-22,228,33,,,
1990-08-23,167,111,,,
1990-08-24,178,72,,,
1990-08-25,194,61,,,
1990-08-26,222,111,,,
1990-08-27,250,100,,,
1990-08-28,272,106,,,
1990-08-29,256,122,,,
1990-08-30,228,100,,,
1990-08-31,244,-6,,,
1990-09-01,178,28,,,
1990-09-02,228,-72,,,
1990-09-03,250,-22,,,
1990-09-04,211,-22,,,
1990-09-05,233,-56,,,
1990-09-06,256,56,,,
1990-09-07,300,67,,,
1990-09-08,272,67,,,
1990-09-09,289,50,,,
1990-09-10,233,72,,,
1990-09-11,239,72,,,
1990-09-12,272,61,,,
1990-09-13,272,56,,,
1990-09-14,267,83,,,
1990-09-15,272,72,,,
1990-09-16,283,83,,,
1990-09-17,200,128,,,
1990-09-18,189,122,,,
1990-09-19,228,89,,,
1990-09-20,300,83,,,
1990-09-21,217,83,,,
1990-09-22,250,111,,,
1990-09-23,228,111,,,
1990-09-24,222,106,,,
1990-09-25,228,128,,,
1990-09-26,244,100,,,
1990-09-27,211,100,,,
1990-09-28,228,128,,,
1990-09-29,250,117,,,
1990-09-30,294,111,,,
1990-10-01,217,111,,,
1990-10-02,228,100,,,
1990-10-03,311,83,,,
1990-10-04,206,94,,,
1990-10-05,211,117,,,
1990-10-06,228,83,,,
1990-10-07,256,-28,,,
1990-10-08,311,-56,,,
1990-10-09,322,89,,,
1990-10-10,289,72,,,
1990-10-11,294,-17,,,
1990-10-12,278,17,,,
1990-10-13,156,6,,,
1990-10-14,178,6,,,
1990-10-15,167,22,,,
1990-10-16,189,56,,,
1990-10-17,228,22,,,
1990-10-18,156,61,,,
1990-10-19,172,22,,,
1990-10-20,200,6,,,
1990-10-21,239,22,,,
1990-10-22,233,33,,,
1990-10-23,244,22,,,
1990-10-24,261,28,,,
1990-10-25,200,-500,,,
1990-10-26,-489,-500,,,
1990-10-27,-489,-500,,,
1990-10-28,-489,-500,,,
1990-10-29,-489,-500,,,
1990-10-30,228,-500,,,
1990-10-31,200,44,,,
1990-11-01,194,39,,,
1990-11-02,194,33,,,
1990-11-03,217,33,,,
1990-11-04,239,39,,,
1990-11-05,217,56,,,
1990-11-06,217,50,,,
1990-11-07,206,33,,,
1990-11-08,261,56,,,
1990-11-09,283,61,,,
1990-11-10,317,44,,,
1990-11-11,289,94,,,
1990-11-12,289,83,,,
1990-11-13,250,61,,,
1990-11-14,172,83,,,
1990-11-15,244,61,,,
1990-11-16,189,83,,,
1990-11-17,222,72,,,
1990-11-18,194,72,,,
1990-11-19,161,50,,,
1990-11-20,156,28,,,
1990-11-21,194,56,,,
1990-11-22,222,56,,,
1990-11-23,272,50,,,
1990-11-24,233,39,,,
1990-11-25,150,33,,,
1990-11-26,156,17,,,
1990-11-27,161,17,,,
1990-11-28,200,17,,,
1990-11-29,211,44,,,
1990-11-30,194,33,,,
1990-12-01,189,22,,,
1990-12-02,194,17,,,
1990-12-03,206,17,,,
1990-12-04,200,33,,,
1990-12-05,222,33,,,
1990-12-06,239,33,,,
1990-12-07,244,50,,,
1990-12-08,261,39,,,
1990-12-09,244,50,,,
1990-12-10,189,56,,,
1990-12-11,139,50,,,
1990-12-12,144,39,,,
1990-12-13,144,17,,,
1990-12-14,156,11,,,
1990-12-15,100,28,,,
1990-12-16,133,17,,,
1990-12-17,144,11,,,
1990-12-18,122,11,,,
1990-12-19,78,-17,,,
1990-12-20,78,-28,,,
1990-12-21,61,-61,,,
1990-12-22,44,-67,,,
1990-12-23,106,-72,,,
1990-12-24,133,-67,,,
1990-12-25,156,-39,,,
1990-12-26,167,-28,,,
1990-12-27,178,-17,,,
1990-12-28,122,-6,,,
1990-12-29,128,-22,,,
1990-12-30,144,-44,,,
1990-12-31,183,-28,,,
1991-01-01,211,-6,,,
1991-01-02,189,22,,,
1991-01-03,100,61,,,
1991-01-04,167,17,,,
1991-01-05,172,0,,,
1991-01-06,144,11,,,
1991-01-07,122,83,,,
1991-01-08,172,72,,,
1991-01-09,144,56,,,
1991-01-10,167,44,,,
1991-01-11,139,56,,,
