DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1985-01-12,72,13,,,
1985-01-13,127,-10,,,
1985-01-14,68,37,,,
1985-01-15,108,21,,,
1985-01-16,45,45,,,
1985-01-17,182,158,,,
1985-01-18,178,57,,,
1985-01-19,84,33,,,
1985-01-20,131,96,,,
1985-01-21,123,84,,,
1985-01-22,154,76,,,
1985-01-23,158,45,,,
1985-01-24,174,25,,,
1985-01-25,178,25,,,
1985-01-26,151,49,,,
1985-01-28,92,37,,,
1985-01-29,123,9,,,
1985-01-30,135,25,,,
1985-01-31,127,-2,,,
1985-02-01,116,-6,,,
1985-02-02,123,17,,,
1985-02-03,116,-22,,,
1985-02-04,131,-14,,,
1985-02-05,127,-10,,,
1985-02-06,127,-2,,,
1985-02-07,131,6,,,
1985-02-08,108,72,,,
1985-02-09,143,25,,,
1985-02-10,182,2,,,
1985-02-11,198,13,,,
1985-02-12,237,33,,,
1985-02-13,284,64,,,
1985-02-14,272,76,,,
1985-02-15,268,72,,,
1985-02-16,249,64,,,
1985-02-17,178,53,,,
1985-02-18,167,80,,,
1985-02-19,171,49,,,
1985-02-20,158,96,,,
1985-02-21,182,33,,,
1985-02-22,194,45,,,
1985-02-24,162,61,,,
1985-02-25,213,41,,,
1985-02-26,217,53,,,
1985-02-27,182,53,,,
1985-02-28,194,33,,,
1985-03-17,72,45,,,
1985-03-18,139,33,,,
1985-03-19,174,33,,,
1985-03-20,221,72,,,
1985-03-21,229,80,,,
1985-03-22,221,57,,,
1985-03-23,253,57,,,
1985-03-24,217,53,,,
1985-03-25,151,37,,,
1985-03-26,143,17,,,
1985-03-27,135,76,,,
1985-03-28,135,68,,,
1985-03-29,158,92,,,
1985-03-31,253,100,,,
1985-04-01,316,92,,,
1985-04-02,304,88,,,
1985-04-03,261,88,,,
1985-04-04,202,88,,,
1985-04-05,174,104,,,
1985-04-06,131,112,,,
1985-04-07,225,92,,,
1985-04-08,237,72,,,
1985-04-09,241,61,,,
1985-04-10,209,80,,,
1985-04-11,237,72,,,
1985-04-12,264,72,,,
1985-04-13,339,96,,,
1985-04-14,288,100,,,
1985-04-15,209,100,,,
1985-04-16,158,104,,,
1985-04-17,154,64,,,
1985-04-18,194,61,,,
1985-04-22,186,76,,,
1985-04-23,268,61,,,
1985-04-24,288,174,,,
1985-04-25,190,151,,,
1985-04-26,194,88,,,
1985-04-27,261,68,,,
1985-04-28,194,49,,,
1985-04-29,221,53,,,
1985-04-30,264,72,,,
1985-05-01,272,72,,,
1985-05-02,241,84,,,
1985-05-03,233,84,,,
1985-05-04,108,80,,,
1985-05-06,174,119,,,
1985-05-07,151,61,,,
1985-05-08,171,72,,,
1985-05-09,182,84,,,
1985-05-10,171,61,,,
1985-05-11,158,61,,,
