DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1999-12-02,144,117,,,
1999-12-03,183,106,,,
1999-12-04,178,106,,,
1999-12-05,200,100,,,
1999-12-06,183,106,,,
1999-12-07,189,106,,,
1999-12-08,167,89,,,
1999-12-09,172,72,,,
1999-12-10,133,78,,,
1999-12-11,161,83,,,
1999-12-12,211,100,,,
1999-12-13,167,83,,,
1999-12-14,167,78,,,
1999-12-15,194,106,,,
1999-12-16,228,150,,,
1999-12-17,239,167,,,
1999-12-18,250,133,,,
1999-12-19,239,139,,,
1999-12-20,250,172,,,
1999-12-21,239,128,,,
1999-12-22,194,128,,,
1999-12-23,217,139,,,
1999-12-24,217,139,,,
1999-12-25,228,150,,,
1999-12-26,228,139,,,
1999-12-27,206,156,,,
1999-12-28,244,156,,,
1999-12-29,217,111,,,
1999-12-30,139,72,,,
1999-12-31,128,72,,,
2000-01-01,144,89,,,
2000-01-02,139,89,,,
2000-01-03,183,72,,,
2000-01-04,200,111,,,
2000-01-05,189,117,,,
2000-01-06,183,100,,,
2000-01-07,144,100,,,
2000-01-08,189,94,,,
2000-01-09,172,117,,,
2000-01-10,206,128,,,
2000-01-11,211,106,,,
2000-01-12,172,94,,,
2000-01-13,233,83,,,
2000-01-14,228,144,,,
2000-01-15,228,139,,,
2000-01-16,161,128,,,
2000-01-17,139,111,,,
2000-01-18,200,139,,,
2000-01-19,217,144,,,
2000-01-20,183,100,,,
2000-01-21,150,94,,,
2000-01-22,150,100,,,
2000-01-23,156,111,,,
2000-01-24,178,128,,,
2000-01-25,139,106,,,
2000-01-26,156,100,,,
2000-01-27,156,100,,,
2000-01-28,161,83,,,
2000-01-29,156,78,,,
2000-01-30,133,100,,,
2000-01-31,172,106,,,
2000-02-01,206,117,,,
2000-02-02,233,150,,,
2000-02-03,183,122,,,
2000-02-04,150,100,,,
2000-02-05,161,89,,,
2000-02-06,139,94,,,
2000-02-07,189,78,,,
2000-02-08,189,111,,,
2000-02-09,139,100,,,
2000-02-10,122,100,,,
2000-02-11,139,83,,,
2000-02-12,139,100,,,
2000-02-13,128,106,,,
2000-02-14,144,100,,,
2000-02-15,161,94,,,
2000-02-16,111,89,,,
2000-02-17,156,83,,,
2000-02-18,167,94,,,
