DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-04-26,239,17,,,
2001-04-27,211,11,,,
2001-04-28,133,-11,,,
2001-04-29,228,-39,,,
2001-04-30,239,33,,,
2001-05-01,222,-17,,,
2001-05-02,111,-28,,,
2001-05-03,156,-28,,,
2001-05-04,222,-39,,,
2001-05-05,228,17,,,
2001-05-06,261,-6,,,
2001-05-07,278,0,,,
2001-05-08,300,33,,,
2001-05-09,278,61,,,
2001-05-10,278,6,,,
2001-05-11,311,22,,,
2001-05-12,228,39,,,
2001-05-13,233,61,,,
2001-05-14,183,44,,,
2001-05-15,189,83,,,
2001-05-16,250,44,,,
2001-05-17,272,6,,,
2001-05-18,250,28,,,
2001-05-19,283,22,,,
2001-05-20,278,33,,,
2001-05-21,272,22,,,
2001-05-22,306,11,,,
2001-05-23,328,78,,,
2001-05-24,317,33,,,
2001-05-25,306,39,,,
2001-05-26,272,67,,,
2001-05-27,250,61,,,
2001-05-28,256,6,,,
2001-05-29,294,39,,,
2001-05-30,306,17,,,
2001-05-31,344,33,,,
2001-06-01,278,100,,,
2001-06-02,222,72,,,
2001-06-03,217,0,,,
2001-06-04,239,-44,,,
2001-06-05,211,44,,,
2001-06-06,289,6,,,
2001-06-07,306,17,,,
2001-06-08,272,50,,,
2001-06-09,278,22,,,
2001-06-10,272,33,,,
2001-06-11,244,22,,,
2001-06-12,206,56,,,
2001-06-13,200,-33,,,
2001-06-14,278,-11,,,
2001-06-15,300,39,,,
2001-06-16,328,56,,,
2001-06-17,294,67,,,
2001-06-18,311,17,,,
2001-06-19,322,22,,,
2001-06-20,339,50,,,
2001-06-21,356,78,,,
2001-06-22,333,78,,,
2001-06-23,267,72,,,
2001-06-24,244,67,,,
2001-06-25,244,89,,,
2001-06-26,244,78,,,
2001-06-27,211,78,,,
2001-06-28,289,61,,,
2001-06-29,322,44,,,
2001-06-30,317,61,,,
2001-07-01,344,61,,,
2001-07-02,378,100,,,
2001-07-03,367,106,,,
2001-07-04,344,139,,,
2001-07-05,333,122,,,
2001-07-06,317,83,,,
2001-07-07,267,122,,,
2001-07-08,306,83,,,
2001-07-09,317,89,,,
2001-07-10,289,67,,,
2001-07-11,278,56,,,
2001-07-12,317,28,,,
2001-07-13,317,78,,,
2001-07-14,300,56,,,
2001-07-15,289,28,,,
2001-07-16,239,56,,,
2001-07-17,256,22,,,
2001-07-18,289,22,,,
2001-07-19,272,39,,,
2001-07-20,267,39,,,
2001-07-21,272,22,,,
2001-07-22,300,11,,,
2001-07-23,317,61,,,
2001-07-24,344,61,,,
2001-07-25,356,89,,,
2001-07-26,350,106,,,
2001-07-27,333,78,,,
2001-07-28,322,94,,,
2001-07-29,311,78,,,
2001-07-30,244,67,,,
2001-07-31,311,22,,,
2001-08-01,322,50,,,
2001-08-02,328,78,,,
2001-08-03,294,122,,,
2001-08-04,272,94,,,
2001-08-05,333,56,,,
2001-08-06,367,56,,,
2001-08-07,361,106,,,
2001-08-08,361,139,,,
2001-08-09,361,117,,,
2001-08-10,344,89,,,
2001-08-11,350,56,,,
2001-08-12,328,94,,,
2001-08-13,344,78,,,
2001-08-14,350,61,,,
2001-08-15,361,44,,,
2001-08-16,361,67,,,
2001-08-17,339,106,,,
2001-08-18,344,72,,,
2001-08-19,339,50,,,
2001-08-20,283,78,,,
2001-08-21,289,39,,,
2001-08-22,267,44,,,
2001-08-23,272,50,,,
2001-08-24,322,11,,,
2001-08-25,350,50,,,
2001-08-26,350,111,,,
2001-08-27,350,72,,,
2001-08-28,367,78,,,
2001-08-29,333,111,,,
2001-08-30,333,144,,,
2001-08-31,328,72,,,
2001-09-01,328,78,,,
2001-09-02,306,94,,,
2001-09-03,322,78,,,
2001-09-04,311,72,,,
2001-09-05,278,39,,,
2001-09-06,239,-22,,,
2001-09-07,311,0,,,
2001-09-08,272,11,,,
2001-09-09,300,11,,,
2001-09-10,300,39,,,
2001-09-11,244,56,,,
2001-09-12,250,33,,,
2001-09-13,267,17,,,
2001-09-14,272,17,,,
2001-09-15,283,50,,,
2001-09-16,272,44,,,
2001-09-17,267,28,,,
2001-09-18,306,33,,,
2001-09-19,294,39,,,
2001-09-20,306,50,,,
2001-09-21,306,44,,,
2001-09-22,317,39,,,
2001-09-23,278,56,,,
2001-09-24,289,67,,,
2001-09-25,206,56,,,
2001-09-26,211,6,,,
2001-09-27,250,50,,,
2001-09-28,233,22,,,
2001-09-29,250,0,,,
2001-09-30,289,17,,,
2001-10-01,311,50,,,
2001-10-02,306,56,,,
2001-10-03,317,44,,,
2001-10-04,283,61,,,
2001-10-05,256,44,,,
2001-10-06,261,28,,,
2001-10-07,256,22,,,
2001-10-08,200,6,,,
2001-10-09,172,-50,,,
2001-10-10,222,-50,,,
2001-10-11,172,-11,,,
2001-10-12,206,-28,,,
2001-10-13,250,-28,,,
2001-10-14,256,-11,,,
2001-10-15,250,0,,,
2001-10-16,239,61,,,
2001-10-17,228,11,,,
2001-10-18,222,-22,,,
2001-10-19,233,-22,,,
2001-10-20,250,11,,,
2001-10-21,217,6,,,
2001-10-22,206,6,,,
2001-10-23,189,-44,,,
2001-10-24,194,-56,,,
2001-10-25,206,-39,,,
2001-10-26,239,-11,,,
2001-10-27,194,50,,,
2001-10-28,200,17,,,
2001-10-29,200,0,,,
2001-10-30,106,11,,,
2001-10-31,144,0,,,
2001-11-01,178,-17,,,
2001-11-02,167,-28,,,
2001-11-03,178,-39,,,
2001-11-04,206,-22,,,
2001-11-05,211,0,,,
2001-11-06,167,-17,,,
2001-11-07,128,-56,,,
2001-11-08,144,-61,,,
2001-11-09,144,-67,,,
2001-11-10,144,-39,,,
2001-11-11,94,17,,,
2001-11-12,133,11,,,
2001-11-13,56,11,,,
2001-11-14,139,-17,,,
2001-11-15,150,-17,,,
2001-11-16,144,17,,,
2001-11-17,117,-17,,,
2001-11-18,111,-50,,,
2001-11-19,128,-44,,,
2001-11-20,128,6,,,
2001-11-21,61,28,,,
2001-11-22,44,-22,,,
2001-11-23,56,-33,,,
2001-11-24,33,-11,,,
2001-11-25,39,-89,,,
2001-11-26,39,-94,,,
2001-11-27,28,-94,,,
2001-11-28,28,-28,,,
2001-11-29,33,-61,,,
2001-11-30,50,-22,,,
2001-12-01,22,-22,,,
2001-12-06,89,-44,,,
2001-12-07,83,-72,,,
2001-12-08,106,-83,,,
2001-12-09,33,-33,,,
2001-12-10,6,-28,,,
2001-12-11,39,-39,,,
2001-12-12,50,-78,,,
2001-12-13,89,-17,,,
2001-12-14,-6,-28,,,
2001-12-15,6,-94,,,
2001-12-16,67,22,,,
2001-12-17,56,-44,,,
2001-12-18,78,-39,,,
2001-12-19,106,-22,,,
2001-12-20,44,-61,,,
2001-12-21,61,-78,,,
2001-12-22,22,-39,,,
2001-12-23,22,-28,,,
2001-12-24,22,-128,,,
2001-12-25,11,-39,,,
2001-12-26,78,11,,,
2001-12-27,106,6,,,
2001-12-28,28,28,,,
2001-12-29,72,0,,,
2001-12-30,67,0,,,
2001-12-31,94,0,,,
2002-01-01,67,0,,,
2002-01-02,67,0,,,
2002-01-03,56,-78,,,
2002-01-04,39,-100,,,
2002-01-05,56,-11,,,
2002-01-06,94,22,,,
2002-01-07,150,6,,,
2002-01-08,122,-6,,,
2002-01-09,33,0,,,
2002-01-10,78,-50,,,
2002-01-11,106,-78,,,
2002-01-12,133,-61,,,
2002-01-13,89,-106,,,
2002-01-14,94,-83,,,
2002-01-15,17,-128,,,
2002-01-16,11,-106,,,
2002-01-17,22,-133,,,
2002-01-18,56,-144,,,
2002-01-19,17,-139,,,
2002-01-20,89,-144,,,
2002-01-21,39,-50,,,
2002-01-22,6,-161,,,
2002-01-23,17,-178,,,
2002-01-24,100,-139,,,
2002-01-25,111,-28,,,
2002-01-26,22,-50,,,
2002-01-27,0,-67,,,
2002-01-29,-17,-200,,,
2002-01-30,0,-172,,,
2002-01-31,50,-189,,,
2002-02-01,56,-117,,,
2002-02-02,61,-144,,,
2002-02-03,111,-117,,,
2002-02-04,117,-144,,,
2002-02-05,144,-111,,,
2002-02-06,139,-72,,,
2002-02-07,106,0,,,
2002-02-08,78,-94,,,
2002-02-09,67,-111,,,
2002-02-10,128,-83,,,
2002-02-11,156,-28,,,
2002-02-12,111,-50,,,
2002-02-13,94,-39,,,
2002-02-14,128,-56,,,
2002-02-15,89,-61,,,
2002-02-16,111,-44,,,
2002-02-17,67,-56,,,
2002-02-18,100,-22,,,
2002-02-19,67,0,,,
2002-02-20,144,-22,,,
2002-02-21,189,-33,,,
2002-02-22,194,0,,,
2002-02-23,94,-33,,,
2002-02-24,161,-50,,,
2002-02-25,144,-83,,,
2002-02-26,172,-83,,,
2002-02-27,150,-61,,,
2002-02-28,144,-72,,,
2002-03-01,67,-111,,,
2002-03-02,94,-117,,,
2002-03-03,144,-117,,,
2002-03-04,150,-78,,,
2002-03-05,128,-17,,,
2002-03-06,50,-6,,,
2002-03-07,50,-72,,,
2002-03-08,56,-178,,,
2002-03-09,111,-100,,,
2002-03-10,67,-6,,,
2002-03-11,150,-17,,,
2002-03-12,106,0,,,
2002-03-13,61,-78,,,
2002-03-14,50,-128,,,
2002-03-15,33,-150,,,
2002-03-16,39,-122,,,
2002-03-17,61,-106,,,
