DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-10-05,144,128,,,
2001-10-06,172,128,,,
2001-10-07,189,122,,,
2001-10-08,172,117,,,
2001-10-09,200,100,,,
2001-10-10,261,67,,,
2001-10-11,200,106,,,
2001-10-12,278,89,,,
2001-10-13,289,128,,,
2001-10-14,311,106,,,
2001-10-15,239,106,,,
2001-10-16,161,106,,,
2001-10-17,194,89,,,
2001-10-18,189,78,,,
2001-10-19,272,67,,,
2001-10-20,172,61,,,
2001-10-21,144,106,,,
2001-10-22,161,94,,,
2001-10-23,161,89,,,
2001-10-24,261,67,,,
2001-10-25,272,89,,,
2001-10-26,161,83,,,
2001-10-27,189,89,,,
2001-10-28,189,89,,,
2001-10-29,194,111,,,
2001-10-30,200,111,,,
2001-10-31,206,78,,,
2001-11-01,206,61,,,
2001-11-02,189,56,,,
2001-11-03,217,78,,,
2001-11-04,217,72,,,
2001-11-05,211,89,,,
2001-11-06,133,72,,,
2001-11-07,206,39,,,
2001-11-08,261,78,,,
2001-11-09,244,89,,,
2001-11-10,172,67,,,
2001-11-11,228,106,,,
2001-11-12,172,100,,,
2001-11-13,189,78,,,
2001-11-14,189,83,,,
2001-11-15,206,-67,,,
2001-11-16,194,78,,,
2001-11-17,172,61,,,
2001-11-18,228,33,,,
2001-11-19,178,78,,,
2001-11-20,233,100,,,
2001-11-21,189,117,,,
2001-11-22,172,94,,,
2001-11-23,161,89,,,
2001-11-24,161,72,,,
2001-11-25,144,50,,,
2001-11-26,150,33,,,
2001-11-27,150,17,,,
2001-11-28,128,39,,,
2001-11-29,133,83,,,
2001-11-30,150,56,,,
2001-12-01,139,72,,,
2001-12-02,144,83,,,
2001-12-03,139,61,,,
2001-12-04,133,28,,,
2001-12-05,156,56,,,
2001-12-06,178,89,,,
2001-12-07,189,72,,,
2001-12-08,189,61,,,
2001-12-09,122,33,,,
2001-12-10,128,6,,,
2001-12-11,133,44,,,
2001-12-12,167,50,,,
2001-12-13,161,33,,,
2001-12-14,106,72,,,
2001-12-15,133,33,,,
2001-12-16,156,28,,,
2001-12-17,144,61,,,
2001-12-18,122,39,,,
2001-12-19,139,28,,,
2001-12-20,117,72,,,
2001-12-21,139,44,,,
2001-12-22,139,44,,,
2001-12-23,161,56,,,
2001-12-24,161,39,,,
2001-12-25,183,50,,,
2001-12-26,178,67,,,
2001-12-27,183,78,,,
2001-12-28,144,83,,,
2001-12-29,139,83,,,
2001-12-30,133,89,,,
2001-12-31,172,89,,,
2002-01-01,150,89,,,
2002-01-02,139,111,,,
2002-01-03,150,39,,,
2002-01-04,178,22,,,
2002-01-05,172,39,,,
2002-01-06,172,56,,,
2002-01-07,139,50,,,
2002-01-08,183,56,,,
2002-01-09,128,78,,,
2002-01-10,167,50,,,
2002-01-11,222,39,,,
2002-01-12,183,39,,,
2002-01-13,172,11,,,
2002-01-14,106,11,,,
2002-01-15,111,0,,,
2002-01-16,94,-17,,,
2002-01-17,128,-11,,,
2002-01-18,144,11,,,
2002-01-19,106,11,,,
2002-01-20,111,0,,,
2002-01-21,144,6,,,
2002-01-22,94,11,,,
2002-01-23,133,0,,,
2002-01-24,133,6,,,
2002-01-25,144,-56,,,
2002-01-26,122,56,,,
