DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2000-12-22,94,17,,,
2000-12-23,72,17,,,
2001-01-02,189,89,,,
2001-01-03,200,94,,,
2001-01-04,200,94,,,
2001-01-05,211,94,,,
2001-01-06,167,67,,,
2001-01-07,133,61,,,
2001-01-08,78,0,,,
2001-01-09,56,6,,,
2001-01-10,50,6,,,
2001-01-11,22,-6,,,
2001-01-12,117,-17,,,
2001-01-13,44,0,,,
2001-01-14,89,-17,,,
2001-01-15,44,-22,,,
2001-01-16,50,-39,,,
2001-01-17,111,-17,,,
2001-01-18,100,-22,,,
2001-01-19,167,39,,,
2001-01-20,133,39,,,
2001-01-21,128,56,,,
2001-01-22,150,28,,,
2001-01-23,94,0,,,
2001-01-24,17,-11,,,
2001-01-25,6,-17,,,
2001-01-26,61,-17,,,
2001-01-27,100,-11,,,
2001-01-28,106,-11,,,
2001-01-29,39,-33,,,
2001-01-30,106,-33,,,
2001-01-31,133,0,,,
2001-02-01,128,17,,,
2001-02-02,133,50,,,
2001-02-03,183,72,,,
2001-02-04,228,94,,,
2001-02-05,189,56,,,
2001-02-06,67,-28,,,
2001-02-07,56,-50,,,
2001-02-08,106,-28,,,
2001-02-09,6,-17,,,
2001-02-10,6,-17,,,
2001-02-11,0,-33,,,
2001-02-12,72,-61,,,
2001-02-13,94,-6,,,
2001-02-14,94,-28,,,
2001-02-15,78,-17,,,
2001-02-16,117,0,,,
2001-02-17,89,39,,,
2001-02-18,67,17,,,
2001-02-19,39,0,,,
2001-02-20,33,0,,,
2001-02-21,50,6,,,
2001-02-22,28,-17,,,
2001-02-23,61,-28,,,
2001-02-24,11,-6,,,
2001-02-25,94,0,,,
2001-02-26,111,33,,,
2001-02-27,139,11,,,
2001-02-28,94,-17,,,
2001-03-01,106,0,,,
2001-03-02,39,-17,,,
2001-03-03,94,-28,,,
2001-03-04,67,6,,,
2001-03-05,61,11,,,
2001-03-06,200,50,,,
2001-03-07,178,61,,,
2001-03-08,128,33,,,
2001-03-09,83,0,,,
2001-03-10,139,0,,,
2001-03-11,156,28,,,
2001-03-12,156,39,,,
2001-03-13,183,72,,,
2001-03-14,156,56,,,
2001-03-15,128,28,,,
2001-03-16,122,17,,,
2001-03-17,156,56,,,
2001-03-18,189,72,,,
2001-03-19,222,100,,,
2001-03-20,217,100,,,
2001-03-21,211,100,,,
2001-03-22,189,89,,,
2001-03-23,189,78,,,
2001-03-24,167,78,,,
2001-03-25,122,50,,,
2001-03-26,156,33,,,
2001-03-27,178,61,,,
2001-03-28,200,94,,,
2001-03-29,200,72,,,
2001-03-30,206,100,,,
2001-03-31,211,100,,,
2001-04-01,178,39,,,
2001-04-02,61,-11,,,
2001-04-03,83,-28,,,
2001-04-04,83,0,,,
2001-04-05,111,11,,,
2001-04-06,39,-6,,,
2001-04-07,28,-22,,,
2001-04-08,67,-33,,,
2001-04-09,100,-33,,,
2001-04-10,122,0,,,
2001-04-11,44,-6,,,
2001-04-12,128,0,,,
2001-04-13,100,6,,,
2001-04-14,139,0,,,
2001-04-15,178,22,,,
2001-04-16,183,39,,,
2001-04-17,161,22,,,
2001-04-18,161,33,,,
2001-04-19,44,6,,,
2001-04-20,22,0,,,
2001-04-21,161,-17,,,
2001-04-22,144,28,,,
2001-04-23,178,61,,,
2001-04-24,222,111,,,
2001-04-25,244,117,,,
2001-04-26,244,117,,,
2001-04-27,217,78,,,
2001-04-28,128,39,,,
2001-04-29,183,50,,,
2001-04-30,217,106,,,
2001-05-01,200,83,,,
2001-05-02,156,50,,,
2001-05-03,206,44,,,
2001-05-04,211,100,,,
2001-05-05,211,111,,,
2001-05-06,250,128,,,
2001-05-07,283,161,,,
2001-05-08,283,161,,,
2001-05-09,272,156,,,
2001-05-10,289,156,,,
2001-05-11,278,167,,,
2001-05-12,244,122,,,
2001-05-13,228,106,,,
2001-05-14,217,100,,,
2001-05-15,172,94,,,
2001-05-16,217,106,,,
2001-05-17,239,111,,,
2001-05-18,244,128,,,
2001-05-19,272,167,,,
2001-05-20,289,189,,,
2001-05-21,317,183,,,
2001-05-22,289,189,,,
2001-05-23,289,178,,,
2001-05-24,289,167,,,
2001-05-25,267,156,,,
