DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2003-04-21,-356,-356,,,
2003-04-28,78,22,,,
2003-04-29,83,39,,,
2003-04-30,156,33,,,
2003-05-01,200,67,,,
2003-05-02,100,72,,,
2003-05-03,100,72,,,
2003-05-04,133,50,,,
2003-05-05,189,44,,,
2003-05-06,150,44,,,
2003-05-07,144,50,,,
2003-05-08,106,11,,,
2003-05-09,128,11,,,
2003-05-10,178,50,,,
2003-05-11,200,61,,,
2003-05-12,244,72,,,
2003-05-13,283,117,,,
2003-05-14,272,117,,,
2003-05-15,206,94,,,
2003-05-16,256,83,,,
2003-05-17,250,83,,,
2003-05-18,233,83,,,
2003-05-19,272,122,,,
2003-05-20,300,128,,,
2003-05-21,317,150,,,
2003-05-22,344,167,,,
2003-05-23,339,183,,,
2003-05-24,272,161,,,
2003-05-25,250,128,,,
2003-05-26,261,106,,,
2003-05-27,322,178,,,
2003-05-28,367,172,,,
2003-05-29,294,122,,,
2003-05-30,250,89,,,
2003-05-31,306,139,,,
2003-06-01,339,183,,,
2003-06-02,228,189,,,
2003-06-03,233,228,,,
2003-06-05,322,200,,,
2003-06-06,194,-356,,,
2003-06-07,-356,-356,,,
2003-06-10,-356,-356,,,
2003-06-11,278,-356,,,
2003-06-12,261,117,,,
2003-06-13,278,128,,,
2003-06-14,300,122,,,
2003-06-15,328,150,,,
2003-06-16,367,167,,,
2003-06-17,361,194,,,
2003-06-18,289,172,,,
2003-06-19,294,150,,,
2003-06-20,283,139,,,
2003-06-21,272,122,,,
2003-06-22,283,122,,,
2003-06-23,250,122,,,
2003-06-24,294,128,,,
2003-06-25,344,172,,,
2003-06-26,394,206,,,
2003-06-27,400,206,,,
2003-06-28,378,206,,,
2003-06-29,333,178,,,
2003-06-30,333,150,,,
2003-07-01,311,139,,,
2003-07-02,322,133,,,
2003-07-03,328,144,,,
2003-07-04,356,167,,,
2003-07-05,350,183,,,
2003-07-06,339,178,,,
2003-07-07,322,167,,,
2003-07-08,350,144,,,
2003-07-09,367,189,,,
2003-07-10,378,183,,,
2003-07-11,361,194,,,
2003-07-12,356,189,,,
2003-07-13,344,178,,,
2003-07-14,372,189,,,
2003-07-15,367,194,,,
2003-07-16,372,189,,,
2003-07-17,400,200,,,
2003-07-18,406,222,,,
2003-07-19,367,239,,,
2003-07-20,400,228,,,
2003-07-21,400,228,,,
2003-07-22,394,233,,,
2003-07-23,383,250,,,
2003-07-24,372,222,,,
2003-07-25,361,211,,,
2003-07-26,378,200,,,
2003-07-27,417,217,,,
2003-07-28,411,244,,,
2003-07-29,411,250,,,
2003-07-30,378,228,,,
2003-07-31,339,206,,,
2003-08-01,328,189,,,
2003-08-02,250,172,,,
2003-08-03,311,156,,,
2003-08-04,333,172,,,
2003-08-05,283,139,,,
2003-08-06,283,139,,,
2003-08-07,300,128,,,
2003-08-08,322,133,,,
2003-08-09,328,144,,,
2003-08-10,333,156,,,
2003-08-11,322,150,,,
2003-08-12,328,150,,,
2003-08-13,339,156,,,
2003-08-14,344,167,,,
2003-08-15,344,172,,,
2003-08-16,361,167,,,
2003-08-17,372,183,,,
2003-08-18,367,200,,,
2003-08-19,361,200,,,
2003-08-20,367,194,,,
2003-08-21,267,167,,,
2003-08-22,217,150,,,
2003-08-23,306,144,,,
2003-08-24,350,167,,,
2003-08-25,378,178,,,
2003-08-26,350,194,,,
2003-08-27,344,178,,,
2003-08-28,339,167,,,
2003-08-29,339,167,,,
2003-08-30,356,194,,,
2003-08-31,356,189,,,
2003-09-01,372,211,,,
2003-09-02,389,211,,,
2003-09-03,328,233,,,
2003-09-04,350,222,,,
2003-09-05,344,189,,,
2003-09-06,311,161,,,
2003-09-07,261,133,,,
2003-09-08,261,128,,,
2003-09-09,200,122,,,
2003-09-10,300,128,,,
2003-09-11,356,194,,,
2003-09-12,356,211,,,
2003-09-13,311,200,,,
2003-09-14,367,189,,,
2003-09-15,317,172,,,
2003-09-16,278,144,,,
2003-09-17,239,128,,,
2003-09-18,328,167,,,
2003-09-19,333,156,,,
2003-09-20,367,194,,,
2003-09-21,372,206,,,
2003-09-22,389,217,,,
