DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1990-05-15,172,44,,,
1990-05-16,272,50,,,
1990-05-17,211,39,,,
1990-05-18,194,11,,,
1990-05-19,139,28,,,
1990-05-20,189,22,,,
1990-05-21,244,83,,,
1990-05-22,250,89,,,
1990-05-23,233,67,,,
1990-05-24,211,56,,,
1990-05-25,228,50,,,
1990-05-26,200,50,,,
1990-05-27,183,61,,,
1990-05-28,111,50,,,
1990-05-29,167,33,,,
1990-05-30,167,56,,,
1990-05-31,172,44,,,
1990-06-01,222,39,,,
1990-06-02,300,94,,,
1990-06-03,328,133,,,
1990-06-04,333,150,,,
1990-06-05,300,128,,,
1990-06-06,267,111,,,
1990-06-07,294,111,,,
1990-06-08,333,139,,,
1990-06-09,233,133,,,
1990-06-10,150,117,,,
1990-06-11,233,89,,,
1990-06-12,239,83,,,
1990-06-13,189,44,,,
1990-06-14,189,28,,,
1990-06-15,150,33,,,
1990-06-16,244,28,,,
1990-06-17,256,89,,,
1990-06-18,267,78,,,
1990-06-19,328,100,,,
1990-06-20,333,144,,,
1990-06-21,322,150,,,
1990-06-22,306,122,,,
1990-06-23,333,150,,,
1990-06-24,344,172,,,
1990-06-25,356,178,,,
1990-06-26,361,194,,,
1990-06-27,350,183,,,
1990-06-28,350,172,,,
1990-06-29,333,167,,,
1990-06-30,328,161,,,
1990-07-01,328,167,,,
1990-07-02,300,144,,,
1990-07-03,300,133,,,
1990-07-04,306,133,,,
1990-07-05,311,133,,,
1990-07-06,322,133,,,
1990-07-07,294,139,,,
1990-07-08,289,144,,,
1990-07-09,328,150,,,
1990-07-10,306,167,,,
1990-07-11,322,156,,,
1990-07-12,344,183,,,
1990-07-13,317,167,,,
1990-07-14,283,161,,,
1990-07-15,278,150,,,
1990-07-16,283,144,,,
1990-07-17,300,150,,,
1990-07-18,311,161,,,
1990-07-19,333,178,,,
1990-07-20,344,172,,,
1990-07-21,311,167,,,
1990-07-22,328,161,,,
1990-07-23,317,161,,,
1990-07-24,294,128,,,
1990-07-25,272,111,,,
1990-07-26,289,117,,,
1990-07-27,306,128,,,
1990-07-28,306,139,,,
1990-07-29,333,144,,,
1990-07-30,339,144,,,
1990-07-31,322,139,,,
1990-08-01,300,117,,,
1990-08-02,311,111,,,
1990-08-03,322,156,,,
1990-08-04,333,161,,,
1990-08-05,356,183,,,
1990-08-06,361,211,,,
1990-08-07,350,183,,,
1990-08-08,339,172,,,
1990-08-09,339,178,,,
1990-08-10,344,167,,,
1990-08-11,339,167,,,
1990-08-12,311,156,,,
1990-08-13,283,144,,,
1990-08-14,256,122,,,
1990-08-15,228,89,,,
1990-08-16,261,100,,,
1990-08-17,283,122,,,
1990-08-18,261,106,,,
1990-08-19,233,83,,,
1990-08-20,244,78,,,
1990-08-21,272,100,,,
1990-08-22,289,106,,,
1990-08-23,267,94,,,
1990-08-24,233,78,,,
1990-08-25,244,83,,,
1990-08-26,256,83,,,
1990-08-27,306,100,,,
1990-08-28,322,144,,,
1990-08-29,317,161,,,
1990-08-30,311,144,,,
1990-08-31,311,144,,,
1990-09-01,322,150,,,
1990-09-02,322,161,,,
1990-09-03,322,156,,,
1990-09-04,311,144,,,
1990-09-05,278,144,,,
1990-09-06,306,139,,,
1990-09-07,311,150,,,
1990-09-08,333,161,,,
1990-09-09,350,161,,,
1990-09-10,350,178,,,
1990-09-11,356,172,,,
1990-09-12,344,183,,,
1990-09-13,333,161,,,
1990-09-14,317,150,,,
1990-09-15,311,128,,,
1990-09-16,272,94,,,
1990-09-17,256,83,,,
1990-09-18,217,72,,,
1990-09-19,211,50,,,
1990-09-20,256,67,,,
1990-09-21,239,72,,,
1990-09-22,256,67,,,
1990-09-23,228,83,,,
1990-09-24,244,78,,,
1990-09-25,261,89,,,
1990-09-26,261,100,,,
1990-09-27,228,61,,,
1990-09-28,211,39,,,
1990-09-29,239,89,,,
1990-09-30,250,106,,,
1990-10-01,206,94,,,
1990-10-02,211,94,,,
1990-10-03,300,122,,,
1990-10-04,306,128,,,
1990-10-05,272,117,,,
1990-10-06,239,100,,,
1990-10-07,206,72,,,
1990-10-08,256,106,,,
1990-10-09,278,106,,,
1990-10-10,283,89,,,
1990-10-11,261,94,,,
1990-10-12,289,111,,,
1990-10-13,261,94,,,
1990-10-14,278,94,,,
1990-10-15,272,100,,,
1990-10-16,239,89,,,
1990-10-17,283,89,,,
1990-10-18,233,89,,,
1990-10-19,144,50,,,
1990-10-20,211,44,,,
1990-10-21,250,61,,,
1990-10-22,261,67,,,
1990-10-23,283,89,,,
1990-10-24,300,106,,,
1990-10-25,311,100,,,
1990-10-26,306,111,,,
1990-10-27,306,106,,,
1990-10-28,283,94,,,
1990-10-29,267,117,,,
1990-10-30,244,94,,,
1990-10-31,200,39,,,
1990-11-01,117,28,,,
1990-11-02,133,11,,,
1990-11-03,161,-22,,,
1990-11-04,211,28,,,
1990-11-05,194,50,,,
1990-11-06,144,-6,,,
1990-11-07,150,-11,,,
1990-11-08,206,28,,,
1990-11-09,250,83,,,
1990-11-10,267,106,,,
1990-11-11,272,117,,,
1990-11-12,267,106,,,
1990-11-13,272,94,,,
1990-11-14,244,56,,,
1990-11-15,222,44,,,
1990-11-16,239,89,,,
1990-11-17,183,61,,,
1990-11-18,189,33,,,
1990-11-19,133,50,,,
1990-11-20,78,39,,,
1990-11-21,150,-11,,,
1990-11-22,183,33,,,
1990-11-23,228,94,,,
1990-11-24,228,72,,,
1990-11-25,178,44,,,
1990-11-26,61,-44,,,
1990-11-27,133,-50,,,
1990-11-28,172,28,,,
1990-11-29,211,33,,,
1990-11-30,172,22,,,
1990-12-01,189,28,,,
1990-12-02,217,28,,,
1990-12-03,200,28,,,
1990-12-04,200,28,,,
1990-12-05,206,44,,,
1990-12-06,217,50,,,
1990-12-07,189,56,,,
1990-12-08,244,56,,,
1990-12-09,222,50,,,
1990-12-10,206,39,,,
1990-12-11,183,44,,,
1990-12-12,133,-17,,,
1990-12-13,67,-28,,,
1990-12-14,150,-39,,,
1990-12-15,122,-17,,,
1990-12-16,67,-50,,,
1990-12-17,94,-61,,,
1990-12-18,111,-28,,,
