DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1990-05-02,300,211,,,
1990-05-03,317,178,,,
1990-05-04,344,139,,,
1990-05-05,311,156,,,
1990-05-06,250,100,,,
1990-05-07,283,72,,,
1990-05-08,244,106,,,
1990-05-09,200,94,,,
1990-05-10,178,94,,,
1990-05-11,183,83,,,
1990-05-12,83,83,,,
1990-05-14,172,83,,,
1990-05-15,222,72,,,
1990-05-16,217,72,,,
1990-05-17,172,83,,,
1990-05-18,139,94,,,
1990-05-19,156,94,,,
1990-05-20,172,122,,,
1990-05-21,200,106,,,
1990-05-22,217,128,,,
1990-05-23,172,89,,,
1990-05-24,194,78,,,
1990-05-25,189,72,,,
1990-05-26,222,100,,,
1990-05-27,167,122,,,
1990-05-28,167,111,,,
1990-05-29,183,111,,,
1990-05-30,172,111,,,
1990-05-31,172,94,,,
1990-06-01,228,72,,,
1990-06-02,261,89,,,
1990-06-03,250,111,,,
1990-06-04,244,106,,,
1990-06-05,261,100,,,
1990-06-06,206,128,,,
1990-06-07,283,128,,,
1990-06-08,350,150,,,
1990-06-09,306,133,,,
1990-06-10,222,117,,,
1990-06-11,267,106,,,
1990-06-12,256,100,,,
1990-06-13,194,94,,,
1990-06-14,217,111,,,
1990-06-15,178,122,,,
1990-06-16,233,106,,,
1990-06-17,244,94,,,
1990-06-18,233,111,,,
1990-06-19,350,133,,,
1990-06-20,394,217,,,
1990-06-21,311,133,,,
1990-06-22,228,128,,,
1990-06-23,250,122,,,
1990-06-24,222,111,,,
1990-06-25,278,100,,,
1990-06-26,289,106,,,
1990-06-27,250,117,,,
1990-06-28,283,122,,,
1990-06-29,217,122,,,
1990-07-03,250,117,,,
1990-07-04,250,117,,,
1990-07-05,272,139,,,
1990-07-06,244,156,,,
1990-07-07,272,128,,,
1990-07-08,250,128,,,
1990-07-09,328,133,,,
1990-07-10,383,172,,,
1990-07-11,361,217,,,
1990-07-12,372,228,,,
1990-07-13,378,206,,,
1990-07-14,294,139,,,
1990-07-15,300,139,,,
1990-07-16,250,144,,,
1990-07-17,306,150,,,
1990-07-18,306,150,,,
1990-07-19,306,150,,,
1990-07-20,350,206,,,
1990-07-21,339,156,,,
1990-07-22,261,128,,,
1990-07-23,217,128,,,
1990-07-24,233,128,,,
1990-07-25,256,122,,,
1990-07-26,311,111,,,
1990-07-27,267,128,,,
1990-07-30,250,150,,,
1990-07-31,289,133,,,
1990-08-01,294,133,,,
1990-08-02,294,133,,,
1990-08-03,278,139,,,
1990-08-04,306,133,,,
1990-08-05,372,122,,,
1990-08-06,383,211,,,
1990-08-07,372,222,,,
1990-08-08,378,206,,,
1990-08-09,356,211,,,
1990-08-10,356,172,,,
1990-08-11,367,172,,,
1990-08-12,294,139,,,
1990-08-13,294,122,,,
1990-08-14,211,128,,,
1990-08-15,217,144,,,
1990-08-16,228,150,,,
1990-08-17,233,-67,,,
1990-08-18,228,161,,,
1990-08-19,256,144,,,
1990-08-20,256,128,,,
1990-08-21,283,150,,,
1990-08-22,322,133,,,
1990-08-23,294,133,,,
1990-08-24,183,133,,,
1990-08-25,206,144,,,
1990-08-26,250,128,,,
1990-08-27,272,139,,,
1990-08-28,289,144,,,
1990-08-29,278,156,,,
1990-08-30,244,133,,,
1990-08-31,289,133,,,
1990-09-01,244,128,,,
1990-09-02,311,111,,,
1990-09-03,256,128,,,
1990-09-04,278,133,,,
1990-09-05,306,128,,,
1990-09-06,278,122,,,
1990-09-07,283,128,,,
1990-09-08,278,117,,,
1990-09-09,356,122,,,
1990-09-10,294,133,,,
1990-09-11,272,133,,,
1990-09-12,278,128,,,
1990-09-13,261,117,,,
1990-09-14,250,133,,,
1990-09-15,250,117,,,
1990-09-16,294,122,,,
1990-09-17,283,133,,,
1990-09-18,250,133,,,
1990-09-19,289,122,,,
1990-09-20,350,150,,,
1990-09-21,294,150,,,
1990-09-22,261,156,,,
1990-09-23,239,139,,,
1990-09-24,239,144,,,
1990-09-25,233,144,,,
1990-09-26,244,139,,,
1990-09-27,267,128,,,
1990-09-28,300,133,,,
1990-09-29,350,139,,,
1990-09-30,350,-11,,,
1990-10-01,322,-122,,,
1990-10-02,283,122,,,
1990-10-03,317,156,,,
1990-10-04,311,156,,,
1990-10-05,217,117,,,
1990-10-06,256,100,,,
1990-10-07,244,111,,,
1990-10-08,272,161,,,
1990-10-09,289,122,,,
1990-10-10,311,133,,,
1990-10-11,311,133,,,
1990-10-12,317,133,,,
1990-10-13,267,122,,,
1990-10-14,278,111,,,
1990-10-15,239,106,,,
1990-10-16,261,111,,,
1990-10-17,289,128,,,
1990-10-18,183,133,,,
1990-10-19,200,106,,,
1990-10-20,244,106,,,
1990-10-21,256,94,,,
1990-10-22,267,117,,,
1990-10-23,278,89,,,
1990-10-24,283,122,,,
1990-10-25,272,128,,,
1990-10-26,283,111,,,
1990-10-27,289,111,,,
1990-10-28,233,106,,,
1990-10-29,206,94,,,
1990-10-30,206,94,,,
1990-10-31,178,83,,,
1990-11-01,167,56,,,
1990-11-02,172,100,,,
1990-11-03,222,117,,,
1990-11-04,250,100,,,
1990-11-05,211,100,,,
1990-11-06,178,117,,,
1990-11-07,217,111,,,
1990-11-08,256,100,,,
1990-11-09,250,117,,,
1990-11-10,222,94,,,
1990-11-11,217,122,,,
1990-11-12,256,111,,,
1990-11-13,233,83,,,
1990-11-14,122,83,,,
1990-11-15,189,100,,,
1990-11-16,150,89,,,
1990-11-17,200,89,,,
1990-11-18,167,83,,,
1990-11-19,156,72,,,
1990-11-20,122,61,,,
1990-11-21,150,72,,,
1990-11-22,172,61,,,
1990-11-23,189,72,,,
1990-11-24,206,67,,,
1990-11-25,161,61,,,
1990-11-26,122,39,,,
1990-11-27,150,33,,,
1990-11-28,267,44,,,
1990-11-29,144,50,,,
1990-11-30,178,61,,,
1990-12-01,183,44,,,
1990-12-02,144,39,,,
1990-12-03,128,50,,,
1990-12-04,150,44,,,
1990-12-05,172,61,,,
1990-12-06,172,78,,,
1990-12-07,167,67,,,
1990-12-08,178,78,,,
1990-12-09,183,72,,,
1990-12-10,117,78,,,
1990-12-11,139,61,,,
1990-12-12,139,44,,,
1990-12-13,133,39,,,
1990-12-14,106,33,,,
1990-12-15,78,50,,,
1990-12-16,100,33,,,
1990-12-17,144,22,,,
1990-12-18,117,22,,,
1990-12-19,72,6,,,
1990-12-20,56,-33,,,
1990-12-21,11,-61,,,
1990-12-22,-17,-67,,,
1990-12-23,17,-50,,,
1990-12-24,78,-39,,,
1990-12-25,106,-11,,,
1990-12-26,117,0,,,
1990-12-27,144,11,,,
1990-12-28,100,11,,,
1990-12-29,94,6,,,
