DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-02-19,150,39,,,
2002-02-20,222,33,,,
2002-02-21,261,128,,,
2002-02-22,294,89,,,
2002-02-23,228,56,,,
2002-02-24,250,78,,,
2002-02-25,267,100,,,
2002-02-26,250,139,,,
2002-02-27,244,128,,,
2002-02-28,211,61,,,
2002-03-01,156,56,,,
2002-03-02,156,56,,,
2002-03-03,183,50,,,
2002-03-04,211,33,,,
2002-03-05,217,28,,,
2002-03-06,189,22,,,
2002-03-07,156,67,,,
2002-03-08,161,44,,,
2002-03-09,217,33,,,
2002-03-10,233,39,,,
2002-03-11,261,78,,,
2002-03-12,250,72,,,
2002-03-13,167,0,,,
2002-03-14,133,-11,,,
2002-03-15,156,6,,,
2002-03-16,122,-6,,,
2002-03-17,111,11,,,
2002-03-18,139,0,,,
2002-03-19,217,56,,,
2002-03-20,278,89,,,
2002-03-21,283,72,,,
2002-03-22,222,44,,,
2002-03-23,139,56,,,
2002-03-24,156,17,,,
2002-03-25,211,17,,,
2002-03-26,239,50,,,
2002-03-27,206,39,,,
2002-03-28,133,61,,,
2002-03-29,156,50,,,
2002-03-30,294,44,,,
2002-03-31,306,83,,,
2002-04-01,283,61,,,
2002-04-02,239,50,,,
2002-04-03,217,33,,,
2002-04-04,250,28,,,
2002-04-05,167,33,,,
2002-04-06,133,67,,,
2002-04-07,172,67,,,
2002-04-08,211,56,,,
2002-04-09,250,39,,,
2002-04-10,250,78,,,
2002-04-11,289,94,,,
2002-04-12,278,106,,,
2002-04-13,350,139,,,
2002-04-14,322,111,,,
2002-04-15,189,78,,,
2002-04-16,183,44,,,
2002-04-17,156,22,,,
2002-04-18,183,17,,,
2002-04-19,183,0,,,
2002-04-20,206,0,,,
2002-04-21,267,44,,,
2002-04-22,311,83,,,
2002-04-23,278,72,,,
2002-04-24,183,61,,,
2002-04-25,206,72,,,
2002-04-26,150,67,,,
2002-04-27,161,56,,,
2002-04-28,244,56,,,
2002-04-29,217,44,,,
2002-04-30,178,28,,,
2002-05-01,178,6,,,
2002-05-02,211,11,,,
2002-05-03,244,50,,,
2002-05-04,278,39,,,
2002-05-05,239,50,,,
2002-05-06,256,50,,,
2002-05-07,172,94,,,
2002-05-08,239,72,,,
2002-05-09,267,61,,,
2002-05-10,222,56,,,
2002-05-11,267,61,,,
2002-05-12,328,106,,,
2002-05-13,356,128,,,
2002-05-14,311,100,,,
2002-05-15,261,67,,,
2002-05-16,244,83,,,
2002-05-17,306,61,,,
2002-05-18,278,67,,,
2002-05-19,211,111,,,
2002-05-20,139,44,,,
2002-05-21,189,50,,,
