DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1989-04-05,186,178,,,
1989-04-06,210,171,,,
1989-04-07,241,163,,,
1989-04-08,222,182,,,
1989-04-21,167,69,,,
1989-04-22,143,41,,,
1989-04-23,96,-29,,,
1989-05-18,198,-159,,,
1989-05-19,241,96,,,
1989-05-20,226,131,,,
1989-05-21,218,127,,,
1989-05-22,198,123,,,
1989-05-23,186,88,,,
1989-05-24,206,69,,,
1989-05-25,210,69,,,
1989-05-26,233,96,,,
1989-05-27,194,96,,,
1989-05-28,171,73,,,
1989-05-29,139,61,,,
1990-03-12,-29,-61,,,
1990-03-13,41,-53,,,
1990-03-14,108,-29,,,
1990-03-15,155,18,,,
1990-03-16,163,53,,,
1990-03-17,194,64,,,
1990-03-18,222,22,,,
1990-03-19,210,139,,,
1990-03-20,226,119,,,
1990-03-22,202,127,,,
1990-04-18,96,96,,,
1990-04-19,155,73,,,
1990-04-20,139,69,,,
1990-04-21,139,41,,,
1990-04-22,143,41,,,
1990-04-23,69,45,,,
1990-04-24,139,33,,,
1990-04-25,194,69,,,
1990-04-26,241,112,,,
1990-04-27,226,127,,,
1990-04-28,226,116,,,
1990-04-29,136,29,,,
1990-04-30,73,10,,,
1990-05-01,151,53,,,
1990-05-02,186,84,,,
1990-05-03,226,112,,,
1990-05-04,237,119,,,
1990-05-05,265,151,,,
1990-05-06,253,167,,,
1990-05-07,218,112,,,
1990-05-08,174,104,,,
1990-05-09,163,49,,,
1990-05-10,77,29,,,
1990-05-11,163,22,,,
1990-05-12,178,53,,,
1990-05-13,206,77,,,
1990-05-14,108,37,,,
1990-05-15,155,29,,,
1990-05-16,206,81,,,
1990-05-17,163,64,,,
1990-05-18,151,49,,,
1990-05-19,100,22,,,
1990-05-20,155,37,,,
1990-05-21,186,100,,,
1990-05-22,202,100,,,
1990-05-23,163,64,,,
1990-05-24,198,41,,,
1990-05-25,171,73,,,
1990-05-26,155,73,,,
1990-05-27,116,49,,,
1990-05-28,92,49,,,
1990-05-29,108,57,,,
1990-05-30,155,61,,,
1990-05-31,116,49,,,
1990-06-01,206,53,,,
1990-06-02,269,136,,,
1990-06-03,281,174,,,
1990-06-04,308,182,,,
1990-06-05,253,159,,,
1990-06-06,253,131,,,
1990-06-07,277,155,,,
1990-06-08,277,159,,,
1990-06-09,222,131,,,
1990-06-10,182,112,,,
1990-06-11,202,123,,,
1990-06-12,198,108,,,
1990-06-13,119,53,,,
