DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1999-10-20,300,128,,,
1999-10-21,306,106,,,
1999-10-22,317,100,,,
1999-10-23,289,111,,,
1999-10-24,283,106,,,
1999-10-25,294,117,,,
1999-10-26,256,94,,,
1999-10-27,228,78,,,
1999-10-28,233,72,,,
1999-10-29,239,56,,,
1999-10-30,267,100,,,
1999-10-31,278,78,,,
1999-11-01,294,100,,,
1999-11-02,300,78,,,
1999-11-03,289,100,,,
1999-11-04,272,89,,,
1999-11-05,261,89,,,
1999-11-06,261,83,,,
1999-11-07,161,50,,,
1999-11-08,133,39,,,
1999-11-09,228,28,,,
1999-11-10,239,50,,,
1999-11-11,244,56,,,
1999-11-12,278,67,,,
1999-11-13,289,89,,,
1999-11-14,278,106,,,
1999-11-15,239,100,,,
1999-11-16,200,89,,,
1999-11-17,128,28,,,
1999-11-18,200,6,,,
1999-11-19,178,44,,,
1999-11-20,161,67,,,
1999-11-21,167,0,,,
1999-11-22,122,0,,,
1999-11-23,161,0,,,
1999-11-24,161,11,,,
1999-11-25,206,56,,,
1999-11-26,228,67,,,
1999-11-27,200,67,,,
1999-11-28,211,56,,,
1999-11-29,250,78,,,
1999-11-30,200,72,,,
1999-12-01,206,17,,,
1999-12-02,194,17,,,
1999-12-03,117,28,,,
1999-12-04,133,-6,,,
1999-12-05,161,-22,,,
1999-12-06,167,-6,,,
1999-12-07,172,11,,,
1999-12-08,117,-6,,,
1999-12-09,139,0,,,
1999-12-10,106,-28,,,
1999-12-11,128,39,,,
1999-12-12,194,11,,,
1999-12-13,128,6,,,
1999-12-14,111,6,,,
1999-12-15,161,33,,,
1999-12-16,222,33,,,
1999-12-17,233,33,,,
1999-12-18,228,39,,,
1999-12-19,183,44,,,
1999-12-20,194,94,,,
1999-12-21,228,56,,,
1999-12-22,128,56,,,
1999-12-23,172,72,,,
1999-12-24,167,56,,,
1999-12-25,178,39,,,
1999-12-26,178,44,,,
1999-12-27,161,56,,,
1999-12-28,189,28,,,
1999-12-29,206,6,,,
1999-12-30,189,28,,,
1999-12-31,61,17,,,
2000-01-01,61,6,,,
2000-01-02,111,11,,,
2000-01-03,139,-39,,,
2000-01-04,200,11,,,
2000-01-05,161,6,,,
2000-01-06,150,-6,,,
2000-01-07,167,-17,,,
2000-01-08,206,-22,,,
2000-01-09,200,0,,,
2000-01-10,189,17,,,
2000-01-11,211,33,,,
