DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-08-07,450,222,,,
2001-08-08,439,189,,,
2001-08-09,400,194,,,
2001-08-10,372,156,,,
2001-08-11,394,150,,,
2001-08-12,372,161,,,
2001-08-13,356,128,,,
2001-08-14,372,139,,,
2001-08-15,383,156,,,
2001-08-16,400,167,,,
2001-08-17,394,211,,,
2001-08-18,400,200,,,
2001-08-19,389,189,,,
2001-08-20,322,144,,,
2001-08-21,333,161,,,
2001-08-22,283,117,,,
2001-08-23,294,139,,,
2001-08-24,361,150,,,
2001-08-25,383,183,,,
2001-08-26,400,172,,,
2001-08-27,422,228,,,
2001-08-28,417,222,,,
2001-08-29,433,217,,,
2001-08-30,328,156,,,
2001-08-31,350,144,,,
2001-09-01,361,156,,,
2001-09-02,356,139,,,
2001-09-03,367,144,,,
2001-09-04,361,161,,,
2001-09-05,361,156,,,
2001-09-06,361,100,,,
2001-09-07,411,139,,,
2001-09-08,400,144,,,
2001-09-09,350,122,,,
2001-09-10,306,117,,,
2001-09-11,244,133,,,
2001-09-12,333,172,,,
2001-09-13,289,139,,,
2001-09-14,361,144,,,
2001-09-15,339,161,,,
2001-09-16,344,172,,,
2001-09-17,389,150,,,
2001-09-18,356,156,,,
2001-09-19,406,144,,,
2001-09-20,350,144,,,
2001-09-21,383,139,,,
2001-09-22,372,150,,,
2001-09-23,311,133,,,
2001-09-24,333,-356,,,
2001-09-25,233,111,,,
2001-09-26,272,106,,,
2001-09-27,272,139,,,
2001-09-28,294,122,,,
2001-09-29,356,117,,,
2001-09-30,383,122,,,
2001-10-01,422,167,,,
2001-10-02,406,178,,,
2001-10-03,406,178,,,
2001-10-04,328,139,,,
2001-10-05,256,106,,,
2001-10-06,261,78,,,
2001-10-07,256,89,,,
2001-10-08,294,106,,,
2001-10-09,289,67,,,
2001-10-10,300,89,,,
2001-10-11,272,100,,,
2001-10-12,306,78,,,
2001-10-13,344,106,,,
2001-10-14,361,122,,,
2001-10-15,300,133,,,
2001-10-16,272,128,,,
2001-10-17,294,122,,,
2001-10-18,322,111,,,
2001-10-19,294,111,,,
2001-10-20,283,106,,,
2001-10-21,261,100,,,
2001-10-22,272,111,,,
2001-10-23,233,94,,,
2001-10-24,256,83,,,
2001-10-25,322,94,,,
2001-10-26,289,67,,,
2001-10-27,161,67,,,
2001-10-28,150,94,,,
2001-10-29,133,89,,,
2001-10-30,156,106,,,
2001-10-31,156,78,,,
2001-11-01,211,67,,,
2001-11-02,244,72,,,
2001-11-03,294,72,,,
2001-11-04,289,89,,,
2001-11-05,256,89,,,
2001-11-06,194,83,,,
2001-11-07,239,39,,,
2001-11-08,272,39,,,
2001-11-09,239,72,,,
2001-11-10,206,50,,,
2001-11-11,139,94,,,
2001-11-12,139,89,,,
2001-11-13,106,83,,,
2001-11-14,128,100,,,
2001-11-15,128,100,,,
2001-11-16,122,78,,,
2001-11-17,178,61,,,
2001-11-18,172,44,,,
2001-11-19,122,72,,,
2001-11-20,128,56,,,
2001-11-21,100,83,,,
2001-11-22,139,33,,,
2001-11-23,94,22,,,
2001-11-24,78,6,,,
2001-11-25,94,0,,,
2001-11-26,139,-6,,,
2001-11-27,122,-17,,,
2001-11-28,44,0,,,
2001-11-29,117,0,,,
2001-11-30,78,6,,,
2001-12-01,94,44,,,
2001-12-02,83,50,,,
2001-12-03,117,6,,,
2001-12-04,117,0,,,
2001-12-05,56,6,,,
2001-12-06,128,22,,,
2001-12-07,161,22,,,
2001-12-08,128,0,,,
2001-12-09,156,0,,,
2001-12-10,156,6,,,
2001-12-11,122,-6,,,
2001-12-12,89,-6,,,
2001-12-13,61,0,,,
2001-12-14,106,0,,,
2001-12-15,122,0,,,
2001-12-16,56,28,,,
2001-12-17,94,22,,,
2001-12-18,72,39,,,
2001-12-19,61,33,,,
