DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1988-03-05,144,39,,,
1988-03-06,139,33,,,
1988-03-07,139,17,,,
1988-03-08,144,-6,,,
1988-03-09,117,-22,,,
1988-03-10,50,-56,,,
1988-03-11,50,-72,,,
1988-03-12,72,-83,,,
1988-03-13,100,-44,,,
1988-03-14,117,-22,,,
1988-03-15,139,0,,,
1988-03-16,106,-17,,,
1988-03-17,133,-22,,,
1988-03-18,156,0,,,
1988-03-19,178,33,,,
1988-03-20,183,22,,,
1988-03-21,178,33,,,
1988-03-22,178,33,,,
1988-03-23,206,50,,,
1988-03-24,183,39,,,
1988-03-25,211,61,,,
1988-03-26,228,83,,,
1988-03-27,222,50,,,
1988-03-28,144,0,,,
1988-03-29,150,-17,,,
1988-03-30,94,-17,,,
1988-03-31,111,-28,,,
1988-04-01,156,0,,,
1988-04-02,189,39,,,
1988-04-03,189,50,,,
1988-04-04,189,56,,,
1988-04-05,217,67,,,
1988-04-06,239,78,,,
1988-04-07,239,94,,,
1988-04-08,178,61,,,
1988-04-09,194,28,,,
1988-04-10,211,56,,,
1988-04-11,217,67,,,
1988-04-12,194,72,,,
1988-04-13,128,61,,,
1988-04-14,72,6,,,
1988-04-15,67,-6,,,
1988-04-16,78,0,,,
1988-04-17,161,22,,,
1988-04-18,144,33,,,
1988-04-19,122,28,,,
1988-04-20,44,-22,,,
1988-04-21,61,-28,,,
1988-04-22,83,-28,,,
1988-04-23,56,-39,,,
1988-04-24,144,0,,,
1988-04-25,172,22,,,
1988-04-26,189,44,,,
1988-04-27,194,61,,,
1988-04-28,183,67,,,
1988-04-29,200,61,,,
1988-04-30,133,-11,,,
1988-05-01,106,-33,,,
1988-05-02,156,-17,,,
1988-05-03,178,33,,,
1988-05-04,150,44,,,
1988-05-05,89,-28,,,
1988-05-06,111,-56,,,
1988-05-07,111,-17,,,
1988-05-08,150,0,,,
1988-05-09,206,44,,,
1988-05-10,244,78,,,
1988-05-11,272,122,,,
1988-05-12,278,133,,,
1988-05-13,261,122,,,
1988-05-14,278,117,,,
1988-05-15,278,128,,,
1988-05-16,239,122,,,
1988-05-17,211,100,,,
1988-05-18,222,61,,,
1988-05-19,233,67,,,
1988-05-20,250,122,,,
1988-05-21,272,106,,,
1988-05-22,272,128,,,
1988-05-23,267,133,,,
1988-05-24,267,122,,,
1988-05-25,261,117,,,
1988-05-26,256,106,,,
1988-05-27,244,117,,,
1988-05-28,250,89,,,
1988-05-29,122,17,,,
1988-05-30,150,-17,,,
