DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-08-06,339,172,,,
2001-08-07,339,150,,,
2001-08-08,322,128,,,
2001-08-09,289,128,,,
2001-08-10,300,100,,,
2001-08-11,300,128,,,
2001-08-12,289,122,,,
2001-08-13,311,139,,,
2001-08-15,350,172,,,
2001-08-16,350,122,,,
2001-08-17,339,128,,,
2001-08-18,328,128,,,
2001-08-19,322,150,,,
2001-08-20,289,111,,,
2001-08-21,250,100,,,
2001-08-22,239,111,,,
2001-08-23,272,111,,,
2001-08-24,300,122,,,
2001-08-25,328,128,,,
2001-08-26,322,150,,,
2001-08-27,322,128,,,
2001-08-28,289,122,,,
2001-08-29,272,139,,,
2001-08-30,272,139,,,
2001-08-31,300,122,,,
2001-09-01,311,139,,,
2001-09-02,322,161,,,
2001-09-03,278,161,,,
2001-09-04,289,150,,,
2001-09-05,289,139,,,
2001-09-06,261,128,,,
2001-09-07,239,139,,,
2001-09-08,228,122,,,
2001-09-09,239,100,,,
2001-09-10,272,100,,,
2001-09-11,261,128,,,
2001-09-12,261,111,,,
2001-09-13,289,111,,,
2001-09-14,328,128,,,
2001-09-15,311,122,,,
2001-09-16,278,78,,,
2001-09-17,250,89,,,
2001-09-18,250,89,,,
2001-09-19,250,111,,,
2001-09-20,261,111,,,
2001-09-21,289,100,,,
2001-09-22,289,122,,,
2001-09-23,300,122,,,
2001-09-24,361,150,,,
2001-09-25,328,161,,,
2001-09-26,339,150,,,
2001-09-27,328,128,,,
2001-09-28,322,122,,,
2001-09-29,372,172,,,
2001-09-30,389,172,,,
2001-10-01,328,150,,,
2001-10-02,328,139,,,
2001-10-03,278,111,,,
2001-10-04,261,122,,,
2001-10-05,222,128,,,
2001-10-06,211,100,,,
2001-10-07,228,100,,,
2001-10-08,222,89,,,
2001-10-09,228,89,,,
2001-10-10,300,78,,,
2001-10-11,261,100,,,
2001-10-12,300,100,,,
2001-10-13,322,122,,,
2001-10-14,289,111,,,
2001-10-15,311,111,,,
2001-10-16,278,100,,,
2001-10-17,261,78,,,
2001-10-18,261,100,,,
2001-10-19,250,100,,,
2001-10-20,222,89,,,
2001-10-21,200,122,,,
2001-10-22,200,100,,,
2001-10-23,228,78,,,
2001-10-24,250,89,,,
2001-10-25,278,78,,,
2001-10-26,272,78,,,
