DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1990-05-02,217,111,,,
1990-05-03,256,83,,,
1990-05-04,294,-272,,,
1990-05-05,289,139,,,
1990-05-06,178,22,,,
1990-05-07,178,-6,,,
1990-05-08,167,0,,,
1990-05-09,244,56,,,
1990-05-10,206,33,,,
1990-05-11,178,11,,,
1990-05-12,106,44,,,
1990-05-14,178,33,,,
1990-05-15,194,11,,,
1990-05-16,244,61,,,
1990-05-17,211,67,,,
1990-05-18,167,33,,,
1990-05-19,111,33,,,
1990-05-20,111,22,,,
1990-05-21,100,44,,,
1990-05-22,61,-500,,,
1990-05-23,-39,-417,,,
1990-05-24,89,-56,,,
1990-05-25,139,22,,,
1990-05-26,100,44,,,
1990-05-27,89,44,,,
1990-05-28,150,44,,,
1990-05-29,117,33,,,
1990-05-30,78,-6,,,
1990-05-31,-6,-139,,,
1990-06-01,-22,-150,,,
1990-06-02,133,-50,,,
1990-06-03,178,50,,,
1990-06-04,206,28,,,
1990-06-05,206,61,,,
1990-06-06,167,67,,,
1990-06-07,244,44,,,
1990-06-08,261,111,,,
1990-06-09,200,100,,,
1990-06-10,167,56,,,
1990-06-11,206,61,,,
1990-06-12,178,28,,,
1990-06-13,167,22,,,
1990-06-14,217,89,,,
1990-06-15,222,111,,,
1990-06-16,217,100,,,
1990-06-17,228,83,,,
1990-06-18,228,100,,,
1990-06-19,267,111,,,
1990-06-20,311,156,,,
1990-06-21,311,167,,,
1990-06-22,267,167,,,
1990-06-23,294,122,,,
1990-06-24,272,133,,,
1990-06-25,272,111,,,
1990-06-26,233,111,,,
1990-06-27,244,111,,,
1990-06-28,283,100,,,
1990-06-29,244,139,,,
1990-07-03,272,100,,,
1990-07-04,211,106,,,
1990-07-05,206,83,,,
1990-07-06,222,72,,,
1990-07-07,272,172,,,
1990-07-08,294,150,,,
1990-07-09,328,172,,,
1990-07-10,328,178,,,
1990-07-11,356,217,,,
1990-07-12,350,206,,,
1990-07-13,350,206,,,
1990-07-14,367,217,,,
1990-07-15,372,211,,,
1990-07-16,361,211,,,
1990-07-17,256,178,,,
1990-07-18,317,144,,,
1990-07-19,217,139,,,
1990-07-20,311,167,,,
1990-07-21,344,200,,,
1990-07-22,322,200,,,
1990-07-23,289,139,,,
1990-07-24,244,106,,,
1990-07-25,239,100,,,
1990-07-26,294,128,,,
1990-07-27,322,161,,,
1990-07-30,294,194,,,
1990-07-31,328,167,,,
1990-08-01,311,150,,,
1990-08-02,306,150,,,
1990-08-03,333,161,,,
1990-08-04,356,172,,,
1990-08-05,361,183,,,
1990-08-06,378,189,,,
1990-08-07,350,206,,,
1990-08-08,283,189,,,
1990-08-09,294,167,,,
1990-08-10,333,150,,,
1990-08-11,333,178,,,
1990-08-12,333,178,,,
1990-08-13,322,156,,,
1990-08-14,317,150,,,
1990-08-15,261,122,,,
1990-08-16,228,106,,,
1990-08-17,211,122,,,
1990-08-18,172,72,,,
1990-08-19,183,67,,,
1990-08-20,200,94,,,
1990-08-21,261,72,,,
1990-08-22,289,111,,,
1990-08-23,294,122,,,
1990-08-24,228,89,,,
1990-08-25,156,72,,,
1990-08-26,139,72,,,
1990-08-27,178,89,,,
1990-08-28,272,100,,,
1990-08-29,217,94,,,
1990-08-30,250,61,,,
1990-08-31,272,83,,,
1990-09-01,283,100,,,
1990-09-02,283,94,,,
1990-09-03,256,111,,,
1990-09-04,244,106,,,
1990-09-05,256,128,,,
1990-09-06,267,150,,,
1990-09-07,283,139,,,
1990-09-08,289,111,,,
1990-09-09,322,117,,,
1990-09-10,328,144,,,
1990-09-11,283,139,,,
1990-09-12,272,100,,,
1990-09-13,256,100,,,
1990-09-14,228,100,,,
1990-09-15,233,61,,,
1990-09-16,211,72,,,
1990-09-17,250,78,,,
1990-09-18,239,100,,,
1990-09-19,272,83,,,
1990-09-20,261,106,,,
1990-09-21,289,139,,,
1990-09-22,278,144,,,
1990-09-23,278,117,,,
1990-09-24,222,100,,,
1990-09-25,161,94,,,
1990-09-26,194,83,,,
1990-09-27,250,78,,,
1990-09-28,283,117,,,
1990-09-29,294,128,,,
1990-09-30,328,139,,,
1990-10-01,256,83,,,
1990-10-02,206,39,,,
1990-10-03,228,67,,,
1990-10-04,261,100,,,
1990-10-05,150,22,,,
1990-10-06,167,0,,,
1990-10-07,156,-11,,,
1990-10-08,206,28,,,
1990-10-09,228,56,,,
1990-10-10,206,72,,,
1990-10-11,211,33,,,
1990-10-12,217,72,,,
1990-10-13,178,50,,,
1990-10-14,239,33,,,
1990-10-15,206,100,,,
1990-10-16,156,33,,,
1990-10-17,200,22,,,
1990-10-18,111,39,,,
1990-10-19,133,22,,,
1990-10-20,161,-22,,,
1990-10-21,150,56,,,
1990-10-22,161,61,,,
1990-10-23,200,44,,,
1990-10-24,239,78,,,
1990-10-25,228,117,,,
1990-10-26,206,72,,,
1990-10-27,206,83,,,
1990-10-28,122,44,,,
1990-10-29,139,17,,,
1990-10-30,100,56,,,
1990-10-31,89,6,,,
1990-11-01,83,-22,,,
1990-11-02,111,-33,,,
1990-11-03,150,22,,,
1990-11-04,117,44,,,
1990-11-05,106,-6,,,
1990-11-06,83,-11,,,
1990-11-07,72,-6,,,
1990-11-08,167,61,,,
1990-11-09,167,28,,,
1990-11-10,172,22,,,
1990-11-11,172,44,,,
1990-11-12,194,56,,,
1990-11-13,133,6,,,
1990-11-14,6,-156,,,
1990-11-15,11,-233,,,
1990-11-16,-17,-317,,,
1990-11-17,-39,-161,,,
1990-11-18,22,-33,,,
1990-11-19,28,-33,,,
1990-11-20,17,-44,,,
1990-11-21,56,-17,,,
1990-11-22,83,-417,,,
1990-11-23,111,-17,,,
1990-11-24,156,6,,,
1990-11-25,72,-33,,,
1990-11-26,50,-39,,,
1990-11-27,67,-33,,,
1990-11-28,44,-17,,,
1990-11-29,94,-6,,,
1990-11-30,72,-22,,,
1990-12-01,72,-39,,,
1990-12-02,11,-33,,,
1990-12-03,61,-22,,,
1990-12-04,78,6,,,
1990-12-05,44,-11,,,
1990-12-06,78,-22,,,
1990-12-07,94,-6,,,
1990-12-08,150,17,,,
1990-12-09,111,44,,,
1990-12-10,56,-6,,,
1990-12-11,39,-39,,,
1990-12-12,0,-44,,,
1990-12-13,-6,-56,,,
1990-12-14,-17,-56,,,
1990-12-15,17,-22,,,
1990-12-16,33,-22,,,
1990-12-17,83,-11,,,
1990-12-18,72,-50,,,
1990-12-19,-50,-106,,,
1990-12-20,-72,-172,,,
1990-12-21,-122,-183,,,
1990-12-22,-78,-183,,,
1990-12-23,-28,-128,,,
1990-12-24,0,-111,,,
1990-12-25,39,-50,,,
1990-12-26,44,-28,,,
1990-12-27,50,-22,,,
1990-12-28,22,-72,,,
1990-12-29,0,-78,,,
1990-12-30,17,-83,,,
1990-12-31,44,-61,,,
1991-01-01,39,-28,,,
1991-01-02,44,-22,,,
1991-01-03,39,-6,,,
1991-01-04,56,-33,,,
1991-01-05,56,-28,,,
1991-01-06,44,-17,,,
1991-01-07,56,-22,,,
1991-01-08,11,-39,,,
1991-01-09,67,11,,,
1991-01-10,61,22,,,
1991-01-11,50,22,,,
1991-01-12,78,44,,,
1991-01-13,100,44,,,
1991-01-14,111,33,,,
1991-01-15,111,11,,,
1991-01-16,94,-6,,,
1991-01-17,133,6,,,
1991-01-18,100,6,,,
1991-01-19,22,-406,,,
1991-01-20,61,-33,,,
1991-01-21,83,-33,,,
1991-01-22,117,-22,,,
1991-01-23,44,-11,,,
1991-01-24,61,-22,,,
1991-01-25,44,-22,,,
1991-01-26,117,-22,,,
1991-01-27,100,-22,,,
1991-01-28,61,-39,,,
1991-01-29,106,-33,,,
1991-01-30,89,-22,,,
1991-01-31,106,33,,,
1991-02-01,83,11,,,
1991-02-02,33,17,,,
1991-02-03,44,33,,,
1991-02-04,61,33,,,
1991-02-05,89,6,,,
1991-02-06,111,0,,,
1991-02-07,83,6,,,
1991-02-08,117,22,,,
1991-02-09,139,22,,,
1991-02-10,150,56,,,
1991-02-11,133,22,,,
1991-02-12,83,6,,,
1991-02-13,167,39,,,
1991-02-14,167,33,,,
1991-02-15,139,44,,,
1991-02-16,100,11,,,
1991-02-17,100,0,,,
1991-02-18,111,11,,,
1991-02-19,150,6,,,
1991-02-20,144,17,,,
1991-02-21,100,33,,,
1991-02-22,167,22,,,
1991-02-23,89,11,,,
1991-02-24,167,22,,,
1991-02-25,172,22,,,
1991-02-26,178,22,,,
1991-02-27,139,61,,,
1991-02-28,67,22,,,
1991-03-01,72,6,,,
1991-03-02,22,-100,,,
1991-03-03,67,-139,,,
1991-03-04,39,-89,,,
1991-03-05,6,-56,,,
1991-03-06,61,-61,,,
1991-03-07,100,-428,,,
1991-03-08,133,-17,,,
1991-03-09,72,22,,,
1991-03-10,17,-33,,,
1991-03-11,22,-61,,,
1991-03-12,61,-22,,,
1991-03-13,-22,-44,,,
1991-03-14,-6,-67,,,
1991-03-15,89,-50,,,
1991-03-16,33,-11,,,
1991-03-17,44,-6,,,
1991-03-18,44,-22,,,
1991-03-19,83,-39,,,
1991-03-20,67,-17,,,
1991-03-21,50,-39,,,
1991-03-22,44,-39,,,
1991-03-23,-6,-17,,,
1991-03-24,11,-33,,,
1991-03-25,44,-28,,,
1991-03-26,78,-33,,,
1991-03-27,111,-22,,,
1991-03-28,150,-6,,,
1991-03-29,156,6,,,
1991-03-30,183,33,,,
1991-03-31,128,44,,,
1991-04-01,122,22,,,
1991-04-02,128,22,,,
1991-04-03,139,11,,,
1991-04-04,178,72,,,
1991-04-05,72,11,,,
1991-04-06,83,-22,,,
1991-04-07,83,-44,,,
1991-04-08,100,-39,,,
1991-04-09,100,-28,,,
1991-04-10,50,-44,,,
1991-04-11,117,-67,,,
1991-04-12,178,17,,,
1991-04-13,178,33,,,
1991-04-14,133,11,,,
1991-04-15,83,-11,,,
1991-04-16,83,-6,,,
1991-04-17,139,-6,,,
1991-04-18,72,33,,,
1991-04-19,139,17,,,
1991-04-20,122,33,,,
1991-04-21,133,33,,,
1991-04-22,133,39,,,
1991-04-23,100,33,,,
1991-04-24,39,-17,,,
1991-04-25,78,-17,,,
1991-04-26,111,-11,,,
1991-04-27,150,-328,,,
1991-04-28,167,39,,,
1991-04-29,200,6,,,
1991-04-30,83,6,,,
1991-05-01,128,-6,,,
1991-05-02,150,28,,,
1991-05-03,178,22,,,
1991-05-04,206,39,,,
1991-05-05,183,72,,,
1991-05-06,144,44,,,
1991-05-07,156,44,,,
1991-05-08,78,-17,,,
1991-05-09,94,-33,,,
1991-05-10,150,-17,,,
1991-05-11,156,11,,,
1991-05-12,139,50,,,
1991-05-13,100,28,,,
1991-05-14,161,11,,,
1991-05-15,178,39,,,
1991-05-16,144,22,,,
1991-05-17,33,-6,,,
1991-05-18,17,-17,,,
1991-05-19,11,6,,,
1991-05-20,178,106,,,
1991-05-21,244,-189,,,
1991-05-22,256,89,,,
1991-05-23,250,106,,,
1991-05-24,211,67,,,
1991-05-25,172,28,,,
1991-05-26,178,22,,,
1991-05-27,217,33,,,
1991-05-28,189,44,,,
1991-05-29,83,33,,,
1991-05-30,122,6,,,
1991-05-31,228,6,,,
1991-06-01,272,89,,,
1991-06-02,272,117,,,
1991-06-03,222,83,,,
1991-06-04,189,44,,,
1991-06-05,206,33,,,
1991-06-06,228,44,,,
1991-06-07,256,89,,,
1991-06-08,272,89,,,
1991-06-09,311,122,,,
1991-06-10,317,-228,,,
1991-06-11,272,128,,,
1991-06-12,222,67,,,
1991-06-13,189,56,,,
1991-06-14,228,22,,,
1991-06-15,233,89,,,
1991-06-16,217,44,,,
1991-06-17,256,78,,,
1991-06-18,244,78,,,
1991-06-19,117,33,,,
1991-06-20,211,17,,,
1991-06-21,222,78,,,
1991-06-22,228,94,,,
1991-06-23,189,72,,,
1991-06-24,217,61,,,
1991-06-25,206,89,,,
1991-06-26,206,78,,,
1991-06-27,178,72,,,
1991-06-28,167,78,,,
1991-06-29,189,89,,,
1991-06-30,267,83,,,
1991-07-01,294,122,,,
1991-07-02,350,178,,,
1991-07-03,383,211,,,
1991-07-04,361,206,,,
1991-07-05,339,183,,,
1991-07-06,339,167,,,
1991-07-07,333,178,,,
1991-07-08,322,161,,,
1991-07-09,272,144,,,
1991-07-10,289,111,,,
1991-07-11,322,139,,,
1991-07-12,333,178,,,
1991-07-13,294,128,,,
1991-07-14,272,100,,,
1991-07-15,256,122,,,
1991-07-16,150,100,,,
1991-07-17,228,100,,,
1991-07-18,294,100,,,
1991-07-19,306,144,,,
1991-07-20,306,144,,,
1991-07-21,322,139,,,
1991-07-22,333,156,,,
1991-07-23,328,139,,,
1991-07-24,283,144,,,
1991-07-25,283,111,,,
1991-07-26,317,122,,,
1991-07-27,350,144,,,
1991-07-28,356,172,,,
1991-07-29,344,172,,,
1991-07-30,333,156,,,
1991-07-31,306,161,,,
1991-08-01,244,128,,,
1991-08-02,328,128,,,
1991-08-03,333,156,,,
1991-08-04,322,156,,,
1991-08-05,283,144,,,
1991-08-06,267,139,,,
1991-08-07,244,128,,,
1991-08-08,311,144,,,
1991-08-09,272,106,,,
1991-08-10,289,89,,,
1991-08-11,322,128,,,
1991-08-12,317,150,,,
1991-08-13,311,150,,,
1991-08-14,317,150,,,
1991-08-15,317,150,,,
1991-08-16,311,139,,,
1991-08-17,333,-206,,,
1991-08-18,317,161,,,
1991-08-19,322,167,,,
1991-08-20,333,167,,,
1991-08-21,333,156,,,
1991-08-22,333,167,,,
1991-08-23,322,156,,,
1991-08-24,322,139,,,
1991-08-25,256,128,,,
1991-08-26,244,100,,,
1991-08-27,217,111,,,
1991-08-28,111,106,,,
1991-08-29,267,161,,,
