DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1991-03-06,6,-44,,,
1991-03-07,61,-67,,,
1991-03-08,111,-39,,,
1991-03-09,44,-11,,,
1991-03-10,-17,-67,,,
1991-03-11,-22,-83,,,
1991-03-12,-17,-44,,,
1991-03-13,-6,-44,,,
1991-03-14,6,-50,,,
1991-03-15,39,-50,,,
1991-03-16,-6,-44,,,
1991-03-17,50,-28,,,
1991-03-18,11,-39,,,
1991-03-19,22,-33,,,
1991-03-20,33,-33,,,
1991-03-21,44,-44,,,
1991-03-22,-6,-33,,,
1991-03-23,-11,-28,,,
1991-03-24,-11,-50,,,
1991-03-25,-6,-39,,,
1991-03-26,72,-56,,,
1991-03-27,83,-33,,,
1991-03-28,111,-6,,,
1991-03-29,111,-28,,,
1991-03-30,150,33,,,
1991-03-31,111,33,,,
1991-04-01,83,6,,,
1991-04-02,83,6,,,
1991-04-03,94,17,,,
1991-04-04,122,28,,,
1991-04-05,61,22,,,
1991-04-06,50,-33,,,
1991-04-07,67,-56,,,
1991-04-08,106,-56,,,
1991-04-09,100,-44,,,
1991-04-10,28,-72,,,
1991-04-11,83,-61,,,
1991-04-12,150,6,,,
1991-04-13,167,6,,,
1991-04-14,94,-11,,,
1991-04-15,33,-28,,,
1991-04-16,39,-22,,,
1991-04-17,89,-6,,,
1991-04-18,6,-6,,,
1991-04-19,139,17,,,
1991-04-20,56,11,,,
1991-04-21,100,33,,,
1991-04-22,128,33,,,
1991-04-23,72,22,,,
1991-04-24,33,-28,,,
1991-04-25,33,-33,,,
1991-04-26,100,-22,,,
1991-04-27,117,-50,,,
1991-04-28,133,11,,,
1991-04-29,144,6,,,
1991-04-30,150,6,,,
1991-05-01,6,-6,,,
1991-05-02,83,6,,,
1991-05-03,133,0,,,
1991-05-04,172,33,,,
1991-05-05,139,67,,,
1991-05-06,133,28,,,
1991-05-07,150,33,,,
1991-05-08,72,-28,,,
1991-05-09,61,-39,,,
1991-05-10,89,-6,,,
1991-05-11,106,-6,,,
1991-05-12,111,28,,,
1991-05-13,61,22,,,
1991-05-14,150,11,,,
1991-05-15,200,33,,,
1991-05-16,122,11,,,
1991-05-17,0,-28,,,
1991-05-18,-22,-28,,,
1991-05-20,144,72,,,
1991-05-21,206,111,,,
1991-05-22,211,72,,,
1991-05-23,228,83,,,
1991-05-24,222,56,,,
1991-05-25,167,17,,,
1991-05-26,150,33,,,
1991-05-27,183,33,,,
1991-05-28,167,33,,,
1991-05-29,83,28,,,
1991-05-30,94,-6,,,
1991-05-31,206,-17,,,
1991-06-01,239,83,,,
1991-06-02,267,128,,,
1991-06-03,206,78,,,
1991-06-04,150,44,,,
1991-06-05,167,22,,,
1991-06-06,167,11,,,
1991-06-07,228,61,,,
1991-06-08,244,94,,,
1991-06-09,289,122,,,
1991-06-10,289,167,,,
1991-06-11,272,100,,,
1991-06-12,244,39,,,
1991-06-13,189,11,,,
1991-06-14,211,11,,,
1991-06-15,206,67,,,
1991-06-16,211,28,,,
1991-06-17,228,61,,,
1991-06-18,211,100,,,
1991-06-19,111,33,,,
1991-06-20,178,22,,,
1991-06-21,189,72,,,
1991-06-22,194,72,,,
1991-06-23,183,61,,,
1991-06-24,139,56,,,
1991-06-25,139,61,,,
1991-06-26,150,50,,,
1991-06-27,139,61,,,
1991-06-28,139,-339,,,
1991-06-29,117,72,,,
1991-06-30,150,78,,,
1991-07-03,333,244,,,
1991-07-04,289,189,,,
1991-07-05,311,172,,,
1991-07-06,294,150,,,
1991-07-07,278,161,,,
1991-07-08,294,156,,,
1991-07-09,272,139,,,
1991-07-10,250,100,,,
1991-07-11,311,-489,,,
1991-07-12,283,178,,,
1991-07-13,272,161,,,
1991-07-14,217,128,,,
1991-07-15,189,133,,,
1991-07-16,178,106,,,
1991-07-17,233,100,,,
1991-07-18,200,100,,,
1991-07-19,278,128,,,
1991-07-20,144,117,,,
1991-07-21,244,139,,,
1991-07-22,283,183,,,
1991-07-23,289,161,,,
1991-07-24,272,167,,,
1991-07-25,256,122,,,
1991-07-26,272,117,,,
1991-07-27,272,150,,,
1991-07-28,322,189,,,
1991-07-29,294,161,,,
1991-07-30,311,167,,,
1991-07-31,278,167,,,
1991-08-01,239,117,,,
1991-08-02,294,156,,,
1991-08-03,272,150,,,
