DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1989-11-13,189,172,,,
1989-11-14,161,50,,,
1989-11-15,144,50,,,
1989-11-16,183,50,,,
1989-11-17,211,72,,,
1989-11-18,228,61,,,
1989-11-19,239,44,,,
1989-11-20,233,67,,,
1989-11-21,228,67,,,
1989-11-22,178,50,,,
1989-11-23,94,56,,,
1989-11-24,111,17,,,
1989-11-25,28,0,,,
1989-11-26,83,-6,,,
1989-11-27,117,-17,,,
1989-11-28,144,0,,,
1989-11-29,150,17,,,
1989-11-30,144,33,,,
1989-12-01,4844,22,,,
1989-12-02,167,39,,,
1989-12-03,172,39,,,
1989-12-04,172,72,,,
1989-12-05,156,61,,,
1989-12-06,172,39,,,
1989-12-07,178,28,,,
1989-12-08,94,28,,,
1989-12-09,122,28,,,
1989-12-10,128,-6,,,
1989-12-11,139,-6,,,
1989-12-12,150,0,,,
1989-12-13,178,33,,,
1989-12-14,178,39,,,
1989-12-15,211,61,,,
1989-12-16,172,22,,,
1989-12-17,144,-6,,,
1989-12-18,161,-6,,,
1989-12-19,178,22,,,
1989-12-20,94,0,,,
1989-12-21,156,28,,,
1989-12-22,178,28,,,
1989-12-23,189,39,,,
1989-12-24,161,61,,,
1989-12-25,189,56,,,
1989-12-26,189,39,,,
1989-12-27,128,17,,,
1989-12-28,128,11,,,
1989-12-29,144,28,,,
1989-12-30,183,22,,,
1989-12-31,89,6,,,
1990-01-01,28,-6,,,
1990-01-02,106,-17,,,
1990-01-03,117,-17,,,
1990-01-04,106,-6,,,
1990-01-05,167,6,,,
1990-01-06,44,6,,,
1990-01-07,67,0,,,
1990-01-08,100,67,,,
1990-01-09,100,50,,,
1990-01-10,117,44,,,
1990-01-11,161,44,,,
1990-01-12,72,50,,,
1990-01-13,56,11,,,
1990-01-14,89,17,,,
1990-01-15,122,11,,,
1990-01-16,67,6,,,
1990-01-17,111,0,,,
1990-01-18,133,-6,,,
1990-01-19,2628,-17,,,
1990-01-20,144,-11,,,
1990-01-21,167,11,,,
1990-01-22,167,0,,,
1990-01-23,161,11,,,
1990-01-24,167,11,,,
1990-01-25,122,22,,,
1990-01-26,106,-6,,,
1990-01-27,122,-28,,,
1990-01-28,72,-17,,,
1990-01-29,78,-11,,,
1990-01-30,33,-6,,,
1990-01-31,33,-28,,,
1990-02-01,22,-11,,,
1990-02-02,94,-28,,,
1990-02-03,28,-6,,,
1990-02-04,89,-33,,,
1990-02-05,44,-22,,,
1990-02-06,94,-44,,,
1990-02-07,78,-67,,,
1990-02-08,33,-6,,,
1990-02-09,83,6,,,
1990-02-10,167,11,,,
1990-02-11,172,6,,,
1990-02-12,106,-17,,,
1990-02-13,72,-50,,,
1990-02-14,67,-72,,,
1990-02-15,28,-50,,,
1990-02-16,6,-17,,,
