DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-05-24,156,139,,,
2001-05-25,261,128,,,
2001-05-26,167,139,,,
2001-05-27,167,133,,,
2001-05-28,172,128,,,
2001-05-29,244,111,,,
2001-05-30,261,139,,,
2001-05-31,294,133,,,
2001-06-01,244,139,,,
2001-06-02,194,133,,,
2001-06-03,200,117,,,
2001-06-04,233,122,,,
2001-06-05,244,128,,,
2001-06-06,272,122,,,
2001-06-07,272,133,,,
2001-06-08,272,128,,,
2001-06-09,278,144,,,
2001-06-10,261,122,,,
2001-06-11,261,122,,,
2001-06-12,217,139,,,
2001-06-13,211,139,,,
2001-06-14,333,139,,,
2001-06-15,306,150,,,
2001-06-16,300,150,,,
2001-06-17,311,150,,,
2001-06-18,333,161,,,
2001-06-19,317,183,,,
2001-06-20,328,178,,,
2001-06-21,311,194,,,
2001-06-22,350,189,,,
2001-06-23,339,150,,,
2001-06-24,300,150,,,
2001-06-25,283,133,,,
2001-06-26,294,133,,,
2001-06-27,306,156,,,
2001-06-28,306,167,,,
2001-06-29,300,150,,,
2001-06-30,311,133,,,
2001-07-01,311,150,,,
2001-07-02,328,167,,,
2001-07-03,317,200,,,
2001-07-04,339,189,,,
2001-07-05,367,183,,,
2001-07-06,294,167,,,
2001-07-07,306,156,,,
2001-07-08,294,156,,,
2001-07-09,272,144,,,
2001-07-10,278,133,,,
2001-07-11,267,128,,,
2001-07-12,278,128,,,
2001-07-13,278,139,,,
2001-07-14,278,133,,,
2001-07-15,250,133,,,
2001-07-16,250,128,,,
2001-07-17,278,128,,,
2001-07-18,278,128,,,
2001-07-19,283,128,,,
2001-07-20,283,111,,,
2001-07-21,283,139,,,
2001-07-22,283,128,,,
2001-07-23,267,128,,,
2001-07-24,267,128,,,
2001-07-25,267,139,,,
2001-07-26,267,128,,,
2001-07-27,306,150,,,
2001-07-28,300,133,,,
2001-07-29,283,156,,,
2001-07-30,261,150,,,
2001-07-31,261,156,,,
2001-08-01,267,144,,,
2001-08-02,289,150,,,
2001-08-03,283,139,,,
2001-08-04,294,122,,,
2001-08-05,317,139,,,
2001-08-06,339,172,,,
2001-08-07,311,172,,,
2001-08-09,167,156,,,
2001-08-10,306,150,,,
2001-08-11,306,139,,,
2001-08-12,278,150,,,
2001-08-13,322,150,,,
2001-08-14,378,183,,,
2001-08-15,367,172,,,
2001-08-16,350,144,,,
2001-08-17,328,161,,,
2001-08-18,356,206,,,
2001-08-19,350,167,,,
2001-08-20,300,156,,,
2001-08-21,272,144,,,
2001-08-22,261,139,,,
2001-08-23,294,139,,,
2001-08-24,306,150,,,
2001-08-25,317,139,,,
2001-08-26,328,156,,,
2001-08-27,322,150,,,
2001-08-28,289,128,,,
2001-08-29,261,122,,,
2001-08-30,289,150,,,
2001-08-31,283,144,,,
2001-09-01,322,150,,,
2001-09-02,311,172,,,
2001-09-03,300,172,,,
2001-09-04,306,156,,,
2001-09-05,294,150,,,
2001-09-06,261,144,,,
2001-09-07,267,150,,,
2001-09-08,244,156,,,
2001-09-09,267,150,,,
2001-09-10,250,150,,,
2001-09-11,272,144,,,
2001-09-12,272,139,,,
2001-09-13,306,139,,,
2001-09-14,361,183,,,
2001-09-15,328,161,,,
2001-09-16,306,122,,,
2001-09-17,261,111,,,
2001-09-18,267,128,,,
2001-09-19,283,133,,,
2001-09-20,283,133,,,
2001-09-21,328,144,,,
2001-09-22,322,150,,,
2001-09-23,311,139,,,
2001-09-24,400,200,,,
2001-09-25,389,211,,,
2001-09-26,339,189,,,
2001-09-27,356,200,,,
2001-09-28,344,183,,,
2001-09-29,372,189,,,
2001-09-30,406,172,,,
2001-10-01,367,228,,,
2001-10-02,339,161,,,
2001-10-03,283,139,,,
2001-10-04,283,128,,,
2001-10-05,233,133,,,
2001-10-06,217,133,,,
2001-10-07,244,133,,,
2001-10-08,233,128,,,
2001-10-09,228,122,,,
2001-10-10,283,122,,,
2001-10-11,283,117,,,
2001-10-12,317,106,,,
2001-10-13,328,200,,,
2001-10-14,350,183,,,
2001-10-15,356,189,,,
2001-10-16,339,133,,,
2001-10-17,294,111,,,
2001-10-18,306,156,,,
2001-10-19,311,133,,,
2001-10-20,256,111,,,
2001-10-21,239,111,,,
2001-10-22,244,128,,,
2001-10-23,244,111,,,
2001-10-24,250,111,,,
2001-10-25,272,139,,,
2001-10-26,283,167,,,
2001-10-27,250,128,,,
2001-10-28,183,139,,,
2001-10-29,256,128,,,
2001-10-30,250,144,,,
2001-10-31,228,117,,,
2001-11-01,239,117,,,
2001-11-02,222,111,,,
2001-11-03,267,111,,,
2001-11-04,250,139,,,
2001-11-05,283,128,,,
2001-11-06,233,122,,,
2001-11-07,228,117,,,
2001-11-08,311,122,,,
2001-11-09,228,128,,,
2001-11-10,217,133,,,
2001-11-11,250,128,,,
2001-11-12,239,100,,,
2001-11-13,189,106,,,
2001-11-14,239,106,,,
2001-11-15,278,156,,,
2001-11-16,272,133,,,
2001-11-17,244,133,,,
2001-11-18,250,161,,,
2001-11-19,278,178,,,
2001-11-20,283,150,,,
2001-11-21,244,128,,,
2001-11-22,189,117,,,
2001-11-23,217,117,,,
2001-11-24,156,94,,,
2001-11-25,167,78,,,
2001-11-26,161,83,,,
2001-11-27,172,94,,,
2001-11-28,194,100,,,
2001-11-29,111,78,,,
2001-11-30,172,89,,,
2001-12-01,194,89,,,
2001-12-02,172,94,,,
2001-12-03,161,89,,,
2001-12-04,167,67,,,
2001-12-05,178,78,,,
2001-12-06,233,106,,,
2001-12-07,261,172,,,
2001-12-08,256,167,,,
2001-12-09,189,67,,,
2001-12-10,139,56,,,
2001-12-11,161,61,,,
2001-12-12,172,78,,,
2001-12-13,178,83,,,
2001-12-14,106,67,,,
2001-12-15,156,61,,,
2001-12-16,194,72,,,
2001-12-17,200,100,,,
2001-12-18,211,94,,,
2001-12-19,228,94,,,
2001-12-20,150,72,,,
2001-12-21,117,67,,,
2001-12-22,161,67,,,
2001-12-23,178,78,,,
2001-12-24,211,111,,,
2001-12-25,228,111,,,
2001-12-26,233,122,,,
2001-12-27,222,111,,,
2001-12-28,211,111,,,
2001-12-29,150,100,,,
2001-12-30,183,111,,,
2001-12-31,150,106,,,
2002-01-01,194,94,,,
2002-01-02,183,89,,,
2002-01-03,189,100,,,
2002-01-04,200,83,,,
2002-01-05,222,133,,,
2002-01-06,244,139,,,
2002-01-07,283,172,,,
2002-01-08,267,117,,,
2002-01-09,183,94,,,
2002-01-10,239,83,,,
2002-01-11,278,167,,,
2002-01-12,283,128,,,
