DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1985-01-12,100,84,,,
1985-01-13,151,21,,,
1985-01-14,57,29,,,
1985-01-15,131,13,,,
1985-01-16,45,45,,,
1985-01-18,194,45,,,
1985-01-19,108,25,,,
1985-01-20,123,61,,,
1985-01-21,108,72,,,
1985-01-22,72,61,,,
1985-01-23,162,45,,,
1985-01-24,167,33,,,
1985-01-25,171,17,,,
1985-01-26,151,25,,,
1985-01-28,80,21,,,
1985-01-29,119,2,,,
1985-01-30,108,29,,,
1985-01-31,116,13,,,
1985-02-01,108,-29,,,
1985-02-02,104,-2,,,
1985-02-03,108,-38,,,
1985-02-04,112,-6,,,
1985-02-05,127,-22,,,
1985-02-06,131,-10,,,
1985-02-07,131,-10,,,
1985-02-08,104,37,,,
1985-02-09,127,29,,,
1985-02-10,158,45,,,
1985-02-11,186,29,,,
1985-02-12,261,49,,,
1985-02-13,233,88,,,
1985-02-14,249,88,,,
1985-02-15,280,64,,,
1985-02-16,268,57,,,
1985-02-17,209,53,,,
1985-02-18,221,72,,,
1985-02-19,202,53,,,
1985-02-20,139,80,,,
1985-02-21,206,61,,,
1985-02-22,213,37,,,
1985-02-24,182,57,,,
1985-02-25,245,41,,,
1985-02-26,245,49,,,
1985-02-27,225,41,,,
1985-02-28,233,29,,,
1985-03-17,80,45,,,
1985-03-18,119,33,,,
1985-03-19,190,25,,,
1985-03-20,245,76,,,
1985-03-21,198,76,,,
1985-03-22,217,25,,,
1985-03-23,264,37,,,
1985-03-24,237,49,,,
1985-03-25,167,33,,,
1985-03-26,154,9,,,
1985-03-27,139,84,,,
1985-03-28,127,76,,,
1985-03-29,151,88,,,
1985-03-31,268,104,,,
1985-04-01,288,100,,,
1985-04-02,304,104,,,
1985-04-03,288,72,,,
1985-04-04,229,61,,,
1985-04-05,213,92,,,
1985-04-06,178,104,,,
1985-04-07,264,84,,,
1985-04-08,261,84,,,
1985-04-09,264,72,,,
1985-04-10,237,92,,,
1985-04-11,245,68,,,
1985-04-12,316,92,,,
1985-04-13,358,104,,,
1985-04-14,316,92,,,
1985-04-15,249,64,,,
1985-04-16,167,116,,,
1985-04-17,174,72,,,
1985-04-18,198,49,,,
1985-04-22,194,72,,,
1985-04-23,284,53,,,
1985-04-24,261,112,,,
1985-04-25,162,108,,,
1985-04-26,229,92,,,
1985-04-27,264,64,,,
1985-04-28,233,61,,,
1985-04-29,241,57,,,
1985-04-30,292,80,,,
1985-05-01,304,92,,,
1985-05-02,276,92,,,
1985-05-03,253,80,,,
1985-05-04,92,76,,,
1985-05-06,202,119,,,
1985-05-07,194,64,,,
1985-05-08,209,76,,,
1985-05-09,198,88,,,
1985-05-10,186,68,,,
1985-05-11,186,49,,,
1985-05-12,217,45,,,
1985-05-13,304,61,,,
1985-05-14,300,96,,,
1985-05-15,272,80,,,
1985-05-16,221,72,,,
1985-05-17,213,61,,,
1985-05-18,245,64,,,
1985-05-19,213,76,,,
1985-05-20,233,100,,,
1985-05-21,257,76,,,
1985-05-22,304,147,,,
1985-05-23,323,119,,,
1985-05-24,284,104,,,
1985-05-25,222,116,,,
1985-05-26,210,92,,,
1985-05-27,218,88,,,
1985-05-28,241,69,,,
1985-05-29,257,81,,,
1985-05-30,233,84,,,
1985-05-31,178,81,,,
1985-06-01,214,64,,,
1985-06-03,233,108,,,
1985-06-04,253,88,,,
1985-06-05,312,116,,,
1985-06-06,371,139,,,
1985-06-07,355,288,,,
1985-06-08,323,174,,,
1985-06-09,336,123,,,
1985-06-10,323,127,,,
1985-06-11,319,123,,,
1985-06-12,312,131,,,
1985-06-13,304,119,,,
1985-06-14,300,116,,,
1985-06-15,339,131,,,
1985-06-16,143,127,,,
1985-06-28,367,273,,,
1985-06-29,327,131,,,
1985-07-01,394,198,,,
1985-07-02,382,178,,,
1985-07-03,418,288,,,
1985-09-16,257,131,,,
1985-09-17,253,116,,,
1985-09-18,202,88,,,
1985-09-19,249,96,,,
1985-09-20,312,88,,,
1985-09-21,339,112,,,
1985-09-22,327,123,,,
1985-09-23,347,127,,,
1985-09-24,367,143,,,
1985-09-25,323,139,,,
1985-09-26,241,174,,,
1985-09-27,241,139,,,
1985-09-28,249,112,,,
1985-09-29,210,119,,,
1985-09-30,257,119,,,
1985-10-01,296,81,,,
1985-10-02,359,108,,,
1985-10-03,371,147,,,
1985-10-04,308,147,,,
1985-10-06,265,159,,,
1985-10-07,226,127,,,
1985-10-08,190,131,,,
1985-10-09,190,116,,,
1985-10-10,253,108,,,
1985-10-11,241,73,,,
1985-10-12,245,84,,,
1985-10-13,269,64,,,
1985-10-14,261,136,,,
1985-10-15,288,163,,,
1985-10-16,312,100,,,
1985-10-17,237,69,,,
1985-10-18,257,88,,,
1985-10-19,284,69,,,
1985-10-20,253,81,,,
1985-10-21,143,73,,,
1985-10-22,210,49,,,
1985-10-23,281,69,,,
1985-10-24,300,96,,,
1985-10-25,277,84,,,
1985-10-27,261,127,,,
1985-10-28,218,92,,,
1985-10-29,222,73,,,
1985-10-30,214,64,,,
1985-10-31,233,84,,,
1985-11-01,277,84,,,
1985-11-02,296,116,,,
1985-11-03,296,100,,,
1985-11-04,123,112,,,
1986-01-16,88,64,,,
1986-01-17,233,49,,,
1986-01-18,253,-81,,,
1986-01-19,241,64,,,
1986-01-20,174,41,,,
1986-01-21,182,45,,,
1986-01-22,174,29,,,
1986-01-23,100,26,,,
1986-01-24,198,61,,,
1986-01-25,229,64,,,
1986-01-26,218,69,,,
1986-01-27,174,53,,,
1986-01-28,190,53,,,
1986-01-29,190,49,,,
1986-01-30,139,77,,,
1986-01-31,116,77,,,
1986-02-01,84,61,,,
1986-02-03,131,49,,,
1986-02-04,127,45,,,
1986-02-05,174,22,,,
1986-02-06,104,2,,,
1986-02-07,77,6,,,
1986-02-08,108,49,,,
1986-02-09,104,-6,,,
1986-02-10,96,-22,,,
1986-02-11,112,45,,,
1986-02-12,100,64,,,
1986-02-13,116,81,,,
1986-02-14,159,81,,,
1986-02-15,147,88,,,
1986-02-16,159,104,,,
1986-02-17,139,116,,,
1986-02-18,143,112,,,
1986-02-19,178,88,,,
1986-02-20,163,73,,,
1986-02-21,218,104,,,
1986-02-22,233,49,,,
1986-02-23,265,163,,,
1986-02-24,284,119,,,
1986-02-25,308,269,,,
1986-02-26,308,136,,,
1986-02-27,308,84,,,
1986-02-28,241,119,,,
1986-03-01,190,96,,,
1986-03-03,257,69,,,
1986-03-04,292,92,,,
1986-03-05,277,81,,,
1986-03-06,190,81,,,
1986-03-07,155,119,,,
1986-03-08,136,57,,,
1986-03-09,147,33,,,
1986-03-10,104,64,,,
1986-03-11,155,41,,,
1986-03-12,155,49,,,
1986-03-13,108,41,,,
1986-03-14,155,29,,,
1986-03-15,112,37,,,
1986-03-16,88,29,,,
1986-03-17,171,18,,,
1986-03-18,202,53,,,
1986-03-19,229,37,,,
1986-03-20,261,45,,,
1986-03-21,269,64,,,
1986-03-22,281,64,,,
1986-03-23,253,73,,,
1986-03-24,241,73,,,
1986-03-25,269,96,,,
1986-03-26,304,81,,,
1986-03-27,300,81,,,
1986-03-28,206,88,,,
1986-03-29,194,92,,,
1986-03-30,222,77,,,
1986-03-31,214,96,,,
1986-04-01,159,104,,,
1986-04-02,171,41,,,
1986-04-03,214,41,,,
1986-04-04,202,29,,,
1986-04-05,131,69,,,
1986-04-06,136,84,,,
1986-04-07,163,81,,,
1986-04-08,194,61,,,
1986-04-09,249,53,,,
1986-04-10,229,88,,,
1986-04-11,182,81,,,
1986-04-12,155,64,,,
1986-04-13,222,53,,,
1986-04-14,222,64,,,
1986-04-15,190,41,,,
1986-04-16,159,57,,,
1986-04-17,178,49,,,
1986-04-18,245,84,,,
1986-04-19,281,81,,,
1986-04-20,323,108,,,
1986-04-21,300,84,,,
1986-04-22,237,77,,,
1986-04-23,210,77,,,
