DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-03-29,117,83,,,
2002-03-30,178,78,,,
2002-03-31,172,78,,,
2002-04-01,156,72,,,
2002-04-02,133,78,,,
2002-04-03,156,78,,,
2002-04-04,161,83,,,
2002-04-05,161,78,,,
2002-04-06,167,78,,,
2002-04-07,156,78,,,
2002-04-08,167,83,,,
2002-04-09,183,83,,,
2002-04-10,178,94,,,
2002-04-11,239,128,,,
2002-04-12,228,139,,,
2002-04-13,283,144,,,
2002-04-14,256,89,,,
2002-04-15,139,67,,,
2002-04-16,161,44,,,
2002-04-17,133,67,,,
2002-04-18,144,50,,,
2002-04-19,161,56,,,
2002-04-20,139,67,,,
2002-04-21,178,67,,,
2002-04-22,211,89,,,
2002-04-23,211,83,,,
2002-04-24,211,89,,,
2002-04-25,189,100,,,
2002-04-26,117,100,,,
2002-04-27,156,78,,,
2002-04-28,172,72,,,
2002-04-29,178,72,,,
2002-04-30,144,83,,,
2002-05-01,144,83,,,
2002-05-02,150,100,,,
2002-05-03,139,94,,,
2002-05-04,144,89,,,
2002-05-05,150,89,,,
2002-05-06,150,78,,,
2002-05-07,139,83,,,
2002-05-08,178,100,,,
2002-05-09,183,94,,,
2002-05-10,144,89,,,
2002-05-11,178,78,,,
2002-05-12,239,89,,,
2002-05-13,189,78,,,
2002-05-14,156,67,,,
2002-05-15,144,78,,,
2002-05-16,172,78,,,
2002-05-17,167,72,,,
2002-05-18,161,67,,,
2002-05-19,206,56,,,
2002-05-20,167,100,,,
2002-05-21,167,72,,,
2002-05-22,183,72,,,
2002-05-23,206,78,,,
2002-05-24,228,106,,,
2002-05-25,167,94,,,
2002-05-26,150,94,,,
2002-05-27,172,89,,,
2002-05-28,189,89,,,
2002-05-29,267,100,,,
2002-05-30,256,106,,,
2002-05-31,217,106,,,
2002-06-01,167,89,,,
2002-06-02,150,89,,,
2002-06-03,161,83,,,
2002-06-04,256,100,,,
2002-06-05,322,211,,,
2002-06-06,250,89,,,
2002-06-07,172,83,,,
2002-06-08,206,72,,,
2002-06-09,211,67,,,
2002-06-10,222,128,,,
2002-06-11,189,111,,,
2002-06-12,222,117,,,
2002-06-13,194,89,,,
2002-06-14,167,89,,,
2002-06-15,194,83,,,
2002-06-16,228,83,,,
2002-06-17,217,78,,,
2002-06-18,244,94,,,
2002-06-19,172,89,,,
2002-06-20,139,89,,,
2002-06-21,167,94,,,
2002-06-22,167,94,,,
2002-06-23,200,89,,,
2002-06-24,178,89,,,
2002-06-25,194,89,,,
2002-06-26,194,89,,,
2002-06-27,172,100,,,
2002-06-28,161,94,,,
2002-06-29,206,100,,,
2002-06-30,233,106,,,
2002-07-01,256,111,,,
2002-07-02,200,106,,,
