DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1949-02-01,11.0,-50.0,0.0,229.0,0
1949-02-02,-17.0,-72.0,0.0,229.0,0
1949-02-03,-22.0,-189.0,0.0,203.0,0
1949-02-04,22.0,-67.0,56.0,203.0,0
1949-02-05,17.0,-39.0,0.0,203.0,0
1949-02-06,-6.0,-161.0,0.0,203.0,0
1949-02-07,67.0,-78.0,43.0,152.0,8
1949-02-08,56.0,-89.0,0.0,127.0,0
1949-02-09,111.0,-50.0,0.0,102.0,0
1949-02-10,33.0,-56.0,0.0,102.0,0
1949-02-11,11.0,-72.0,0.0,102.0,0
1949-02-12,0.0,-150.0,0.0,102.0,0
1949-02-13,111.0,-11.0,13.0,76.0,0
1949-02-14,122.0,17.0,0.0,25.0,0
1949-02-15,156.0,44.0,8.0,0.0,0
1949-02-16,133.0,22.0,53.0,0.0,0
1949-02-17,44.0,-33.0,66.0,51.0,43
1949-02-18,50.0,-94.0,0.0,0.0,0
1949-02-19,128.0,-6.0,0.0,0.0,0
1949-02-20,133.0,50.0,71.0,0.0,0
1949-02-21,78.0,-67.0,0.0,0.0,0
1949-02-22,28.0,-22.0,20.0,0.0,0
1949-02-23,72.0,11.0,127.0,0.0,0
1949-02-24,111.0,-33.0,0.0,0.0,0
1949-02-25,61.0,22.0,41.0,0.0,0
1949-02-26,56.0,-39.0,20.0,0.0,0
1949-02-27,17.0,-100.0,0.0,0.0,0
1949-02-28,11.0,-56.0,203.0,229.0,231
1949-03-01,22.0,-67.0,51.0,330.0,91
1949-03-02,6.0,-83.0,0.0,279.0,0
1949-03-03,33.0,-67.0,0.0,203.0,0
1949-03-04,33.0,-139.0,0.0,178.0,0
1949-03-05,133.0,-17.0,0.0,76.0,0
1949-03-06,100.0,6.0,18.0,25.0,0
1949-03-07,33.0,-33.0,0.0,0.0,0
1949-03-08,100.0,-122.0,0.0,0.0,0
1949-03-09,161.0,-67.0,0.0,0.0,0
1949-03-10,78.0,11.0,0.0,0.0,0
1949-03-11,50.0,0.0,145.0,51.0,81
1949-03-12,11.0,-39.0,10.0,51.0,5
1949-03-13,44.0,-67.0,28.0,76.0,25
1949-03-14,83.0,-94.0,0.0,25.0,0
1949-03-15,44.0,-39.0,0.0,0.0,0
1949-03-16,28.0,-78.0,0.0,0.0,0
1949-03-17,56.0,-39.0,0.0,0.0,0
1949-03-18,17.0,-72.0,114.0,127.0,122
1949-03-19,-22.0,-144.0,0.0,102.0,0
1949-03-20,6.0,-183.0,0.0,,0
1949-03-21,122.0,-94.0,0.0,0.0,0
1949-03-22,178.0,28.0,0.0,0.0,0
1949-03-23,200.0,106.0,142.0,0.0,0
1949-03-24,167.0,11.0,0.0,0.0,0
1949-03-25,111.0,-17.0,0.0,0.0,0
1949-03-26,244.0,44.0,10.0,,0
1949-03-27,256.0,144.0,0.0,,0
1949-03-28,222.0,144.0,0.0,0.0,0
1949-03-29,194.0,44.0,0.0,0.0,0
1949-03-30,167.0,56.0,0.0,0.0,0
1949-03-31,100.0,33.0,10.0,0.0,0
1949-04-01,128.0,17.0,3.0,0.0,0
