DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2017-08-02,294.0,156.0,0.0,,
2017-08-03,289.0,150.0,5.0,,
2017-08-04,,,0.0,,
2017-08-05,250.0,156.0,546.0,,
2017-08-07,189.0,133.0,91.0,,
2017-08-08,239.0,156.0,0.0,,
2017-08-09,272.0,128.0,0.0,,
2017-08-10,278.0,139.0,0.0,,
2017-08-11,256.0,150.0,20.0,,
2017-08-12,239.0,150.0,76.0,,
2017-08-13,267.0,161.0,0.0,,
2017-08-14,256.0,139.0,0.0,,
2017-08-15,239.0,189.0,23.0,,
2017-08-16,272.0,178.0,0.0,,
2017-08-17,261.0,139.0,0.0,,
2017-08-18,261.0,189.0,15.0,,
2017-08-19,278.0,200.0,3.0,,
2017-08-20,256.0,156.0,0.0,,
2017-08-21,278.0,150.0,0.0,,
2017-08-22,300.0,200.0,15.0,,
2017-08-23,250.0,133.0,3.0,,
2017-08-24,233.0,117.0,0.0,,
2017-08-25,228.0,122.0,0.0,,
2017-08-26,222.0,83.0,0.0,,
2017-08-27,233.0,100.0,0.0,,
2017-08-28,228.0,100.0,0.0,,
2017-08-29,178.0,128.0,18.0,,
2017-08-30,233.0,128.0,5.0,,
2017-08-31,239.0,117.0,0.0,,
2017-09-01,189.0,72.0,0.0,,
2017-09-02,183.0,56.0,41.0,,
2017-09-03,150.0,100.0,229.0,,
2017-09-04,250.0,122.0,0.0,,
2017-09-05,278.0,178.0,61.0,,
2017-09-06,200.0,144.0,84.0,,
2017-09-07,206.0,122.0,3.0,,
2017-09-09,183.0,111.0,0.0,,
2017-09-10,206.0,89.0,0.0,,
2017-09-11,228.0,72.0,0.0,,
2017-09-12,256.0,94.0,0.0,,
2017-09-13,267.0,117.0,0.0,,
2017-09-14,256.0,183.0,3.0,,
2017-09-15,256.0,161.0,3.0,,
2017-09-16,267.0,156.0,0.0,,
2017-09-17,272.0,161.0,0.0,,
2017-09-18,239.0,172.0,0.0,,
2017-09-19,211.0,178.0,30.0,,
2017-09-20,233.0,194.0,0.0,,
2017-09-21,233.0,178.0,0.0,,
2017-09-22,256.0,161.0,0.0,,
2017-09-23,283.0,167.0,0.0,,
2017-09-24,311.0,156.0,0.0,,
2017-09-25,311.0,172.0,0.0,,
2017-09-26,294.0,161.0,0.0,,
2017-09-27,300.0,156.0,0.0,,
2017-09-28,222.0,106.0,0.0,,
2017-09-29,178.0,56.0,0.0,,
2017-09-30,139.0,89.0,13.0,,
2017-10-01,172.0,39.0,0.0,,
2017-10-02,211.0,28.0,0.0,,
2017-10-03,194.0,61.0,0.0,,
2017-10-04,239.0,78.0,0.0,,
2017-10-05,256.0,133.0,0.0,,
2017-10-06,256.0,111.0,0.0,,
2017-10-07,244.0,156.0,0.0,,
2017-10-08,228.0,206.0,58.0,,
2017-10-09,228.0,206.0,61.0,,
2017-10-11,217.0,117.0,5.0,,
2017-10-12,167.0,72.0,10.0,,
2017-10-13,183.0,56.0,0.0,,
2017-10-14,217.0,133.0,0.0,,
2017-10-15,222.0,144.0,3.0,,
2017-10-17,139.0,11.0,0.0,,
2017-10-18,217.0,39.0,0.0,,
2017-10-19,211.0,61.0,0.0,,
2017-10-20,206.0,67.0,0.0,,
2017-10-21,250.0,44.0,0.0,,
2017-10-22,244.0,67.0,0.0,,
2017-10-23,211.0,106.0,0.0,,
2017-10-24,217.0,172.0,564.0,,
2017-10-25,183.0,117.0,28.0,,
2017-10-26,133.0,44.0,0.0,,
2017-10-27,161.0,33.0,0.0,,
2017-10-28,183.0,50.0,0.0,,
2017-10-29,189.0,150.0,1344.0,,
2017-10-30,172.0,67.0,79.0,,
2017-10-31,122.0,17.0,0.0,,
2017-11-01,89.0,-10.0,0.0,,
2017-11-02,211.0,83.0,0.0,,
2017-11-03,233.0,67.0,0.0,,
2017-11-04,128.0,22.0,0.0,,
2017-11-05,150.0,61.0,36.0,,
2017-11-06,178.0,56.0,5.0,,
2017-11-07,78.0,6.0,89.0,,
2017-11-08,72.0,-16.0,3.0,,
2017-11-09,94.0,-32.0,0.0,,
2017-11-10,94.0,-66.0,3.0,,
2017-11-11,11.0,-77.0,0.0,,
2017-11-12,72.0,-60.0,0.0,,
2017-11-13,44.0,-5.0,3.0,,
2017-11-14,33.0,-10.0,0.0,,
2017-11-15,78.0,-27.0,0.0,,
2017-11-16,111.0,50.0,46.0,,
2017-11-17,67.0,-27.0,0.0,,
2017-11-18,106.0,-55.0,53.0,,
2017-11-19,133.0,17.0,41.0,,
2017-11-20,50.0,-5.0,0.0,,
2017-11-21,128.0,6.0,0.0,,
2017-11-22,89.0,6.0,66.0,,
2017-11-23,39.0,-27.0,0.0,,
2017-11-24,89.0,-38.0,0.0,,
2017-11-26,72.0,0.0,0.0,,
2017-11-27,78.0,-32.0,0.0,,
2017-11-28,78.0,-55.0,0.0,,
2017-11-29,150.0,-5.0,0.0,,
2017-11-30,78.0,-49.0,8.0,,
2017-12-01,78.0,0.0,8.0,,
2017-12-02,56.0,-32.0,0.0,,
2017-12-03,56.0,-21.0,0.0,,
2017-12-04,83.0,-32.0,0.0,,
2017-12-05,139.0,50.0,114.0,,
2017-12-06,128.0,6.0,8.0,,
2017-12-08,11.0,-43.0,0.0,,
2017-12-09,-5.0,-27.0,10.0,,
2017-12-10,17.0,-38.0,28.0,,
2017-12-11,22.0,-21.0,8.0,,
2017-12-12,61.0,-27.0,76.0,,
2017-12-13,-27.0,-93.0,0.0,,
2017-12-14,-16.0,-110.0,5.0,,
2017-12-15,-38.0,-143.0,3.0,,
2017-12-16,0.0,-88.0,0.0,,
2017-12-17,6.0,-116.0,0.0,,
2017-12-18,39.0,-32.0,0.0,,
2017-12-19,100.0,33.0,0.0,,
2017-12-20,83.0,-27.0,0.0,,
2017-12-21,6.0,-32.0,0.0,,
2017-12-22,6.0,-38.0,0.0,,
2017-12-23,61.0,-32.0,130.0,,
2017-12-24,28.0,-21.0,3.0,,
2017-12-25,11.0,-55.0,46.0,,
2017-12-26,-38.0,-105.0,0.0,,
2017-12-27,-60.0,-160.0,0.0,,
2017-12-28,-105.0,-166.0,0.0,,
2017-12-29,-82.0,-166.0,0.0,,
2017-12-30,-66.0,-166.0,3.0,,
2017-12-31,-121.0,-160.0,0.0,,
2018-01-01,-110.0,-188.0,0.0,,
2018-01-02,-55.0,-166.0,0.0,,
2018-01-03,-21.0,-160.0,0.0,,
2018-01-04,-49.0,-88.0,18.0,,
2018-01-05,-71.0,-160.0,3.0,,
2018-01-06,-110.0,-177.0,0.0,,
2018-01-07,-88.0,-227.0,0.0,,
2018-01-08,-16.0,-110.0,3.0,,
2018-01-09,39.0,-49.0,0.0,,
2018-01-10,22.0,-105.0,0.0,,
2018-01-11,83.0,-5.0,0.0,,
2018-01-12,150.0,67.0,587.0,,
2018-01-13,139.0,-110.0,76.0,,
2018-01-14,-60.0,-138.0,0.0,,
2018-01-15,-60.0,-127.0,0.0,,
2018-01-16,6.0,-93.0,0.0,,
2018-01-17,11.0,-99.0,51.0,,
2018-01-18,-27.0,-127.0,0.0,,
2018-01-19,6.0,-110.0,0.0,,
2018-01-20,72.0,-43.0,0.0,,
2018-01-21,78.0,-16.0,0.0,,
2018-01-22,39.0,22.0,3.0,,
2018-01-23,122.0,17.0,142.0,,
2018-01-24,44.0,-71.0,0.0,,
2018-01-25,-21.0,-82.0,0.0,,
2018-01-26,11.0,-99.0,0.0,,
2018-01-27,89.0,-38.0,0.0,,
2018-01-28,89.0,28.0,33.0,,
2018-01-29,44.0,-21.0,0.0,,
2018-01-30,11.0,-71.0,5.0,,
2018-01-31,0.0,-110.0,0.0,,
2018-02-01,44.0,-32.0,46.0,,
2018-02-02,6.0,-138.0,53.0,,
2018-02-03,-21.0,-160.0,0.0,,
2018-02-04,67.0,-49.0,236.0,,
2018-02-05,61.0,-88.0,5.0,,
2018-02-06,0.0,-93.0,0.0,,
2018-02-07,39.0,-60.0,130.0,,
2018-02-08,-21.0,-99.0,0.0,,
2018-02-09,-10.0,-116.0,3.0,,
2018-02-10,72.0,-10.0,119.0,,
2018-02-11,122.0,50.0,201.0,,
2018-02-12,139.0,-38.0,3.0,,
2018-02-13,17.0,-71.0,0.0,,
2018-02-14,72.0,-27.0,0.0,,
2018-02-16,111.0,0.0,3.0,,
2018-02-17,28.0,-49.0,41.0,,
2018-02-18,44.0,-32.0,81.0,,
2018-02-19,67.0,-43.0,41.0,,
2018-02-20,200.0,67.0,0.0,,
2018-02-21,244.0,106.0,0.0,,
2018-02-22,100.0,-5.0,43.0,,
2018-02-23,22.0,-10.0,51.0,,
2018-02-24,106.0,22.0,61.0,,
2018-02-25,44.0,22.0,218.0,,
2018-02-26,89.0,-5.0,0.0,,
2018-02-27,106.0,-21.0,0.0,,
2018-02-28,128.0,11.0,0.0,,
2018-03-01,144.0,33.0,18.0,,
2018-03-02,56.0,6.0,262.0,,
2018-03-03,56.0,6.0,0.0,,
2018-03-04,33.0,-10.0,0.0,,
2018-03-05,28.0,-16.0,0.0,,
2018-03-06,72.0,-60.0,5.0,,
2018-03-07,11.0,-16.0,76.0,,
2018-03-08,28.0,-16.0,23.0,,
2018-03-09,33.0,-32.0,0.0,,
2018-03-10,28.0,-21.0,0.0,,
2018-03-11,44.0,-38.0,0.0,,
2018-03-13,11.0,-16.0,0.0,,
2018-03-14,28.0,-32.0,0.0,,
2018-03-15,56.0,-27.0,0.0,,
2018-03-16,17.0,-43.0,0.0,,
2018-03-17,61.0,-60.0,0.0,,
2018-03-18,11.0,-82.0,0.0,,
2018-03-19,22.0,-43.0,0.0,,
2018-03-20,22.0,-71.0,0.0,,
2018-03-21,17.0,-16.0,10.0,,
2018-03-22,78.0,-5.0,3.0,,
2018-03-23,83.0,-5.0,0.0,,
2018-03-24,72.0,-5.0,0.0,,
2018-03-25,56.0,-21.0,0.0,,
2018-03-26,78.0,-49.0,0.0,,
2018-03-27,83.0,-43.0,0.0,,
2018-03-28,122.0,11.0,3.0,,
2018-03-29,100.0,39.0,0.0,,
2018-03-30,133.0,39.0,18.0,,
2018-03-31,128.0,17.0,0.0,,
2018-04-01,117.0,0.0,0.0,,
2018-04-02,44.0,-21.0,79.0,,
2018-04-03,33.0,-38.0,140.0,,
2018-04-04,117.0,17.0,18.0,,
2018-04-05,44.0,-21.0,0.0,,
2018-04-06,89.0,-43.0,25.0,,
2018-04-07,61.0,-16.0,0.0,,
2018-04-08,44.0,-32.0,0.0,,
2018-04-09,67.0,-43.0,0.0,,
2018-04-10,61.0,-10.0,25.0,,
2018-04-11,94.0,-43.0,13.0,,
2018-04-12,128.0,-10.0,0.0,,
2018-04-13,244.0,89.0,0.0,,
2018-04-14,217.0,28.0,0.0,,
2018-04-15,33.0,0.0,117.0,,
2018-04-16,128.0,0.0,693.0,,
2018-04-17,78.0,-5.0,3.0,,
2018-04-18,89.0,-10.0,0.0,,
2018-04-19,44.0,6.0,48.0,,
2018-04-20,83.0,-5.0,0.0,,
2018-04-21,139.0,0.0,0.0,,
2018-04-22,161.0,6.0,0.0,,
2018-04-23,178.0,22.0,0.0,,
2018-04-24,172.0,22.0,0.0,,
2018-04-25,133.0,94.0,185.0,,
2018-04-26,172.0,78.0,3.0,,
2018-04-27,128.0,61.0,43.0,,
2018-04-28,189.0,78.0,0.0,,
2018-04-29,122.0,39.0,46.0,,
2018-04-30,89.0,39.0,0.0,,
2018-05-01,233.0,44.0,0.0,,
2018-05-02,306.0,117.0,0.0,,
2018-05-03,317.0,189.0,61.0,,
2018-05-04,267.0,183.0,3.0,,
2018-05-05,217.0,133.0,0.0,,
2018-05-06,161.0,106.0,8.0,,
2018-05-07,211.0,94.0,0.0,,
2018-05-08,217.0,72.0,0.0,,
2018-05-10,183.0,111.0,36.0,,
2018-05-11,189.0,94.0,0.0,,
2018-05-12,122.0,78.0,33.0,,
2018-05-13,111.0,78.0,0.0,,
2018-05-14,217.0,94.0,3.0,,
2018-05-15,278.0,139.0,127.0,,
2018-05-16,183.0,122.0,53.0,,
2018-05-17,222.0,122.0,69.0,,
2018-05-18,183.0,94.0,0.0,,
2018-05-19,128.0,72.0,122.0,,
2018-05-20,250.0,117.0,3.0,,
2018-05-21,244.0,94.0,0.0,,
2018-05-22,194.0,111.0,25.0,,
2018-05-23,261.0,117.0,20.0,,
2018-05-24,256.0,122.0,0.0,,
2018-05-25,294.0,106.0,0.0,,
2018-05-26,306.0,183.0,0.0,,
2018-05-27,217.0,94.0,0.0,,
2018-05-28,194.0,94.0,3.0,,
2018-05-29,306.0,150.0,0.0,,
2018-05-30,244.0,111.0,0.0,,
2018-05-31,233.0,100.0,15.0,,
2018-06-01,267.0,178.0,5.0,,
2018-06-02,222.0,167.0,0.0,,
2018-06-03,200.0,94.0,3.0,,
2018-06-04,161.0,83.0,99.0,,
2018-06-05,200.0,100.0,0.0,,
2018-06-06,183.0,89.0,0.0,,
2018-06-07,200.0,111.0,0.0,,
2018-06-08,267.0,122.0,0.0,,
2018-06-09,239.0,139.0,0.0,,
2018-06-10,206.0,128.0,0.0,,
2018-06-11,211.0,106.0,0.0,,
2018-06-12,228.0,78.0,0.0,,
2018-06-13,206.0,128.0,0.0,,
2018-06-14,267.0,150.0,0.0,,
2018-06-15,200.0,100.0,0.0,,
2018-06-16,267.0,94.0,0.0,,
2018-06-17,300.0,117.0,0.0,,
2018-06-18,311.0,178.0,5.0,,
2018-06-19,278.0,156.0,8.0,,
2018-06-20,267.0,144.0,0.0,,
2018-06-21,289.0,167.0,5.0,,
2018-06-22,244.0,150.0,0.0,,
2018-06-23,161.0,128.0,3.0,,
2018-06-24,267.0,150.0,165.0,,
2018-06-25,239.0,156.0,0.0,,
2018-06-26,244.0,100.0,0.0,,
2018-06-27,228.0,150.0,30.0,,
2018-06-28,261.0,189.0,620.0,,
2018-06-29,294.0,172.0,0.0,,
2018-06-30,311.0,178.0,0.0,,
2018-07-01,339.0,206.0,0.0,,
2018-07-02,317.0,211.0,0.0,,
2018-07-03,322.0,217.0,0.0,,
2018-07-04,317.0,211.0,0.0,,
2018-07-05,300.0,211.0,0.0,,
2018-07-06,267.0,161.0,25.0,,
2018-07-07,244.0,111.0,0.0,,
2018-07-08,278.0,106.0,0.0,,
2018-07-09,300.0,144.0,0.0,,
2018-07-10,311.0,156.0,0.0,,
2018-07-11,278.0,167.0,5.0,,
2018-07-12,272.0,161.0,0.0,,
2018-07-13,278.0,144.0,0.0,,
2018-07-14,294.0,172.0,150.0,,
2018-07-15,283.0,206.0,41.0,,
2018-07-16,317.0,194.0,0.0,,
2018-07-17,294.0,200.0,315.0,,
2018-07-18,261.0,167.0,0.0,,
2018-07-19,261.0,133.0,0.0,,
2018-07-20,267.0,133.0,0.0,,
2018-07-21,244.0,139.0,25.0,,
2018-07-24,278.0,228.0,8.0,,
2018-07-25,244.0,217.0,729.0,,
2018-07-26,272.0,206.0,69.0,,
2018-07-27,294.0,189.0,10.0,,
2018-07-28,283.0,172.0,30.0,,
2018-07-29,256.0,161.0,0.0,,
2018-07-30,250.0,156.0,0.0,,
2018-07-31,272.0,167.0,0.0,,
2018-08-01,272.0,194.0,64.0,,
2018-08-02,300.0,222.0,231.0,,
2018-08-03,289.0,222.0,0.0,,
2018-08-04,272.0,200.0,351.0,,
2018-08-05,300.0,178.0,0.0,,
2018-08-06,322.0,194.0,0.0,,
2018-08-07,311.0,217.0,51.0,,
2018-08-08,306.0,200.0,417.0,,
2018-08-09,289.0,189.0,132.0,,
2018-08-10,289.0,172.0,0.0,,
2018-08-11,228.0,194.0,74.0,,
2018-08-12,261.0,200.0,3.0,,
2018-08-13,217.0,200.0,251.0,,
2018-08-14,278.0,200.0,0.0,,
2018-08-15,289.0,189.0,0.0,,
2018-08-16,294.0,194.0,0.0,,
2018-08-17,300.0,206.0,71.0,,
2018-08-18,283.0,194.0,51.0,,
2018-08-19,239.0,178.0,0.0,,
2018-08-20,233.0,172.0,0.0,,
2018-08-21,244.0,161.0,0.0,,
2018-08-22,267.0,194.0,48.0,,
2018-08-23,233.0,139.0,0.0,,
2018-08-24,267.0,122.0,0.0,,
2018-08-25,250.0,150.0,0.0,,
2018-08-26,272.0,133.0,0.0,,
2018-08-27,294.0,189.0,0.0,,
2018-08-28,328.0,217.0,0.0,,
2018-08-29,333.0,233.0,0.0,,
2018-08-30,294.0,200.0,0.0,,
2018-08-31,228.0,167.0,0.0,,
2018-09-01,239.0,161.0,0.0,,
2018-09-02,261.0,156.0,0.0,,
2018-09-03,322.0,206.0,0.0,,
2018-09-04,317.0,206.0,0.0,,
2018-09-05,311.0,200.0,0.0,,
2018-09-09,144.0,111.0,0.0,,
2018-09-10,144.0,100.0,312.0,,
2018-09-11,222.0,139.0,3.0,,
2018-09-12,233.0,189.0,20.0,,
2018-09-14,228.0,167.0,0.0,,
2018-09-16,289.0,156.0,0.0,,
2018-09-17,256.0,172.0,3.0,,
2018-09-18,244.0,189.0,74.0,,
2018-09-19,250.0,161.0,0.0,,
2018-09-20,217.0,144.0,0.0,,
2018-09-21,206.0,161.0,0.0,,
2018-09-22,206.0,122.0,5.0,,
2018-09-23,167.0,100.0,0.0,,
2018-09-24,144.0,94.0,0.0,,
2018-09-25,206.0,89.0,671.0,,
2018-09-26,261.0,167.0,170.0,,
2018-09-27,211.0,128.0,5.0,,
2018-09-28,156.0,106.0,142.0,,
2018-09-29,206.0,89.0,0.0,,
2018-09-30,189.0,72.0,0.0,,
2018-10-01,222.0,133.0,10.0,,
2018-10-02,211.0,128.0,348.0,,
2018-10-03,217.0,117.0,3.0,,
2018-10-04,222.0,117.0,0.0,,
2018-10-05,178.0,122.0,0.0,,
2018-10-06,167.0,117.0,0.0,,
2018-10-07,256.0,161.0,3.0,,
2018-10-08,183.0,144.0,8.0,,
2018-10-09,239.0,156.0,8.0,,
2018-10-10,256.0,183.0,0.0,,
2018-10-11,222.0,172.0,234.0,,
2018-10-12,178.0,67.0,3.0,,
2018-10-13,111.0,33.0,30.0,,
2018-10-14,133.0,22.0,0.0,,
2018-10-15,183.0,44.0,56.0,,
2018-10-16,133.0,39.0,0.0,,
2018-10-17,150.0,33.0,0.0,,
2018-10-18,78.0,6.0,0.0,,
2018-10-19,144.0,-27.0,0.0,,
2018-10-20,167.0,67.0,10.0,,
2018-10-21,78.0,-10.0,3.0,,
2018-10-22,83.0,-38.0,0.0,,
2018-10-23,161.0,44.0,0.0,,
2018-10-24,100.0,6.0,0.0,,
2018-10-25,83.0,11.0,0.0,,
2018-10-26,83.0,6.0,0.0,,
2018-10-27,72.0,56.0,8.0,,
2018-10-28,94.0,50.0,13.0,,
2018-10-29,117.0,50.0,53.0,,
2018-10-30,94.0,-5.0,0.0,,
2018-10-31,156.0,-16.0,0.0,,
2018-11-01,211.0,100.0,0.0,,
2018-11-02,189.0,133.0,234.0,,
2018-11-03,172.0,50.0,173.0,,
2018-11-04,117.0,11.0,0.0,,
2018-11-05,78.0,39.0,74.0,,
2018-11-06,128.0,78.0,135.0,,
2018-11-08,117.0,11.0,0.0,,
2018-11-09,67.0,-10.0,145.0,,
2018-11-10,67.0,-5.0,8.0,,
2018-11-11,56.0,-27.0,0.0,,
2018-11-12,78.0,-49.0,3.0,,
2018-11-13,83.0,28.0,244.0,,
2018-11-14,28.0,-38.0,0.0,,
2018-11-15,-21.0,-49.0,10.0,,
2018-11-16,39.0,-21.0,130.0,,
2018-11-17,67.0,22.0,0.0,,
2018-11-18,28.0,-5.0,0.0,,
2018-11-19,67.0,17.0,0.0,,
2018-11-20,33.0,0.0,3.0,,
2018-11-21,44.0,-60.0,0.0,,
2018-11-23,-16.0,-143.0,0.0,,
2018-11-24,50.0,-55.0,86.0,,
2018-11-25,100.0,50.0,79.0,,
2018-11-26,78.0,33.0,234.0,,
2018-11-27,56.0,6.0,28.0,,
2018-11-28,33.0,0.0,0.0,,
2018-11-29,61.0,6.0,0.0,,
2018-11-30,17.0,-21.0,0.0,,
2018-12-01,50.0,-27.0,10.0,,
2018-12-03,117.0,44.0,0.0,,
2018-12-04,44.0,-49.0,0.0,,
2018-12-05,6.0,-77.0,0.0,,
2018-12-06,22.0,-60.0,0.0,,
2018-12-07,11.0,-66.0,0.0,,
2018-12-08,-16.0,-99.0,0.0,,
2018-12-09,-5.0,-93.0,0.0,,
2018-12-10,22.0,-66.0,0.0,,
2018-12-11,22.0,-99.0,0.0,,
2018-12-12,28.0,-38.0,0.0,,
2018-12-13,-16.0,-55.0,0.0,,
2018-12-14,67.0,-21.0,0.0,,
2018-12-15,89.0,39.0,10.0,,
2018-12-16,44.0,11.0,206.0,,
2018-12-17,39.0,11.0,0.0,,
2018-12-18,17.0,-66.0,0.0,,
2018-12-19,33.0,-77.0,0.0,,
2018-12-20,67.0,-27.0,30.0,,
2018-12-21,161.0,61.0,1006.0,,
2018-12-22,117.0,6.0,13.0,,
2018-12-23,33.0,-16.0,0.0,,
2018-12-24,33.0,-16.0,13.0,,
2018-12-25,22.0,-38.0,0.0,,
2018-12-26,22.0,-60.0,0.0,,
2018-12-27,28.0,-21.0,0.0,,
2018-12-28,128.0,11.0,168.0,,
2018-12-29,122.0,-16.0,0.0,,
2018-12-30,0.0,-32.0,0.0,,
2018-12-31,50.0,-21.0,224.0,,
2019-01-01,133.0,-5.0,56.0,,
2019-01-02,11.0,-32.0,0.0,,
2019-01-03,44.0,-10.0,3.0,,
2019-01-06,61.0,-49.0,5.0,,
2019-01-07,-27.0,-88.0,0.0,,
2019-01-08,50.0,-27.0,23.0,,
2019-01-09,50.0,-10.0,48.0,,
2019-01-10,-10.0,-38.0,0.0,,
2019-01-11,-32.0,-99.0,0.0,,
2019-01-12,-27.0,-116.0,0.0,,
2019-01-13,-21.0,-82.0,0.0,,
2019-01-14,-5.0,-88.0,0.0,,
2019-01-15,6.0,-88.0,0.0,,
