DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-03-07,233,172,,,
2002-03-08,289,156,,,
2002-03-09,317,161,,,
2002-03-10,300,161,,,
2002-03-11,294,178,,,
2002-03-12,294,161,,,
2002-03-13,289,178,,,
2002-03-14,311,144,,,
2002-03-15,317,156,,,
2002-03-16,311,172,,,
2002-03-17,317,150,,,
2002-03-18,322,172,,,
2002-03-19,311,150,,,
2002-03-20,311,167,,,
2002-03-21,311,172,,,
2002-03-22,294,178,,,
2002-03-23,294,150,,,
2002-03-24,300,161,,,
2002-03-25,322,178,,,
2002-03-26,328,178,,,
2002-03-27,328,156,,,
2002-03-28,317,178,,,
2002-03-29,317,183,,,
2002-03-30,306,167,,,
2002-03-31,322,150,,,
2002-04-01,311,161,,,
2002-04-02,333,178,,,
2002-04-03,333,167,,,
2002-04-04,339,156,,,
2002-04-05,306,178,,,
2002-04-06,294,161,,,
2002-04-07,272,144,,,
2002-04-08,278,161,,,
2002-04-09,300,172,,,
2002-04-10,289,161,,,
2002-04-11,283,161,,,
2002-04-12,289,161,,,
2002-04-13,294,167,,,
2002-04-14,294,167,,,
2002-04-15,322,150,,,
2002-04-16,311,178,,,
2002-04-17,311,167,,,
2002-04-18,317,172,,,
2002-04-19,311,167,,,
2002-04-20,322,144,,,
2002-04-21,333,150,,,
2002-04-22,344,167,,,
2002-04-23,344,189,,,
2002-04-24,333,194,,,
2002-04-25,328,183,,,
2002-04-26,333,161,,,
2002-04-27,322,156,,,
2002-04-28,333,172,,,
2002-04-29,339,167,,,
2002-04-30,356,172,,,
2002-05-01,328,161,,,
2002-05-02,339,178,,,
2002-05-03,344,172,,,
2002-05-04,356,194,,,
2002-05-05,350,178,,,
2002-05-06,339,183,,,
2002-05-07,344,183,,,
2002-05-08,344,178,,,
2002-05-09,344,156,,,
2002-05-10,339,178,,,
2002-05-11,333,178,,,
2002-05-12,328,189,,,
2002-05-13,344,178,,,
2002-05-14,322,200,,,
2002-05-15,317,206,,,
2002-05-16,317,200,,,
2002-05-17,339,189,,,
2002-05-18,322,189,,,
2002-05-19,294,211,,,
2002-05-20,306,183,,,
2002-05-21,317,194,,,
2002-05-22,311,194,,,
2002-05-23,306,189,,,
2002-05-24,311,178,,,
2002-05-25,306,161,,,
2002-05-26,322,183,,,
2002-05-27,322,211,,,
2002-05-28,322,189,,,
2002-05-29,344,150,,,
2002-05-30,339,200,,,
2002-05-31,344,200,,,
2002-06-01,367,189,,,
2002-06-02,350,194,,,
2002-06-03,367,206,,,
2002-06-04,339,194,,,
2002-06-05,317,217,,,
2002-06-06,333,217,,,
2002-06-07,333,206,,,
2002-06-08,333,206,,,
2002-06-09,328,211,,,
2002-06-10,328,206,,,
2002-06-11,306,211,,,
2002-06-12,311,211,,,
2002-06-13,289,228,,,
2002-06-14,283,233,,,
2002-06-15,250,228,,,
2002-06-16,311,217,,,
2002-06-17,322,222,,,
2002-06-18,317,222,,,
2002-06-19,339,228,,,
2002-06-20,306,222,,,
2002-06-21,272,222,,,
2002-06-22,272,222,,,
2002-06-23,322,228,,,
2002-06-24,328,222,,,
2002-06-25,311,244,,,
2002-06-26,311,244,,,
2002-06-27,300,244,,,
2002-06-28,311,250,,,
2002-06-29,328,250,,,
2002-06-30,311,256,,,
2002-07-01,311,239,,,
2002-07-02,333,233,,,
2002-07-03,344,250,,,
2002-07-04,333,250,,,
2002-07-05,333,250,,,
2002-07-06,311,250,,,
2002-07-07,322,239,,,
2002-07-08,294,233,,,
2002-07-09,300,217,,,
2002-07-10,317,217,,,
2002-07-11,328,233,,,
2002-07-12,322,250,,,
2002-07-13,333,250,,,
2002-07-14,339,261,,,
2002-07-15,350,256,,,
2002-07-16,367,261,,,
2002-07-17,356,250,,,
2002-07-18,333,261,,,
2002-07-19,356,261,,,
2002-07-20,367,261,,,
2002-07-21,356,228,,,
2002-07-22,333,244,,,
2002-07-23,339,261,,,
2002-07-24,339,256,,,
2002-07-25,333,233,,,
2002-07-26,339,250,,,
2002-07-27,344,267,,,
2002-07-28,350,261,,,
2002-07-29,344,239,,,
2002-07-30,339,233,,,
2002-07-31,344,250,,,
2002-08-01,356,256,,,
2002-08-02,333,256,,,
2002-08-03,333,261,,,
2002-08-04,356,244,,,
2002-08-05,333,244,,,
2002-08-06,350,256,,,
2002-08-07,344,222,,,
2002-08-08,344,228,,,
2002-08-09,333,244,,,
2002-08-10,322,239,,,
2002-08-11,317,233,,,
2002-08-12,356,239,,,
2002-08-13,350,244,,,
2002-08-14,333,239,,,
2002-08-15,333,239,,,
2002-08-16,322,250,,,
2002-08-17,344,244,,,
2002-08-18,344,244,,,
2002-08-19,344,239,,,
2002-08-20,339,233,,,
2002-08-21,328,233,,,
2002-08-22,350,239,,,
2002-08-23,350,239,,,
2002-08-24,333,244,,,
2002-08-25,344,233,,,
2002-08-26,333,244,,,
2002-08-27,333,244,,,
2002-08-28,322,233,,,
2002-08-29,333,228,,,
2002-08-30,317,239,,,
2002-08-31,333,239,,,
2002-09-01,356,244,,,
2002-09-02,344,244,,,
2002-09-03,339,244,,,
2002-09-04,339,244,,,
2002-09-05,333,244,,,
2002-09-06,322,244,,,
2002-09-07,328,250,,,
2002-09-08,328,244,,,
2002-09-09,350,250,,,
2002-09-10,317,228,,,
2002-09-11,306,211,,,
2002-09-12,294,228,,,
2002-09-13,328,256,,,
2002-09-14,333,250,,,
2002-09-15,344,272,,,
2002-09-16,344,261,,,
2002-09-17,344,250,,,
2002-09-18,339,261,,,
2002-09-19,339,261,,,
2002-09-20,333,244,,,
2002-09-21,333,244,,,
2002-09-22,322,256,,,
2002-09-23,317,244,,,
2002-09-24,322,244,,,
2002-09-25,328,244,,,
2002-09-26,328,261,,,
2002-09-27,328,250,,,
2002-09-28,356,239,,,
2002-09-29,333,244,,,
2002-09-30,322,244,,,
2002-10-01,328,250,,,
2002-10-02,333,256,,,
2002-10-03,333,239,,,
2002-10-04,344,217,,,
2002-10-05,328,250,,,
2002-10-06,344,228,,,
2002-10-07,333,222,,,
2002-10-08,333,228,,,
2002-10-09,344,222,,,
2002-10-10,344,228,,,
2002-10-11,344,244,,,
2002-10-12,350,239,,,
2002-10-13,339,228,,,
2002-10-14,328,228,,,
2002-10-15,311,233,,,
2002-10-16,322,228,,,
2002-10-17,294,189,,,
2002-10-18,294,183,,,
2002-10-19,317,200,,,
2002-10-20,328,217,,,
2002-10-21,322,233,,,
2002-10-22,339,228,,,
2002-10-23,333,233,,,
2002-10-24,339,228,,,
2002-10-25,350,222,,,
2002-10-26,350,233,,,
2002-10-27,333,239,,,
2002-10-28,344,239,,,
2002-10-29,328,239,,,
2002-10-30,322,239,,,
2002-10-31,333,233,,,
2002-11-01,328,228,,,
2002-11-02,311,211,,,
2002-11-03,311,189,,,
2002-11-04,322,200,,,
2002-11-05,306,217,,,
2002-11-06,311,206,,,
2002-11-07,256,144,,,
2002-11-08,294,150,,,
2002-11-09,311,183,,,
2002-11-10,311,194,,,
2002-11-11,339,211,,,
2002-11-12,311,222,,,
2002-11-13,256,161,,,
2002-11-14,267,133,,,
2002-11-15,289,172,,,
2002-11-16,267,211,,,
2002-11-17,222,144,,,
2002-11-18,217,89,,,
2002-11-19,256,117,,,
2002-11-20,289,167,,,
2002-11-21,261,194,,,
2002-11-22,244,156,,,
2002-11-23,228,117,,,
2002-11-24,278,111,,,
2002-11-25,294,156,,,
2002-11-26,278,189,,,
2002-11-27,267,156,,,
2002-11-28,272,150,,,
2002-11-29,228,94,,,
2002-11-30,239,78,,,
2002-12-01,244,133,,,
2002-12-02,278,156,,,
2002-12-03,289,161,,,
2002-12-04,278,172,,,
2002-12-05,306,194,,,
2002-12-06,267,150,,,
2002-12-07,250,144,,,
2002-12-08,267,178,,,
2002-12-09,250,206,,,
2002-12-10,272,206,,,
2002-12-11,278,206,,,
2002-12-12,283,211,,,
2002-12-13,283,206,,,
2002-12-14,239,144,,,
2002-12-15,194,106,,,
2002-12-16,211,67,,,
2002-12-17,244,72,,,
2002-12-18,272,144,,,
2002-12-19,283,150,,,
2002-12-20,261,144,,,
2002-12-21,217,111,,,
2002-12-22,261,106,,,
2002-12-23,267,144,,,
2002-12-24,289,206,,,
2002-12-25,250,122,,,
2002-12-26,217,83,,,
2002-12-27,239,106,,,
2002-12-28,211,83,,,
2002-12-29,239,72,,,
2002-12-30,256,94,,,
2002-12-31,267,161,,,
2003-01-01,272,200,,,
2003-01-02,283,183,,,
2003-01-03,206,122,,,
2003-01-04,189,78,,,
2003-01-05,228,72,,,
2003-01-06,228,106,,,
2003-01-07,200,89,,,
2003-01-08,211,72,,,
2003-01-09,222,72,,,
2003-01-10,250,100,,,
2003-01-11,261,144,,,
2003-01-12,244,106,,,
2003-01-13,256,122,,,
2003-01-14,217,111,,,
2003-01-15,217,83,,,
2003-01-16,267,94,,,
2003-01-17,222,72,,,
2003-01-18,128,50,,,
2003-01-19,189,22,,,
2003-01-20,222,44,,,
2003-01-21,250,56,,,
2003-01-22,250,72,,,
2003-01-23,233,83,,,
2003-01-24,133,11,,,
2003-01-25,217,39,,,
2003-01-26,250,100,,,
2003-01-27,211,100,,,
2003-01-28,211,83,,,
2003-01-29,239,122,,,
2003-01-30,278,122,,,
2003-01-31,289,144,,,
2003-02-01,256,106,,,
2003-02-02,256,44,,,
2003-02-03,272,83,,,
2003-02-04,267,117,,,
2003-02-05,222,167,,,
2003-02-06,289,133,,,
2003-02-07,294,156,,,
2003-02-08,261,172,,,
2003-02-09,294,150,,,
2003-02-10,289,167,,,
2003-02-11,283,122,,,
2003-02-12,267,111,,,
2003-02-13,261,78,,,
2003-02-14,256,100,,,
2003-02-15,300,144,,,
2003-02-16,311,178,,,
2003-02-17,250,161,,,
2003-02-18,256,106,,,
2003-02-19,300,122,,,
2003-02-20,317,189,,,
2003-02-21,306,183,,,
2003-02-22,300,200,,,
2003-02-23,272,128,,,
2003-02-24,267,128,,,
2003-02-25,311,167,,,
2003-02-26,317,172,,,
2003-02-27,289,189,,,
2003-02-28,300,200,,,
2003-03-01,311,189,,,
2003-03-02,306,211,,,
2003-03-03,317,189,,,
2003-03-04,311,200,,,
2003-03-05,328,183,,,
2003-03-06,311,194,,,
2003-03-07,311,194,,,
2003-03-08,333,167,,,
2003-03-09,317,172,,,
2003-03-10,289,189,,,
2003-03-11,317,178,,,
2003-03-12,328,183,,,
2003-03-13,322,189,,,
2003-03-14,328,189,,,
2003-03-15,317,194,,,
2003-03-16,306,183,,,
2003-03-17,283,183,,,
2003-03-18,306,178,,,
2003-03-19,328,222,,,
