DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-08-30,206,172,,,
2001-08-31,206,167,,,
2001-09-01,183,167,,,
2001-09-02,194,167,,,
2001-09-03,183,167,,,
2001-09-04,244,172,,,
2001-09-05,261,178,,,
2001-09-06,256,183,,,
2001-09-07,228,172,,,
2001-09-08,233,172,,,
2001-09-09,217,172,,,
2001-09-10,239,172,,,
2001-09-11,244,172,,,
2001-09-12,222,167,,,
2001-09-13,228,144,,,
2001-09-14,233,150,,,
2001-09-15,194,83,,,
2001-09-16,189,83,,,
2001-09-17,211,106,,,
2001-09-18,217,122,,,
2001-09-19,172,144,,,
2001-09-20,211,128,,,
2001-09-21,233,122,,,
2001-09-22,228,167,,,
2001-09-23,244,161,,,
2001-09-24,167,83,,,
2001-09-25,139,44,,,
2001-09-26,161,33,,,
2001-09-27,194,72,,,
2001-09-28,194,100,,,
2001-09-29,178,78,,,
2001-09-30,161,83,,,
2001-10-01,189,67,,,
2001-10-02,211,117,,,
2001-10-03,222,128,,,
2001-10-04,206,133,,,
2001-10-05,167,139,,,
2001-10-06,156,44,,,
2001-10-07,144,33,,,
2001-10-08,139,67,,,
2001-10-09,144,39,,,
2001-10-10,139,78,,,
2001-10-11,156,122,,,
2001-10-12,156,139,,,
2001-10-13,161,144,,,
2001-10-14,189,117,,,
2001-10-15,178,100,,,
2001-10-16,128,17,,,
2001-10-17,106,0,,,
2001-10-18,133,33,,,
2001-10-19,167,56,,,
2001-10-20,200,106,,,
2001-10-21,217,117,,,
2001-10-22,217,128,,,
2001-10-23,222,144,,,
2001-10-24,222,161,,,
2001-10-25,183,78,,,
2001-10-26,94,28,,,
2001-10-27,39,-33,,,
2001-10-28,111,-28,,,
2001-10-29,156,22,,,
2001-10-30,200,89,,,
2001-10-31,156,94,,,
2001-11-01,150,111,,,
2001-11-02,194,128,,,
2001-11-03,206,122,,,
2001-11-04,189,106,,,
2001-11-05,178,94,,,
2001-11-06,167,67,,,
2001-11-07,217,89,,,
2001-11-08,183,117,,,
2001-11-09,200,89,,,
2001-11-10,189,106,,,
2001-11-11,167,78,,,
2001-11-12,144,61,,,
2001-11-13,117,33,,,
2001-11-14,161,39,,,
2001-11-15,172,78,,,
2001-11-16,200,94,,,
2001-11-17,200,111,,,
2001-11-18,167,83,,,
2001-11-19,167,83,,,
2001-11-20,122,17,,,
2001-11-21,122,11,,,
2001-11-22,106,44,,,
2001-11-23,106,83,,,
2001-11-24,139,106,,,
2001-11-25,178,106,,,
2001-11-26,183,106,,,
2001-11-27,178,144,,,
2001-11-28,167,133,,,
2001-11-29,156,128,,,
2001-11-30,150,89,,,
2001-12-01,206,67,,,
2001-12-02,178,83,,,
2001-12-03,161,61,,,
2001-12-04,194,100,,,
2001-12-05,144,100,,,
2001-12-06,172,122,,,
2001-12-07,156,122,,,
2001-12-08,144,106,,,
2001-12-09,139,67,,,
2001-12-10,67,39,,,
2001-12-11,122,50,,,
2001-12-12,117,67,,,
2001-12-13,133,106,,,
2001-12-14,156,72,,,
2001-12-15,172,39,,,
2001-12-16,100,44,,,
2001-12-17,122,67,,,
2001-12-18,106,39,,,
2001-12-19,117,33,,,
2001-12-20,56,-28,,,
2001-12-21,78,-6,,,
2001-12-22,78,28,,,
2001-12-23,72,17,,,
2001-12-24,17,-39,,,
2001-12-25,22,-67,,,
2001-12-26,-17,-100,,,
2001-12-27,11,-78,,,
2001-12-28,72,-6,,,
2001-12-29,78,-61,,,
2001-12-30,17,-83,,,
2001-12-31,-6,-83,,,
2002-01-01,22,-111,,,
2002-01-02,-17,-56,,,
2002-01-03,-50,-94,,,
2002-01-04,44,-94,,,
2002-01-05,78,-22,,,
2002-01-06,33,-33,,,
2002-01-07,-28,-67,,,
2002-01-08,28,-83,,,
2002-01-09,122,-28,,,
2002-01-10,111,72,,,
2002-01-11,106,22,,,
2002-01-12,67,6,,,
2002-01-13,94,-11,,,
2002-01-14,61,28,,,
2002-01-15,72,0,,,
2002-01-16,78,-17,,,
2002-01-17,100,28,,,
2002-01-18,83,33,,,
2002-01-19,83,-11,,,
2002-01-20,56,-39,,,
2002-01-21,94,28,,,
2002-01-22,78,22,,,
2002-01-23,122,28,,,
2002-01-24,128,89,,,
2002-01-25,106,22,,,
2002-01-26,133,0,,,
2002-01-27,150,39,,,
2002-01-28,172,72,,,
2002-01-29,200,122,,,
2002-01-30,194,128,,,
2002-01-31,167,133,,,
2002-02-01,150,-6,,,
2002-02-02,94,-33,,,
2002-02-03,39,-11,,,
2002-02-04,0,-61,,,
2002-02-05,33,-78,,,
2002-02-06,33,-22,,,
2002-02-07,67,-11,,,
2002-02-08,133,-33,,,
2002-02-09,111,50,,,
2002-02-10,111,22,,,
2002-02-11,72,-6,,,
2002-02-12,100,6,,,
2002-02-13,94,22,,,
2002-02-14,89,-6,,,
2002-02-15,111,22,,,
2002-02-16,94,28,,,
2002-02-17,50,-11,,,
2002-02-18,100,-28,,,
2002-02-19,100,28,,,
2002-02-20,94,61,,,
2002-02-21,117,44,,,
2002-02-22,83,-33,,,
2002-02-23,94,-50,,,
2002-02-24,128,6,,,
2002-02-25,128,44,,,
2002-02-26,94,-67,,,
2002-02-27,-78,-133,,,
2002-02-28,11,-122,,,
2002-03-01,56,-44,,,
2002-03-02,78,17,,,
2002-03-03,94,-94,,,
2002-03-04,-56,-122,,,
2002-03-05,72,-78,,,
2002-03-06,117,17,,,
2002-03-07,156,56,,,
2002-03-08,167,72,,,
2002-03-09,128,50,,,
2002-03-10,78,-11,,,
2002-03-11,111,-6,,,
2002-03-12,111,61,,,
2002-03-13,122,78,,,
2002-03-14,183,61,,,
2002-03-15,217,117,,,
2002-03-16,206,139,,,
2002-03-17,206,133,,,
2002-03-18,183,128,,,
2002-03-19,139,106,,,
2002-03-20,139,106,,,
2002-03-21,133,6,,,
2002-03-22,22,-72,,,
2002-03-23,117,-61,,,
2002-03-24,161,56,,,
2002-03-25,183,111,,,
2002-03-26,156,61,,,
2002-03-27,122,6,,,
2002-03-28,150,39,,,
2002-03-29,178,89,,,
2002-03-30,128,106,,,
2002-03-31,144,94,,,
2002-04-01,161,61,,,
2002-04-02,194,100,,,
2002-04-03,200,33,,,
2002-04-04,133,0,,,
2002-04-05,128,11,,,
2002-04-06,117,17,,,
2002-04-07,117,17,,,
2002-04-08,172,72,,,
2002-04-09,133,111,,,
2002-04-10,189,111,,,
2002-04-11,156,111,,,
2002-04-12,133,111,,,
2002-04-13,139,111,,,
2002-04-14,167,128,,,
2002-04-15,233,150,,,
2002-04-16,250,156,,,
2002-04-17,250,172,,,
2002-04-18,256,178,,,
2002-04-19,278,189,,,
2002-04-20,256,189,,,
2002-04-21,261,178,,,
2002-04-22,189,83,,,
2002-04-23,211,67,,,
2002-04-24,183,122,,,
2002-04-25,167,89,,,
2002-04-26,122,61,,,
2002-04-27,133,94,,,
2002-04-28,233,122,,,
2002-04-29,206,128,,,
2002-04-30,161,117,,,
2002-05-01,178,122,,,
2002-05-02,239,156,,,
2002-05-03,183,117,,,
2002-05-04,133,94,,,
2002-05-05,206,106,,,
2002-05-06,194,117,,,
2002-05-07,256,161,,,
2002-05-08,250,183,,,
2002-05-09,239,161,,,
2002-05-10,206,139,,,
2002-05-11,206,150,,,
2002-05-12,194,150,,,
2002-05-13,194,56,,,
2002-05-14,150,39,,,
2002-05-15,194,67,,,
2002-05-16,206,117,,,
2002-05-17,217,150,,,
2002-05-18,167,39,,,
2002-05-19,144,17,,,
2002-05-20,139,33,,,
2002-05-21,128,44,,,
2002-05-22,144,50,,,
2002-05-23,200,61,,,
2002-05-24,233,111,,,
2002-05-25,244,133,,,
2002-05-26,239,144,,,
2002-05-27,222,150,,,
2002-05-28,222,156,,,
2002-05-29,222,161,,,
2002-05-30,228,161,,,
2002-05-31,267,150,,,
2002-06-01,261,189,,,
2002-06-02,272,189,,,
2002-06-03,283,200,,,
2002-06-04,272,167,,,
2002-06-05,244,156,,,
2002-06-06,233,161,,,
2002-06-07,233,150,,,
2002-06-08,222,133,,,
2002-06-09,228,122,,,
2002-06-10,244,144,,,
2002-06-11,256,156,,,
2002-06-12,261,167,,,
2002-06-13,278,189,,,
2002-06-14,194,150,,,
2002-06-15,194,128,,,
2002-06-16,217,128,,,
2002-06-17,228,139,,,
2002-06-18,244,161,,,
2002-06-19,233,156,,,
2002-06-20,239,172,,,
2002-06-21,228,156,,,
2002-06-22,222,161,,,
2002-06-23,222,167,,,
2002-06-24,244,172,,,
2002-06-25,244,178,,,
2002-06-26,244,178,,,
2002-06-27,250,167,,,
2002-06-28,217,167,,,
2002-06-29,244,178,,,
2002-06-30,250,183,,,
2002-07-01,272,194,,,
2002-07-02,272,183,,,
2002-07-03,261,183,,,
2002-07-04,267,172,,,
2002-07-05,294,200,,,
2002-07-06,294,217,,,
2002-07-07,250,194,,,
2002-07-08,250,183,,,
2002-07-09,272,178,,,
2002-07-10,278,183,,,
2002-07-11,256,167,,,
2002-07-12,183,144,,,
2002-07-13,194,161,,,
2002-07-14,256,178,,,
2002-07-15,272,178,,,
2002-07-16,267,189,,,
2002-07-17,272,194,,,
2002-07-18,267,194,,,
2002-07-19,261,178,,,
2002-07-20,267,189,,,
2002-07-21,272,194,,,
2002-07-22,261,183,,,
2002-07-23,267,178,,,
2002-07-24,261,183,,,
2002-07-25,244,183,,,
2002-07-26,267,183,,,
2002-07-27,278,194,,,
2002-07-28,278,206,,,
2002-07-29,289,200,,,
2002-07-30,283,200,,,
2002-07-31,278,189,,,
2002-08-01,272,183,,,
2002-08-02,278,200,,,
2002-08-03,267,200,,,
2002-08-04,283,200,,,
2002-08-05,294,194,,,
2002-08-06,289,211,,,
2002-08-07,261,167,,,
2002-08-08,267,161,,,
2002-08-09,256,178,,,
2002-08-10,267,172,,,
2002-08-11,278,178,,,
2002-08-12,289,194,,,
2002-08-13,289,194,,,
2002-08-14,283,183,,,
2002-08-15,267,183,,,
2002-08-16,267,183,,,
2002-08-17,256,183,,,
2002-08-18,278,172,,,
2002-08-19,283,183,,,
2002-08-20,306,194,,,
2002-08-21,294,217,,,
2002-08-22,300,194,,,
2002-08-23,300,206,,,
2002-08-24,289,200,,,
2002-08-25,244,183,,,
2002-08-26,244,156,,,
2002-08-27,239,156,,,
2002-08-28,233,161,,,
2002-08-29,233,161,,,
2002-08-30,228,167,,,
2002-08-31,222,156,,,
2002-09-01,244,156,,,
2002-09-02,250,161,,,
2002-09-03,261,167,,,
2002-09-04,283,189,,,
2002-09-05,272,194,,,
2002-09-06,261,183,,,
2002-09-07,256,161,,,
2002-09-08,256,161,,,
2002-09-09,289,156,,,
2002-09-10,283,178,,,
2002-09-11,267,172,,,
2002-09-12,244,167,,,
2002-09-13,222,167,,,
2002-09-14,194,156,,,
2002-09-15,200,161,,,
2002-09-16,267,172,,,
2002-09-17,222,178,,,
2002-09-18,217,178,,,
2002-09-19,217,172,,,
2002-09-20,189,183,,,
2002-09-21,189,178,,,
2002-09-22,206,172,,,
2002-09-23,244,161,,,
2002-09-24,200,161,,,
2002-09-25,161,133,,,
2002-09-26,194,144,,,
2002-09-27,194,156,,,
2002-09-28,244,139,,,
2002-09-29,217,156,,,
2002-09-30,189,156,,,
2002-10-01,228,156,,,
2002-10-02,256,167,,,
2002-10-03,244,172,,,
2002-10-04,189,172,,,
2002-10-05,250,172,,,
2002-10-06,244,167,,,
2002-10-07,233,150,,,
2002-10-08,178,111,,,
2002-10-09,183,106,,,
2002-10-10,161,144,,,
2002-10-11,217,156,,,
2002-10-12,244,156,,,
2002-10-13,206,111,,,
2002-10-14,178,100,,,
2002-10-15,117,83,,,
2002-10-16,122,56,,,
2002-10-17,122,33,,,
2002-10-18,156,39,,,
2002-10-19,167,78,,,
2002-10-20,167,117,,,
2002-10-21,156,117,,,
2002-10-22,194,111,,,
2002-10-23,172,89,,,
2002-10-24,128,94,,,
2002-10-25,122,89,,,
2002-10-26,161,111,,,
2002-10-27,178,133,,,
2002-10-28,156,139,,,
2002-10-29,161,122,,,
2002-10-30,144,44,,,
2002-10-31,111,28,,,
2002-11-01,100,6,,,
2002-11-02,111,6,,,
2002-11-03,111,17,,,
2002-11-04,111,72,,,
2002-11-05,128,72,,,
2002-11-06,139,6,,,
2002-11-07,128,0,,,
2002-11-08,150,67,,,
2002-11-09,133,94,,,
2002-11-10,172,128,,,
2002-11-11,172,111,,,
2002-11-12,117,50,,,
2002-11-13,94,6,,,
2002-11-14,122,33,,,
2002-11-15,94,50,,,
2002-11-16,100,22,,,
2002-11-17,22,-33,,,
2002-11-18,106,-33,,,
2002-11-19,83,33,,,
2002-11-20,117,39,,,
2002-11-21,94,72,,,
2002-11-22,67,-28,,,
2002-11-23,94,-33,,,
2002-11-24,161,28,,,
2002-11-25,156,61,,,
2002-11-26,144,50,,,
2002-11-27,39,-56,,,
2002-11-28,17,-67,,,
2002-11-29,83,-44,,,
2002-11-30,89,-33,,,
2002-12-01,17,-72,,,
2002-12-02,117,-56,,,
2002-12-03,122,33,,,
2002-12-04,44,-6,,,
2002-12-05,33,-11,,,
2002-12-06,39,-44,,,
2002-12-07,83,-17,,,
2002-12-08,72,17,,,
2002-12-09,56,17,,,
2002-12-10,72,22,,,
2002-12-11,56,17,,,
2002-12-12,100,0,,,
2002-12-13,72,-6,,,
2002-12-14,-11,-28,,,
2002-12-15,67,-44,,,
2002-12-16,122,28,,,
2002-12-17,83,22,,,
2002-12-18,67,28,,,
2002-12-19,89,50,,,
2002-12-20,100,11,,,
2002-12-21,78,6,,,
2002-12-22,106,44,,,
2002-12-23,122,11,,,
2002-12-24,78,28,,,
2002-12-25,28,-67,,,
2002-12-26,17,-72,,,
2002-12-27,44,-39,,,
2002-12-28,61,-17,,,
2002-12-29,139,33,,,
2002-12-30,117,50,,,
2002-12-31,117,56,,,
2003-01-01,100,72,,,
2003-01-02,83,44,,,
2003-01-03,50,-61,,,
2003-01-04,56,-67,,,
2003-01-05,94,28,,,
2003-01-06,28,-39,,,
2003-01-07,39,-67,,,
2003-01-08,106,-22,,,
2003-01-09,139,50,,,
2003-01-10,72,-50,,,
2003-01-11,22,-83,,,
2003-01-12,22,-94,,,
2003-01-13,44,-44,,,
2003-01-14,72,-44,,,
2003-01-15,17,-72,,,
2003-01-16,11,-44,,,
2003-01-17,-50,-128,,,
2003-01-18,-11,-156,,,
2003-01-19,0,-106,,,
2003-01-20,100,0,,,
2003-01-21,94,33,,,
2003-01-22,72,-39,,,
2003-01-23,-33,-172,,,
2003-01-24,0,-172,,,
2003-01-25,39,-83,,,
2003-01-26,6,-50,,,
2003-01-27,17,-111,,,
2003-01-28,72,-17,,,
2003-01-29,83,61,,,
2003-01-30,78,17,,,
2003-01-31,39,-11,,,
2003-02-01,61,-6,,,
2003-02-02,167,6,,,
2003-02-03,156,94,,,
2003-02-04,117,-17,,,
2003-02-05,61,-61,,,
2003-02-06,28,-17,,,
2003-02-07,17,-72,,,
2003-02-08,0,-106,,,
2003-02-09,72,-56,,,
2003-02-10,50,-39,,,
2003-02-11,72,-44,,,
2003-02-12,61,-11,,,
2003-02-13,83,-22,,,
2003-02-14,72,33,,,
2003-02-15,128,50,,,
2003-02-16,106,-6,,,
2003-02-17,17,-22,,,
2003-02-18,67,-44,,,
2003-02-19,94,22,,,
2003-02-20,106,50,,,
2003-02-21,89,67,,,
2003-02-22,144,67,,,
2003-02-23,56,-33,,,
2003-02-24,122,33,,,
2003-02-25,94,-6,,,
2003-02-26,56,11,,,
2003-02-27,56,22,,,
2003-02-28,139,44,,,
2003-03-01,100,33,,,
2003-03-02,89,-11,,,
2003-03-03,106,-39,,,
2003-03-04,100,28,,,
2003-03-05,161,72,,,
2003-03-06,128,44,,,
2003-03-07,133,39,,,
2003-03-08,150,67,,,
2003-03-09,178,72,,,
2003-03-10,133,0,,,
2003-03-11,156,33,,,
2003-03-12,200,94,,,
2003-03-13,194,122,,,
2003-03-14,117,50,,,
2003-03-15,111,44,,,
2003-03-16,133,83,,,
2003-03-17,117,83,,,
2003-03-18,117,100,,,
2003-03-19,117,94,,,
2003-03-20,133,89,,,
2003-03-21,144,78,,,
2003-03-22,133,61,,,
2003-03-23,139,72,,,
2003-03-24,189,78,,,
2003-03-25,200,106,,,
2003-03-26,167,100,,,
2003-03-27,156,94,,,
2003-03-28,150,94,,,
2003-03-29,144,17,,,
2003-03-30,11,-11,,,
2003-03-31,56,39,,,
2003-04-01,178,39,,,
2003-04-02,211,94,,,
2003-04-03,233,111,,,
2003-04-04,178,128,,,
2003-04-05,194,111,,,
2003-04-06,150,89,,,
2003-04-07,167,83,,,
2003-04-08,133,56,,,
2003-04-09,83,39,,,
2003-04-10,44,6,,,
2003-04-11,78,22,,,
2003-04-12,194,72,,,
2003-04-13,217,111,,,
2003-04-14,222,111,,,
2003-04-15,222,122,,,
2003-04-16,200,117,,,
2003-04-17,150,122,,,
2003-04-18,144,89,,,
2003-04-19,167,89,,,
2003-04-20,167,111,,,
2003-04-21,183,122,,,
2003-04-22,133,61,,,
2003-04-23,200,39,,,
2003-04-24,150,72,,,
2003-04-25,128,83,,,
2003-04-26,178,94,,,
2003-04-27,222,89,,,
2003-04-28,222,122,,,
2003-04-29,256,156,,,
2003-04-30,233,122,,,
2003-05-01,206,122,,,
2003-05-02,217,122,,,
2003-05-03,211,117,,,
2003-05-04,228,94,,,
2003-05-05,161,122,,,
2003-05-06,206,128,,,
2003-05-07,189,139,,,
2003-05-08,250,156,,,
2003-05-09,250,194,,,
2003-05-10,256,194,,,
2003-05-11,206,139,,,
2003-05-12,178,100,,,
2003-05-13,194,94,,,
2003-05-14,189,128,,,
2003-05-15,183,122,,,
2003-05-16,233,144,,,
2003-05-17,178,133,,,
2003-05-18,167,122,,,
2003-05-19,161,111,,,
2003-05-20,172,94,,,
2003-05-21,150,133,,,
2003-05-22,178,128,,,
2003-05-23,211,128,,,
2003-05-24,217,117,,,
2003-05-25,200,122,,,
2003-05-26,211,122,,,
2003-05-27,189,100,,,
2003-05-28,200,111,,,
2003-05-29,189,111,,,
2003-05-30,200,100,,,
2003-05-31,228,133,,,
2003-06-01,211,94,,,
2003-06-02,200,117,,,
2003-06-03,172,144,,,
2003-06-04,233,117,,,
2003-06-05,228,100,,,
2003-06-06,217,156,,,
2003-06-07,222,172,,,
2003-06-08,250,161,,,
2003-06-09,233,144,,,
2003-06-10,244,144,,,
2003-06-11,256,183,,,
2003-06-12,222,172,,,
2003-06-13,228,161,,,
2003-06-14,222,167,,,
2003-06-15,267,172,,,
2003-06-16,256,183,,,
2003-06-17,211,167,,,
2003-06-18,183,172,,,
2003-06-19,244,172,,,
2003-06-20,233,133,,,
2003-06-21,222,111,,,
2003-06-22,239,128,,,
2003-06-23,261,150,,,
2003-06-24,272,167,,,
2003-06-25,267,178,,,
2003-06-26,250,183,,,
2003-06-27,233,172,,,
2003-06-28,211,161,,,
2003-06-29,261,161,,,
2003-06-30,211,156,,,
2003-07-01,167,156,,,
2003-07-02,200,167,,,
2003-07-03,261,161,,,
2003-07-04,267,183,,,
2003-07-05,244,183,,,
2003-07-06,239,178,,,
2003-07-07,233,194,,,
2003-07-08,283,189,,,
2003-07-09,267,200,,,
2003-07-10,239,167,,,
2003-07-11,250,167,,,
2003-07-12,250,156,,,
2003-07-13,244,167,,,
2003-07-14,228,156,,,
2003-07-15,256,178,,,
2003-07-16,256,183,,,
2003-07-17,272,178,,,
2003-07-18,267,183,,,
2003-07-19,267,189,,,
2003-07-20,289,183,,,
2003-07-21,261,183,,,
2003-07-22,233,161,,,
2003-07-23,228,144,,,
2003-07-24,250,128,,,
2003-07-25,239,167,,,
2003-07-26,256,183,,,
2003-07-27,272,172,,,
2003-07-28,272,183,,,
2003-07-29,267,183,,,
2003-07-30,233,183,,,
2003-07-31,233,178,,,
2003-08-01,267,183,,,
2003-08-02,239,172,,,
2003-08-03,244,172,,,
2003-08-04,250,167,,,
2003-08-05,250,178,,,
2003-08-06,250,167,,,
2003-08-07,256,156,,,
2003-08-08,261,161,,,
2003-08-09,250,167,,,
2003-08-10,244,161,,,
2003-08-11,228,156,,,
2003-08-12,239,167,,,
2003-08-13,239,178,,,
2003-08-14,267,189,,,
2003-08-15,272,189,,,
2003-08-16,261,178,,,
2003-08-17,283,178,,,
2003-08-18,278,183,,,
2003-08-19,250,189,,,
2003-08-20,256,200,,,
2003-08-21,256,189,,,
2003-08-22,272,178,,,
2003-08-23,289,194,,,
2003-08-24,256,189,,,
2003-08-25,272,178,,,
2003-08-26,289,200,,,
2003-08-27,272,200,,,
2003-08-28,267,194,,,
2003-08-29,283,194,,,
2003-08-30,261,183,,,
2003-08-31,244,194,,,
2003-09-01,250,189,,,
2003-09-02,267,183,,,
2003-09-03,261,189,,,
2003-09-04,244,172,,,
2003-09-05,239,156,,,
2003-09-06,222,144,,,
2003-09-07,206,139,,,
2003-09-08,194,133,,,
2003-09-09,217,144,,,
2003-09-10,211,144,,,
2003-09-11,217,117,,,
2003-09-12,228,122,,,
2003-09-13,244,139,,,
2003-09-14,206,167,,,
2003-09-15,228,150,,,
2003-09-16,228,139,,,
2003-09-17,228,144,,,
2003-09-18,217,122,,,
2003-09-19,222,144,,,
2003-09-20,244,172,,,
2003-09-21,217,161,,,
2003-09-22,183,139,,,
2003-09-23,200,122,,,
2003-09-24,211,128,,,
2003-09-25,233,133,,,
2003-09-26,222,144,,,
2003-09-27,200,139,,,
2003-09-28,156,67,,,
2003-09-29,133,44,,,
2003-09-30,172,61,,,
2003-10-01,150,61,,,
2003-10-02,139,33,,,
2003-10-03,117,44,,,
2003-10-04,178,94,,,
2003-10-05,183,117,,,
2003-10-06,172,128,,,
2003-10-07,189,122,,,
2003-10-08,172,133,,,
2003-10-09,156,133,,,
2003-10-10,172,128,,,
2003-10-11,150,122,,,
2003-10-12,211,117,,,
2003-10-13,211,139,,,
2003-10-14,183,72,,,
2003-10-15,144,67,,,
2003-10-16,172,61,,,
2003-10-17,144,89,,,
2003-10-18,178,72,,,
2003-10-19,211,83,,,
2003-10-20,211,117,,,
2003-10-21,217,139,,,
2003-10-22,172,83,,,
2003-10-23,178,61,,,
2003-10-24,178,78,,,
2003-10-25,183,72,,,
2003-10-26,139,128,,,
2003-10-27,133,39,,,
2003-10-28,117,11,,,
2003-10-29,150,67,,,
2003-10-30,211,117,,,
2003-10-31,211,117,,,
2003-11-01,250,122,,,
2003-11-02,250,156,,,
2003-11-03,244,150,,,
2003-11-04,178,144,,,
2003-11-05,183,172,,,
2003-11-06,217,156,,,
2003-11-07,206,106,,,
2003-11-08,144,94,,,
2003-11-09,122,22,,,
2003-11-10,144,17,,,
2003-11-11,189,61,,,
2003-11-12,200,133,,,
2003-11-13,122,-6,,,
2003-11-14,100,-17,,,
2003-11-15,156,83,,,
2003-11-16,156,106,,,
2003-11-17,172,133,,,
2003-11-18,156,128,,,
2003-11-19,156,72,,,
2003-11-20,156,61,,,
2003-11-21,183,94,,,
2003-11-22,194,106,,,
2003-11-23,167,100,,,
2003-11-24,117,-28,,,
2003-11-25,83,-39,,,
2003-11-26,117,17,,,
2003-11-27,122,72,,,
2003-11-28,133,-56,,,
2003-11-29,17,-72,,,
2003-11-30,111,-17,,,
2003-12-01,106,0,,,
2003-12-02,100,-22,,,
2003-12-03,56,-22,,,
2003-12-04,17,-22,,,
2003-12-05,28,-33,,,
2003-12-06,0,-39,,,
2003-12-07,67,-44,,,
2003-12-08,111,39,,,
