DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2003-02-20,178,78,,,
2003-02-21,144,78,,,
2003-02-22,233,61,,,
2003-02-23,111,28,,,
2003-02-24,167,44,,,
2003-02-25,50,6,,,
2003-02-26,50,17,,,
2003-02-27,72,50,,,
2003-02-28,161,61,,,
2003-03-01,150,50,,,
2003-03-02,122,44,,,
2003-03-03,122,0,,,
2003-03-04,172,-11,,,
2003-03-05,167,122,,,
2003-03-06,156,56,,,
2003-03-07,200,33,,,
2003-03-08,206,33,,,
2003-03-09,222,67,,,
2003-03-10,139,22,,,
2003-03-11,183,-6,,,
2003-03-12,244,22,,,
2003-03-13,239,117,,,
2003-03-14,172,100,,,
2003-03-15,150,89,,,
2003-03-16,200,106,,,
2003-03-17,150,94,,,
2003-03-18,189,139,,,
2003-03-19,211,150,,,
2003-03-20,172,111,,,
2003-03-21,194,106,,,
2003-03-22,178,67,,,
2003-03-23,206,50,,,
2003-03-24,239,28,,,
2003-03-25,250,61,,,
2003-03-26,200,106,,,
2003-03-27,228,61,,,
2003-03-28,244,183,,,
2003-03-29,189,50,,,
2003-03-30,100,28,,,
2003-03-31,139,-44,,,
2003-04-01,233,72,,,
2003-04-02,239,122,,,
2003-04-03,244,139,,,
2003-04-04,239,167,,,
2003-04-05,244,122,,,
2003-04-06,233,56,,,
2003-04-07,233,144,,,
2003-04-08,167,117,,,
2003-04-09,106,50,,,
2003-04-10,83,44,,,
2003-04-11,83,83,,,
2003-04-25,222,150,,,
2003-04-26,217,122,,,
2003-04-27,250,89,,,
2003-04-28,272,94,,,
2003-04-29,294,122,,,
2003-04-30,289,150,,,
2003-05-01,278,156,,,
2003-05-02,256,128,,,
2003-05-03,250,117,,,
2003-05-04,261,100,,,
2003-05-05,233,172,,,
2003-05-06,233,167,,,
2003-05-07,239,178,,,
2003-05-08,283,189,,,
2003-05-09,300,211,,,
2003-05-10,300,233,,,
2003-05-11,244,156,,,
2003-05-12,233,94,,,
2003-05-13,250,94,,,
2003-05-14,222,122,,,
2003-05-15,228,161,,,
2003-05-16,283,167,,,
2003-05-17,278,167,,,
2003-05-18,244,167,,,
2003-05-19,228,156,,,
2003-05-20,228,150,,,
2003-05-21,194,172,,,
2003-05-22,256,178,,,
2003-05-23,256,144,,,
2003-05-24,250,122,,,
2003-05-25,239,122,,,
2003-05-26,250,150,,,
2003-05-27,239,117,,,
2003-05-28,261,94,,,
2003-05-29,250,122,,,
2003-05-30,267,100,,,
2003-05-31,294,172,,,
2003-06-01,244,117,,,
2003-06-02,267,89,,,
2003-06-03,239,167,,,
2003-06-04,244,156,,,
2003-06-05,256,128,,,
2003-06-06,239,117,,,
2003-06-09,283,156,,,
2003-06-10,306,133,,,
2003-06-11,311,194,,,
2003-06-12,289,211,,,
2003-06-13,261,217,,,
2003-06-14,306,217,,,
2003-06-15,294,211,,,
2003-06-16,306,200,,,
2003-06-17,294,200,,,
2003-06-18,239,206,,,
2003-06-19,278,194,,,
2003-06-20,272,183,,,
2003-06-21,261,100,,,
2003-06-22,283,106,,,
2003-06-23,306,144,,,
2003-06-24,317,156,,,
2003-06-25,322,161,,,
2003-06-26,311,183,,,
2003-06-27,250,200,,,
2003-06-28,294,189,,,
2003-06-29,317,189,,,
2003-06-30,272,206,,,
2003-07-01,217,194,,,
2003-07-02,272,189,,,
2003-07-03,311,167,,,
2003-07-04,328,183,,,
2003-07-05,289,222,,,
2003-07-06,289,228,,,
2003-07-07,289,222,,,
2003-07-08,322,211,,,
2003-07-09,317,211,,,
2003-07-10,272,200,,,
2003-07-11,294,206,,,
2003-07-12,306,178,,,
2003-07-13,311,194,,,
2003-07-14,283,189,,,
2003-07-15,306,194,,,
2003-07-16,306,206,,,
2003-07-17,311,206,,,
2003-07-18,317,189,,,
2003-07-19,322,211,,,
2003-07-20,328,200,,,
2003-07-21,322,206,,,
2003-07-22,250,200,,,
2003-07-23,272,167,,,
2003-07-24,278,128,,,
2003-07-25,317,150,,,
2003-07-26,317,183,,,
2003-07-27,317,206,,,
2003-07-28,339,194,,,
2003-07-29,300,206,,,
2003-07-30,311,206,,,
2003-07-31,294,217,,,
2003-08-01,289,211,,,
2003-08-02,311,194,,,
2003-08-03,294,211,,,
2003-08-04,272,189,,,
2003-08-05,306,206,,,
2003-08-06,267,206,,,
2003-08-07,289,194,,,
2003-08-08,294,172,,,
2003-08-09,306,172,,,
2003-08-10,300,178,,,
2003-08-11,306,172,,,
2003-08-12,300,183,,,
2003-08-13,311,233,,,
2003-08-14,328,211,,,
2003-08-15,328,211,,,
2003-08-16,322,217,,,
2003-08-17,322,206,,,
2003-08-18,317,206,,,
2003-08-19,339,194,,,
2003-08-20,322,228,,,
2003-08-21,328,217,,,
2003-08-22,328,211,,,
2003-08-23,322,200,,,
2003-08-24,333,194,,,
2003-08-25,333,206,,,
2003-08-26,339,200,,,
2003-08-27,344,217,,,
2003-08-28,328,217,,,
2003-08-29,333,217,,,
2003-08-30,300,239,,,
2003-08-31,333,217,,,
2003-09-01,322,222,,,
2003-09-02,322,206,,,
2003-09-03,333,217,,,
2003-09-04,294,206,,,
2003-09-05,289,172,,,
2003-09-06,272,172,,,
2003-09-07,228,172,,,
2003-09-08,272,161,,,
2003-09-09,283,139,,,
2003-09-10,272,161,,,
2003-09-11,278,172,,,
2003-09-12,289,167,,,
2003-09-13,294,133,,,
2003-09-14,278,194,,,
2003-09-15,267,161,,,
2003-09-16,272,133,,,
2003-09-17,289,144,,,
2003-09-18,278,122,,,
2003-09-19,300,122,,,
2003-09-20,311,144,,,
2003-09-21,283,167,,,
2003-09-22,233,172,,,
2003-09-23,261,133,,,
2003-09-24,278,106,,,
2003-09-25,289,139,,,
2003-09-26,294,144,,,
2003-09-27,267,156,,,
2003-09-28,211,83,,,
2003-09-29,189,39,,,
2003-09-30,217,44,,,
2003-10-01,183,89,,,
2003-10-02,183,50,,,
2003-10-03,183,11,,,
2003-10-04,244,89,,,
2003-10-05,217,94,,,
2003-10-06,211,133,,,
2003-10-07,250,122,,,
2003-10-08,250,156,,,
2003-10-09,228,133,,,
2003-10-10,211,156,,,
2003-10-11,244,150,,,
2003-10-12,261,150,,,
2003-10-13,272,122,,,
2003-10-14,228,94,,,
2003-10-15,206,56,,,
2003-10-16,228,22,,,
2003-10-17,150,56,,,
2003-10-18,206,61,,,
2003-10-19,244,44,,,
2003-10-20,267,56,,,
2003-10-21,278,83,,,
2003-10-22,250,67,,,
2003-10-23,244,33,,,
2003-10-24,244,44,,,
2003-10-25,239,117,,,
2003-10-26,206,172,,,
2003-10-27,61,39,,,
2003-10-28,133,17,,,
2003-10-29,211,44,,,
2003-10-30,272,56,,,
2003-10-31,267,106,,,
2003-11-01,272,67,,,
2003-11-02,283,72,,,
2003-11-03,283,56,,,
2003-11-04,250,150,,,
2003-11-05,250,194,,,
2003-11-06,250,194,,,
2003-11-09,183,28,,,
2003-11-10,178,33,,,
2003-11-11,222,78,,,
2003-11-12,239,172,,,
2003-11-13,167,28,,,
2003-11-14,117,6,,,
2003-11-15,183,50,,,
2003-11-16,194,156,,,
2003-11-17,222,150,,,
2003-11-18,228,161,,,
2003-11-19,178,67,,,
2003-11-20,189,17,,,
2003-11-21,228,11,,,
2003-11-22,211,33,,,
2003-11-23,217,67,,,
2003-11-24,183,0,,,
2003-11-25,122,-39,,,
2003-11-26,161,39,,,
2003-11-27,167,94,,,
2003-11-28,172,0,,,
2003-11-29,72,-22,,,
2003-11-30,144,-33,,,
2003-12-01,150,-17,,,
2003-12-02,117,-6,,,
2003-12-03,100,6,,,
2003-12-04,44,28,,,
2003-12-05,61,28,,,
2003-12-06,44,0,,,
2003-12-07,106,-39,,,
2003-12-08,139,-50,,,
2003-12-09,150,56,,,
2003-12-10,139,17,,,
2003-12-11,39,0,,,
2003-12-12,83,-22,,,
2003-12-13,67,-28,,,
2003-12-14,67,28,,,
2003-12-15,128,0,,,
2003-12-16,150,56,,,
2003-12-17,67,-33,,,
2003-12-18,89,-33,,,
2003-12-19,61,-11,,,
2003-12-20,39,-56,,,
2003-12-21,106,-78,,,
2003-12-22,133,72,,,
2003-12-23,178,106,,,
2003-12-24,111,-17,,,
2003-12-25,56,-28,,,
2003-12-26,106,-56,,,
2003-12-27,150,-61,,,
2003-12-28,178,-39,,,
2003-12-29,172,83,,,
2003-12-30,100,-22,,,
2003-12-31,144,-44,,,
2004-01-06,22,-56,,,
2004-01-07,0,-83,,,
2004-01-08,28,-56,,,
2004-01-09,22,0,,,
2004-01-10,11,-44,,,
2004-01-11,78,-78,,,
2004-01-12,94,-22,,,
2004-01-13,161,-17,,,
2004-01-14,139,-22,,,
2004-01-15,106,6,,,
2004-01-16,133,-33,,,
2004-01-17,122,-17,,,
2004-01-18,133,22,,,
2004-01-19,17,-44,,,
2004-01-20,50,-67,,,
2004-01-21,83,-61,,,
2004-01-22,122,-72,,,
2004-01-23,67,-56,,,
2004-01-24,167,-6,,,
2004-01-25,111,50,,,
2004-01-26,72,28,,,
2004-01-27,44,-28,,,
2004-01-28,39,-56,,,
2004-01-29,100,-89,,,
2004-01-30,72,-22,,,
2004-01-31,72,-61,,,
2004-02-01,133,-78,,,
2004-02-02,83,33,,,
2004-02-03,94,11,,,
2004-02-04,100,-17,,,
2004-02-05,161,72,,,
2004-02-06,144,44,,,
2004-02-07,39,0,,,
2004-02-08,72,-22,,,
2004-02-09,94,28,,,
2004-02-10,78,11,,,
2004-02-11,106,11,,,
2004-02-12,50,28,,,
2004-02-13,117,0,,,
2004-02-14,111,44,,,
2004-02-15,67,22,,,
2004-02-16,56,22,,,
2004-02-17,56,6,,,
2004-02-18,117,-22,,,
2004-02-19,167,-39,,,
2004-02-20,161,94,,,
2004-02-21,156,56,,,
2004-02-22,144,0,,,
2004-02-23,128,17,,,
2004-02-24,139,83,,,
2004-02-25,94,56,,,
2004-02-26,56,0,,,
2004-02-27,78,6,,,
2004-02-28,172,-39,,,
2004-02-29,172,0,,,
2004-03-01,228,133,,,
2004-03-02,161,122,,,
2004-03-03,228,128,,,
2004-03-04,239,167,,,
2004-03-05,228,194,,,
2004-03-06,222,100,,,
2004-03-07,206,50,,,
2004-03-08,133,22,,,
2004-03-09,139,17,,,
2004-03-10,122,-11,,,
2004-03-11,183,-28,,,
2004-03-12,167,17,,,
2004-03-13,194,0,,,
2004-03-14,211,128,,,
2004-03-15,144,111,,,
2004-03-16,194,83,,,
2004-03-17,172,56,,,
2004-03-18,189,33,,,
2004-03-19,228,67,,,
2004-03-20,250,61,,,
2004-03-21,161,22,,,
2004-03-22,89,-22,,,
2004-03-23,156,-50,,,
2004-03-24,211,89,,,
2004-03-25,233,139,,,
2004-03-26,261,139,,,
2004-03-27,261,122,,,
2004-03-28,272,89,,,
2004-03-29,233,128,,,
2004-03-30,194,89,,,
2004-03-31,128,17,,,
2004-04-01,139,11,,,
2004-04-02,139,22,,,
2004-04-03,200,22,,,
2004-04-04,150,44,,,
2004-04-05,156,28,,,
2004-04-06,239,-6,,,
2004-04-07,256,39,,,
2004-04-08,233,111,,,
2004-04-09,233,89,,,
2004-04-10,194,33,,,
2004-04-11,161,106,,,
2004-04-12,206,122,,,
2004-04-13,156,28,,,
2004-04-14,156,33,,,
2004-04-15,222,28,,,
2004-04-16,261,39,,,
2004-04-17,267,94,,,
2004-04-18,278,89,,,
2004-04-19,283,128,,,
2004-04-20,272,133,,,
2004-04-21,250,156,,,
2004-04-22,267,178,,,
2004-04-23,289,161,,,
2004-04-24,306,139,,,
2004-04-25,272,172,,,
2004-04-26,194,89,,,
2004-04-27,206,56,,,
2004-04-28,244,22,,,
2004-04-29,244,150,,,
2004-04-30,222,189,,,
2004-05-01,250,172,,,
2004-05-02,200,72,,,
2004-05-03,139,44,,,
2004-05-04,206,11,,,
2004-05-05,278,67,,,
2004-05-06,294,111,,,
2004-05-07,300,111,,,
2004-05-08,311,117,,,
2004-05-09,317,133,,,
2004-05-10,294,194,,,
2004-05-11,278,172,,,
2004-05-12,278,194,,,
2004-05-13,272,200,,,
2004-05-14,267,183,,,
2004-05-15,278,161,,,
2004-05-16,278,144,,,
2004-05-17,283,167,,,
2004-05-18,278,172,,,
2004-05-19,294,167,,,
2004-05-20,311,167,,,
2004-05-21,317,172,,,
2004-05-22,306,178,,,
2004-05-23,311,194,,,
2004-05-24,300,211,,,
2004-05-25,311,189,,,
2004-05-26,306,228,,,
2004-05-27,300,217,,,
2004-05-28,289,189,,,
2004-05-29,272,167,,,
2004-05-30,322,189,,,
2004-05-31,267,183,,,
2004-06-01,272,156,,,
2004-06-02,294,128,,,
2004-06-03,278,150,,,
2004-06-04,278,161,,,
2004-06-05,278,133,,,
2004-06-06,289,156,,,
2004-06-07,278,178,,,
2004-06-08,289,200,,,
2004-06-09,289,178,,,
2004-06-10,317,183,,,
2004-06-11,333,183,,,
2004-06-12,339,200,,,
2004-06-13,289,239,,,
2004-06-14,311,228,,,
2004-06-15,294,228,,,
2004-06-16,317,222,,,
2004-06-17,317,206,,,
2004-06-18,311,217,,,
2004-06-19,428,211,,,
2004-06-20,294,189,,,
2004-06-21,306,211,,,
2004-06-22,300,211,,,
2004-06-23,267,206,,,
2004-06-24,272,206,,,
2004-06-25,278,200,,,
2004-06-26,289,200,,,
2004-06-27,244,194,,,
2004-06-28,239,206,,,
2004-06-29,300,178,,,
2004-06-30,256,200,,,
2004-07-01,472,200,,,
2004-07-02,283,211,,,
2004-07-03,306,233,,,
2004-07-04,306,228,,,
2004-07-05,322,222,,,
2004-07-06,317,183,,,
2004-07-07,306,206,,,
2004-07-08,306,194,,,
2004-07-09,322,194,,,
2004-07-10,317,217,,,
2004-07-11,328,206,,,
2004-07-12,389,228,,,
2004-07-13,328,217,,,
2004-07-14,333,222,,,
2004-07-15,289,178,,,
2004-07-16,294,228,,,
2004-07-17,289,233,,,
2004-07-18,283,222,,,
2004-07-19,278,172,,,
2004-07-20,306,217,,,
2004-07-21,322,172,,,
2004-07-22,317,267,,,
2004-07-24,344,244,,,
2004-07-25,317,294,,,
2004-07-26,300,233,,,
2004-07-27,283,228,,,
2004-07-28,289,233,,,
2004-07-29,322,244,,,
2004-07-30,317,244,,,
2004-07-31,294,233,,,
2004-08-01,317,222,,,
2004-08-02,317,233,,,
2004-08-03,322,217,,,
2004-08-04,333,233,,,
2004-08-05,300,222,,,
2004-08-06,267,233,,,
2004-08-07,272,200,,,
2004-08-08,278,211,,,
2004-08-09,283,217,,,
2004-08-10,278,256,,,
2004-08-11,300,228,,,
2004-08-12,217,211,,,
2004-08-13,228,156,,,
2004-08-14,261,183,,,
2004-08-15,267,156,,,
2004-08-16,272,167,,,
2004-08-17,300,200,,,
2004-08-18,600,-172,,,
2004-08-19,600,-306,,,
2004-08-20,472,106,,,
2004-08-21,278,189,,,
2004-08-22,256,228,,,
2004-08-23,378,328,,,
2004-08-24,394,339,,,
2004-08-25,600,600,,,
2004-08-26,422,389,,,
2004-08-27,600,600,,,
2004-08-28,600,600,,,
2004-08-29,600,600,,,
2004-08-30,600,544,,,
2004-08-31,556,483,,,
2004-09-01,600,383,,,
2004-09-02,572,367,,,
2004-09-03,422,400,,,
2004-09-04,517,456,,,
2004-09-05,500,433,,,
2004-09-06,433,372,,,
2004-09-07,444,250,,,
2004-09-08,556,506,,,
2004-09-09,594,594,,,
2004-09-10,572,467,,,
2004-09-11,528,528,,,
2004-09-12,461,461,,,
2004-09-13,511,511,,,
2004-09-14,289,156,,,
2004-09-15,294,172,,,
2004-09-16,256,222,,,
2004-09-17,256,194,,,
2004-09-18,244,133,,,
2004-09-19,261,83,,,
2004-09-20,256,78,,,
