DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1922-09-09,222.0,,,,
1922-09-10,183.0,111.0,23.0,,
1922-09-11,211.0,61.0,0.0,,
1922-09-12,256.0,106.0,10.0,,
1922-09-13,267.0,117.0,3.0,,
1922-09-14,250.0,133.0,,,
1922-09-15,250.0,106.0,,,
1922-09-16,222.0,106.0,,,
1922-09-17,200.0,61.0,,,
1922-09-18,178.0,94.0,,,
1922-09-19,167.0,100.0,23.0,,
1922-09-20,211.0,133.0,0.0,,
1922-09-21,256.0,78.0,,,
1922-09-22,272.0,106.0,,,
1922-09-23,306.0,144.0,,,
1922-09-24,239.0,106.0,,,
1922-09-25,200.0,,,,
1922-09-26,222.0,44.0,,,
1922-09-27,244.0,39.0,,,
1922-09-28,289.0,67.0,,,
1922-09-29,306.0,,,,
1922-09-30,272.0,,,,
1922-10-01,300.0,128.0,0.0,,0.0
1922-10-02,317.0,156.0,0.0,,0.0
1922-10-03,317.0,139.0,0.0,,0.0
1922-10-04,311.0,133.0,0.0,,0.0
1922-10-05,322.0,161.0,0.0,,0.0
1922-10-06,267.0,156.0,0.0,,0.0
1922-10-07,206.0,89.0,0.0,,0.0
1922-10-08,128.0,56.0,0.0,,0.0
1922-10-09,172.0,67.0,0.0,,0.0
1922-10-10,194.0,22.0,0.0,,0.0
1922-10-11,189.0,56.0,0.0,,0.0
1922-10-12,144.0,0.0,0.0,,0.0
1922-10-13,189.0,28.0,0.0,,0.0
1922-10-14,172.0,100.0,13.0,,0.0
1922-10-15,144.0,61.0,0.0,,0.0
1922-10-16,211.0,28.0,0.0,,0.0
1922-10-17,133.0,-11.0,0.0,,0.0
1922-10-18,139.0,-22.0,0.0,,0.0
1922-10-19,222.0,22.0,0.0,,0.0
1922-10-20,211.0,28.0,0.0,,0.0
1922-10-21,228.0,50.0,0.0,,0.0
1922-10-22,206.0,72.0,3.0,,0.0
1922-10-23,161.0,33.0,0.0,,0.0
1922-10-24,200.0,28.0,0.0,,0.0
1922-10-25,200.0,67.0,0.0,,0.0
1922-10-26,194.0,28.0,0.0,,0.0
1922-10-27,278.0,78.0,0.0,,0.0
1922-10-28,283.0,72.0,0.0,,0.0
1922-10-29,272.0,72.0,0.0,,0.0
1922-10-30,267.0,89.0,0.0,,0.0
1922-10-31,211.0,117.0,0.0,,0.0
1922-11-01,178.0,89.0,241.0,,0.0
1922-11-02,167.0,94.0,25.0,,0.0
1922-11-03,156.0,11.0,0.0,,0.0
1922-11-04,161.0,67.0,0.0,,0.0
1922-11-05,183.0,106.0,89.0,,0.0
1922-11-06,156.0,67.0,0.0,,0.0
1922-11-07,100.0,28.0,0.0,,0.0
1922-11-08,83.0,39.0,0.0,,0.0
1922-11-09,106.0,28.0,0.0,,0.0
1922-11-10,161.0,44.0,0.0,,0.0
1922-11-11,,,0.0,,0.0
1922-11-12,161.0,72.0,165.0,,0.0
1922-11-13,122.0,61.0,152.0,,0.0
1922-11-14,139.0,28.0,0.0,,0.0
1922-11-15,94.0,-17.0,0.0,,0.0
1922-11-16,106.0,-22.0,0.0,,0.0
1922-11-17,111.0,22.0,0.0,,0.0
1922-11-18,122.0,44.0,102.0,,0.0
1922-11-19,128.0,11.0,0.0,,0.0
1922-11-20,28.0,0.0,0.0,,0.0
1922-11-21,61.0,-22.0,0.0,,0.0
1922-11-22,111.0,-33.0,0.0,,0.0
1922-11-23,122.0,28.0,0.0,,0.0
1922-11-24,78.0,-44.0,0.0,,0.0
1922-11-25,17.0,-89.0,0.0,,0.0
1922-11-26,61.0,-28.0,0.0,,0.0
1922-11-27,33.0,-6.0,48.0,,25.0
1922-11-28,50.0,-44.0,0.0,,0.0
1922-11-29,106.0,-11.0,0.0,,0.0
1922-11-30,,,0.0,,0.0
1922-12-01,44.0,-11.0,,,0.0
1922-12-02,94.0,-11.0,,,0.0
1922-12-03,122.0,-28.0,,,0.0
1922-12-04,106.0,22.0,,,25.0
1922-12-05,72.0,-106.0,,,0.0
