DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1943-05-24,200,117.0,69,0.0,0
1943-05-25,133,89.0,0,0.0,0
1943-05-26,183,89.0,0,0.0,0
1943-05-27,222,78.0,0,0.0,0
1943-05-28,294,100.0,0,0.0,0
1943-05-29,317,183.0,0,0.0,0
1943-05-30,256,200.0,0,0.0,0
1943-05-31,311,200.0,0,0.0,0
1943-06-01,294,194.0,58,0.0,0
1943-06-02,300,228.0,0,0.0,0
1943-06-03,294,211.0,0,0.0,0
1943-06-04,222,144.0,0,0.0,0
1943-06-05,206,139.0,165,0.0,0
1943-06-06,228,139.0,348,0.0,0
1943-06-07,200,122.0,0,0.0,0
1943-06-08,178,111.0,0,0.0,0
1943-06-09,244,117.0,0,0.0,0
1943-06-10,267,156.0,0,0.0,0
1943-06-11,289,144.0,43,0.0,0
1943-06-12,317,222.0,71,0.0,0
1943-06-13,333,200.0,0,0.0,0
1943-06-14,333,233.0,0,0.0,0
1943-06-15,272,206.0,20,0.0,0
1943-06-16,256,178.0,140,0.0,0
1943-06-17,256,167.0,0,0.0,0
1943-06-18,294,167.0,0,0.0,0
1943-06-19,328,200.0,0,0.0,0
1943-06-20,289,189.0,203,0.0,0
1943-06-21,328,206.0,0,0.0,0
1943-06-22,317,206.0,0,0.0,0
1943-06-23,317,206.0,104,0.0,0
1943-06-24,322,217.0,0,0.0,0
1943-06-25,344,217.0,0,0.0,0
1943-06-26,356,244.0,0,0.0,0
1943-06-27,350,250.0,0,0.0,0
1943-06-28,294,150.0,3,0.0,0
1943-06-29,183,106.0,0,0.0,0
1943-06-30,194,78.0,0,0.0,0
1943-07-01,250,106.0,0,0.0,0
1943-07-02,300,133.0,0,0.0,0
1943-07-03,333,189.0,56,0.0,0
1943-07-04,317,200.0,46,0.0,0
1943-07-05,289,194.0,3,0.0,0
1943-07-06,278,189.0,20,0.0,0
1943-07-07,278,178.0,0,0.0,0
1943-07-08,300,150.0,0,0.0,0
1943-07-09,317,167.0,0,0.0,0
1943-07-10,322,172.0,0,0.0,0
1943-07-11,317,172.0,0,0.0,0
1943-07-12,350,189.0,0,0.0,0
1943-07-13,356,222.0,0,0.0,0
1943-07-14,289,172.0,43,0.0,0
1943-07-15,311,144.0,0,0.0,0
1943-07-16,306,194.0,239,0.0,0
1943-07-17,289,172.0,0,0.0,0
1943-07-18,306,150.0,0,0.0,0
1943-07-19,294,206.0,0,0.0,0
1943-07-20,317,156.0,0,0.0,0
1943-07-21,322,211.0,0,0.0,0
1943-07-22,278,161.0,0,0.0,0
1943-07-23,311,144.0,0,0.0,0
1943-07-24,317,217.0,0,0.0,0
1943-07-25,339,228.0,8,0.0,0
