DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1897-09-01,,,0.0,,
1897-09-02,,,0.0,,
1897-09-03,,,0.0,,
1897-09-04,,,0.0,,
1897-09-05,317.0,161.0,0.0,0.0,0.0
1897-09-06,328.0,144.0,0.0,0.0,0.0
1897-09-07,339.0,172.0,0.0,0.0,0.0
1897-09-08,339.0,172.0,0.0,0.0,0.0
1897-09-09,339.0,183.0,0.0,0.0,0.0
1897-09-10,344.0,183.0,0.0,0.0,0.0
1897-09-11,350.0,172.0,0.0,0.0,0.0
1897-09-12,356.0,183.0,0.0,0.0,0.0
1897-09-13,339.0,211.0,0.0,0.0,0.0
1897-09-14,350.0,206.0,0.0,0.0,0.0
1897-09-15,350.0,228.0,0.0,0.0,0.0
1897-09-16,344.0,222.0,104.0,0.0,0.0
1897-09-17,250.0,206.0,0.0,0.0,0.0
1897-09-18,256.0,106.0,0.0,0.0,0.0
1897-09-19,267.0,128.0,0.0,0.0,0.0
1897-09-20,189.0,72.0,0.0,0.0,0.0
1897-09-21,211.0,61.0,0.0,0.0,0.0
1897-09-22,244.0,44.0,0.0,0.0,0.0
1897-09-23,267.0,89.0,0.0,0.0,0.0
1897-09-24,306.0,83.0,0.0,0.0,0.0
1897-09-25,306.0,156.0,0.0,0.0,0.0
1897-09-26,328.0,156.0,0.0,0.0,0.0
1897-09-27,278.0,167.0,0.0,0.0,0.0
1897-09-28,267.0,106.0,0.0,0.0,0.0
1897-09-29,294.0,117.0,0.0,0.0,0.0
1897-09-30,300.0,139.0,0.0,0.0,0.0
1897-10-01,306.0,117.0,0.0,0.0,0.0
1897-10-02,311.0,122.0,0.0,0.0,0.0
1897-10-03,311.0,156.0,0.0,0.0,0.0
1897-10-04,283.0,106.0,0.0,0.0,0.0
1897-10-05,311.0,117.0,0.0,0.0,0.0
1897-10-06,233.0,144.0,0.0,0.0,0.0
1897-10-07,250.0,89.0,0.0,0.0,0.0
1897-10-08,294.0,100.0,0.0,0.0,0.0
1897-10-09,256.0,106.0,0.0,0.0,0.0
1897-10-10,283.0,144.0,0.0,0.0,0.0
1897-10-11,222.0,161.0,155.0,0.0,0.0
1897-10-12,244.0,144.0,0.0,0.0,0.0
1897-10-13,283.0,139.0,0.0,0.0,0.0
1897-10-14,300.0,144.0,0.0,0.0,0.0
1897-10-15,289.0,194.0,0.0,0.0,0.0
1897-10-16,283.0,172.0,0.0,0.0,0.0
1897-10-17,222.0,144.0,0.0,0.0,0.0
1897-10-18,256.0,117.0,0.0,0.0,0.0
1897-10-19,178.0,156.0,396.0,0.0,0.0
1897-10-20,194.0,150.0,23.0,0.0,0.0
1897-10-21,217.0,78.0,0.0,0.0,0.0
1897-10-22,211.0,83.0,0.0,0.0,0.0
1897-10-23,189.0,78.0,0.0,0.0,0.0
1897-10-24,206.0,72.0,0.0,0.0,0.0
1897-10-25,211.0,67.0,0.0,0.0,0.0
1897-10-26,222.0,56.0,0.0,0.0,0.0
1897-10-27,233.0,106.0,0.0,0.0,0.0
1897-10-28,183.0,100.0,18.0,0.0,0.0
1897-10-29,150.0,44.0,0.0,0.0,0.0
1897-10-30,189.0,50.0,0.0,0.0,0.0
1897-10-31,139.0,106.0,0.0,0.0,0.0
1897-11-01,133.0,100.0,312.0,0.0,0.0
1897-11-02,128.0,72.0,81.0,0.0,0.0
1897-11-03,156.0,22.0,0.0,0.0,0.0
1897-11-04,200.0,67.0,0.0,0.0,0.0
1897-11-05,183.0,106.0,28.0,0.0,0.0
1897-11-06,122.0,22.0,0.0,0.0,0.0
1897-11-07,111.0,67.0,81.0,0.0,0.0
1897-11-08,178.0,100.0,61.0,0.0,0.0
1897-11-09,183.0,67.0,8.0,0.0,0.0
1897-11-10,156.0,56.0,0.0,0.0,0.0
1897-11-11,172.0,56.0,0.0,0.0,0.0
1897-11-12,100.0,11.0,0.0,0.0,0.0
1897-11-13,172.0,39.0,0.0,0.0,0.0
1897-11-14,217.0,144.0,5.0,0.0,0.0
1897-11-15,200.0,156.0,18.0,0.0,0.0
1897-11-16,200.0,22.0,198.0,0.0,0.0
1897-11-17,83.0,-39.0,0.0,0.0,0.0
1897-11-18,111.0,-39.0,0.0,0.0,0.0
1897-11-19,167.0,33.0,0.0,0.0,0.0
1897-11-20,211.0,78.0,0.0,0.0,0.0
1897-11-21,217.0,100.0,0.0,0.0,0.0
1897-11-22,100.0,78.0,10.0,0.0,0.0
1897-11-23,22.0,-22.0,0.0,0.0,0.0
1897-11-24,100.0,-33.0,0.0,0.0,0.0
1897-11-25,128.0,67.0,25.0,0.0,0.0
1897-11-26,156.0,50.0,203.0,0.0,0.0
1897-11-27,56.0,-6.0,0.0,0.0,0.0
1897-11-28,94.0,-17.0,0.0,0.0,0.0
1897-11-29,11.0,-11.0,0.0,0.0,0.0
1897-11-30,33.0,-67.0,0.0,,0.0
1897-12-01,56.0,11.0,0.0,0.0,0.0
1897-12-02,56.0,-11.0,0.0,0.0,0.0
1897-12-03,56.0,33.0,15.0,0.0,0.0
1897-12-04,72.0,11.0,30.0,0.0,0.0
1897-12-05,11.0,-33.0,5.0,0.0,10.0
1897-12-06,83.0,-28.0,0.0,0.0,0.0
1897-12-07,106.0,17.0,0.0,0.0,0.0
1897-12-08,172.0,61.0,0.0,0.0,0.0
1897-12-09,200.0,111.0,0.0,0.0,0.0
1897-12-10,194.0,111.0,81.0,0.0,0.0
1897-12-11,194.0,39.0,15.0,0.0,0.0
1897-12-12,83.0,22.0,3.0,0.0,0.0
1897-12-13,83.0,17.0,41.0,0.0,0.0
1897-12-14,83.0,44.0,15.0,0.0,0.0
1897-12-15,78.0,17.0,0.0,0.0,0.0
1897-12-16,94.0,22.0,0.0,0.0,0.0
1897-12-17,28.0,-28.0,142.0,0.0,0.0
1897-12-18,-44.0,-89.0,0.0,0.0,0.0
1897-12-19,11.0,-56.0,0.0,0.0,0.0
1897-12-20,44.0,0.0,226.0,0.0,0.0
1897-12-21,11.0,-11.0,0.0,0.0,0.0
1897-12-22,22.0,-44.0,0.0,0.0,0.0
1897-12-23,0.0,-44.0,5.0,0.0,8.0
1897-12-24,-17.0,-94.0,0.0,0.0,0.0
1897-12-25,33.0,-61.0,30.0,0.0,46.0
1897-12-26,67.0,-11.0,0.0,0.0,0.0
1897-12-27,44.0,-33.0,0.0,0.0,0.0
1897-12-28,50.0,-17.0,0.0,0.0,0.0
1897-12-29,156.0,6.0,0.0,0.0,0.0
1897-12-30,117.0,28.0,0.0,0.0,0.0
1897-12-31,83.0,-44.0,142.0,25.0,13.0
1898-01-01,-33.0,-94.0,3.0,0.0,3.0
1898-01-02,-17.0,-100.0,0.0,0.0,0.0
1898-01-03,83.0,-33.0,0.0,0.0,0.0
1898-01-04,89.0,33.0,0.0,0.0,0.0
1898-01-05,89.0,-28.0,0.0,0.0,0.0
1898-01-06,72.0,39.0,157.0,0.0,0.0
1898-01-07,133.0,-22.0,0.0,0.0,0.0
1898-01-08,122.0,33.0,0.0,0.0,0.0
1898-01-09,150.0,67.0,97.0,0.0,0.0
1898-01-10,100.0,67.0,5.0,0.0,0.0
1898-01-11,161.0,72.0,46.0,0.0,0.0
1898-01-12,211.0,83.0,46.0,0.0,0.0
1898-01-13,100.0,22.0,0.0,0.0,0.0
1898-01-14,72.0,6.0,119.0,0.0,0.0
1898-01-15,178.0,28.0,170.0,0.0,0.0
