DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2009-01-01,44.0,-89.0,0.0,0,0.0
2009-01-02,56.0,-89.0,0.0,0,0.0
2009-01-03,94.0,-28.0,20.0,0,0.0
2009-01-04,100.0,-11.0,140.0,0,0.0
2009-01-05,161.0,67.0,64.0,0,0.0
2009-01-06,61.0,33.0,28.0,0,0.0
2009-01-07,117.0,17.0,376.0,0,0.0
2009-01-08,100.0,0.0,91.0,0,0.0
2009-01-09,44.0,-50.0,0.0,0,0.0
2009-01-10,61.0,-50.0,0.0,0,0.0
2009-01-11,150.0,-22.0,119.0,0,0.0
2009-01-12,17.0,0.0,0.0,0,0.0
2009-01-13,50.0,-44.0,0.0,0,0.0
2009-01-14,78.0,-67.0,,0,
2009-01-15,56.0,-72.0,10.0,0,10.0
2009-01-16,-61.0,-156.0,0.0,0,0.0
2009-01-17,-83.0,-167.0,0.0,0,0.0
2009-01-18,28.0,-167.0,0.0,0,0.0
2009-01-19,50.0,-17.0,13.0,25,13.0
2009-01-20,6.0,-72.0,0.0,0,0.0
2009-01-21,-50.0,-100.0,5.0,0,0.0
2009-01-22,-11.0,-111.0,0.0,0,0.0
2009-01-23,83.0,-94.0,0.0,0,0.0
2009-01-24,156.0,33.0,0.0,0,0.0
2009-01-25,33.0,-78.0,0.0,0,0.0
2009-01-26,33.0,-78.0,0.0,0,0.0
2009-01-27,17.0,-22.0,89.0,0,8.0
2009-01-28,133.0,0.0,165.0,0,0.0
2009-01-29,150.0,-6.0,152.0,0,0.0
2009-01-30,72.0,-50.0,0.0,0,0.0
2009-01-31,78.0,-22.0,0.0,0,0.0
2009-02-01,50.0,-61.0,0.0,0,0.0
2009-02-02,156.0,-39.0,0.0,0,0.0
2009-02-03,39.0,-56.0,38.0,0,0.0
2009-02-04,39.0,-100.0,36.0,51,51.0
2009-02-05,-56.0,-100.0,0.0,51,0.0
2009-02-06,-39.0,-100.0,0.0,25,0.0
2009-02-07,117.0,-94.0,0.0,0,0.0
2009-02-08,183.0,-28.0,0.0,0,0.0
2009-02-09,183.0,17.0,0.0,0,0.0
2009-02-10,200.0,17.0,0.0,0,0.0
2009-02-11,217.0,61.0,0.0,0,0.0
2009-02-12,228.0,89.0,119.0,0,0.0
2009-02-13,133.0,-11.0,0.0,0,0.0
2009-02-14,133.0,-17.0,0.0,0,0.0
2009-02-15,122.0,22.0,0.0,0,0.0
2009-02-16,78.0,-17.0,0.0,0,0.0
2009-02-17,33.0,-78.0,5.0,0,0.0
2009-02-18,106.0,-78.0,89.0,0,0.0
2009-02-19,150.0,28.0,13.0,0,0.0
2009-02-20,22.0,-72.0,5.0,0,0.0
2009-02-21,33.0,-72.0,0.0,0,0.0
2009-02-22,128.0,-67.0,36.0,25,15.0
2009-02-23,-17.0,-50.0,5.0,0,0.0
2009-02-24,-6.0,-83.0,0.0,0,0.0
2009-02-25,50.0,-83.0,0.0,0,0.0
2009-02-26,133.0,-28.0,0.0,0,0.0
2009-02-27,172.0,50.0,102.0,0,0.0
2009-02-28,,,0.0,0,0.0
2009-03-01,56.0,0.0,241.0,0,0.0
2009-03-02,17.0,-72.0,8.0,0,5.0
2009-03-03,-28.0,-111.0,0.0,0,0.0
2009-03-04,-11.0,-111.0,0.0,0,0.0
2009-03-05,83.0,-78.0,0.0,0,0.0
2009-03-06,178.0,-39.0,0.0,0,0.0
2009-03-07,233.0,78.0,0.0,0,0.0
2009-03-08,250.0,83.0,0.0,0,0.0
2009-03-09,228.0,72.0,28.0,0,0.0
2009-03-10,206.0,67.0,0.0,0,0.0
2009-03-11,256.0,83.0,0.0,0,0.0
2009-03-12,161.0,-6.0,33.0,0,0.0
2009-03-13,50.0,0.0,117.0,51,38.0
2009-03-14,33.0,0.0,46.0,0,0.0
2009-03-15,161.0,78.0,168.0,0,0.0
2009-03-16,161.0,78.0,30.0,0,0.0
2009-03-17,133.0,89.0,99.0,0,0.0
2009-03-18,178.0,22.0,0.0,0,0.0
2009-03-19,233.0,22.0,0.0,0,0.0
2009-03-20,117.0,-22.0,0.0,0,0.0
2009-03-21,106.0,-33.0,0.0,0,0.0
2009-03-22,150.0,-33.0,0.0,0,0.0
2009-03-23,189.0,-22.0,0.0,0,0.0
2009-03-24,206.0,22.0,0.0,0,0.0
2009-03-25,233.0,22.0,25.0,0,0.0
2009-03-26,167.0,100.0,46.0,0,0.0
2009-03-27,189.0,78.0,51.0,0,0.0
2009-03-28,167.0,78.0,155.0,0,0.0
2009-03-29,200.0,111.0,86.0,0,0.0
2009-03-30,117.0,39.0,5.0,0,0.0
2009-03-31,144.0,0.0,0.0,0,0.0
2009-04-01,206.0,0.0,23.0,0,0.0
2009-04-02,206.0,33.0,18.0,0,0.0
2009-04-03,256.0,33.0,104.0,0,0.0
2009-04-04,144.0,33.0,5.0,0,0.0
2009-04-05,206.0,28.0,0.0,0,0.0
2009-04-06,267.0,17.0,25.0,0,0.0
2009-04-07,100.0,0.0,61.0,0,0.0
2009-04-08,44.0,-11.0,23.0,0,0.0
2009-04-09,139.0,-11.0,15.0,0,0.0
2009-04-10,189.0,28.0,15.0,0,0.0
2009-04-11,222.0,67.0,150.0,0,0.0
2009-04-12,156.0,6.0,5.0,0,0.0
2009-04-13,161.0,6.0,10.0,0,0.0
2009-04-14,183.0,89.0,0.0,0,0.0
2009-04-15,144.0,83.0,41.0,0,0.0
2009-04-16,94.0,72.0,13.0,0,0.0
2009-04-17,178.0,17.0,0.0,0,0.0
2009-04-18,233.0,17.0,0.0,0,0.0
2009-04-19,256.0,33.0,0.0,0,0.0
2009-04-20,156.0,111.0,97.0,0,0.0
2009-04-21,194.0,50.0,20.0,0,0.0
2009-04-22,172.0,39.0,30.0,0,0.0
2009-04-23,172.0,33.0,0.0,0,0.0
2009-04-24,222.0,33.0,0.0,0,0.0
2009-04-25,317.0,83.0,0.0,0,0.0
2009-04-26,322.0,111.0,0.0,0,0.0
2009-04-27,322.0,111.0,0.0,0,0.0
2009-04-28,317.0,117.0,0.0,0,0.0
2009-04-29,289.0,111.0,0.0,0,0.0
2009-04-30,239.0,150.0,74.0,0,0.0
2009-05-01,256.0,144.0,3.0,0,0.0
2009-05-02,261.0,144.0,33.0,0,0.0
2009-05-03,206.0,139.0,28.0,0,0.0
2009-05-04,206.0,133.0,109.0,0,0.0
2009-05-05,183.0,122.0,58.0,0,0.0
2009-05-06,183.0,122.0,97.0,0,0.0
2009-05-07,178.0,139.0,226.0,0,0.0
2009-05-08,178.0,133.0,94.0,0,0.0
2009-05-09,244.0,144.0,424.0,0,0.0
2009-05-10,267.0,133.0,0.0,0,0.0
2009-05-11,267.0,111.0,5.0,0,0.0
2009-05-12,183.0,83.0,0.0,0,0.0
2009-05-13,211.0,17.0,0.0,0,0.0
2009-05-14,250.0,72.0,0.0,0,0.0
2009-05-15,267.0,156.0,18.0,0,0.0
2009-05-16,278.0,161.0,0.0,0,0.0
2009-05-17,283.0,106.0,74.0,0,0.0
2009-05-18,156.0,39.0,0.0,0,0.0
2009-05-19,183.0,28.0,0.0,0,0.0
2009-05-20,222.0,28.0,0.0,0,0.0
2009-05-21,261.0,39.0,0.0,0,0.0
2009-05-22,283.0,72.0,0.0,0,0.0
2009-05-23,283.0,128.0,0.0,0,0.0
2009-05-24,300.0,133.0,0.0,0,0.0
2009-05-25,261.0,156.0,0.0,0,0.0
2009-05-26,261.0,156.0,140.0,0,0.0
2009-05-27,256.0,172.0,191.0,0,0.0
2009-05-28,250.0,172.0,8.0,0,0.0
2009-05-29,283.0,167.0,127.0,0,0.0
2009-05-30,222.0,133.0,10.0,0,0.0
2009-05-31,256.0,133.0,13.0,0,0.0
2009-06-01,267.0,122.0,0.0,0,0.0
2009-06-02,289.0,122.0,0.0,0,0.0
2009-06-03,317.0,122.0,8.0,0,0.0
2009-06-04,283.0,156.0,,0,0.0
2009-06-05,239.0,144.0,109.0,0,0.0
2009-06-06,178.0,139.0,23.0,0,0.0
2009-06-07,,122.0,0.0,0,0.0
2009-06-08,283.0,128.0,0.0,0,0.0
2009-06-09,300.0,128.0,0.0,0,0.0
2009-06-10,300.0,183.0,0.0,0,0.0
2009-06-11,244.0,167.0,15.0,0,0.0
2009-06-12,239.0,172.0,287.0,0,0.0
2009-06-13,239.0,144.0,28.0,0,0.0
2009-06-14,256.0,172.0,0.0,0,0.0
2009-06-15,306.0,167.0,,0,0.0
2009-06-16,272.0,189.0,348.0,0,0.0
2009-06-17,278.0,183.0,163.0,0,0.0
2009-06-18,233.0,183.0,56.0,0,0.0
2009-06-19,272.0,183.0,25.0,0,0.0
2009-06-20,300.0,189.0,0.0,0,0.0
2009-06-21,294.0,194.0,0.0,0,0.0
2009-06-22,300.0,178.0,0.0,0,0.0
2009-06-23,294.0,172.0,0.0,0,0.0
2009-06-24,300.0,156.0,0.0,0,0.0
2009-06-25,294.0,133.0,0.0,0,0.0
2009-06-26,306.0,139.0,135.0,0,0.0
