DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2003-03-14,133,72,,,
2003-03-15,194,72,,,
2003-03-16,228,89,,,
2003-03-17,217,100,,,
2003-03-18,217,139,,,
2003-03-19,206,117,,,
2003-03-20,222,100,,,
2003-03-21,128,56,,,
2003-03-22,161,28,,,
2003-03-23,183,56,,,
2003-03-24,222,78,,,
2003-03-25,233,89,,,
2003-03-26,172,61,,,
2003-03-27,206,44,,,
2003-03-28,228,106,,,
2003-03-29,89,0,,,
2003-03-30,39,0,,,
2003-03-31,117,72,,,
2003-04-01,244,83,,,
2003-04-02,233,139,,,
2003-04-03,239,133,,,
2003-04-04,239,161,,,
2003-04-05,194,17,,,
2003-04-06,56,-6,,,
2003-04-07,161,44,,,
2003-04-08,89,28,,,
2003-04-09,44,11,,,
2003-04-10,122,17,,,
2003-04-11,183,22,,,
2003-04-12,194,56,,,
2003-04-13,183,39,,,
2003-04-14,261,67,,,
2003-04-15,272,144,,,
2003-04-16,261,156,,,
2003-04-17,189,122,,,
2003-04-18,178,111,,,
2003-04-19,256,106,,,
2003-04-20,233,144,,,
2003-04-21,156,106,,,
2003-04-22,100,33,,,
2003-04-23,167,-6,,,
2003-04-24,167,44,,,
2003-04-25,161,106,,,
2003-04-26,200,106,,,
2003-04-27,222,50,,,
2003-04-28,250,106,,,
2003-04-29,250,139,,,
2003-04-30,261,156,,,
2003-05-01,283,150,,,
2003-05-02,233,128,,,
2003-05-03,150,83,,,
2003-05-04,156,56,,,
2003-05-05,256,122,,,
2003-05-06,250,178,,,
2003-05-07,222,156,,,
2003-05-08,244,156,,,
2003-05-09,256,172,,,
2003-05-10,228,172,,,
2003-05-11,228,133,,,
2003-05-12,189,111,,,
2003-05-13,217,67,,,
2003-05-14,222,106,,,
2003-05-15,222,122,,,
2003-05-16,233,100,,,
2003-05-17,189,150,,,
2003-05-18,222,167,,,
2003-05-19,250,161,,,
2003-05-20,217,122,,,
2003-05-21,183,111,,,
2003-05-22,200,89,,,
2003-05-23,211,94,,,
2003-05-24,206,67,,,
2003-05-25,161,106,,,
2003-05-26,200,89,,,
2003-05-27,222,128,,,
2003-05-28,228,100,,,
2003-05-29,206,122,,,
2003-05-30,206,106,,,
2003-05-31,189,111,,,
2003-06-01,189,78,,,
2003-06-02,200,72,,,
2003-06-03,189,111,,,
2003-06-04,161,122,,,
2003-06-05,222,94,,,
2003-06-06,244,106,,,
2003-06-07,250,150,,,
2003-06-08,244,139,,,
2003-06-09,256,122,,,
2003-06-10,261,156,,,
2003-06-11,261,178,,,
2003-06-12,250,189,,,
2003-06-13,267,200,,,
2003-06-14,283,194,,,
2003-06-15,222,200,,,
2003-06-16,261,194,,,
2003-06-17,272,189,,,
2003-06-18,278,167,,,
2003-06-19,222,150,,,
2003-06-20,222,100,,,
2003-06-21,244,94,,,
2003-06-22,283,128,,,
2003-06-23,300,150,,,
2003-07-07,300,267,,,
2003-07-09,306,206,,,
2003-07-10,267,206,,,
2003-07-11,261,172,,,
2003-07-12,272,167,,,
2003-07-13,278,167,,,
2003-07-14,289,167,,,
2003-07-15,267,189,,,
2003-07-16,289,183,,,
2003-07-17,289,167,,,
2003-07-18,283,189,,,
2003-07-19,272,167,,,
2003-07-20,300,150,,,
2003-07-21,256,183,,,
2003-07-22,261,167,,,
2003-07-23,233,167,,,
2003-07-24,272,139,,,
2003-07-25,289,161,,,
2003-07-26,294,167,,,
2003-07-27,300,206,,,
2003-07-28,261,200,,,
2003-07-29,267,172,,,
2003-07-30,283,161,,,
2003-07-31,272,194,,,
2003-08-01,306,189,,,
2003-08-02,267,194,,,
2003-08-03,272,183,,,
2003-08-04,222,178,,,
2003-08-05,278,161,,,
2003-08-06,278,172,,,
2003-08-07,267,178,,,
2003-08-08,283,167,,,
2003-08-09,278,178,,,
2003-08-10,267,167,,,
2003-08-11,244,167,,,
2003-08-12,272,167,,,
2003-08-13,294,194,,,
2003-08-14,328,217,,,
2003-08-15,294,217,,,
2003-08-16,311,211,,,
2003-08-17,278,189,,,
2003-08-18,267,156,,,
2003-08-19,283,167,,,
2003-08-20,317,178,,,
2003-08-21,317,228,,,
2003-08-22,278,200,,,
2003-08-23,272,183,,,
2003-08-24,283,156,,,
2003-08-25,300,172,,,
2003-08-26,317,200,,,
2003-08-27,322,206,,,
2003-08-28,306,200,,,
2003-08-29,300,206,,,
2003-08-30,239,194,,,
2003-08-31,233,172,,,
2003-09-01,289,194,,,
2003-09-02,233,194,,,
2003-09-03,256,194,,,
2003-09-04,244,156,,,
2003-09-05,228,122,,,
2003-09-06,239,122,,,
2003-09-07,228,133,,,
2003-09-08,250,161,,,
2003-09-09,267,167,,,
2003-09-10,278,167,,,
2003-09-11,250,161,,,
2003-09-12,272,133,,,
2003-09-13,272,156,,,
2003-09-14,233,172,,,
2003-09-15,239,122,,,
2003-09-16,256,111,,,
2003-09-17,256,122,,,
2003-09-18,244,122,,,
2003-09-19,222,106,,,
2003-09-20,222,89,,,
2003-09-21,244,106,,,
2003-09-22,217,144,,,
2003-09-23,200,100,,,
2003-09-24,256,94,,,
2003-09-25,217,117,,,
2003-09-26,233,89,,,
2003-09-27,217,100,,,
2003-09-28,139,72,,,
2003-09-29,139,56,,,
2003-09-30,189,44,,,
2003-10-01,150,39,,,
2003-10-02,117,0,,,
2003-10-03,161,17,,,
2003-10-04,172,72,,,
2003-10-05,228,61,,,
2003-10-06,217,78,,,
2003-10-07,244,83,,,
2003-10-08,250,100,,,
2003-10-09,244,122,,,
2003-10-10,222,156,,,
2003-10-11,261,144,,,
2003-10-12,222,117,,,
2003-10-13,222,89,,,
2003-10-14,178,94,,,
2003-10-15,178,56,,,
2003-10-16,211,72,,,
2003-10-17,117,56,,,
2003-10-18,161,28,,,
2003-10-19,217,78,,,
2003-10-20,244,100,,,
2003-10-21,217,117,,,
2003-10-22,133,50,,,
2003-10-23,139,44,,,
2003-10-24,156,11,,,
2003-10-25,228,100,,,
2003-10-26,133,67,,,
2003-10-27,117,17,,,
2003-10-28,94,44,,,
2003-10-29,139,50,,,
2003-10-30,239,67,,,
2003-10-31,244,167,,,
2003-11-01,222,161,,,
2003-11-02,256,139,,,
2003-11-03,261,133,,,
2003-11-04,261,128,,,
2003-11-05,211,100,,,
2003-11-06,100,61,,,
2003-11-07,89,11,,,
2003-11-08,61,-17,,,
2003-11-09,83,-33,,,
2003-11-10,150,6,,,
2003-11-11,161,111,,,
2003-11-12,189,67,,,
2003-11-13,56,-11,,,
2003-11-14,56,-33,,,
2003-11-15,67,17,,,
2003-11-16,117,67,,,
2003-11-17,139,11,,,
2003-11-18,183,122,,,
2003-11-19,150,78,,,
2003-11-20,172,33,,,
2003-11-21,206,83,,,
2003-11-22,206,106,,,
2003-11-23,194,128,,,
2003-11-24,172,-44,,,
2003-11-25,44,-61,,,
2003-11-26,106,11,,,
2003-11-27,89,61,,,
2003-11-28,78,-22,,,
2003-11-29,22,-28,,,
2003-11-30,122,11,,,
2003-12-01,72,-6,,,
2003-12-02,39,-39,,,
2003-12-03,11,-6,,,
2003-12-04,44,-6,,,
2003-12-05,56,11,,,
2003-12-06,56,-11,,,
2003-12-07,50,-11,,,
2003-12-08,83,-22,,,
2003-12-09,117,72,,,
2003-12-10,100,17,,,
2003-12-11,22,-33,,,
2003-12-12,-6,-72,,,
2003-12-13,-17,-61,,,
2003-12-14,-6,-33,,,
2003-12-15,33,-33,,,
2003-12-16,94,-6,,,
2003-12-17,-11,-50,,,
2003-12-18,6,-33,,,
2003-12-19,-17,-44,,,
2003-12-20,6,-89,,,
2003-12-21,83,-67,,,
2003-12-22,100,50,,,
2003-12-23,100,0,,,
2003-12-24,0,-22,,,
2003-12-25,17,-56,,,
2003-12-26,67,-56,,,
2003-12-27,106,-33,,,
2003-12-28,178,17,,,
2003-12-29,133,17,,,
2003-12-30,67,-22,,,
2003-12-31,111,-6,,,
2004-01-06,139,67,,,
2004-01-08,-17,-28,,,
2004-01-09,-22,-72,,,
2004-01-10,-44,-128,,,
2004-01-11,50,-78,,,
2004-01-12,50,0,,,
2004-01-13,22,-33,,,
2004-01-14,72,-67,,,
2004-01-15,0,-67,,,
2004-01-16,17,-56,,,
2004-01-17,39,-33,,,
2004-01-18,50,-61,,,
2004-01-19,-56,-83,,,
2004-01-20,-33,-111,,,
2004-01-21,11,-72,,,
2004-01-22,6,-122,,,
2004-01-23,17,-139,,,
2004-01-24,28,-94,,,
2004-01-25,-44,-100,,,
2004-01-26,67,-44,,,
2004-01-27,28,-89,,,
2004-01-28,-28,-122,,,
2004-01-29,6,-100,,,
2004-01-30,-106,-150,,,
2004-01-31,-50,-139,,,
2004-02-01,28,-133,,,
2004-02-02,50,-56,,,
2004-02-03,50,-33,,,
2004-02-04,22,-56,,,
2004-02-05,22,-17,,,
2004-02-06,67,-17,,,
2004-02-07,-17,-44,,,
2004-02-08,-22,-67,,,
2004-02-09,28,-28,,,
2004-02-10,61,-22,,,
2004-02-11,56,-67,,,
2004-02-12,56,-44,,,
2004-02-13,-22,-56,,,
2004-02-14,78,-56,,,
2004-02-15,6,-67,,,
2004-02-16,28,-106,,,
2004-02-17,67,-44,,,
2004-02-18,89,-61,,,
2004-02-19,139,11,,,
2004-02-20,122,39,,,
2004-02-21,39,11,,,
2004-02-22,78,-6,,,
2004-02-23,128,-17,,,
2004-02-24,83,-11,,,
2004-02-25,67,-39,,,
2004-02-26,83,-11,,,
2004-02-27,117,-11,,,
2004-02-28,161,-11,,,
2004-02-29,183,56,,,
2004-03-01,133,100,,,
2004-03-02,167,72,,,
2004-03-03,94,50,,,
2004-03-04,178,83,,,
2004-03-05,211,106,,,
2004-03-06,117,44,,,
2004-03-07,111,28,,,
2004-03-08,56,11,,,
2004-03-09,61,-6,,,
2004-03-10,94,-28,,,
2004-03-11,117,-11,,,
2004-03-12,39,-83,,,
2004-03-13,78,-50,,,
2004-03-14,106,33,,,
2004-03-15,122,6,,,
2004-03-16,50,-11,,,
2004-03-17,50,-22,,,
2004-03-18,128,22,,,
2004-03-19,117,6,,,
2004-03-20,206,44,,,
2004-03-21,61,-33,,,
2004-03-22,39,-67,,,
2004-03-23,139,-39,,,
2004-03-24,194,67,,,
2004-03-25,217,128,,,
2004-03-26,228,150,,,
2004-03-27,194,139,,,
2004-03-28,256,122,,,
2004-03-29,183,83,,,
2004-03-30,139,67,,,
2004-03-31,67,50,,,
