DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-03-27,33,-6,,,
2002-03-28,150,-22,,,
2002-03-29,250,100,,,
2002-03-30,172,56,,,
2002-03-31,83,67,,,
2002-04-01,150,44,,,
2002-04-02,250,83,,,
2002-04-03,128,17,,,
2002-04-04,111,0,,,
2002-04-05,100,-6,,,
2002-04-06,83,0,,,
2002-04-07,217,-11,,,
2002-04-08,233,128,,,
2002-04-09,200,89,,,
2002-04-10,206,56,,,
2002-04-11,272,106,,,
2002-04-12,244,161,,,
2002-04-13,217,150,,,
2002-04-14,200,150,,,
2002-04-15,283,150,,,
2002-04-16,306,183,,,
2002-04-17,278,189,,,
2002-04-18,311,172,,,
2002-04-19,333,206,,,
2002-04-20,256,183,,,
2002-04-21,289,161,,,
2002-04-22,172,56,,,
2002-04-23,83,22,,,
2002-04-24,200,133,,,
2002-04-25,156,72,,,
2002-04-26,183,50,,,
2002-04-27,161,83,,,
2002-04-28,267,83,,,
2002-04-29,133,67,,,
2002-04-30,233,61,,,
2002-05-01,244,122,,,
2002-05-02,239,89,,,
2002-05-03,156,67,,,
2002-05-04,122,56,,,
2002-05-05,228,89,,,
2002-05-06,189,122,,,
2002-05-07,228,172,,,
2002-05-08,189,161,,,
2002-05-09,250,161,,,
2002-05-10,178,100,,,
2002-05-11,272,94,,,
2002-05-12,278,194,,,
2002-05-13,178,72,,,
2002-05-14,167,56,,,
2002-05-15,233,67,,,
2002-05-16,256,122,,,
2002-05-17,233,61,,,
2002-05-18,111,50,,,
2002-05-19,144,17,,,
2002-05-20,150,61,,,
2002-05-21,133,39,,,
2002-05-22,206,22,,,
2002-05-23,256,72,,,
2002-05-24,272,128,,,
2002-05-25,278,144,,,
2002-05-26,233,161,,,
2002-05-27,294,139,,,
2002-05-28,283,172,,,
2002-05-29,289,167,,,
2002-05-30,306,178,,,
2002-05-31,306,178,,,
2002-06-01,300,217,,,
2002-06-02,283,183,,,
2002-06-03,322,172,,,
2002-06-04,333,211,,,
2002-06-05,306,194,,,
2002-06-06,194,144,,,
2002-06-07,222,144,,,
2002-06-08,294,150,,,
2002-06-09,294,189,,,
2002-06-10,306,189,,,
2002-06-11,311,183,,,
2002-06-12,289,194,,,
2002-06-13,244,189,,,
