DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-02-07,22,-11,,,
2002-02-08,83,-28,,,
2002-02-09,178,-39,,,
2002-02-10,161,6,,,
2002-02-11,72,-33,,,
2002-02-12,139,-44,,,
2002-02-13,94,-33,,,
2002-02-14,128,-67,,,
2002-02-15,156,33,,,
2002-02-16,128,6,,,
2002-02-17,61,-44,,,
2002-02-18,150,-78,,,
2002-02-19,117,-28,,,
2002-02-20,172,78,,,
2002-02-21,167,6,,,
2002-02-22,44,-6,,,
2002-02-23,100,-28,,,
2002-02-24,172,-61,,,
2002-02-25,178,6,,,
2002-02-26,117,-56,,,
2002-02-27,-50,-100,,,
2002-02-28,39,-94,,,
2002-03-01,117,-83,,,
2002-03-02,100,44,,,
2002-03-03,106,-56,,,
2002-03-04,-17,-94,,,
2002-03-05,111,-78,,,
2002-03-06,167,-33,,,
2002-03-07,194,0,,,
2002-03-08,222,-6,,,
2002-03-09,217,33,,,
2002-03-10,83,-33,,,
2002-03-11,161,-56,,,
2002-03-12,122,67,,,
2002-03-13,139,56,,,
2002-03-14,233,44,,,
2002-03-15,233,144,,,
2002-03-16,194,111,,,
2002-03-17,178,106,,,
2002-03-18,161,106,,,
2002-03-19,222,106,,,
2002-03-20,167,106,,,
2002-03-21,150,-11,,,
2002-03-22,33,-67,,,
2002-03-23,128,-72,,,
2002-03-24,200,-28,,,
2002-03-25,239,33,,,
2002-03-26,189,33,,,
2002-03-27,28,-22,,,
2002-03-28,194,-39,,,
2002-03-29,256,106,,,
2002-03-30,167,89,,,
2002-03-31,100,89,,,
2002-04-01,178,44,,,
2002-04-02,256,28,,,
2002-04-03,183,0,,,
2002-04-04,122,-22,,,
2002-04-05,117,-17,,,
2002-04-06,117,-22,,,
2002-04-07,200,-28,,,
2002-04-08,244,100,,,
2002-04-09,200,117,,,
2002-04-10,244,83,,,
2002-04-11,267,89,,,
2002-04-12,239,144,,,
2002-04-13,239,156,,,
2002-04-14,233,156,,,
2002-04-15,289,144,,,
2002-04-16,306,122,,,
2002-04-17,294,161,,,
2002-04-18,317,133,,,
2002-04-19,317,161,,,
2002-04-20,294,178,,,
2002-04-21,294,161,,,
2002-04-22,244,78,,,
2002-04-23,206,22,,,
2002-04-24,183,33,,,
2002-04-25,167,39,,,
2002-04-26,150,6,,,
2002-04-27,200,56,,,
2002-04-28,283,161,,,
2002-04-29,206,67,,,
2002-04-30,250,50,,,
2002-05-01,233,156,,,
2002-05-02,233,128,,,
2002-05-03,156,83,,,
2002-05-04,144,94,,,
2002-05-05,256,94,,,
2002-05-06,250,83,,,
2002-05-07,283,178,,,
2002-05-08,294,161,,,
2002-05-09,244,178,,,
2002-05-10,206,133,,,
2002-05-11,283,122,,,
2002-05-12,278,189,,,
2002-05-13,228,94,,,
2002-05-14,183,44,,,
2002-05-15,233,50,,,
2002-05-16,261,67,,,
2002-05-17,272,144,,,
2002-05-18,128,33,,,
2002-05-19,156,11,,,
2002-05-20,150,6,,,
2002-05-21,144,22,,,
2002-05-22,206,6,,,
2002-05-23,244,33,,,
2002-05-24,278,61,,,
2002-05-25,283,100,,,
2002-05-26,267,128,,,
2002-05-27,289,139,,,
2002-05-28,283,150,,,
2002-05-29,294,150,,,
2002-05-30,300,144,,,
2002-05-31,300,144,,,
2002-06-01,317,167,,,
2002-06-02,300,189,,,
2002-06-03,328,183,,,
2002-06-04,339,189,,,
2002-06-05,317,206,,,
2002-06-06,250,178,,,
2002-06-07,278,172,,,
2002-06-08,300,172,,,
2002-06-09,306,150,,,
2002-06-10,317,161,,,
2002-06-11,322,139,,,
2002-06-12,317,161,,,
2002-06-13,300,189,,,
2002-06-14,244,139,,,
2002-06-15,239,111,,,
2002-06-16,239,106,,,
2002-06-17,272,122,,,
2002-06-18,306,94,,,
2002-06-19,317,144,,,
2002-06-20,317,144,,,
2002-06-21,311,144,,,
2002-06-22,311,117,,,
2002-06-23,311,161,,,
2002-06-24,289,189,,,
2002-06-25,322,189,,,
2002-06-26,306,200,,,
2002-06-27,294,194,,,
2002-06-28,283,194,,,
2002-06-29,311,194,,,
2002-06-30,328,189,,,
2002-07-01,339,200,,,
2002-07-02,333,194,,,
2002-07-03,322,183,,,
2002-07-04,339,167,,,
2002-07-05,333,183,,,
2002-07-06,317,172,,,
2002-07-07,328,144,,,
2002-07-08,311,194,,,
2002-07-09,317,200,,,
2002-07-10,289,194,,,
2002-07-11,294,206,,,
2002-07-12,256,194,,,
2002-07-13,217,189,,,
2002-07-14,272,194,,,
2002-07-15,294,194,,,
2002-07-16,311,183,,,
2002-07-17,311,189,,,
2002-07-18,306,217,,,
2002-07-19,311,200,,,
2002-07-20,300,194,,,
2002-07-21,328,200,,,
2002-07-22,333,200,,,
2002-07-23,317,206,,,
2002-07-24,300,211,,,
2002-07-25,306,206,,,
2002-07-26,317,211,,,
2002-07-27,322,200,,,
2002-07-28,306,206,,,
2002-07-29,333,211,,,
2002-07-30,311,206,,,
2002-07-31,306,194,,,
2002-08-01,339,189,,,
2002-08-02,339,194,,,
2002-08-03,350,194,,,
2002-08-04,350,189,,,
2002-08-05,350,183,,,
2002-08-06,306,167,,,
2002-08-07,300,117,,,
2002-08-08,306,117,,,
2002-08-09,328,117,,,
2002-08-10,333,161,,,
2002-08-11,328,178,,,
2002-08-12,339,178,,,
2002-08-13,333,167,,,
2002-08-14,333,172,,,
2002-08-15,328,222,,,
2002-08-16,311,206,,,
2002-08-17,294,200,,,
2002-08-18,311,206,,,
2002-08-19,294,189,,,
2002-08-20,317,194,,,
2002-08-21,333,178,,,
2002-08-22,328,183,,,
2002-08-23,339,200,,,
2002-08-24,306,217,,,
2002-08-25,300,183,,,
2002-08-26,256,183,,,
2002-08-27,283,183,,,
2002-08-28,278,156,,,
2002-08-29,278,161,,,
2002-08-30,283,172,,,
2002-08-31,300,167,,,
2002-09-01,306,172,,,
2002-09-02,317,167,,,
2002-09-03,322,172,,,
2002-09-04,322,172,,,
2002-09-05,322,122,,,
2002-09-06,339,111,,,
2002-09-07,339,144,,,
2002-09-08,339,156,,,
2002-09-09,339,150,,,
2002-09-10,333,128,,,
2002-09-11,278,128,,,
2002-09-12,306,94,,,
2002-09-13,311,128,,,
2002-09-14,289,200,,,
2002-09-15,244,200,,,
2002-09-16,283,189,,,
2002-09-17,283,178,,,
2002-09-18,272,194,,,
2002-09-19,300,183,,,
2002-09-20,294,183,,,
2002-09-21,256,194,,,
2002-09-22,217,172,,,
2002-09-23,239,122,,,
2002-09-24,239,106,,,
2002-09-25,206,139,,,
2002-09-26,200,150,,,
2002-09-27,239,183,,,
2002-09-28,250,144,,,
2002-09-29,278,133,,,
2002-09-30,272,139,,,
2002-10-01,256,200,,,
2002-10-02,289,194,,,
2002-10-03,272,200,,,
2002-10-04,267,172,,,
2002-10-05,233,100,,,
2002-10-06,283,167,,,
2002-10-07,194,106,,,
2002-10-08,222,83,,,
2002-10-09,172,172,,,
2002-10-11,211,189,,,
2002-10-12,250,172,,,
2002-10-13,183,83,,,
2002-10-14,194,56,,,
2002-10-15,139,106,,,
2002-10-16,144,44,,,
2002-10-17,133,50,,,
2002-10-18,172,33,,,
2002-10-19,161,100,,,
2002-10-20,156,122,,,
2002-10-21,156,111,,,
2002-10-22,189,78,,,
2002-10-23,217,72,,,
2002-10-24,167,83,,,
2002-10-25,156,133,,,
2002-10-26,189,139,,,
2002-10-27,183,94,,,
2002-10-28,161,106,,,
2002-10-29,200,144,,,
2002-10-30,161,56,,,
2002-10-31,83,50,,,
2002-11-01,89,0,,,
2002-11-02,117,-28,,,
2002-11-03,94,17,,,
2002-11-04,106,61,,,
2002-11-05,122,72,,,
2002-11-06,122,50,,,
2002-11-07,139,22,,,
2002-11-08,172,17,,,
2002-11-09,200,83,,,
2002-11-10,233,150,,,
2002-11-11,183,111,,,
2002-11-12,111,67,,,
2002-11-13,133,6,,,
2002-11-14,139,-17,,,
2002-11-15,111,67,,,
2002-11-16,94,28,,,
2002-11-17,28,6,,,
2002-11-18,94,-39,,,
2002-11-19,150,44,,,
2002-11-20,139,56,,,
2002-11-21,144,61,,,
2002-11-22,56,22,,,
2002-11-23,94,-28,,,
2002-11-24,156,-22,,,
2002-11-25,156,-6,,,
2002-11-26,117,17,,,
2002-11-27,17,-22,,,
2002-11-28,0,-61,,,
2002-11-29,94,-67,,,
2002-11-30,106,-17,,,
2002-12-01,17,-44,,,
2002-12-02,33,-28,,,
2002-12-03,50,-11,,,
2002-12-04,33,-11,,,
2002-12-05,28,-11,,,
2002-12-06,11,-67,,,
2002-12-07,67,-89,,,
2002-12-08,78,-67,,,
2002-12-09,78,-50,,,
2002-12-10,89,-17,,,
2002-12-11,67,33,,,
2002-12-12,44,28,,,
2002-12-13,83,22,,,
2002-12-14,50,17,,,
2002-12-15,94,-22,,,
2002-12-16,133,0,,,
2002-12-17,144,39,,,
2002-12-18,144,61,,,
2002-12-19,167,39,,,
2002-12-20,133,28,,,
2002-12-21,111,-11,,,
2002-12-22,133,-11,,,
2002-12-23,89,-39,,,
2002-12-24,78,22,,,
2002-12-25,72,-22,,,
2002-12-26,-6,-56,,,
