DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1981-01-01,56,6,0,,0.0
1981-01-02,17,-28,10,0.0,0.0
1981-01-03,44,-67,0,0.0,0.0
1981-01-04,-67,-144,5,0.0,5.0
1981-01-05,-44,-178,0,0.0,0.0
1981-01-06,39,-83,43,0.0,36.0
1981-01-07,-6,-94,5,25.0,5.0
1981-01-08,-33,-139,0,25.0,0.0
1981-01-09,6,-78,0,25.0,0.0
1981-01-10,-50,-117,0,25.0,0.0
1981-01-11,-83,-139,8,25.0,8.0
1981-01-12,-78,-167,0,25.0,0.0
1981-01-13,39,-106,0,25.0,0.0
1981-01-14,78,-61,0,0.0,0.0
1981-01-15,6,-33,5,0.0,5.0
1981-01-16,-11,-78,0,0.0,0.0
1981-01-17,-22,-83,3,0.0,3.0
1981-01-18,44,-89,0,0.0,0.0
1981-01-19,78,-17,0,0.0,0.0
1981-01-20,67,-6,8,0.0,0.0
1981-01-21,39,6,69,0.0,0.0
1981-01-22,39,-6,0,0.0,0.0
1981-01-23,61,-6,0,0.0,0.0
1981-01-24,83,-44,0,0.0,0.0
1981-01-25,167,11,0,0.0,0.0
1981-01-26,150,100,0,0.0,0.0
1981-01-27,117,11,0,0.0,0.0
1981-01-28,100,-22,0,0.0,0.0
1981-01-29,28,-56,15,0.0,28.0
1981-01-30,11,-72,33,76.0,41.0
1981-01-31,67,-94,0,51.0,0.0
1981-02-01,78,-6,533,25.0,0.0
1981-02-02,50,-117,61,25.0,30.0
1981-02-03,-78,-161,5,25.0,5.0
1981-02-04,-33,-122,0,25.0,0.0
1981-02-05,-6,-144,0,25.0,0.0
1981-02-06,44,-44,0,25.0,0.0
1981-02-07,100,-33,25,0.0,0.0
1981-02-08,39,-78,69,25.0,66.0
1981-02-09,50,-106,0,51.0,0.0
1981-02-10,144,6,51,0.0,0.0
1981-02-11,133,-172,48,0.0,71.0
1981-02-12,-56,-200,0,51.0,0.0
1981-02-13,44,-122,0,25.0,0.0
1981-02-14,117,-44,0,0.0,0.0
1981-02-15,167,-11,0,0.0,0.0
1981-02-16,122,78,91,0.0,0.0
1981-02-17,167,89,206,0.0,0.0
1981-02-18,200,106,5,0.0,0.0
1981-02-19,161,100,74,0.0,0.0
1981-02-20,144,50,8,0.0,0.0
1981-02-21,161,22,0,0.0,0.0
1981-02-22,183,50,38,0.0,0.0
1981-02-23,94,22,107,0.0,0.0
1981-02-24,50,17,5,0.0,0.0
1981-02-25,161,11,0,0.0,0.0
1981-02-26,117,6,0,0.0,0.0
1981-02-27,206,-28,0,0.0,0.0
1981-02-28,189,67,188,0.0,0.0
1981-03-01,67,28,0,0.0,0.0
1981-03-02,78,0,8,0.0,0.0
1981-03-03,94,-39,0,0.0,0.0
1981-03-04,56,17,163,0.0,0.0
1981-03-05,72,6,137,0.0,0.0
1981-03-06,56,-17,0,0.0,3.0
1981-03-07,50,-39,0,0.0,0.0
1981-03-08,67,-50,0,0.0,0.0
1981-03-09,61,-22,0,0.0,0.0
1981-03-10,111,-17,0,0.0,0.0
1981-03-11,83,11,0,0.0,0.0
1981-03-12,133,-22,0,0.0,0.0
1981-03-13,139,33,0,0.0,0.0
1981-03-14,89,-33,0,0.0,0.0
1981-03-15,167,-6,18,0.0,0.0
1981-03-16,67,-17,89,0.0,0.0
1981-03-17,144,-39,0,0.0,0.0
1981-03-18,50,-33,10,0.0,10.0
1981-03-19,-17,-50,10,0.0,8.0
1981-03-20,11,-61,15,0.0,18.0
1981-03-21,111,-22,0,0.0,0.0
1981-03-22,56,0,89,0.0,8.0
1981-03-23,111,0,30,0.0,0.0
1981-03-24,128,6,0,0.0,0.0
1981-03-25,150,22,0,0.0,0.0
1981-03-26,161,61,0,0.0,0.0
1981-03-27,172,83,5,0.0,0.0
1981-03-28,250,50,0,0.0,0.0
1981-03-29,239,133,0,0.0,0.0
1981-03-30,217,117,132,0.0,0.0
1981-03-31,283,122,0,0.0,0.0
1981-04-01,222,133,0,0.0,0.0
1981-04-02,239,94,0,0.0,0.0
1981-04-03,261,122,0,0.0,0.0
1981-04-04,250,150,173,0.0,0.0
1981-04-05,156,56,86,0.0,0.0
1981-04-06,122,22,0,0.0,0.0
1981-04-07,211,33,0,0.0,0.0
1981-04-08,239,122,0,0.0,0.0
1981-04-09,206,133,119,0.0,0.0
1981-04-10,239,106,79,0.0,0.0
1981-04-11,267,161,0,0.0,0.0
1981-04-12,256,183,5,0.0,0.0
1981-04-13,283,183,0,0.0,0.0
1981-04-14,239,89,13,0.0,0.0
1981-04-15,167,39,0,0.0,0.0
1981-04-16,239,61,38,0.0,0.0
1981-04-17,194,117,224,0.0,0.0
1981-04-18,250,156,30,0.0,0.0
1981-04-19,206,117,61,0.0,0.0
1981-04-20,128,56,203,0.0,0.0
1981-04-21,194,11,0,0.0,0.0
1981-04-22,222,117,0,0.0,0.0
1981-04-23,183,117,91,0.0,0.0
1981-04-24,128,56,0,0.0,0.0
1981-04-25,178,61,0,0.0,0.0
1981-04-26,272,94,0,0.0,0.0
1981-04-27,294,172,0,0.0,0.0
1981-04-28,289,167,0,0.0,0.0
1981-04-29,233,150,38,0.0,0.0
1981-04-30,228,106,13,0.0,0.0
1981-05-01,183,72,0,0.0,0.0
1981-05-02,161,50,0,0.0,0.0
1981-05-03,233,56,0,0.0,0.0
1981-05-04,278,94,0,0.0,0.0
1981-05-05,256,150,0,0.0,0.0
1981-05-06,194,67,28,0.0,0.0
1981-05-07,178,39,0,0.0,0.0
1981-05-08,244,67,0,0.0,0.0
1981-05-09,267,117,0,0.0,0.0
1981-05-10,233,133,81,0.0,0.0
1981-05-11,144,61,64,0.0,0.0
1981-05-12,117,61,0,0.0,0.0
1981-05-13,233,33,0,0.0,0.0
1981-05-14,239,117,51,0.0,0.0
1981-05-15,122,78,5,0.0,0.0
1981-05-16,217,67,0,0.0,0.0
1981-05-17,244,111,0,0.0,0.0
1981-05-18,161,89,462,0.0,0.0
1981-05-19,128,78,140,0.0,0.0
1981-05-20,117,78,10,0.0,0.0
1981-05-21,222,78,0,0.0,0.0
1981-05-22,256,72,0,0.0,0.0
1981-05-23,272,117,0,0.0,0.0
1981-05-24,283,156,0,0.0,0.0
1981-05-25,250,167,0,0.0,0.0
1981-05-26,267,178,0,0.0,0.0
1981-05-27,217,156,38,0.0,0.0
1981-05-28,172,144,28,0.0,0.0
1981-05-29,256,150,0,0.0,0.0
1981-05-30,283,156,76,0.0,0.0
1981-05-31,211,156,91,0.0,0.0
1981-06-01,239,150,61,0.0,0.0
1981-06-02,283,172,3,0.0,0.0
1981-06-03,278,200,10,0.0,0.0
1981-06-04,278,194,74,0.0,0.0
1981-06-05,283,189,0,0.0,0.0
1981-06-06,233,189,665,0.0,0.0
1981-06-07,283,183,0,0.0,0.0
1981-06-08,289,178,0,0.0,0.0
1981-06-09,289,239,0,0.0,0.0
1981-06-10,278,211,0,0.0,0.0
1981-06-11,294,178,0,0.0,0.0
1981-06-12,306,194,0,0.0,0.0
1981-06-13,311,206,274,0.0,0.0
1981-06-14,317,217,0,0.0,0.0
1981-06-15,311,222,0,0.0,0.0
1981-06-16,311,200,15,0.0,0.0
1981-06-17,239,156,0,0.0,0.0
1981-06-18,283,144,0,0.0,0.0
1981-06-19,283,156,23,0.0,0.0
1981-06-20,261,172,0,0.0,0.0
1981-06-21,306,189,0,0.0,0.0
1981-06-22,294,217,0,0.0,0.0
1981-06-23,278,172,0,0.0,0.0
1981-06-24,311,167,0,0.0,0.0
1981-06-25,322,200,25,0.0,0.0
1981-06-26,256,167,0,0.0,0.0
1981-06-27,256,144,0,0.0,0.0
1981-06-28,283,150,0,0.0,0.0
1981-06-29,300,178,0,0.0,0.0
1981-06-30,300,172,89,0.0,0.0
1981-07-01,261,167,15,0.0,0.0
1981-07-02,222,167,180,0.0,0.0
1981-07-03,267,178,0,0.0,0.0
1981-07-04,272,183,13,0.0,0.0
1981-07-05,272,200,208,0.0,0.0
1981-07-06,239,200,157,0.0,0.0
1981-07-07,289,200,0,0.0,0.0
1981-07-08,311,206,3,0.0,0.0
1981-07-09,317,217,0,0.0,0.0
1981-07-10,306,211,64,0.0,0.0
1981-07-11,289,194,0,0.0,0.0
1981-07-12,306,200,0,0.0,0.0
1981-07-13,322,206,81,0.0,0.0
1981-07-14,294,222,0,0.0,0.0
1981-07-15,294,183,15,0.0,0.0
1981-07-16,283,206,64,0.0,0.0
1981-07-17,294,200,0,0.0,0.0
1981-07-18,306,200,0,0.0,0.0
1981-07-19,317,206,0,0.0,0.0
1981-07-20,278,233,51,0.0,0.0
1981-07-21,267,183,46,0.0,0.0
1981-07-22,261,172,0,0.0,0.0
1981-07-23,283,161,3,0.0,0.0
1981-07-24,311,189,0,0.0,0.0
1981-07-25,289,200,0,0.0,0.0
1981-07-26,317,211,5,0.0,0.0
1981-07-27,328,222,46,0.0,0.0
1981-07-28,289,211,201,0.0,0.0
1981-07-29,217,161,0,0.0,0.0
1981-07-30,228,133,0,0.0,0.0
1981-07-31,272,167,0,0.0,0.0
1981-08-01,306,167,0,0.0,0.0
1981-08-02,261,183,0,0.0,0.0
1981-08-03,289,178,0,0.0,0.0
1981-08-04,306,206,0,0.0,0.0
1981-08-05,328,206,69,0.0,0.0
1981-08-06,283,194,79,0.0,0.0
1981-08-07,244,178,69,0.0,0.0
1981-08-08,272,161,0,0.0,0.0
1981-08-09,278,172,0,0.0,0.0
1981-08-10,289,167,0,0.0,0.0
1981-08-11,272,178,0,0.0,0.0
1981-08-12,256,172,0,0.0,0.0
1981-08-13,261,144,0,0.0,0.0
1981-08-14,283,167,0,0.0,0.0
1981-08-15,289,183,0,0.0,0.0
1981-08-16,272,200,0,0.0,0.0
1981-08-17,233,150,0,0.0,0.0
1981-08-18,261,133,0,0.0,0.0
1981-08-19,239,183,51,0.0,0.0
1981-08-20,261,156,0,0.0,0.0
1981-08-21,228,161,13,0.0,0.0
1981-08-22,267,167,0,0.0,0.0
1981-08-23,289,150,0,0.0,0.0
1981-08-24,289,167,0,0.0,0.0
1981-08-25,278,172,0,0.0,0.0
1981-08-26,289,156,0,0.0,0.0
1981-08-27,294,200,0,0.0,0.0
1981-08-28,306,189,0,0.0,0.0
1981-08-29,272,200,102,0.0,0.0
1981-08-30,294,200,13,0.0,0.0
1981-08-31,306,200,0,0.0,0.0
1981-09-01,283,206,18,0.0,0.0
1981-09-02,300,206,0,0.0,0.0
1981-09-03,244,211,30,0.0,0.0
1981-09-04,283,206,0,0.0,0.0
1981-09-05,289,183,0,0.0,0.0
1981-09-06,278,183,0,0.0,0.0
1981-09-07,289,172,0,0.0,0.0
1981-09-08,239,161,107,0.0,0.0
1981-09-09,233,117,0,0.0,0.0
1981-09-10,261,117,0,0.0,0.0
1981-09-11,283,139,0,0.0,0.0
1981-09-12,300,167,0,0.0,0.0
1981-09-13,300,167,0,0.0,0.0
1981-09-14,289,189,69,0.0,0.0
1981-09-15,206,144,384,0.0,0.0
1981-09-16,217,117,0,0.0,0.0
1981-09-17,172,94,0,0.0,0.0
1981-09-18,144,56,36,0.0,0.0
1981-09-19,178,83,0,0.0,0.0
1981-09-20,233,117,0,0.0,0.0
1981-09-21,250,122,0,0.0,0.0
1981-09-22,233,122,0,0.0,0.0
1981-09-23,167,67,0,0.0,0.0
1981-09-24,206,72,0,0.0,0.0
1981-09-25,256,94,0,0.0,0.0
1981-09-26,272,150,0,0.0,0.0
1981-09-27,222,167,0,0.0,0.0
1981-09-28,206,122,0,0.0,0.0
1981-09-29,228,89,0,0.0,0.0
1981-09-30,283,139,0,0.0,0.0
1981-10-01,272,117,66,0.0,0.0
1981-10-02,122,61,0,0.0,0.0
1981-10-03,167,11,0,0.0,0.0
1981-10-04,239,67,0,0.0,0.0
1981-10-05,239,144,15,0.0,0.0
1981-10-06,239,111,0,0.0,0.0
1981-10-07,161,72,0,0.0,0.0
1981-10-08,178,50,0,0.0,0.0
1981-10-09,206,61,0,0.0,0.0
1981-10-10,156,111,13,0.0,0.0
1981-10-11,222,128,0,0.0,0.0
1981-10-12,211,111,0,0.0,0.0
1981-10-13,211,94,0,0.0,0.0
1981-10-14,233,67,0,0.0,0.0
1981-10-15,167,139,0,0.0,0.0
1981-10-16,217,117,0,0.0,0.0
1981-10-17,239,83,18,0.0,0.0
1981-10-18,172,56,107,0.0,0.0
1981-10-19,117,28,0,0.0,0.0
1981-10-20,194,28,0,0.0,0.0
1981-10-21,222,94,0,0.0,0.0
1981-10-22,183,128,140,0.0,0.0
1981-10-23,128,-6,140,0.0,0.0
1981-10-24,78,-33,0,0.0,0.0
1981-10-25,167,33,51,0.0,0.0
1981-10-26,178,128,170,0.0,0.0
1981-10-27,139,89,0,0.0,0.0
1981-10-28,178,83,0,0.0,0.0
1981-10-29,233,67,0,0.0,0.0
1981-10-30,228,111,0,0.0,0.0
1981-10-31,228,100,0,0.0,0.0
1981-11-01,211,111,0,0.0,0.0
1981-11-02,228,133,0,0.0,0.0
1981-11-03,250,133,0,0.0,0.0
1981-11-04,239,128,0,0.0,0.0
1981-11-05,206,106,94,0.0,0.0
1981-11-06,106,56,0,0.0,0.0
1981-11-07,128,11,0,0.0,0.0
1981-11-08,194,22,0,0.0,0.0
1981-11-09,189,56,0,0.0,0.0
1981-11-10,106,28,0,0.0,0.0
1981-11-11,139,28,0,0.0,0.0
1981-11-12,128,17,0,0.0,0.0
1981-11-13,172,11,0,0.0,0.0
1981-11-14,178,33,0,0.0,0.0
1981-11-15,178,33,0,0.0,0.0
1981-11-16,128,50,0,0.0,0.0
1981-11-17,100,61,0,0.0,0.0
1981-11-18,150,39,0,0.0,0.0
1981-11-19,211,89,122,0.0,0.0
1981-11-20,144,-17,10,0.0,0.0
1981-11-21,-11,-28,3,0.0,0.0
1981-11-22,56,-28,0,0.0,0.0
1981-11-23,111,-39,51,0.0,0.0
1981-11-24,61,33,23,0.0,0.0
1981-11-25,100,11,0,0.0,0.0
1981-11-26,194,56,0,0.0,0.0
1981-11-27,172,33,64,0.0,0.0
1981-11-28,50,-11,0,0.0,0.0
1981-11-29,89,-6,0,0.0,0.0
1981-11-30,89,-11,3,0.0,0.0
1981-12-01,161,89,5,0.0,0.0
1981-12-02,122,39,3,0.0,0.0
1981-12-03,89,17,0,0.0,0.0
1981-12-04,72,11,43,0.0,0.0
1981-12-05,17,-28,0,0.0,0.0
1981-12-06,67,-50,0,0.0,0.0
1981-12-07,139,22,0,0.0,0.0
1981-12-08,133,-6,0,0.0,0.0
1981-12-09,6,-33,5,0.0,0.0
1981-12-10,-22,-56,3,0.0,0.0
1981-12-11,22,-56,0,0.0,0.0
1981-12-12,44,-61,0,0.0,0.0
1981-12-13,78,-44,0,0.0,0.0
1981-12-14,28,6,107,0.0,0.0
1981-12-15,6,-17,23,0.0,20.0
1981-12-16,28,-67,0,25.0,0.0
1981-12-17,50,-44,127,76.0,74.0
1981-12-18,-44,-89,0,25.0,0.0
1981-12-19,-39,-106,0,25.0,0.0
1981-12-20,-22,-139,0,0.0,0.0
1981-12-21,28,-72,140,0.0,3.0
1981-12-22,161,28,257,0.0,0.0
1981-12-23,167,17,89,0.0,0.0
1981-12-24,22,-6,0,0.0,0.0
1981-12-25,67,-11,0,0.0,0.0
1981-12-26,106,-11,0,0.0,0.0
1981-12-27,94,33,13,0.0,0.0
1981-12-28,117,17,8,0.0,0.0
1981-12-29,17,-33,0,0.0,0.0
1981-12-30,67,-56,0,0.0,0.0
1981-12-31,72,6,76,0.0,0.0
1982-01-01,72,-17,8,0.0,0.0
1982-01-02,106,-28,102,0.0,0.0
1982-01-03,128,56,368,0.0,0.0
1982-01-04,156,-11,69,0.0,0.0
1982-01-05,78,-33,0,0.0,0.0
1982-01-06,144,61,0,0.0,0.0
1982-01-07,144,-39,15,0.0,0.0
1982-01-08,11,-100,0,0.0,0.0
1982-01-09,-28,-144,13,0.0,13.0
1982-01-10,-144,-211,-254,254.0,25.0
1982-01-11,-128,-222,0,25.0,0.0
1982-01-12,-50,-128,28,25.0,28.0
1982-01-13,-11,-72,64,76.0,64.0
1982-01-14,-56,-89,5,102.0,13.0
1982-01-15,28,-94,5,127.0,36.0
1982-01-16,33,-233,13,76.0,8.0
1982-01-17,-144,-261,0,76.0,0.0
1982-01-18,39,-144,3,76.0,0.0
1982-01-19,89,0,48,51.0,0.0
1982-01-20,50,17,15,0.0,0.0
1982-01-21,67,28,102,0.0,0.0
1982-01-22,111,17,114,0.0,0.0
1982-01-23,128,-22,147,0.0,0.0
1982-01-24,-11,-67,0,0.0,0.0
1982-01-25,39,-94,0,0.0,0.0
1982-01-26,-50,-128,0,0.0,0.0
1982-01-27,83,-122,0,0.0,0.0
1982-01-28,128,11,0,0.0,0.0
1982-01-29,83,-44,0,0.0,0.0
1982-01-30,167,78,0,0.0,0.0
