DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1911-06-01,,,,,0.0
1911-06-02,,,,,0.0
1911-06-03,,,,,0.0
1911-06-04,,,,,0.0
1911-06-05,,,,,0.0
1911-06-06,,,,,0.0
1911-06-07,,,,,0.0
1911-06-08,,,,,0.0
1911-06-09,,,,,0.0
1911-06-10,,,,,0.0
1911-06-11,,,,,0.0
1911-06-12,,,,,0.0
1911-06-13,,,,,0.0
1911-06-14,,,,,0.0
1911-06-15,,,,0.0,0.0
1911-06-16,,,,,0.0
1911-06-17,,,,,0.0
1911-06-18,,,,,0.0
1911-06-19,,,279.0,,0.0
1911-06-20,,,229.0,,0.0
1911-06-21,,,,,0.0
1911-06-22,,,508.0,,0.0
1911-06-23,,,254.0,,0.0
1911-06-24,,,,,0.0
1911-06-25,,,30.0,,0.0
1911-06-26,,,,,0.0
1911-06-27,,,,,0.0
1911-06-28,,,,,0.0
1911-06-29,,,,,0.0
1911-06-30,,,3.0,0.0,0.0
1911-07-01,,,445.0,,0.0
1911-07-02,,,0.0,,0.0
1911-07-03,,,51.0,,0.0
1911-07-04,,,5.0,,0.0
1911-07-05,,,213.0,,0.0
1911-07-06,,,122.0,,0.0
1911-07-07,,,457.0,,0.0
1911-07-08,,,43.0,,0.0
1911-07-09,,,0.0,,0.0
1911-07-10,,,30.0,,0.0
1911-07-11,,,23.0,,0.0
1911-07-12,,,84.0,,0.0
1911-07-13,,,3.0,,0.0
1911-07-14,,,5.0,,0.0
1911-07-15,,,135.0,0.0,0.0
1911-07-16,,,36.0,,0.0
1911-07-17,,,15.0,,0.0
1911-07-18,,,300.0,,0.0
1911-07-19,,,224.0,,0.0
1911-07-20,,,0.0,,0.0
1911-07-21,,,0.0,,0.0
1911-07-22,,,0.0,,0.0
1911-07-23,,,0.0,,0.0
1911-07-24,,,0.0,,0.0
1911-07-25,,,0.0,,0.0
1911-07-26,,,0.0,,0.0
1911-07-27,,,0.0,,0.0
1911-07-28,,,0.0,,0.0
1911-07-29,,,0.0,,0.0
1911-07-30,,,0.0,,0.0
1911-07-31,,,122.0,0.0,0.0
1911-08-01,,,0.0,,0.0
1911-08-02,,,0.0,,0.0
1911-08-03,,,0.0,,0.0
1911-08-04,,,61.0,,0.0
1911-08-05,,,0.0,,0.0
1911-08-06,,,0.0,,0.0
1911-08-07,,,0.0,,0.0
1911-08-08,,,0.0,,0.0
1911-08-09,,,64.0,,0.0
1911-08-10,,,0.0,,0.0
1911-08-11,,,0.0,,0.0
1911-08-12,,,0.0,,0.0
1911-08-13,,,584.0,,0.0
1911-08-14,,,112.0,,0.0
1911-08-15,,,0.0,0.0,0.0
1911-08-16,,,0.0,,0.0
1911-08-17,,,241.0,,0.0
1911-08-18,,,30.0,,0.0
1911-08-19,,,107.0,,0.0
1911-08-20,,,330.0,,0.0
1911-08-21,,,79.0,,0.0
1911-08-22,,,46.0,,0.0
1911-08-23,,,43.0,,0.0
1911-08-24,,,0.0,,0.0
1911-08-25,,,119.0,,0.0
1911-08-26,,,0.0,,0.0
1911-08-27,,,0.0,,0.0
1911-08-28,,,25.0,,0.0
1911-08-29,,,0.0,,0.0
1911-08-30,,,0.0,,0.0
1911-08-31,,,0.0,0.0,0.0
1911-09-01,,,0.0,,0.0
1911-09-02,,,0.0,,0.0
1911-09-03,,,114.0,,0.0
1911-09-04,,,36.0,,0.0
1911-09-05,,,0.0,,0.0
1911-09-06,,,51.0,,0.0
1911-09-07,,,178.0,,0.0
1911-09-08,,,0.0,,0.0
1911-09-09,,,25.0,,0.0
1911-09-10,,,51.0,,0.0
1911-09-11,,,0.0,,0.0
1911-09-12,,,0.0,,0.0
1911-09-13,,,0.0,,0.0
1911-09-14,,,0.0,,0.0
1911-09-15,,,0.0,0.0,0.0
1911-09-16,,,0.0,,0.0
1911-09-17,,,0.0,,0.0
1911-09-18,,,36.0,,0.0
1911-09-19,,,127.0,,0.0
1911-09-20,,,0.0,,0.0
1911-09-21,,,0.0,,0.0
1911-09-22,,,0.0,,0.0
1911-09-23,,,0.0,,0.0
1911-09-24,,,279.0,,0.0
1911-09-25,,,0.0,,0.0
1911-09-26,,,0.0,,0.0
1911-09-27,,,0.0,,0.0
1911-09-28,,,175.0,,0.0
1911-09-29,,,0.0,,0.0
1911-09-30,,,0.0,0.0,0.0
1911-10-01,,,0.0,,0.0
1911-10-02,,,0.0,,0.0
1911-10-03,,,0.0,,0.0
1911-10-04,,,0.0,,0.0
1911-10-05,,,0.0,,0.0
1911-10-06,,,0.0,,0.0
1911-10-07,,,0.0,,0.0
1911-10-08,,,0.0,,0.0
1911-10-09,,,0.0,,0.0
1911-10-10,,,300.0,,0.0
1911-10-11,,,0.0,,0.0
1911-10-12,,,0.0,,0.0
1911-10-13,,,0.0,,0.0
1911-10-14,,,0.0,,0.0
1911-10-15,,,0.0,0.0,0.0
1911-10-16,,,437.0,,0.0
1911-10-17,,,0.0,,0.0
1911-10-18,,,0.0,,0.0
1911-10-19,,,0.0,,0.0
1911-10-20,,,0.0,,0.0
1911-10-21,,,0.0,,0.0
1911-10-22,,,0.0,,0.0
1911-10-23,,,0.0,,0.0
1911-10-24,,,0.0,,0.0
1911-10-25,,,0.0,,0.0
1911-10-26,,,0.0,,0.0
1911-10-27,,,0.0,,0.0
1911-10-28,,,0.0,,0.0
1911-10-29,,,0.0,,0.0
1911-10-30,,,0.0,,0.0
1911-10-31,,,0.0,0.0,0.0
1911-11-01,,,0.0,,0.0
1911-11-02,,,0.0,,0.0
1911-11-03,,,0.0,,0.0
1911-11-04,,,127.0,,0.0
1911-11-05,,,0.0,,0.0
1911-11-06,,,0.0,,0.0
1911-11-07,,,0.0,,0.0
1911-11-08,,,0.0,,0.0
1911-11-09,,,0.0,,0.0
1911-11-10,,,0.0,,0.0
1911-11-11,,,152.0,,0.0
1911-11-12,,,0.0,,0.0
1911-11-13,,,0.0,,0.0
1911-11-14,,,0.0,,0.0
1911-11-15,,,0.0,0.0,0.0
1911-11-16,,,0.0,,0.0
1911-11-17,,,0.0,,0.0
1911-11-18,,,0.0,,0.0
1911-11-19,,,0.0,,0.0
1911-11-20,,,0.0,,0.0
1911-11-21,,,0.0,,0.0
1911-11-22,,,0.0,,0.0
1911-11-23,,,0.0,,0.0
1911-11-24,,,178.0,,0.0
1911-11-25,,,0.0,,0.0
1911-11-26,,,0.0,,0.0
1911-11-27,,,470.0,,0.0
1911-11-28,,,0.0,,0.0
1911-11-29,,,0.0,,0.0
1911-11-30,,,0.0,0.0,0.0
1911-12-01,167.0,-33.0,0.0,,0.0
1911-12-02,,-11.0,0.0,,0.0
1911-12-03,,0.0,0.0,,0.0
1911-12-04,,,0.0,,0.0
1911-12-05,,,0.0,,0.0
1911-12-06,,,0.0,,0.0
1911-12-07,,,0.0,,0.0
1911-12-08,,,0.0,,0.0
1911-12-09,,,0.0,,0.0
1911-12-10,,,0.0,,0.0
1911-12-11,,,0.0,,0.0
1911-12-12,,,102.0,,0.0
1911-12-13,,,64.0,,0.0
1911-12-14,,,25.0,,0.0
1911-12-15,,,391.0,0.0,0.0
1911-12-16,,,25.0,,0.0
1911-12-17,,,30.0,,0.0
1911-12-18,,,51.0,,0.0
1911-12-19,,,417.0,,0.0
1911-12-20,,,64.0,,0.0
1911-12-21,,,102.0,,0.0
1911-12-22,,,368.0,,0.0
1911-12-23,,,0.0,,0.0
1911-12-24,,,140.0,,0.0
1911-12-25,,,25.0,,0.0
1911-12-26,,,76.0,,0.0
1911-12-27,,,0.0,,0.0
1911-12-28,,,0.0,,0.0
1911-12-29,,,13.0,,0.0
1911-12-30,,,483.0,,0.0
1911-12-31,,,0.0,0.0,0.0
1912-01-01,,,25.0,,0.0
1912-01-02,,,254.0,,0.0
1912-01-03,,,0.0,,0.0
1912-01-04,,,0.0,,0.0
1912-01-05,,,0.0,,0.0
1912-01-06,,,0.0,,0.0
1912-01-07,,,254.0,,0.0
1912-01-08,,,445.0,,0.0
1912-01-09,-28.0,-28.0,0.0,,0.0
1912-01-10,,22.0,0.0,,0.0
1912-01-11,39.0,-33.0,51.0,,0.0
1912-01-12,,-44.0,0.0,,0.0
1912-01-13,,39.0,0.0,,0.0
1912-01-14,,-11.0,0.0,,0.0
1912-01-15,,-22.0,0.0,0.0,0.0
1912-01-16,,,0.0,,0.0
1912-01-17,,,0.0,,0.0
1912-01-18,,,0.0,,0.0
1912-01-19,,,152.0,,0.0
1912-01-20,,0.0,0.0,,0.0
1912-01-21,,-11.0,0.0,,0.0
1912-01-22,,6.0,0.0,,0.0
1912-01-23,,,0.0,,0.0
1912-01-24,,,0.0,,0.0
1912-01-25,,,0.0,,0.0
1912-01-26,,,0.0,,0.0
1912-01-27,,,0.0,,0.0
1912-01-28,,,572.0,,0.0
1912-01-29,,,0.0,,0.0
1912-01-30,,,0.0,,0.0
1912-01-31,,,0.0,0.0,0.0
1912-02-01,,,0.0,,0.0
1912-02-02,,,0.0,,0.0
1912-02-03,,,0.0,,0.0
1912-02-04,,11.0,0.0,,0.0
1912-02-05,,-33.0,0.0,,0.0
1912-02-06,,-39.0,0.0,,0.0
1912-02-07,,-33.0,0.0,,0.0
1912-02-08,,0.0,0.0,,0.0
1912-02-09,,,318.0,,0.0
1912-02-10,,,0.0,,0.0
1912-02-11,,78.0,0.0,,0.0
1912-02-12,,0.0,0.0,,0.0
1912-02-13,,111.0,191.0,,0.0
1912-02-14,,122.0,0.0,,0.0
1912-02-15,,89.0,0.0,0.0,0.0
1912-02-16,,100.0,114.0,,0.0
1912-02-17,,,0.0,,0.0
1912-02-18,,,0.0,,0.0
1912-02-19,,,0.0,,0.0
1912-02-20,,,107.0,,0.0
1912-02-21,,,0.0,,0.0
1912-02-22,,111.0,0.0,,0.0
1912-02-23,,33.0,356.0,,0.0
1912-02-24,,,0.0,,0.0
1912-02-25,,,41.0,,0.0
1912-02-26,,,0.0,,0.0
1912-02-27,,22.0,0.0,,0.0
1912-02-28,,17.0,0.0,0.0,0.0
1912-02-29,,,0.0,,0.0
1912-03-01,,,0.0,,0.0
1912-03-02,,,0.0,,0.0
1912-03-03,,,0.0,,0.0
1912-03-04,,,0.0,,0.0
1912-03-05,,,0.0,,0.0
1912-03-06,,,0.0,,0.0
1912-03-07,,,0.0,,0.0
1912-03-08,,,51.0,,0.0
1912-03-09,,,0.0,,0.0
1912-03-10,,,0.0,,0.0
1912-03-11,,,51.0,,0.0
1912-03-12,,,0.0,,0.0
1912-03-13,,56.0,0.0,,0.0
1912-03-14,,,467.0,,0.0
1912-03-15,,,0.0,0.0,0.0
1912-03-16,,39.0,0.0,,0.0
1912-03-17,,,0.0,,0.0
1912-03-18,,,0.0,,0.0
1912-03-19,,,0.0,,0.0
1912-03-20,,,0.0,,0.0
1912-03-21,,,0.0,,0.0
1912-03-22,,,0.0,,0.0
1912-03-23,,,198.0,,0.0
1912-03-24,,,0.0,,0.0
1912-03-25,,44.0,0.0,,0.0
1912-03-26,,50.0,0.0,,0.0
1912-03-27,,,0.0,,0.0
1912-03-28,,,254.0,,0.0
1912-03-29,,,0.0,,0.0
1912-03-30,,,0.0,,0.0
1912-03-31,,,0.0,0.0,0.0
1912-04-01,,,0.0,,0.0
1912-04-02,,,0.0,,0.0
1912-04-03,,,0.0,,0.0
1912-04-04,,,0.0,,0.0
1912-04-05,,,0.0,,0.0
1912-04-06,,,0.0,,0.0
1912-04-07,,,66.0,,0.0
1912-04-08,,,0.0,,0.0
1912-04-09,,,114.0,,0.0
1912-04-10,,,89.0,,0.0
1912-04-11,,,0.0,,0.0
1912-04-12,,,0.0,,0.0
1912-04-13,,,318.0,,0.0
1912-04-14,,,25.0,,0.0
1912-04-15,,,114.0,0.0,0.0
1912-04-16,,,488.0,,0.0
1912-04-17,,,0.0,,0.0
1912-04-18,,,0.0,,0.0
1912-04-19,,,51.0,,0.0
1912-04-20,,,264.0,,0.0
1912-04-21,,,38.0,,0.0
