DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1956-12-01,-61.0,-133.0,0.0,0.0,0.0
1956-12-02,-22.0,-122.0,0.0,0.0,0.0
1956-12-03,-50.0,-144.0,0.0,0.0,0.0
1956-12-04,17.0,-83.0,89.0,0.0,0.0
1956-12-05,39.0,-44.0,0.0,0.0,0.0
1956-12-06,56.0,-72.0,170.0,0.0,0.0
1956-12-07,-50.0,-111.0,0.0,0.0,0.0
1956-12-08,-39.0,-122.0,0.0,0.0,0.0
1956-12-09,-67.0,-117.0,0.0,0.0,0.0
1956-12-10,-72.0,-161.0,0.0,0.0,0.0
1956-12-11,-72.0,-200.0,0.0,0.0,0.0
1956-12-12,-100.0,-133.0,0.0,0.0,0.0
1956-12-13,-61.0,-156.0,0.0,0.0,0.0
1956-12-14,-28.0,-156.0,0.0,0.0,0.0
1956-12-15,-61.0,-94.0,191.0,254.0,241.0
1956-12-16,-39.0,-133.0,41.0,279.0,51.0
1956-12-17,-83.0,-161.0,8.0,356.0,64.0
1956-12-18,-67.0,-150.0,0.0,330.0,0.0
1956-12-19,39.0,-150.0,0.0,279.0,0.0
1956-12-20,39.0,-156.0,0.0,,0.0
1956-12-21,-106.0,-222.0,0.0,203.0,0.0
1956-12-22,-78.0,-228.0,0.0,203.0,0.0
1956-12-23,22.0,-122.0,0.0,152.0,0.0
1956-12-24,11.0,-122.0,0.0,127.0,0.0
1956-12-25,-106.0,-222.0,0.0,127.0,0.0
1956-12-26,-78.0,-183.0,0.0,127.0,0.0
1956-12-27,-6.0,-100.0,0.0,102.0,0.0
1956-12-28,28.0,-67.0,0.0,102.0,0.0
1956-12-29,28.0,-78.0,0.0,76.0,0.0
1956-12-30,44.0,-11.0,0.0,25.0,0.0
1956-12-31,17.0,-128.0,0.0,25.0,0.0
1957-06-01,222.0,89.0,0.0,0.0,0.0
1957-06-02,194.0,122.0,86.0,0.0,0.0
1957-06-03,183.0,67.0,0.0,0.0,0.0
1957-06-04,189.0,44.0,0.0,0.0,0.0
1957-06-05,200.0,78.0,0.0,0.0,0.0
1957-06-06,189.0,94.0,0.0,0.0,0.0
1957-06-07,211.0,94.0,51.0,0.0,0.0
1957-06-08,189.0,33.0,0.0,0.0,0.0
1957-06-09,222.0,50.0,0.0,0.0,0.0
1957-06-10,272.0,61.0,0.0,0.0,0.0
1957-06-11,300.0,89.0,0.0,0.0,0.0
1957-06-12,272.0,133.0,10.0,0.0,0.0
1957-06-13,239.0,128.0,0.0,0.0,0.0
1957-06-14,256.0,106.0,0.0,0.0,0.0
1957-06-15,300.0,133.0,36.0,0.0,0.0
1957-06-16,311.0,167.0,0.0,0.0,0.0
1957-06-17,328.0,144.0,0.0,0.0,0.0
1957-06-18,239.0,117.0,0.0,0.0,0.0
1957-06-19,250.0,144.0,66.0,0.0,0.0
1957-06-20,261.0,133.0,0.0,0.0,0.0
1957-06-21,261.0,100.0,0.0,0.0,0.0
1957-06-22,283.0,122.0,0.0,0.0,0.0
1957-06-23,294.0,206.0,0.0,0.0,0.0
1957-06-24,333.0,183.0,0.0,0.0,0.0
1957-06-25,289.0,122.0,208.0,0.0,0.0
1957-06-26,167.0,111.0,8.0,0.0,0.0
1957-06-27,228.0,144.0,0.0,0.0,0.0
1957-06-28,250.0,161.0,10.0,0.0,0.0
1957-06-29,244.0,178.0,0.0,0.0,0.0
1957-06-30,256.0,161.0,0.0,0.0,0.0
1957-07-01,194.0,139.0,18.0,0.0,0.0
1957-07-02,189.0,94.0,0.0,0.0,0.0
1957-07-03,244.0,100.0,0.0,0.0,0.0
1957-07-04,283.0,144.0,51.0,0.0,0.0
1957-07-05,272.0,156.0,112.0,0.0,0.0
1957-07-06,256.0,117.0,0.0,0.0,0.0
1957-07-07,278.0,111.0,0.0,0.0,0.0
1957-07-08,278.0,139.0,0.0,0.0,0.0
1957-07-09,239.0,156.0,180.0,0.0,0.0
1957-07-10,261.0,167.0,0.0,0.0,0.0
1957-07-11,250.0,100.0,43.0,0.0,0.0
1957-07-12,239.0,111.0,0.0,0.0,0.0
1957-07-13,283.0,122.0,0.0,0.0,0.0
1957-07-14,278.0,139.0,0.0,0.0,0.0
1957-07-15,250.0,161.0,0.0,0.0,0.0
1957-07-16,244.0,128.0,46.0,0.0,0.0
1957-07-17,294.0,122.0,0.0,0.0,0.0
1957-07-18,283.0,128.0,0.0,0.0,0.0
1957-07-19,317.0,133.0,0.0,0.0,0.0
1957-07-20,328.0,167.0,0.0,0.0,0.0
1957-07-21,289.0,183.0,0.0,,0.0
1957-07-22,256.0,156.0,457.0,0.0,0.0
1957-07-23,261.0,144.0,0.0,0.0,0.0
1957-07-24,206.0,117.0,38.0,0.0,0.0
1957-07-25,200.0,111.0,58.0,0.0,0.0
1957-07-26,261.0,106.0,0.0,0.0,0.0
1957-07-27,256.0,156.0,0.0,0.0,0.0
1957-07-28,233.0,156.0,0.0,0.0,0.0
1957-07-29,211.0,156.0,61.0,0.0,0.0
1957-07-30,272.0,156.0,0.0,0.0,0.0
1957-07-31,272.0,161.0,0.0,0.0,0.0
1957-08-01,278.0,183.0,0.0,0.0,0.0
1957-08-02,289.0,139.0,0.0,0.0,0.0
1957-08-03,278.0,128.0,0.0,0.0,0.0
1957-08-04,244.0,178.0,38.0,0.0,0.0
1957-08-05,244.0,156.0,0.0,0.0,0.0
1957-08-06,233.0,89.0,0.0,0.0,0.0
1957-08-07,239.0,78.0,0.0,0.0,0.0
1957-08-08,250.0,111.0,0.0,0.0,0.0
1957-08-09,272.0,133.0,0.0,0.0,0.0
1957-08-10,222.0,172.0,178.0,0.0,0.0
1957-08-11,267.0,122.0,0.0,0.0,0.0
1957-08-12,244.0,144.0,0.0,0.0,0.0
1957-08-13,217.0,72.0,0.0,0.0,0.0
1957-08-14,217.0,78.0,0.0,0.0,0.0
1957-08-15,283.0,133.0,64.0,0.0,0.0
1957-08-16,233.0,122.0,84.0,0.0,0.0
1957-08-17,211.0,83.0,0.0,0.0,0.0
1957-08-18,250.0,78.0,0.0,0.0,0.0
1957-08-19,256.0,117.0,0.0,0.0,0.0
1957-08-20,244.0,106.0,5.0,0.0,0.0
1957-08-21,222.0,94.0,0.0,0.0,0.0
1957-08-22,228.0,89.0,0.0,0.0,0.0
1957-08-23,261.0,78.0,0.0,0.0,0.0
1957-08-24,244.0,100.0,0.0,0.0,0.0
1957-08-25,200.0,139.0,5.0,0.0,0.0
1957-08-26,200.0,156.0,76.0,0.0,0.0
1957-08-27,272.0,167.0,0.0,0.0,0.0
1957-08-28,211.0,50.0,0.0,0.0,0.0
1957-08-29,194.0,56.0,0.0,0.0,0.0
1957-08-30,233.0,83.0,0.0,0.0,0.0
1957-08-31,250.0,100.0,0.0,0.0,0.0
1957-09-01,261.0,111.0,0.0,0.0,0.0
1957-09-02,272.0,100.0,25.0,0.0,0.0
1957-09-03,272.0,167.0,58.0,0.0,0.0
1957-09-04,239.0,156.0,38.0,0.0,0.0
1957-09-05,239.0,133.0,0.0,0.0,0.0
1957-09-06,211.0,94.0,0.0,0.0,0.0
1957-09-07,244.0,100.0,0.0,0.0,0.0
1957-09-08,183.0,133.0,300.0,0.0,0.0
1957-09-09,183.0,56.0,0.0,0.0,0.0
1957-09-10,217.0,50.0,0.0,0.0,0.0
1957-09-11,161.0,111.0,58.0,0.0,0.0
1957-09-12,239.0,117.0,0.0,0.0,0.0
1957-09-13,250.0,150.0,0.0,0.0,0.0
1957-09-14,256.0,156.0,0.0,0.0,0.0
1957-09-15,233.0,111.0,0.0,0.0,0.0
1957-09-16,267.0,150.0,0.0,0.0,0.0
1957-09-17,233.0,156.0,25.0,0.0,0.0
1957-09-18,228.0,100.0,0.0,0.0,0.0
1957-09-19,239.0,78.0,0.0,0.0,0.0
1957-09-20,200.0,100.0,0.0,0.0,0.0
1957-09-21,233.0,150.0,0.0,0.0,0.0
1957-09-22,267.0,133.0,0.0,0.0,0.0
1957-09-23,222.0,,132.0,0.0,0.0
1957-09-24,183.0,100.0,0.0,0.0,0.0
1957-09-25,178.0,44.0,0.0,0.0,0.0
1957-09-26,183.0,61.0,0.0,0.0,0.0
1957-09-27,128.0,6.0,0.0,0.0,0.0
1957-09-28,156.0,0.0,0.0,0.0,0.0
1957-09-29,211.0,33.0,0.0,0.0,0.0
1957-09-30,233.0,44.0,0.0,0.0,0.0
1957-10-01,194.0,78.0,0.0,0.0,0.0
1957-10-02,172.0,33.0,0.0,0.0,0.0
1957-10-03,144.0,28.0,0.0,0.0,0.0
1957-10-04,144.0,33.0,0.0,0.0,0.0
1957-10-05,206.0,39.0,0.0,0.0,0.0
1957-10-06,200.0,72.0,0.0,0.0,0.0
1957-10-07,217.0,117.0,53.0,0.0,0.0
1957-10-08,206.0,100.0,0.0,0.0,0.0
1957-10-09,194.0,133.0,152.0,0.0,0.0
1957-10-10,183.0,117.0,8.0,0.0,0.0
1957-10-11,156.0,67.0,0.0,0.0,0.0
1957-10-12,161.0,6.0,0.0,0.0,0.0
1957-10-13,178.0,33.0,0.0,0.0,0.0
1957-10-14,178.0,28.0,0.0,0.0,0.0
1957-10-15,217.0,44.0,0.0,0.0,0.0
1957-10-16,233.0,67.0,0.0,0.0,0.0
1957-10-17,150.0,61.0,0.0,0.0,0.0
1957-10-18,161.0,94.0,0.0,0.0,0.0
1957-10-19,150.0,117.0,170.0,0.0,0.0
1957-10-20,144.0,72.0,102.0,0.0,0.0
1957-10-21,94.0,-22.0,0.0,0.0,0.0
1957-10-22,139.0,-11.0,0.0,0.0,0.0
1957-10-23,183.0,67.0,0.0,0.0,0.0
1957-10-24,161.0,100.0,25.0,0.0,0.0
1957-10-25,167.0,61.0,114.0,0.0,0.0
1957-10-26,,,0.0,0.0,0.0
1957-10-27,50.0,0.0,0.0,0.0,0.0
