DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-04-12,94,94,,,
2002-04-13,167,94,,,
2002-04-14,117,50,,,
2002-04-15,61,33,,,
2002-04-16,161,50,,,
2002-04-17,189,67,,,
2002-04-18,72,28,,,
2002-04-19,83,22,,,
2002-04-20,139,39,,,
2002-04-21,72,-17,,,
2002-04-22,44,-33,,,
2002-04-23,83,0,,,
2002-04-24,100,6,,,
2002-04-25,122,22,,,
2002-04-26,78,0,,,
2002-04-27,94,0,,,
2002-04-28,56,0,,,
2002-04-29,22,0,,,
2002-04-30,161,0,,,
2002-05-01,122,33,,,
2002-05-02,100,22,,,
2002-05-03,83,33,,,
2002-05-04,161,33,,,
2002-05-05,167,67,,,
2002-05-06,183,72,,,
2002-05-07,167,100,,,
2002-05-08,172,72,,,
2002-05-09,128,61,,,
2002-05-10,200,78,,,
2002-05-11,156,72,,,
2002-05-12,117,50,,,
2002-05-13,94,33,,,
2002-05-14,89,28,,,
2002-05-15,83,39,,,
2002-05-16,150,39,,,
2002-05-17,194,72,,,
2002-05-18,67,17,,,
2002-05-19,133,28,,,
2002-05-20,139,22,,,
2002-05-21,150,44,,,
2002-05-22,189,44,,,
2002-05-23,206,89,,,
2002-05-24,233,89,,,
2002-05-25,172,50,,,
2002-05-26,117,61,,,
2002-05-27,200,94,,,
2002-05-28,217,83,,,
2002-05-29,178,89,,,
2002-05-30,178,122,,,
2002-05-31,194,133,,,
2002-06-01,228,122,,,
2002-06-02,189,61,,,
2002-06-03,156,44,,,
2002-06-04,161,61,,,
2002-06-05,150,94,,,
2002-06-06,150,106,,,
2002-06-07,150,100,,,
2002-06-08,172,78,,,
2002-06-09,211,106,,,
2002-06-10,233,100,,,
2002-06-11,172,83,,,
2002-06-12,83,78,,,
2002-06-13,172,72,,,
2002-06-14,156,78,,,
2002-06-15,111,72,,,
2002-06-16,117,72,,,
2002-06-17,150,83,,,
2002-06-18,217,89,,,
2002-06-19,200,128,,,
2002-06-20,239,133,,,
2002-06-21,256,156,,,
2002-06-22,244,156,,,
2002-06-23,222,133,,,
2002-06-24,267,156,,,
2002-06-25,233,139,,,
2002-06-26,272,156,,,
2002-06-27,278,172,,,
2002-06-28,283,183,,,
2002-06-29,256,161,,,
2002-06-30,256,156,,,
2002-07-01,228,144,,,
2002-07-02,272,128,,,
2002-07-03,350,211,,,
2002-07-04,317,189,,,
2002-07-05,267,150,,,
2002-07-06,206,128,,,
2002-07-07,222,139,,,
2002-07-08,267,161,,,
2002-07-09,283,189,,,
2002-07-10,233,106,,,
2002-07-11,206,83,,,
2002-07-12,244,122,,,
2002-07-13,250,161,,,
2002-07-14,278,167,,,
2002-07-15,222,150,,,
2002-07-16,206,144,,,
2002-07-17,217,139,,,
2002-07-18,272,161,,,
2002-07-19,178,133,,,
2002-07-20,189,139,,,
2002-07-21,233,128,,,
2002-07-22,222,161,,,
2002-07-23,278,156,,,
2002-07-24,222,122,,,
2002-07-25,222,133,,,
2002-07-29,233,211,,,
2002-07-30,267,200,,,
2002-07-31,317,189,,,
2002-08-01,256,172,,,
2002-08-02,228,172,,,
2002-08-03,261,178,,,
2002-08-04,289,172,,,
2002-08-05,256,194,,,
2002-08-06,222,133,,,
