DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2000-11-17,28,28,,,
2000-11-18,39,-50,,,
2000-11-19,50,-61,,,
2000-11-20,39,-67,,,
2000-11-21,22,-17,,,
2000-11-22,28,-44,,,
2000-11-23,0,-56,,,
2000-11-24,-33,-122,,,
2000-11-25,-28,-144,,,
2000-11-26,50,-100,,,
2000-11-27,50,22,,,
2000-11-28,50,17,,,
2000-11-29,56,11,,,
2000-11-30,33,6,,,
2000-12-01,28,-39,,,
2000-12-02,-22,-61,,,
2000-12-03,6,-106,,,
2000-12-04,39,-94,,,
2000-12-05,72,-117,,,
2000-12-06,11,-106,,,
2000-12-07,-33,-122,,,
2000-12-08,-111,-183,,,
2000-12-09,-83,-200,,,
2000-12-10,-11,-178,,,
2000-12-11,11,-44,,,
2000-12-12,94,-72,,,
2000-12-13,-56,-133,,,
2000-12-14,-11,-111,,,
2000-12-15,-6,-128,,,
2000-12-16,11,-144,,,
2000-12-17,150,11,,,
2000-12-18,122,-39,,,
2000-12-19,-17,-83,,,
2000-12-20,-11,-83,,,
2000-12-21,-39,-117,,,
2000-12-22,-50,-89,,,
2000-12-23,-39,-133,,,
2000-12-24,-61,-172,,,
2000-12-25,-100,-161,,,
2000-12-26,-94,-172,,,
2000-12-27,-44,-117,,,
2000-12-28,-50,-106,,,
2000-12-29,11,-106,,,
2000-12-30,-6,-33,,,
2000-12-31,22,-11,,,
2001-01-01,0,-106,,,
2001-01-02,-28,-167,,,
2001-01-03,-28,-117,,,
2001-01-04,-33,-94,,,
2001-01-05,-56,-156,,,
2001-01-06,6,-89,,,
2001-01-07,22,-117,,,
2001-01-08,-11,-167,,,
2001-01-09,-11,-83,,,
2001-01-10,-50,-161,,,
2001-01-11,-50,-194,,,
2001-01-12,-44,-172,,,
2001-01-13,-17,-206,,,
2001-01-14,33,-78,,,
2001-01-15,-78,-139,,,
2001-01-16,-22,-83,,,
2001-01-17,0,-133,,,
2001-01-18,-44,-217,,,
2001-01-19,-33,-133,,,
2001-01-20,-28,-111,,,
2001-01-21,-67,-133,,,
2001-01-22,-33,-206,,,
2001-01-23,33,-194,,,
2001-01-24,44,-100,,,
2001-01-25,44,-89,,,
2001-01-26,11,-178,,,
2001-01-27,-17,-167,,,
2001-01-28,0,-128,,,
