DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1945-04-01,194,83,,,
1945-04-02,183,83,,,
1945-04-03,139,39,,,
1945-04-04,39,22,,,
1945-04-05,100,17,,,
1945-04-06,72,-33,,,
1945-04-07,150,-72,,,
1945-04-08,206,17,,,
1945-04-09,217,22,,,
1945-04-10,194,33,,,
1945-04-11,278,33,,,
1945-04-12,300,67,,,
1945-04-13,289,122,,,
1945-04-14,217,72,,,
1945-04-15,111,-17,,,
1945-04-16,100,-28,,,
1945-04-17,183,44,,,
1945-04-18,189,72,,,
1945-04-19,106,11,,,
1945-04-20,172,0,,,
1945-04-21,156,56,,,
1945-04-22,83,0,,,
1945-04-23,117,-28,,,
1945-04-24,172,-44,,,
1945-04-25,111,50,150.0,,
1945-04-26,83,39,264.0,,
1945-04-27,72,39,302.0,,
1945-04-28,128,39,124.0,,
1945-04-29,139,50,114.0,,
1945-04-30,117,50,165.0,,
1945-05-01,78,-11,,,
1945-05-02,128,28,152.0,,
1945-05-03,139,44,25.0,,
1945-05-04,61,44,622.0,,
1945-05-05,39,-122,,,
1945-05-06,161,11,0.0,,
1945-05-07,44,-33,,,
1945-05-08,-144,2067,76.0,,
1945-05-09,144,56,,,
1945-05-10,33,-56,,,
1945-05-11,100,-11,79.0,,43.0
1945-05-12,44,-100,,,
1945-05-13,89,-17,,,
1945-05-14,117,-56,,,
1945-05-15,283,94,8.0,,
1945-05-16,72,-11,,,
1945-05-17,117,78,208.0,,
1945-05-18,144,78,399.0,,
1945-05-19,133,67,33.0,,
1945-05-20,200,28,,,
1945-05-21,139,61,0.0,,
1945-05-22,6,-11,,,
1945-05-23,178,83,0.0,,
1945-05-24,178,50,,,
1945-05-25,178,44,0.0,,
1945-05-26,206,33,0.0,,
1945-05-27,156,39,,,
1945-05-28,161,72,104.0,,
1945-05-29,278,6,,,
1945-05-30,183,100,,,
1945-05-31,139,67,,,
1945-06-01,156,22,,,
1945-06-02,189,22,,,
1945-06-03,139,67,,,
1945-06-04,144,67,0.0,,
1945-06-05,94,67,81.0,,
1945-06-06,144,67,64.0,,
1945-06-07,183,78,0.0,,
1945-06-08,189,89,168.0,,
1945-06-09,228,50,0.0,,
1945-06-10,239,83,51.0,,
1945-06-11,244,133,135.0,,
1945-06-12,278,178,3.0,,
1945-06-13,267,117,,,
1945-06-14,306,161,,,
1945-06-15,344,183,157.0,,
1945-06-16,267,150,20.0,,
1945-06-17,211,122,5.0,,
1945-06-18,233,128,0.0,,
1945-06-19,256,167,0.0,,
1945-06-20,183,111,320.0,,
1945-06-21,233,83,107.0,,
1945-06-22,244,156,30.0,,
1945-06-23,283,139,,,
1945-06-24,272,122,,,
1945-06-25,306,133,155.0,,
1945-06-26,189,150,234.0,,0.0
1945-06-27,222,139,0.0,,0.0
1945-06-28,283,167,0.0,,
1945-06-29,289,133,,,
1945-06-30,339,144,,,
1945-07-01,322,161,0.0,,0.0
1945-07-02,294,178,20.0,,
1945-07-03,239,117,3.0,,
1945-07-04,261,78,0.0,,0.0
1945-07-05,289,150,0.0,,0.0
1945-07-06,294,183,41.0,,0.0
1945-07-07,272,128,0.0,,0.0
1945-07-08,272,117,3.0,,0.0
1945-07-09,289,117,0.0,,0.0
1945-07-10,250,161,191.0,,0.0
1945-07-11,200,78,0.0,,0.0
1945-07-12,228,67,0.0,,0.0
1945-07-13,244,117,0.0,,0.0
1945-07-14,272,117,0.0,,0.0
1945-07-15,278,194,345.0,,0.0
1945-07-16,261,161,0.0,,0.0
1945-07-17,250,156,3.0,,0.0
1945-07-18,272,161,13.0,,
1945-07-19,289,189,25.0,,0.0
1945-07-20,283,183,216.0,,0.0
1945-07-21,261,150,5.0,,0.0
1945-07-22,250,128,0.0,,0.0
1945-07-23,239,150,0.0,,0.0
1945-07-24,239,150,0.0,,0.0
1945-07-25,278,144,0.0,,0.0
1945-07-26,283,172,13.0,,0.0
1945-07-27,250,122,0.0,,0.0
1945-07-28,222,89,20.0,,0.0
1945-07-29,239,161,147.0,,0.0
1945-07-30,289,156,0.0,,0.0
1945-07-31,278,133,0.0,,0.0
1945-08-01,244,128,0.0,,0.0
1945-08-02,239,150,0.0,,0.0
1945-08-03,294,167,0.0,,0.0
1945-08-04,239,128,0.0,,0.0
1945-08-05,228,100,0.0,,0.0
1945-08-06,239,100,20.0,,0.0
1945-08-07,167,133,99.0,,0.0
1945-08-08,272,144,38.0,,0.0
1945-08-09,278,139,0.0,,0.0
1945-08-10,294,94,0.0,,0.0
1945-08-11,317,139,0.0,,0.0
1945-08-12,317,167,0.0,,0.0
1945-08-13,306,172,0.0,,0.0
1945-08-14,294,183,0.0,,0.0
1945-08-15,261,111,8.0,,0.0
1945-08-16,244,78,0.0,,0.0
1945-08-17,250,78,0.0,,0.0
1945-08-18,256,94,0.0,,0.0
1945-08-19,256,94,0.0,,0.0
1945-08-20,311,100,0.0,,0.0
1945-08-21,333,178,0.0,,0.0
1945-08-22,294,167,0.0,,0.0
1945-08-23,233,128,0.0,,0.0
1945-08-24,167,106,51.0,,0.0
1945-08-25,156,117,20.0,,0.0
1945-08-26,217,122,43.0,,0.0
1945-08-27,228,106,0.0,,0.0
1945-08-28,283,78,0.0,,0.0
1945-08-29,322,183,0.0,,0.0
1945-08-30,228,172,38.0,,0.0
1945-08-31,233,156,0.0,,0.0
1945-09-01,272,144,,,
1945-09-02,228,122,,,
1945-09-03,206,72,,,
1945-09-04,200,33,,,
1945-09-05,283,72,,,
1945-09-06,311,144,,,
1945-09-07,339,156,,,
