DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1963-08-09,261.0,150.0,8.0,0.0,0.0
1963-08-10,250.0,44.0,0.0,0.0,0.0
1963-08-11,261.0,94.0,0.0,0.0,0.0
1963-08-12,244.0,111.0,201.0,0.0,0.0
1963-08-13,183.0,117.0,15.0,0.0,0.0
1963-08-14,222.0,72.0,0.0,0.0,0.0
1963-08-15,222.0,100.0,0.0,0.0,0.0
1963-08-16,222.0,78.0,145.0,0.0,0.0
1963-08-17,178.0,72.0,43.0,0.0,0.0
1963-08-18,217.0,0.0,0.0,0.0,0.0
1963-08-19,239.0,50.0,0.0,0.0,0.0
1963-08-20,283.0,133.0,0.0,0.0,0.0
1963-08-21,300.0,106.0,0.0,0.0,0.0
1963-08-22,283.0,161.0,0.0,0.0,0.0
1963-08-23,267.0,156.0,0.0,0.0,0.0
1963-08-24,217.0,122.0,0.0,0.0,0.0
1963-08-25,239.0,72.0,0.0,0.0,0.0
1963-08-26,233.0,67.0,0.0,0.0,0.0
1963-08-27,211.0,106.0,0.0,0.0,0.0
1963-08-28,228.0,117.0,0.0,0.0,0.0
1963-08-29,256.0,122.0,0.0,0.0,0.0
1963-08-30,211.0,128.0,43.0,0.0,0.0
1963-08-31,239.0,22.0,0.0,0.0,0.0
1963-09-01,256.0,111.0,0.0,0.0,0.0
1963-09-02,189.0,144.0,142.0,0.0,0.0
1963-09-03,172.0,122.0,18.0,0.0,0.0
1963-09-04,183.0,17.0,0.0,0.0,0.0
1963-09-05,239.0,17.0,0.0,0.0,0.0
1963-09-06,222.0,56.0,0.0,0.0,0.0
1963-09-07,217.0,133.0,10.0,0.0,0.0
1963-09-08,200.0,56.0,0.0,0.0,0.0
1963-09-09,261.0,117.0,0.0,0.0,0.0
1963-09-10,250.0,67.0,0.0,0.0,0.0
1963-09-11,261.0,111.0,56.0,0.0,0.0
1963-09-12,183.0,61.0,66.0,0.0,0.0
1963-09-13,161.0,-11.0,0.0,0.0,0.0
1963-09-14,189.0,-22.0,0.0,0.0,0.0
