DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2002-05-03,-6,-6,,,
2002-05-04,167,-17,,,
2002-05-05,150,-33,,,
2002-05-06,94,39,,,
2002-05-07,78,22,,,
2002-05-08,83,11,,,
2002-05-09,122,50,,,
2002-05-10,83,-39,,,
2002-05-11,139,-61,,,
2002-05-12,78,44,,,
2002-05-13,122,39,,,
2002-05-14,67,-56,,,
2002-05-15,122,-72,,,
2002-05-16,117,22,,,
2002-05-17,39,0,,,
2002-05-18,39,-61,,,
2002-05-19,44,-83,,,
2002-05-20,89,-39,,,
2002-05-21,156,-72,,,
2002-05-22,172,-6,,,
2002-05-23,239,28,,,
2002-05-24,94,-44,,,
2002-05-25,56,-56,,,
2002-05-26,144,6,,,
2002-05-27,244,50,,,
2002-05-28,256,28,,,
2002-05-29,267,78,,,
2002-05-30,206,117,,,
2002-05-31,278,139,,,
2002-06-01,233,67,,,
2002-06-02,106,-6,,,
2002-06-03,144,-11,,,
2002-06-04,117,56,,,
2002-06-05,189,33,,,
2002-06-06,222,-6,,,
2002-06-07,228,94,,,
2002-06-08,233,106,,,
2002-06-09,244,78,,,
2002-06-10,300,111,,,
2002-06-11,206,78,,,
2002-06-12,161,72,,,
2002-06-13,206,56,,,
2002-06-14,139,72,,,
2002-06-15,117,83,,,
2002-06-16,178,72,,,
2002-06-17,194,39,,,
2002-06-18,233,6,,,
2002-06-19,228,117,,,
2002-06-20,294,94,,,
2002-06-21,256,78,,,
2002-06-22,217,117,,,
2002-06-23,233,161,,,
2002-06-24,233,150,,,
2002-06-25,306,139,,,
2002-06-26,278,156,,,
2002-06-27,239,117,,,
2002-06-28,300,106,,,
2002-06-29,300,139,,,
2002-06-30,333,244,,,
2002-07-01,339,244,,,
2002-07-02,317,194,,,
2002-07-03,306,117,,,
2002-07-04,194,72,,,
2002-07-05,233,61,,,
2002-07-06,278,122,,,
2002-07-07,294,156,,,
2002-07-08,250,156,,,
2002-07-09,233,111,,,
2002-07-10,250,56,,,
2002-07-11,256,50,,,
2002-07-12,289,56,,,
2002-07-13,294,67,,,
2002-07-14,317,111,,,
2002-07-15,300,128,,,
2002-07-16,333,144,,,
2002-07-17,328,172,,,
2002-07-18,228,50,,,
2002-07-19,283,11,,,
2002-07-20,311,100,,,
2002-07-21,322,206,,,
2002-07-22,289,106,,,
2002-07-23,228,78,,,
2002-07-24,256,50,,,
2002-07-25,206,67,,,
2002-07-26,278,150,,,
2002-07-27,294,117,,,
2002-07-28,306,178,,,
2002-07-29,272,144,,,
2002-07-30,306,122,,,
2002-07-31,272,144,,,
2002-08-01,194,156,,,
2002-08-02,261,72,,,
2002-08-03,261,78,,,
2002-08-04,256,111,,,
2002-08-05,206,89,,,
2002-08-06,200,50,,,
2002-08-07,233,33,,,
2002-08-08,267,67,,,
2002-08-09,278,117,,,
2002-08-10,261,150,,,
2002-08-11,306,139,,,
2002-08-12,256,139,,,
2002-08-13,233,161,,,
2002-08-14,250,144,,,
2002-08-15,267,172,,,
2002-08-16,267,94,,,
2002-08-17,267,128,,,
2002-08-18,217,94,,,
2002-08-19,172,56,,,
2002-08-20,256,22,,,
2002-08-21,178,133,,,
2002-08-22,167,167,,,
2002-08-23,217,100,,,
2002-08-24,244,117,,,
2002-08-25,283,72,,,
2002-08-26,244,89,,,
2002-08-27,161,67,,,
2002-08-28,244,22,,,
2002-08-29,244,56,,,
2002-08-30,278,94,,,
2002-08-31,217,67,,,
2002-09-01,261,106,,,
2002-09-02,233,211,,,
2002-09-03,250,106,,,
2002-09-04,178,50,,,
2002-09-05,189,33,,,
2002-09-06,239,111,,,
2002-09-07,311,167,,,
2002-09-08,317,156,,,
2002-09-09,328,122,,,
2002-09-10,194,78,,,
2002-09-11,233,39,,,
2002-09-12,261,56,,,
2002-09-13,250,100,,,
2002-09-14,178,111,,,
2002-09-15,183,28,,,
2002-09-16,233,0,,,
2002-09-17,261,39,,,
2002-09-18,239,111,,,
2002-09-19,244,172,,,
2002-09-20,206,167,,,
2002-09-21,194,78,,,
2002-09-22,139,22,,,
2002-09-23,144,-11,,,
2002-09-24,139,11,,,
2002-09-25,150,44,,,
2002-09-26,111,72,,,
2002-09-27,161,6,,,
2002-09-28,156,-17,,,
2002-09-29,139,78,,,
