DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-10-04,122,72,,,
2001-10-05,72,28,,,
2001-10-06,22,0,,,
2001-10-07,61,11,,,
2001-10-08,117,28,,,
2001-10-09,183,100,,,
2001-10-10,150,106,,,
2001-10-11,133,94,,,
2001-10-12,133,72,,,
2001-10-13,106,78,,,
2001-10-14,106,78,,,
2001-10-15,89,44,,,
2001-10-16,39,22,,,
2002-05-01,83,11,,,
2002-05-02,22,-17,,,
2002-05-03,72,6,,,
2002-05-04,150,11,,,
2002-05-05,100,28,,,
2002-05-06,83,11,,,
2002-05-07,78,6,,,
2002-05-08,28,0,,,
2002-05-09,67,17,,,
2002-05-10,72,-11,,,
2002-05-11,144,17,,,
2002-05-12,117,44,,,
2002-05-13,122,44,,,
2002-05-14,100,0,,,
2002-05-15,156,17,,,
2002-05-16,50,-11,,,
2002-05-17,33,-11,,,
2002-05-18,56,-22,,,
2002-05-19,39,-17,,,
2002-05-20,106,-11,,,
2002-05-21,144,44,,,
2002-05-22,189,89,,,
2002-05-23,206,17,,,
2002-05-24,94,11,,,
2002-05-25,72,11,,,
2002-05-26,194,28,,,
2002-05-27,172,56,,,
2002-05-28,172,83,,,
2002-05-29,217,56,,,
2002-05-30,144,56,,,
2002-05-31,228,100,,,
2002-06-01,200,83,,,
2002-06-02,89,33,,,
2002-06-03,106,44,,,
2002-06-04,94,33,,,
2002-06-05,172,50,,,
2002-06-06,189,94,,,
2002-06-07,194,106,,,
2002-06-08,239,117,,,
2002-06-09,117,78,,,
2002-06-10,156,67,,,
2002-06-11,106,67,,,
2002-06-12,156,100,,,
2002-06-13,150,83,,,
2002-06-14,206,100,,,
2002-06-15,133,106,,,
2002-06-16,200,78,,,
2002-06-17,200,89,,,
2002-06-18,183,94,,,
2002-06-19,189,111,,,
2002-06-20,222,156,,,
2002-06-21,222,128,,,
2002-06-22,178,117,,,
2002-06-23,222,100,,,
2002-06-24,172,78,,,
2002-06-25,272,89,,,
2002-06-26,244,150,,,
2002-06-27,256,128,,,
2002-06-28,217,139,,,
2002-06-29,267,150,,,
2002-06-30,311,206,,,
2002-07-01,294,172,,,
2002-07-02,289,194,,,
2002-07-03,278,183,,,
2002-07-04,200,139,,,
2002-07-05,156,83,,,
2002-07-06,244,89,,,
2002-07-07,272,111,,,
2002-07-08,267,167,,,
2002-07-09,228,172,,,
2002-07-10,267,172,,,
2002-07-11,256,172,,,
2002-07-12,256,172,,,
2002-07-13,278,183,,,
2002-07-14,294,206,,,
2002-07-15,256,156,,,
2002-07-16,289,217,,,
2002-07-17,267,183,,,
2002-07-18,178,122,,,
2002-07-19,233,139,,,
2002-07-20,283,139,,,
2002-07-21,267,172,,,
2002-07-22,228,117,,,
2002-07-23,228,111,,,
