DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2003-04-29,94,-33,,,
2003-04-30,156,156,,,
2003-05-01,150,-22,,,
2003-05-02,122,-33,,,
2003-05-03,178,-44,,,
2003-05-04,172,-17,,,
2003-05-05,106,67,,,
2003-05-06,150,44,,,
2003-05-07,150,22,,,
2003-05-08,200,50,,,
2003-05-09,94,61,,,
2003-05-10,172,56,,,
2003-05-11,83,28,,,
2003-05-12,144,33,,,
2003-05-13,200,-6,,,
2003-05-14,206,28,,,
2003-05-15,183,22,,,
2003-05-16,183,17,,,
2003-05-17,200,28,,,
2003-05-18,211,61,,,
2003-05-19,183,83,,,
2003-05-20,106,17,,,
2003-05-21,167,-17,,,
2003-05-22,144,-6,,,
2003-05-23,189,-6,,,
2003-05-24,211,-17,,,
2003-05-25,200,0,,,
2003-05-26,217,6,,,
2003-05-27,256,17,,,
2003-05-28,144,89,,,
2003-05-29,228,28,,,
2003-05-30,172,50,,,
2003-05-31,122,0,,,
2003-06-01,200,-6,,,
2003-06-02,217,6,,,
2003-06-03,222,61,,,
2003-06-04,233,28,,,
2003-06-05,250,67,,,
2003-06-06,206,72,,,
2003-06-07,161,100,,,
2003-06-08,128,94,,,
2003-06-09,183,94,,,
2003-06-10,139,83,,,
2003-06-11,217,89,,,
2003-06-12,228,72,,,
2003-06-13,250,106,,,
2003-06-14,239,72,,,
2003-06-15,256,44,,,
2003-06-16,278,83,,,
2003-06-17,256,133,,,
2003-06-18,222,83,,,
2003-06-19,211,28,,,
2003-06-20,267,33,,,
2003-06-21,283,67,,,
2003-06-22,294,100,,,
2003-06-23,283,144,,,
2003-06-24,267,172,,,
2003-06-25,278,194,,,
2003-06-26,211,117,,,
2003-06-27,150,39,,,
2003-06-28,150,22,,,
2003-06-29,200,100,,,
2003-06-30,261,67,,,
2003-07-01,283,83,,,
2003-07-02,283,133,,,
2003-07-03,283,167,,,
2003-07-04,283,139,,,
2003-07-05,278,111,,,
2003-07-06,283,133,,,
2003-07-07,261,122,,,
2003-07-08,217,78,,,
2003-07-09,206,39,,,
2003-07-10,206,94,,,
2003-07-11,178,100,,,
2003-07-12,244,83,,,
2003-07-13,272,78,,,
2003-07-14,244,150,,,
2003-07-15,206,94,,,
