DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1920-01-01,-261.0,-333.0,,,
1920-01-02,-272.0,-283.0,,,
1920-01-03,-150.0,-283.0,,,
1920-01-04,-100.0,-311.0,,,
1920-01-05,-33.0,-139.0,,,
1920-01-06,-33.0,-94.0,,,
1920-01-07,-56.0,-150.0,,,
1920-01-08,-122.0,-233.0,,,
1920-01-09,-67.0,-239.0,,,8.0
1920-01-10,-33.0,-89.0,,,
1920-01-11,-50.0,-122.0,,,
1920-01-12,-33.0,-156.0,,,25.0
1920-01-13,-39.0,-200.0,,,
1920-01-14,-94.0,-217.0,,,
1920-01-15,-194.0,-250.0,,,
1920-01-16,-133.0,-200.0,,,
1920-01-17,-200.0,-289.0,,,
1920-01-18,-222.0,-383.0,,,
1920-01-19,-206.0,-339.0,,,
1920-01-20,-194.0,-278.0,,,
1920-01-21,-233.0,-317.0,,,
1920-01-22,-250.0,-306.0,,,
1920-01-23,-233.0,-328.0,,,
1920-01-24,-206.0,-311.0,,,
1920-01-25,-206.0,-300.0,,,
1920-01-26,-178.0,-317.0,,,
1920-01-27,-150.0,-261.0,,,
1920-01-28,-156.0,-278.0,,,
1920-01-29,-178.0,-267.0,,,
1920-01-30,-144.0,-233.0,,,
1920-01-31,-89.0,-178.0,,,
1921-07-01,,,0.0,,
1921-07-02,,,0.0,,
1921-07-03,,,211.0,,
1921-07-04,,,0.0,,
1921-07-05,,,345.0,,
1921-07-06,,,0.0,,
1921-07-07,,,0.0,,
1921-07-08,,,0.0,,
1921-07-09,,,0.0,,
1921-07-10,,,0.0,,
1921-07-11,,,0.0,,
1921-07-12,,,165.0,,
1921-07-13,,,427.0,,
1921-07-14,,,0.0,,
1921-07-15,,,0.0,,
1921-07-16,,,0.0,,
1921-07-17,,,0.0,,
1921-07-18,,,0.0,,
1921-07-19,,,0.0,,
1921-07-20,,,0.0,,
1921-07-21,,,58.0,,
1921-07-22,,,0.0,,
1921-07-23,,,0.0,,
1921-07-24,,,0.0,,
1921-07-25,,,69.0,,
