DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2001-09-26,172,94,,,
2001-09-27,167,39,,,
2001-09-28,172,39,,,
2001-09-29,211,44,,,
2001-09-30,194,83,,,
2001-10-01,211,39,,,
2001-10-02,178,72,,,
2001-10-03,122,-172,,,
2001-10-04,100,-144,,,
2001-10-05,39,-17,,,
2001-10-06,17,-44,,,
2001-10-07,100,-22,,,
2001-10-08,106,22,,,
2001-10-09,200,61,,,
2001-10-10,156,67,,,
2001-10-11,156,39,,,
2001-10-12,167,61,,,
2001-10-13,83,56,,,
2001-10-14,94,33,,,
2001-10-15,72,0,,,
2001-10-16,50,-6,,,
2001-10-17,83,-22,,,
2001-10-18,78,17,,,
2001-10-19,100,11,,,
2001-10-20,94,-150,,,
2001-10-21,44,-22,,,
2001-10-22,78,-17,,,
2001-10-23,128,28,,,
2001-10-24,83,11,,,
2001-10-25,17,-17,,,
2001-10-26,-6,-22,,,
2001-10-27,11,-33,,,
2001-10-28,94,-11,,,
2001-10-29,56,-11,,,
2001-10-30,28,-33,,,
2001-10-31,78,28,,,
2001-11-01,150,67,,,
2001-11-02,67,28,,,
2001-11-03,128,-6,,,
2001-11-04,94,-6,,,
2001-11-05,189,11,,,
2001-11-06,128,17,,,
2001-11-07,67,-6,,,
2001-11-08,22,-28,,,
2001-11-09,89,-17,,,
2001-11-10,22,-6,,,
2001-11-11,78,-11,,,
2001-11-12,94,-6,,,
2001-11-13,117,61,,,
2001-11-14,128,33,,,
2001-11-15,122,17,,,
2001-11-16,56,-17,,,
2001-11-17,172,22,,,
2001-11-18,117,0,,,
2001-11-19,0,-33,,,
2001-11-20,39,-50,,,
2001-11-21,67,-11,,,
2001-11-22,33,0,,,
2001-11-23,33,17,,,
2001-11-24,28,17,,,
2001-11-25,17,-61,,,
2001-11-26,-61,-89,,,
2001-11-27,-72,-133,,,
2001-11-28,-67,-156,,,
2001-11-29,-17,-72,,,
2001-11-30,6,-17,,,
2001-12-01,-6,-61,,,
2001-12-02,-6,-72,,,
2001-12-03,44,-50,,,
2001-12-04,61,0,,,
2001-12-05,61,-56,,,
2001-12-06,-50,-78,,,
2001-12-07,-33,-94,,,
2001-12-08,-44,-128,,,
2001-12-09,61,-122,,,
2001-12-10,11,-56,,,
2001-12-11,17,-83,,,
2001-12-12,17,-61,,,
2001-12-13,-67,-94,,,
2001-12-14,-22,-94,,,
2001-12-15,11,-50,,,
2001-12-16,28,-11,,,
2001-12-17,6,-28,,,
2001-12-18,0,-56,,,
2001-12-19,-56,-94,,,
2001-12-20,-56,-128,,,
2001-12-21,-28,-150,,,
2001-12-22,-6,-33,,,
2001-12-23,-11,-139,,,
2001-12-24,-133,-178,,,
2001-12-25,-139,-167,,,
2001-12-26,-100,-161,,,
2001-12-27,-106,-178,,,
2001-12-28,-144,-194,,,
2001-12-29,-133,-211,,,
2001-12-30,-133,-172,,,
2001-12-31,-133,-183,,,
2002-01-01,-133,-178,,,
2002-01-02,-106,-172,,,
2002-01-03,-33,-178,,,
2002-01-04,-56,-117,,,
2002-01-05,-44,-89,,,
2002-01-06,-100,-178,,,
2002-01-07,-39,-178,,,
2002-01-08,33,-83,,,
2002-01-09,17,17,,,
2002-01-10,-28,-56,,,
2002-01-11,-17,-50,,,
2002-01-12,-22,-56,,,
2002-01-13,-44,-94,,,
2002-01-14,-61,-100,,,
2002-01-15,-89,-150,,,
2002-02-07,6,-28,,,
2002-02-08,-17,-67,,,
2002-02-15,-6,-6,,,
