DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2013-12-01,28.0,-60.0,0.0,0.0,0.0
2013-12-02,28.0,-38.0,8.0,,
2013-12-03,22.0,0.0,20.0,0.0,
2013-12-04,22.0,-88.0,10.0,0.0,
2013-12-05,-99.0,-171.0,0.0,,0.0
2013-12-06,-127.0,-210.0,0.0,,0.0
2013-12-07,-138.0,-221.0,0.0,,0.0
2013-12-12,-60.0,-199.0,0.0,0.0,0.0
2013-12-13,-60.0,-138.0,0.0,0.0,0.0
2013-12-17,-10.0,-127.0,0.0,0.0,0.0
2013-12-18,28.0,-138.0,0.0,,0.0
2013-12-21,-60.0,-88.0,0.0,,0.0
2013-12-25,-21.0,-110.0,10.0,,
2013-12-26,-27.0,-77.0,0.0,0.0,0.0
2013-12-27,39.0,-121.0,0.0,0.0,0.0
2013-12-28,28.0,-71.0,0.0,0.0,0.0
2013-12-29,-38.0,-227.0,0.0,0.0,0.0
2013-12-31,-171.0,-249.0,3.0,0.0,
2014-01-01,-171.0,-221.0,0.0,0.0,0.0
2014-01-02,-171.0,-288.0,0.0,,0.0
2014-01-03,-71.0,-299.0,0.0,,0.0
2014-01-05,-177.0,-277.0,0.0,0.0,0.0
2014-01-06,-249.0,-310.0,0.0,,0.0
2014-01-07,-138.0,-249.0,0.0,,0.0
2014-01-08,-171.0,-238.0,0.0,,0.0
2014-01-09,-88.0,-238.0,0.0,,0.0
2014-01-11,-21.0,-77.0,0.0,,0.0
2014-01-12,28.0,-71.0,0.0,,0.0
2014-01-13,11.0,-27.0,0.0,,0.0
2014-01-23,-210.0,-271.0,0.0,0.0,0.0
2014-01-26,-71.0,-127.0,5.0,,
2014-01-27,-221.0,-260.0,0.0,,0.0
2014-01-28,-177.0,-277.0,0.0,,0.0
2014-01-29,-27.0,-238.0,0.0,,0.0
2014-01-30,-21.0,-188.0,15.0,,
2014-01-31,-149.0,-221.0,0.0,,0.0
2014-02-02,-121.0,-221.0,0.0,280.0,0.0
2014-02-03,-77.0,-199.0,0.0,250.0,0.0
2014-02-04,-121.0,-171.0,0.0,250.0,0.0
2014-02-06,-160.0,-238.0,0.0,280.0,0.0
2014-02-07,-110.0,-227.0,0.0,280.0,0.0
2014-02-09,-138.0,-227.0,0.0,300.0,0.0
2014-02-10,-177.0,-260.0,0.0,300.0,0.0
2014-02-11,-127.0,-288.0,0.0,300.0,0.0
2014-02-12,-71.0,-127.0,3.0,,
2014-02-14,-121.0,-171.0,0.0,300.0,0.0
2014-02-18,39.0,-110.0,0.0,410.0,0.0
2014-02-19,28.0,-99.0,0.0,380.0,0.0
2014-02-20,11.0,-99.0,168.0,0.0,
2014-02-22,-99.0,-171.0,0.0,430.0,0.0
2014-02-23,-110.0,-177.0,0.0,430.0,0.0
2014-02-25,-149.0,-221.0,0.0,430.0,0.0
2014-02-26,-77.0,-260.0,0.0,380.0,0.0
2014-02-27,-177.0,-271.0,0.0,380.0,0.0
2014-03-02,-199.0,-271.0,0.0,460.0,0.0
2014-03-06,-60.0,-110.0,0.0,690.0,0.0
2014-03-07,11.0,-71.0,0.0,580.0,0.0
2014-03-08,-38.0,-138.0,0.0,580.0,0.0
2014-03-09,39.0,-138.0,0.0,580.0,0.0
2014-03-10,89.0,0.0,0.0,280.0,0.0
2014-03-11,28.0,-21.0,8.0,250.0,0.0
2014-03-12,-21.0,-110.0,0.0,200.0,0.0
2014-03-13,72.0,-110.0,0.0,200.0,0.0
2014-03-14,39.0,-21.0,0.0,150.0,0.0
2014-03-15,-21.0,-60.0,0.0,150.0,0.0
2014-03-16,-49.0,-127.0,0.0,150.0,0.0
2014-03-17,22.0,-71.0,0.0,150.0,0.0
2014-03-18,28.0,-21.0,5.0,130.0,
2014-03-19,11.0,-27.0,3.0,100.0,
2014-03-20,28.0,-77.0,0.0,100.0,0.0
2014-03-21,78.0,-38.0,0.0,100.0,0.0
2014-03-22,-38.0,-110.0,0.0,100.0,0.0
2014-03-23,-49.0,-127.0,0.0,100.0,0.0
2014-03-25,-60.0,-121.0,0.0,100.0,0.0
2014-03-26,39.0,-110.0,0.0,100.0,0.0
2014-03-27,28.0,-10.0,53.0,50.0,0.0
2014-03-28,22.0,-21.0,0.0,50.0,0.0
2014-03-29,50.0,-60.0,0.0,50.0,0.0
2014-03-30,161.0,11.0,0.0,30.0,0.0
2014-03-31,161.0,-38.0,71.0,0.0,0.0
2014-04-01,11.0,-71.0,0.0,0.0,0.0
2014-04-02,72.0,-38.0,15.0,0.0,0.0
2014-04-03,11.0,-10.0,48.0,0.0,0.0
