DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1903-01-01,61.0,17.0,8,,0.0
1903-01-02,39.0,17.0,193,,0.0
1903-01-03,33.0,11.0,0,,0.0
1903-01-04,89.0,11.0,0,,0.0
1903-01-05,44.0,-11.0,0,,0.0
1903-01-06,144.0,-39.0,0,,0.0
1903-01-07,111.0,-17.0,0,,0.0
1903-01-08,11.0,-78.0,0,,0.0
1903-01-09,67.0,-72.0,0,,0.0
1903-01-10,78.0,-67.0,0,,0.0
1903-01-11,-22.0,-111.0,0,,0.0
1903-01-12,-33.0,-128.0,0,,0.0
1903-01-13,117.0,-122.0,0,,0.0
1903-01-14,78.0,0.0,0,,0.0
1903-01-15,22.0,-72.0,0,,0.0
1903-01-16,106.0,50.0,0,,0.0
1903-01-17,94.0,28.0,0,,0.0
1903-01-18,61.0,-78.0,0,,0.0
1903-01-19,78.0,-17.0,0,,0.0
1903-01-20,78.0,-61.0,10,,10.0
1903-01-21,67.0,-33.0,0,,0.0
1903-01-22,139.0,-50.0,0,,0.0
1903-01-23,106.0,17.0,28,,0.0
1903-01-24,44.0,-11.0,15,,0.0
1903-01-25,178.0,-44.0,0,,0.0
1903-01-26,194.0,67.0,0,,0.0
1903-01-27,206.0,100.0,122,,0.0
1903-01-28,194.0,72.0,0,,0.0
1903-01-29,172.0,17.0,0,,0.0
1903-01-30,106.0,-61.0,0,,0.0
1903-01-31,144.0,-28.0,8,,0.0
1903-02-01,217.0,39.0,8,,0.0
1903-02-02,206.0,56.0,0,,0.0
1903-02-03,161.0,128.0,259,,0.0
1903-02-04,128.0,-67.0,0,,0.0
1903-02-05,50.0,-89.0,0,,0.0
1903-02-06,33.0,-22.0,0,,0.0
1903-02-07,22.0,-11.0,0,,0.0
1903-02-08,78.0,-11.0,0,,0.0
1903-02-09,156.0,-50.0,0,,0.0
1903-02-10,128.0,11.0,137,,0.0
1903-02-11,161.0,39.0,109,,0.0
1903-02-12,172.0,28.0,0,,0.0
1903-02-13,100.0,11.0,0,,0.0
1903-02-14,33.0,0.0,8,,0.0
1903-02-15,33.0,-50.0,513,,0.0
1903-02-16,-50.0,-133.0,36,51.0,38.0
1903-02-17,-28.0,-189.0,0,,0.0
1903-02-18,0.0,-100.0,0,,0.0
1903-02-19,17.0,-156.0,0,,0.0
1903-02-20,78.0,-89.0,0,,0.0
1903-02-21,78.0,-28.0,0,,0.0
1903-02-22,122.0,-83.0,0,,0.0
1903-02-23,150.0,-44.0,0,,0.0
1903-02-24,100.0,6.0,0,,0.0
1903-02-25,78.0,-39.0,0,,0.0
1903-02-26,89.0,6.0,213,,0.0
1903-02-27,122.0,61.0,0,,0.0
1903-02-28,78.0,-11.0,0,,0.0
1903-03-01,44.0,-22.0,0,,0.0
1903-03-02,72.0,-33.0,20,0.0,20.0
1903-03-03,89.0,11.0,0,,0.0
1903-03-04,122.0,50.0,188,,0.0
1903-03-05,128.0,89.0,25,,0.0
1903-03-06,189.0,111.0,127,,0.0
1903-03-07,189.0,122.0,66,,0.0
1903-03-08,167.0,28.0,64,,0.0
1903-03-09,172.0,28.0,20,,0.0
1903-03-10,172.0,117.0,36,,0.0
1903-03-11,172.0,44.0,0,,0.0
1903-03-12,183.0,39.0,0,,0.0
1903-03-13,200.0,56.0,0,,0.0
1903-03-14,206.0,111.0,0,,0.0
1903-03-15,172.0,111.0,5,,0.0
1903-03-16,233.0,122.0,0,,0.0
1903-03-17,250.0,111.0,0,,0.0
1903-03-18,233.0,156.0,0,,0.0
1903-03-19,211.0,128.0,452,,0.0
1903-03-20,128.0,0.0,79,,0.0
1903-03-21,150.0,-22.0,0,,0.0
1903-03-22,167.0,17.0,0,,0.0
1903-03-23,161.0,11.0,0,,0.0
1903-03-24,117.0,-28.0,0,,0.0
1903-03-25,183.0,-56.0,0,,0.0
1903-03-26,206.0,39.0,0,,0.0
1903-03-27,183.0,78.0,0,,0.0
1903-03-28,144.0,50.0,0,,0.0
1903-03-29,156.0,0.0,0,,0.0
1903-03-30,194.0,-6.0,0,,0.0
1903-03-31,250.0,17.0,0,,0.0
1903-04-01,294.0,89.0,0,,
1903-04-02,328.0,183.0,0,,
1903-04-03,294.0,39.0,0,,
1903-04-04,183.0,-11.0,0,,
1903-04-05,189.0,72.0,0,,
