DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2016-11-28,217.0,83.0,0.0,,
2016-11-29,178.0,39.0,0.0,,
2016-11-30,56.0,-32.0,0.0,,
2016-12-01,83.0,-27.0,0.0,,
2016-12-02,117.0,-27.0,0.0,,
2016-12-03,89.0,-10.0,0.0,,
2016-12-04,67.0,-27.0,56.0,,
2016-12-07,28.0,-49.0,0.0,,
2016-12-08,0.0,-77.0,0.0,,
2016-12-09,17.0,-121.0,0.0,,
2016-12-10,33.0,-38.0,0.0,,
2016-12-11,78.0,22.0,10.0,,
2016-12-12,33.0,-21.0,0.0,,
2016-12-13,44.0,-71.0,0.0,,
2016-12-14,-5.0,-99.0,0.0,,
2016-12-15,-27.0,-71.0,0.0,,
2016-12-16,33.0,-43.0,0.0,,
2016-12-17,44.0,-116.0,0.0,,
2016-12-18,-77.0,-199.0,0.0,,
2016-12-19,-5.0,-205.0,0.0,,
2016-12-20,72.0,-99.0,0.0,,
2016-12-21,94.0,-55.0,0.0,,
2016-12-22,72.0,-16.0,0.0,,
2016-12-23,56.0,28.0,28.0,,
2016-12-24,100.0,39.0,0.0,,
2016-12-25,194.0,72.0,20.0,,
2016-12-26,150.0,11.0,18.0,,
2016-12-27,94.0,-55.0,0.0,,
2016-12-28,150.0,11.0,0.0,,
2016-12-29,100.0,28.0,0.0,,
2016-12-30,133.0,-55.0,0.0,,
2016-12-31,117.0,-10.0,0.0,,
2017-01-01,111.0,-55.0,0.0,,
2017-01-02,128.0,50.0,8.0,,
2017-01-05,-60.0,-121.0,3.0,,
2017-01-06,-88.0,-160.0,0.0,,
2017-01-07,0.0,-193.0,0.0,,
2017-01-08,0.0,-143.0,0.0,,
2017-01-09,89.0,-60.0,0.0,,
2017-01-10,189.0,0.0,0.0,,
2017-01-11,233.0,11.0,0.0,,
2017-01-12,78.0,-43.0,0.0,,
2017-01-13,-10.0,-38.0,20.0,,
2017-01-14,0.0,-16.0,69.0,,
2017-01-15,22.0,-5.0,132.0,,
2017-01-16,150.0,22.0,18.0,,
2017-01-17,56.0,33.0,0.0,,
2017-01-18,117.0,22.0,3.0,,
2017-01-19,106.0,61.0,5.0,,
2017-01-20,161.0,72.0,0.0,,
2017-01-21,183.0,67.0,15.0,,
2017-01-22,94.0,33.0,160.0,,
2017-01-23,67.0,-21.0,0.0,,
2017-01-24,161.0,-27.0,0.0,,
2017-01-25,128.0,11.0,0.0,,
2017-01-26,11.0,-21.0,0.0,,
2017-01-27,50.0,-43.0,0.0,,
2017-01-28,83.0,-10.0,0.0,,
2017-01-29,89.0,22.0,0.0,,
2017-01-30,172.0,-38.0,0.0,,
2017-01-31,133.0,0.0,0.0,,
2017-02-01,100.0,6.0,0.0,,
2017-02-02,22.0,-49.0,0.0,,
2017-02-03,22.0,-77.0,0.0,,
2017-02-04,33.0,-82.0,0.0,,
2017-02-05,144.0,-5.0,0.0,,
2017-02-06,206.0,50.0,0.0,,
2017-02-07,183.0,17.0,46.0,,
2017-02-08,17.0,-60.0,0.0,,
2017-02-09,39.0,-77.0,0.0,,
2017-02-10,228.0,11.0,0.0,,
2017-02-11,267.0,111.0,0.0,,
2017-02-13,128.0,-43.0,0.0,,
2017-02-14,117.0,22.0,0.0,,
2017-02-15,100.0,-16.0,0.0,,
2017-02-16,200.0,-32.0,0.0,,
2017-02-17,239.0,67.0,0.0,,
2017-02-18,211.0,83.0,0.0,,
2017-02-19,250.0,39.0,0.0,,
2017-02-20,239.0,139.0,33.0,,
2017-02-21,183.0,100.0,8.0,,
2017-02-22,228.0,78.0,0.0,,
2017-02-23,261.0,106.0,0.0,,
2017-02-24,194.0,-10.0,0.0,,
2017-02-25,61.0,-38.0,0.0,,
2017-02-26,78.0,-43.0,18.0,,
2017-02-27,194.0,-21.0,0.0,,
2017-02-28,256.0,139.0,0.0,,
2017-03-02,144.0,-32.0,0.0,,
2017-03-03,128.0,-38.0,0.0,,
2017-03-04,211.0,50.0,0.0,,
2017-03-05,156.0,111.0,0.0,,
2017-03-06,233.0,111.0,99.0,,
2017-03-07,,,13.0,,
2017-03-08,,,0.0,,
2017-03-09,,,203.0,,
2017-03-10,,,0.0,,
2017-03-11,,,0.0,,
2017-03-12,,,15.0,,
2017-03-14,,,0.0,,
2017-03-15,,,0.0,,
2017-03-16,,,0.0,,
2017-03-17,,,8.0,,
2017-03-18,,,0.0,,
2017-03-19,,,3.0,,
2017-03-20,,,0.0,,
2017-03-21,,,5.0,,
2017-03-23,,,0.0,,
2017-03-24,,,183.0,,
2017-03-25,,,66.0,,
2017-03-26,,,13.0,,
2017-03-27,,,28.0,,
2017-03-28,,,5.0,,
2017-03-29,233.0,111.0,74.0,,
2017-03-30,172.0,89.0,13.0,,
2017-03-31,100.0,67.0,3.0,,
2017-04-01,150.0,61.0,0.0,,
2017-04-02,239.0,83.0,66.0,,
2017-04-03,183.0,122.0,30.0,,
2017-04-04,172.0,78.0,178.0,,
2017-04-05,139.0,56.0,13.0,,
2017-04-06,156.0,61.0,0.0,,
2017-04-07,183.0,0.0,0.0,,
2017-04-08,261.0,83.0,0.0,,
2017-04-09,289.0,167.0,0.0,,
2017-04-10,239.0,122.0,0.0,,
2017-04-12,256.0,50.0,0.0,,
2017-04-13,272.0,156.0,0.0,,
2017-04-14,289.0,172.0,0.0,,
2017-04-15,283.0,161.0,0.0,,
2017-04-16,228.0,156.0,56.0,,
2017-04-17,211.0,128.0,0.0,,
2017-04-18,267.0,83.0,0.0,,
2017-04-19,300.0,156.0,0.0,,
2017-04-21,133.0,83.0,193.0,,
2017-04-22,144.0,56.0,89.0,,
2017-04-23,217.0,33.0,0.0,,
2017-04-24,256.0,17.0,0.0,,
2017-04-25,278.0,128.0,0.0,,
2017-04-26,206.0,67.0,333.0,,
2017-04-27,178.0,61.0,0.0,,
2017-04-28,167.0,117.0,76.0,,
2017-04-29,156.0,111.0,917.0,,
2017-04-30,244.0,89.0,208.0,,
2017-05-01,139.0,56.0,0.0,,
2017-05-02,200.0,44.0,0.0,,
2017-05-03,139.0,67.0,569.0,,
2017-05-04,178.0,61.0,51.0,,
2017-05-05,211.0,50.0,0.0,,
2017-05-06,244.0,72.0,0.0,,
2017-05-08,278.0,144.0,0.0,,
2017-05-09,289.0,144.0,0.0,,
2017-05-10,283.0,150.0,23.0,,
2017-05-11,250.0,156.0,119.0,,
2017-05-12,233.0,117.0,3.0,,
2017-05-13,256.0,89.0,0.0,,
2017-05-14,272.0,106.0,0.0,,
2017-05-15,300.0,128.0,0.0,,
2017-05-16,294.0,167.0,0.0,,
2017-05-18,300.0,183.0,0.0,,
2017-05-19,267.0,156.0,231.0,,
2017-05-20,239.0,139.0,239.0,,
2017-05-22,239.0,78.0,0.0,,
2017-05-23,194.0,106.0,64.0,,
2017-05-24,183.0,94.0,8.0,,
2017-05-25,244.0,61.0,0.0,,
2017-05-28,250.0,139.0,3.0,,
2017-05-29,278.0,117.0,0.0,,
2017-05-30,267.0,111.0,0.0,,
2017-05-31,272.0,122.0,18.0,,
2017-06-01,261.0,128.0,15.0,,
2017-06-02,294.0,161.0,0.0,,
2017-06-03,278.0,167.0,41.0,,
2017-06-04,278.0,194.0,23.0,,
2017-06-05,311.0,183.0,3.0,,
2017-06-06,267.0,139.0,0.0,,
2017-06-07,267.0,106.0,0.0,,
2017-06-08,267.0,100.0,0.0,,
2017-06-09,283.0,111.0,0.0,,
2017-06-10,294.0,161.0,0.0,,
2017-06-11,311.0,194.0,0.0,,
2017-06-12,328.0,194.0,0.0,,
2017-06-13,317.0,222.0,0.0,,
2017-06-14,328.0,228.0,0.0,,
2017-06-15,317.0,178.0,140.0,,
2017-06-16,317.0,206.0,0.0,,
2017-06-17,300.0,189.0,183.0,,
2017-06-18,256.0,161.0,8.0,,
2017-06-19,294.0,133.0,0.0,,
2017-06-20,317.0,150.0,0.0,,
2017-06-22,300.0,194.0,0.0,,
2017-06-23,283.0,189.0,3.0,,
2017-06-24,256.0,128.0,0.0,,
2017-06-25,272.0,111.0,0.0,,
2017-06-26,256.0,117.0,76.0,,
2017-06-27,272.0,122.0,3.0,,
2017-06-28,311.0,189.0,0.0,,
2017-06-29,311.0,222.0,5.0,,
2017-06-30,289.0,183.0,196.0,,
2017-07-01,289.0,183.0,0.0,,
2017-07-02,311.0,150.0,0.0,,
2017-07-03,311.0,194.0,0.0,,
2017-07-05,256.0,200.0,157.0,,
2017-07-06,300.0,206.0,0.0,,
2017-07-07,328.0,194.0,0.0,,
2017-07-09,328.0,183.0,0.0,,
2017-07-10,333.0,211.0,0.0,,
2017-07-11,339.0,211.0,0.0,,
2017-07-12,350.0,228.0,0.0,,
2017-07-13,344.0,222.0,0.0,,
2017-07-14,306.0,211.0,23.0,,
2017-07-15,311.0,194.0,0.0,,
